"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Afghanistan","China","2014.0","Export","3.0","60.0","15452.72","2.71"
"Afghanistan","Germany","2014.0","Export","1.0","20.0","17045.18","2.99"
"Afghanistan","East Asia & Pacific","2014.0","Export","3.0","60.0","15452.72","2.71"
"Afghanistan","Europe & Central Asia","2014.0","Export","1.0","20.0","17045.18","2.99"
"Afghanistan","United Kingdom","2014.0","Export","","","",""
"Afghanistan","India","2014.0","Export","3.0","60.0","159979.72","28.04"
"Afghanistan","Iran, Islamic Rep.","2014.0","Export","3.0","60.0","33351.52","5.85"
"Afghanistan","Japan","2014.0","Export","","","",""
"Afghanistan","Middle East & North Africa","2014.0","Export","3.0","60.0","33857.54","5.93"
"Afghanistan","Pakistan","2014.0","Export","4.0","80.0","188424.06","33.03"
"Afghanistan","South Asia","2014.0","Export","4.0","80.0","348403.77","61.07"
"Afghanistan","Saudi Arabia","2014.0","Export","1.0","20.0","506.02","0.09"
"Afghanistan","Unspecified","2014.0","Export","3.0","60.0","155774.8","27.3"
"Afghanistan"," World","2014.0","Export","5.0","100.0","570534.01","100.0"
