"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Albania","Afghanistan","2014.0","Export","1.0","0.25","0.21","0.0"
"Albania","Andorra","2014.0","Export","","","",""
"Albania","United Arab Emirates","2014.0","Export","2.0","0.5","1543.6","0.06"
"Albania","Argentina","2014.0","Export","1.0","0.25","63.77","0.0"
"Albania","Armenia","2014.0","Export","1.0","0.25","60.59","0.0"
"Albania","Antigua and Barbuda","2014.0","Export","","","",""
"Albania","Australia","2014.0","Export","1.0","0.25","102.2","0.0"
"Albania","Austria","2014.0","Export","5.0","1.24","18645.84","0.77"
"Albania","Azerbaijan","2014.0","Export","1.0","0.25","2.66","0.0"
"Albania","Burundi","2014.0","Export","","","",""
"Albania","Belgium","2014.0","Export","1.0","0.25","3838.4","0.16"
"Albania","Bangladesh","2014.0","Export","1.0","0.25","24.88","0.0"
"Albania","Bulgaria","2014.0","Export","11.0","2.72","26143.2","1.08"
"Albania","Bahrain","2014.0","Export","","","",""
"Albania","Bahamas, The","2014.0","Export","","","",""
"Albania","Bosnia and Herzegovina","2014.0","Export","12.0","2.97","4426.54","0.18"
"Albania","Belarus","2014.0","Export","1.0","0.25","294.11","0.01"
"Albania","Belize","2014.0","Export","","","",""
"Albania","Bolivia","2014.0","Export","","","",""
"Albania","Brazil","2014.0","Export","1.0","0.25","1238.32","0.05"
"Albania","Brunei","2014.0","Export","","","",""
"Albania","Canada","2014.0","Export","1.0","0.25","994.97","0.04"
"Albania","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Albania","Switzerland","2014.0","Export","3.0","0.74","18415.42","0.76"
"Albania","Chile","2014.0","Export","","","",""
"Albania","China","2014.0","Export","3.0","0.74","83044.04","3.42"
"Albania","Cote d'Ivoire","2014.0","Export","1.0","0.25","280.16","0.01"
"Albania","Cameroon","2014.0","Export","","","",""
"Albania","Congo, Rep.","2014.0","Export","","","",""
"Albania","Colombia","2014.0","Export","1.0","0.25","0.33","0.0"
"Albania","Comoros","2014.0","Export","","","",""
"Albania","Costa Rica","2014.0","Export","","","",""
"Albania","Cuba","2014.0","Export","","","",""
"Albania","Cayman Islands","2014.0","Export","2.0","0.5","2078.76","0.09"
"Albania","Cyprus","2014.0","Export","1.0","0.25","10975.07","0.45"
"Albania","Czech Republic","2014.0","Export","1.0","0.25","7561.39","0.31"
"Albania","Germany","2014.0","Export","7.0","1.73","68509.29","2.82"
"Albania","Dominica","2014.0","Export","","","",""
"Albania","Denmark","2014.0","Export","1.0","0.25","1307.83","0.05"
"Albania","Dominican Republic","2014.0","Export","1.0","0.25","126.64","0.01"
"Albania","Algeria","2014.0","Export","1.0","0.25","181.44","0.01"
"Albania","East Asia & Pacific","2014.0","Export","4.0","0.99","86649.82","3.56"
"Albania","Europe & Central Asia","2014.0","Export","403.0","99.75","2132840.95","87.75"
"Albania","Ecuador","2014.0","Export","","","",""
"Albania","Egypt, Arab Rep.","2014.0","Export","2.0","0.5","10646.74","0.44"
"Albania","Spain","2014.0","Export","2.0","0.5","158565.95","6.52"
"Albania","Estonia","2014.0","Export","1.0","0.25","102.44","0.0"
"Albania","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Albania","Finland","2014.0","Export","1.0","0.25","155.35","0.01"
"Albania","Falkland Island","2014.0","Export","","","",""
"Albania","France","2014.0","Export","3.0","0.74","26198.83","1.08"
"Albania","Gabon","2014.0","Export","","","",""
"Albania","United Kingdom","2014.0","Export","4.0","0.99","4199.1","0.17"
"Albania","Georgia","2014.0","Export","1.0","0.25","15.06","0.0"
"Albania","Ghana","2014.0","Export","1.0","0.25","136.26","0.01"
"Albania","Guinea","2014.0","Export","","","",""
"Albania","Equatorial Guinea","2014.0","Export","1.0","0.25","207.26","0.01"
"Albania","Greece","2014.0","Export","55.0","13.61","84091.18","3.46"
"Albania","Guatemala","2014.0","Export","","","",""
"Albania","Hong Kong, China","2014.0","Export","3.0","0.74","1177.09","0.05"
"Albania","Honduras","2014.0","Export","","","",""
"Albania","Croatia","2014.0","Export","4.0","0.99","3251.58","0.13"
"Albania","Haiti","2014.0","Export","","","",""
"Albania","Hungary","2014.0","Export","2.0","0.5","2212.66","0.09"
"Albania","Indonesia","2014.0","Export","1.0","0.25","402.12","0.02"
"Albania","India","2014.0","Export","1.0","0.25","1183.07","0.05"
"Albania","Ireland","2014.0","Export","1.0","0.25","113.02","0.0"
"Albania","Iran, Islamic Rep.","2014.0","Export","1.0","0.25","27.22","0.0"
"Albania","Iraq","2014.0","Export","1.0","0.25","1757.26","0.07"
"Albania","Iceland","2014.0","Export","1.0","0.25","0.01","0.0"
"Albania","Israel","2014.0","Export","1.0","0.25","112.9","0.0"
"Albania","Italy","2014.0","Export","253.0","62.62","1264463.49","52.02"
"Albania","Jamaica","2014.0","Export","1.0","0.25","3.84","0.0"
"Albania","Jordan","2014.0","Export","1.0","0.25","883.44","0.04"
"Albania","Japan","2014.0","Export","1.0","0.25","1024.54","0.04"
"Albania","Kazakhstan","2014.0","Export","","","",""
"Albania","Kenya","2014.0","Export","1.0","0.25","110.63","0.0"
"Albania","Kyrgyz Republic","2014.0","Export","1.0","0.25","15.88","0.0"
"Albania","Cambodia","2014.0","Export","","","",""
"Albania","St. Kitts and Nevis","2014.0","Export","","","",""
"Albania","Korea, Rep.","2014.0","Export","1.0","0.25","119.86","0.0"
"Albania","Kuwait","2014.0","Export","1.0","0.25","61.76","0.0"
"Albania","Lao PDR","2014.0","Export","","","",""
"Albania","Lebanon","2014.0","Export","1.0","0.25","2278.26","0.09"
"Albania","Liberia","2014.0","Export","1.0","0.25","68.72","0.0"
"Albania","Libya","2014.0","Export","1.0","0.25","15604.43","0.64"
"Albania","Latin America & Caribbean","2014.0","Export","2.0","0.5","3535.7","0.15"
"Albania","Sri Lanka","2014.0","Export","1.0","0.25","51.48","0.0"
"Albania","Lithuania","2014.0","Export","1.0","0.25","100.65","0.0"
"Albania","Luxembourg","2014.0","Export","1.0","0.25","3223.55","0.13"
"Albania","Latvia","2014.0","Export","1.0","0.25","212.26","0.01"
"Albania","Macao","2014.0","Export","1.0","0.25","27.24","0.0"
"Albania","Morocco","2014.0","Export","1.0","0.25","91.76","0.0"
"Albania","Moldova","2014.0","Export","","","",""
"Albania","Madagascar","2014.0","Export","","","",""
"Albania","Middle East & North Africa","2014.0","Export","3.0","0.74","189986.37","7.82"
"Albania","Mexico","2014.0","Export","1.0","0.25","21.84","0.0"
"Albania","Marshall Islands","2014.0","Export","1.0","0.25","197.88","0.01"
"Albania","Macedonia, FYR","2014.0","Export","44.0","10.89","50376.41","2.07"
"Albania","Mali","2014.0","Export","1.0","0.25","2.12","0.0"
"Albania","Malta","2014.0","Export","1.0","0.25","151171.19","6.22"
"Albania","Myanmar","2014.0","Export","1.0","0.25","0.65","0.0"
"Albania","Mongolia","2014.0","Export","","","",""
"Albania","Montenegro","2014.0","Export","61.0","15.1","33449.97","1.38"
"Albania","Mauritania","2014.0","Export","","","",""
"Albania","Mauritius","2014.0","Export","1.0","0.25","138.07","0.01"
"Albania","Malawi","2014.0","Export","","","",""
"Albania","Malaysia","2014.0","Export","1.0","0.25","46.74","0.0"
"Albania","North America","2014.0","Export","2.0","0.5","14902.78","0.61"
"Albania","Namibia","2014.0","Export","","","",""
"Albania","New Caledonia","2014.0","Export","","","",""
"Albania","Niger","2014.0","Export","","","",""
"Albania","Nigeria","2014.0","Export","1.0","0.25","21.87","0.0"
"Albania","Nicaragua","2014.0","Export","","","",""
"Albania","Niue","2014.0","Export","","","",""
"Albania","Netherlands","2014.0","Export","7.0","1.73","21736.78","0.89"
"Albania","Norway","2014.0","Export","1.0","0.25","202.33","0.01"
"Albania","Nepal","2014.0","Export","","","",""
"Albania","New Zealand","2014.0","Export","","","",""
"Albania","Other Asia, nes","2014.0","Export","1.0","0.25","2.72","0.0"
"Albania","Oman","2014.0","Export","","","",""
"Albania","Pakistan","2014.0","Export","1.0","0.25","47.03","0.0"
"Albania","Panama","2014.0","Export","1.0","0.25","2.19","0.0"
"Albania","Peru","2014.0","Export","","","",""
"Albania","Philippines","2014.0","Export","1.0","0.25","2.4","0.0"
"Albania","Papua New Guinea","2014.0","Export","","","",""
"Albania","Poland","2014.0","Export","5.0","1.24","8419.11","0.35"
"Albania","Korea, Dem. Rep.","2014.0","Export","","","",""
"Albania","Portugal","2014.0","Export","1.0","0.25","90.85","0.0"
"Albania","Paraguay","2014.0","Export","","","",""
"Albania","Qatar","2014.0","Export","1.0","0.25","132.33","0.01"
"Albania","Romania","2014.0","Export","4.0","0.99","8365.39","0.34"
"Albania","Russian Federation","2014.0","Export","5.0","1.24","4341.18","0.18"
"Albania","South Asia","2014.0","Export","1.0","0.25","1306.67","0.05"
"Albania","Saudi Arabia","2014.0","Export","1.0","0.25","3679.34","0.15"
"Albania","Senegal","2014.0","Export","1.0","0.25","43.12","0.0"
"Albania","Serbia, FR(Serbia/Montenegro)","2014.0","Export","144.0","35.64","193712.17","7.97"
"Albania","Singapore","2014.0","Export","1.0","0.25","362.18","0.01"
"Albania","Sierra Leone","2014.0","Export","1.0","0.25","8.04","0.0"
"Albania","El Salvador","2014.0","Export","","","",""
"Albania","San Marino","2014.0","Export","","","",""
"Albania","Sub-Saharan Africa","2014.0","Export","1.0","0.25","1216.76","0.05"
"Albania","Sudan","2014.0","Export","","","",""
"Albania","Suriname","2014.0","Export","","","",""
"Albania","Slovak Republic","2014.0","Export","2.0","0.5","6007.06","0.25"
"Albania","Slovenia","2014.0","Export","1.0","0.25","1561.27","0.06"
"Albania","Sweden","2014.0","Export","1.0","0.25","1129.67","0.05"
"Albania","Swaziland","2014.0","Export","1.0","0.25","113.61","0.0"
"Albania","Seychelles","2014.0","Export","","","",""
"Albania","Syrian Arab Republic","2014.0","Export","1.0","0.25","22.52","0.0"
"Albania","Turks and Caicos Isl.","2014.0","Export","","","",""
"Albania","Chad","2014.0","Export","1.0","0.25","1.23","0.0"
"Albania","Togo","2014.0","Export","1.0","0.25","26.35","0.0"
"Albania","Thailand","2014.0","Export","1.0","0.25","142.89","0.01"
"Albania","Tajikistan","2014.0","Export","","","",""
"Albania","Tokelau","2014.0","Export","","","",""
"Albania","Turkmenistan","2014.0","Export","1.0","0.25","234.34","0.01"
"Albania","Tonga","2014.0","Export","","","",""
"Albania","Trinidad and Tobago","2014.0","Export","","","",""
"Albania","Tunisia","2014.0","Export","1.0","0.25","1786.0","0.07"
"Albania","Turkey","2014.0","Export","3.0","0.74","95936.39","3.95"
"Albania","Tuvalu","2014.0","Export","","","",""
"Albania","Tanzania","2014.0","Export","","","",""
"Albania","Uganda","2014.0","Export","","","",""
"Albania","Ukraine","2014.0","Export","1.0","0.25","176.68","0.01"
"Albania","Unspecified","2014.0","Export","1.0","0.25","267.87","0.01"
"Albania","Uruguay","2014.0","Export","1.0","0.25","0.0","0.0"
"Albania","United States","2014.0","Export","2.0","0.5","13907.82","0.57"
"Albania","Uzbekistan","2014.0","Export","","","",""
"Albania","Venezuela","2014.0","Export","","","",""
"Albania","British Virgin Islands","2014.0","Export","1.0","0.25","14.01","0.0"
"Albania","Vietnam","2014.0","Export","","","",""
"Albania"," World","2014.0","Export","404.0","100.0","2430723.64","100.0"
"Albania","Wallis and Futura Isl.","2014.0","Export","","","",""
"Albania","Yemen","2014.0","Export","1.0","0.25","6.17","0.0"
"Albania","South Africa","2014.0","Export","1.0","0.25","59.32","0.0"
