"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Algeria","Afghanistan","2014.0","Export","","","",""
"Algeria","Angola","2014.0","Export","20.0","2.35","840.87","0.0"
"Algeria","Albania","2014.0","Export","2.0","0.23","12904.36","0.02"
"Algeria","Andorra","2014.0","Export","","","",""
"Algeria","United Arab Emirates","2014.0","Export","85.0","9.99","6361.31","0.01"
"Algeria","Argentina","2014.0","Export","","","",""
"Algeria","Armenia","2014.0","Export","","","",""
"Algeria","Antigua and Barbuda","2014.0","Export","","","",""
"Algeria","Australia","2014.0","Export","4.0","0.47","1563.66","0.0"
"Algeria","Austria","2014.0","Export","5.0","0.59","8.44","0.0"
"Algeria","Azerbaijan","2014.0","Export","1.0","0.12","76.5","0.0"
"Algeria","Burundi","2014.0","Export","1.0","0.12","0.13","0.0"
"Algeria","Belgium","2014.0","Export","40.0","4.7","1874681.5","2.96"
"Algeria","Benin","2014.0","Export","11.0","1.29","1417.23","0.0"
"Algeria","Burkina Faso","2014.0","Export","22.0","2.59","43.44","0.0"
"Algeria","Bangladesh","2014.0","Export","1.0","0.12","112.25","0.0"
"Algeria","Bulgaria","2014.0","Export","2.0","0.23","128.41","0.0"
"Algeria","Bahrain","2014.0","Export","1.0","0.12","26.39","0.0"
"Algeria","Bahamas, The","2014.0","Export","1.0","0.12","18351.21","0.03"
"Algeria","Bosnia and Herzegovina","2014.0","Export","","","",""
"Algeria","Belarus","2014.0","Export","1.0","0.12","23789.1","0.04"
"Algeria","Belize","2014.0","Export","1.0","0.12","53.6","0.0"
"Algeria","Bermuda","2014.0","Export","","","",""
"Algeria","Bolivia","2014.0","Export","","","",""
"Algeria","Brazil","2014.0","Export","9.0","1.06","2787712.92","4.41"
"Algeria","Brunei","2014.0","Export","","","",""
"Algeria","Bhutan","2014.0","Export","","","",""
"Algeria","Botswana","2014.0","Export","","","",""
"Algeria","Canada","2014.0","Export","87.0","10.22","1555318.61","2.46"
"Algeria","Switzerland","2014.0","Export","23.0","2.7","45148.96","0.07"
"Algeria","Chile","2014.0","Export","2.0","0.23","290.65","0.0"
"Algeria","China","2014.0","Export","92.0","10.81","1918629.91","3.03"
"Algeria","Cote d'Ivoire","2014.0","Export","26.0","3.06","33115.67","0.05"
"Algeria","Cameroon","2014.0","Export","37.0","4.35","374.32","0.0"
"Algeria","Congo, Rep.","2014.0","Export","9.0","1.06","73.02","0.0"
"Algeria","Colombia","2014.0","Export","1.0","0.12","43845.23","0.07"
"Algeria","Comoros","2014.0","Export","4.0","0.47","75.02","0.0"
"Algeria","Cape Verde","2014.0","Export","1.0","0.12","11.94","0.0"
"Algeria","Costa Rica","2014.0","Export","","","",""
"Algeria","Cuba","2014.0","Export","2.0","0.23","206946.02","0.33"
"Algeria","Curaçao","2014.0","Export","","","",""
"Algeria","Cyprus","2014.0","Export","2.0","0.23","15369.08","0.02"
"Algeria","Czech Republic","2014.0","Export","4.0","0.47","299.12","0.0"
"Algeria","Germany","2014.0","Export","106.0","12.46","365023.04","0.58"
"Algeria","Djibouti","2014.0","Export","1.0","0.12","10.32","0.0"
"Algeria","Dominica","2014.0","Export","","","",""
"Algeria","Denmark","2014.0","Export","7.0","0.82","4454.19","0.01"
"Algeria","Dominican Republic","2014.0","Export","","","",""
"Algeria","East Asia & Pacific","2014.0","Export","121.0","14.22","5663073.76","8.96"
"Algeria","Europe & Central Asia","2014.0","Export","517.0","60.75","43195302.14","68.32"
"Algeria","Ecuador","2014.0","Export","2.0","0.23","0.17","0.0"
"Algeria","Egypt, Arab Rep.","2014.0","Export","41.0","4.82","482224.39","0.76"
"Algeria","Spain","2014.0","Export","88.0","10.34","9583542.12","15.16"
"Algeria","Estonia","2014.0","Export","","","",""
"Algeria","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.12","6.41","0.0"
"Algeria","Finland","2014.0","Export","2.0","0.23","67226.89","0.11"
"Algeria","Fiji","2014.0","Export","","","",""
"Algeria","France","2014.0","Export","276.0","32.43","6984471.33","11.05"
"Algeria","Gabon","2014.0","Export","5.0","0.59","21.13","0.0"
"Algeria","United Kingdom","2014.0","Export","106.0","12.46","5552018.74","8.78"
"Algeria","Georgia","2014.0","Export","","","",""
"Algeria","Ghana","2014.0","Export","7.0","0.82","1351.5","0.0"
"Algeria","Guinea","2014.0","Export","15.0","1.76","8268.83","0.01"
"Algeria","Gambia, The","2014.0","Export","3.0","0.35","350.67","0.0"
"Algeria","Equatorial Guinea","2014.0","Export","3.0","0.35","120.01","0.0"
