"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Andorra","Aruba","2014.0","Export","1.0","0.1","0.5","0.0"
"Andorra","Afghanistan","2014.0","Export","1.0","0.1","0.81","0.0"
"Andorra","Albania","2014.0","Export","2.0","0.19","4.04","0.0"
"Andorra","United Arab Emirates","2014.0","Export","22.0","2.13","122.88","0.13"
"Andorra","Argentina","2014.0","Export","15.0","1.45","49.99","0.05"
"Andorra","Armenia","2014.0","Export","2.0","0.19","0.08","0.0"
"Andorra","Fr. So. Ant. Tr","2014.0","Export","1.0","0.1","0.05","0.0"
"Andorra","Australia","2014.0","Export","43.0","4.17","96.22","0.1"
"Andorra","Austria","2014.0","Export","25.0","2.42","90.61","0.1"
"Andorra","Azerbaijan","2014.0","Export","18.0","1.74","75.87","0.08"
"Andorra","Burundi","2014.0","Export","","","",""
"Andorra","Belgium","2014.0","Export","53.0","5.14","1031.01","1.09"
"Andorra","Burkina Faso","2014.0","Export","1.0","0.1","0.02","0.0"
"Andorra","Bangladesh","2014.0","Export","","","",""
"Andorra","Bulgaria","2014.0","Export","15.0","1.45","16.06","0.02"
"Andorra","Bahamas, The","2014.0","Export","9.0","0.87","1.16","0.0"
"Andorra","Bosnia and Herzegovina","2014.0","Export","1.0","0.1","0.01","0.0"
"Andorra","Belarus","2014.0","Export","3.0","0.29","0.54","0.0"
"Andorra","Belize","2014.0","Export","1.0","0.1","0.03","0.0"
"Andorra","Brazil","2014.0","Export","39.0","3.78","74.73","0.08"
"Andorra","Barbados","2014.0","Export","1.0","0.1","0.02","0.0"
"Andorra","Brunei","2014.0","Export","1.0","0.1","0.34","0.0"
"Andorra","Bhutan","2014.0","Export","","","",""
"Andorra","Botswana","2014.0","Export","","","",""
"Andorra","Canada","2014.0","Export","15.0","1.45","27.05","0.03"
"Andorra","Switzerland","2014.0","Export","65.0","6.3","1542.85","1.63"
"Andorra","Chile","2014.0","Export","19.0","1.84","270.36","0.29"
"Andorra","China","2014.0","Export","13.0","1.26","629.31","0.66"
"Andorra","Cote d'Ivoire","2014.0","Export","","","",""
"Andorra","Cameroon","2014.0","Export","","","",""
"Andorra","Colombia","2014.0","Export","7.0","0.68","121.15","0.13"
"Andorra","Comoros","2014.0","Export","1.0","0.1","0.02","0.0"
"Andorra","Costa Rica","2014.0","Export","2.0","0.19","57.79","0.06"
"Andorra","Cuba","2014.0","Export","2.0","0.19","0.28","0.0"
"Andorra","Curaçao","2014.0","Export","2.0","0.19","155.95","0.16"
"Andorra","Cyprus","2014.0","Export","4.0","0.39","1.41","0.0"
"Andorra","Czech Republic","2014.0","Export","13.0","1.26","40.88","0.04"
"Andorra","Germany","2014.0","Export","121.0","11.72","1310.04","1.38"
"Andorra","Dominica","2014.0","Export","","","",""
"Andorra","Denmark","2014.0","Export","29.0","2.81","19.95","0.02"
"Andorra","Dominican Republic","2014.0","Export","","","",""
"Andorra","Algeria","2014.0","Export","","","",""
"Andorra","East Asia & Pacific","2014.0","Export","80.0","7.75","3949.24","4.17"
"Andorra","Europe & Central Asia","2014.0","Export","1018.0","98.64","87370.06","92.18"
"Andorra","Ecuador","2014.0","Export","","","",""
"Andorra","Egypt, Arab Rep.","2014.0","Export","3.0","0.29","33.16","0.04"
"Andorra","Eritrea","2014.0","Export","","","",""
"Andorra","Spain","2014.0","Export","889.0","86.14","55900.72","58.98"
"Andorra","Estonia","2014.0","Export","5.0","0.48","34.37","0.04"
"Andorra","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Andorra","Finland","2014.0","Export","12.0","1.16","5.06","0.01"
"Andorra","Fiji","2014.0","Export","","","",""
"Andorra","Falkland Island","2014.0","Export","","","",""
"Andorra","France","2014.0","Export","305.0","29.55","16927.4","17.86"
"Andorra","Faeroe Islands","2014.0","Export","1.0","0.1","0.12","0.0"
"Andorra","Gabon","2014.0","Export","","","",""
"Andorra","United Kingdom","2014.0","Export","97.0","9.4","924.66","0.98"
"Andorra","Georgia","2014.0","Export","1.0","0.1","5.54","0.01"
"Andorra","Gibraltar","2014.0","Export","2.0","0.19","6.29","0.01"
"Andorra","Equatorial Guinea","2014.0","Export","2.0","0.19","142.09","0.15"
"Andorra","Greece","2014.0","Export","19.0","1.84","15.94","0.02"
"Andorra","Guatemala","2014.0","Export","3.0","0.29","151.29","0.16"
"Andorra","Guyana","2014.0","Export","1.0","0.1","41.84","0.04"
"Andorra","Hong Kong, China","2014.0","Export","41.0","3.97","2931.96","3.09"
"Andorra","Honduras","2014.0","Export","2.0","0.19","18.1","0.02"
"Andorra","Croatia","2014.0","Export","7.0","0.68","3.08","0.0"
"Andorra","Hungary","2014.0","Export","8.0","0.78","6.1","0.01"
"Andorra","Indonesia","2014.0","Export","1.0","0.1","102.78","0.11"
"Andorra","India","2014.0","Export","2.0","0.19","0.45","0.0"
"Andorra","Ireland","2014.0","Export","25.0","2.42","20.68","0.02"
"Andorra","Iran, Islamic Rep.","2014.0","Export","3.0","0.29","132.31","0.14"
"Andorra","Iraq","2014.0","Export","1.0","0.1","0.26","0.0"
"Andorra","Iceland","2014.0","Export","3.0","0.29","0.66","0.0"
"Andorra","Israel","2014.0","Export","15.0","1.45","41.58","0.04"
"Andorra","Italy","2014.0","Export","106.0","10.27","1755.49","1.85"
"Andorra","Jamaica","2014.0","Export","1.0","0.1","0.21","0.0"
"Andorra","Jordan","2014.0","Export","1.0","0.1","0.26","0.0"
"Andorra","Japan","2014.0","Export","16.0","1.55","19.58","0.02"
"Andorra","Kazakhstan","2014.0","Export","8.0","0.78","8.51","0.01"
"Andorra","Kenya","2014.0","Export","","","",""
"Andorra","Kyrgyz Republic","2014.0","Export","2.0","0.19","4.38","0.0"
"Andorra","Cambodia","2014.0","Export","1.0","0.1","95.8","0.1"
"Andorra","St. Kitts and Nevis","2014.0","Export","1.0","0.1","0.04","0.0"
