"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Argentina","Aruba","2014.0","Export","45.0","1.3","1403.83","0.0"
"Argentina","Afghanistan","2014.0","Export","6.0","0.17","1228.53","0.0"
"Argentina","Angola","2014.0","Export","197.0","5.7","126612.78","0.19"
"Argentina","Albania","2014.0","Export","17.0","0.49","2448.01","0.0"
"Argentina","Andorra","2014.0","Export","","","",""
"Argentina","United Arab Emirates","2014.0","Export","361.0","10.44","200136.26","0.29"
"Argentina","Argentina","2014.0","Export","","","",""
"Argentina","Armenia","2014.0","Export","24.0","0.69","3685.46","0.01"
"Argentina","American Samoa","2014.0","Export","","","",""
"Argentina","Antigua and Barbuda","2014.0","Export","8.0","0.23","548.82","0.0"
"Argentina","Australia","2014.0","Export","305.0","8.82","708853.45","1.04"
"Argentina","Austria","2014.0","Export","62.0","1.79","14054.0","0.02"
"Argentina","Azerbaijan","2014.0","Export","38.0","1.1","6019.21","0.01"
"Argentina","Belgium","2014.0","Export","266.0","7.69","298210.26","0.44"
"Argentina","Benin","2014.0","Export","13.0","0.38","8608.72","0.01"
"Argentina","Burkina Faso","2014.0","Export","3.0","0.09","506.01","0.0"
"Argentina","Bangladesh","2014.0","Export","76.0","2.2","358983.72","0.53"
"Argentina","Bulgaria","2014.0","Export","83.0","2.4","104654.41","0.15"
"Argentina","Bahrain","2014.0","Export","47.0","1.36","4183.07","0.01"
"Argentina","Bahamas, The","2014.0","Export","21.0","0.61","180223.25","0.26"
"Argentina","Bosnia and Herzegovina","2014.0","Export","11.0","0.32","3843.54","0.01"
"Argentina","Belarus","2014.0","Export","25.0","0.72","9322.4","0.01"
"Argentina","Belize","2014.0","Export","24.0","0.69","795.63","0.0"
"Argentina","Bolivia","2014.0","Export","1753.0","50.71","791876.75","1.16"
"Argentina","Brazil","2014.0","Export","1811.0","52.39","13881338.15","20.31"
"Argentina","Barbados","2014.0","Export","32.0","0.93","1503.55","0.0"
"Argentina","Brunei","2014.0","Export","3.0","0.09","5698.56","0.01"
"Argentina","Bhutan","2014.0","Export","","","",""
"Argentina","Botswana","2014.0","Export","5.0","0.14","64.34","0.0"
"Argentina","Central African Republic","2014.0","Export","1.0","0.03","219.71","0.0"
"Argentina","Canada","2014.0","Export","427.0","12.35","1656843.17","2.42"
"Argentina","Switzerland","2014.0","Export","167.0","4.83","545839.64","0.8"
"Argentina","Chile","2014.0","Export","2097.0","60.66","2791879.25","4.09"
"Argentina","China","2014.0","Export","359.0","10.38","4461618.54","6.53"
"Argentina","Cote d'Ivoire","2014.0","Export","21.0","0.61","36579.25","0.05"
"Argentina","Cameroon","2014.0","Export","36.0","1.04","35580.25","0.05"
"Argentina","Congo, Rep.","2014.0","Export","31.0","0.9","42041.89","0.06"
"Argentina","Colombia","2014.0","Export","1062.0","30.72","860315.51","1.26"
"Argentina","Comoros","2014.0","Export","35.0","1.01","5442.78","0.01"
"Argentina","Cape Verde","2014.0","Export","21.0","0.61","2461.05","0.0"
"Argentina","Costa Rica","2014.0","Export","611.0","17.67","51258.85","0.07"
