"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Armenia","Afghanistan","2014.0","Export","1.0","0.08","251.7","0.02"
"Armenia","Angola","2014.0","Export","1.0","0.08","13.45","0.0"
"Armenia","Anguila","2014.0","Export","","","",""
"Armenia","Albania","2014.0","Export","5.0","0.39","1.48","0.0"
"Armenia","Andorra","2014.0","Export","2.0","0.16","4.6","0.0"
"Armenia","United Arab Emirates","2014.0","Export","101.0","7.9","12018.34","0.81"
"Armenia","Argentina","2014.0","Export","1.0","0.08","0.3","0.0"
"Armenia","American Samoa","2014.0","Export","","","",""
"Armenia","Antarctica","2014.0","Export","","","",""
"Armenia","Australia","2014.0","Export","30.0","2.35","151.08","0.01"
"Armenia","Austria","2014.0","Export","20.0","1.56","1430.54","0.1"
"Armenia","Azerbaijan","2014.0","Export","","","",""
"Armenia","Burundi","2014.0","Export","","","",""
"Armenia","Belgium","2014.0","Export","154.0","12.05","62405.06","4.19"
"Armenia","Burkina Faso","2014.0","Export","","","",""
"Armenia","Bangladesh","2014.0","Export","","","",""
"Armenia","Bulgaria","2014.0","Export","27.0","2.11","85575.16","5.74"
"Armenia","Bahrain","2014.0","Export","1.0","0.08","0.0","0.0"
"Armenia","Bahamas, The","2014.0","Export","","","",""
"Armenia","Bosnia and Herzegovina","2014.0","Export","","","",""
"Armenia","Belarus","2014.0","Export","46.0","3.6","9023.98","0.61"
"Armenia","Belize","2014.0","Export","8.0","0.63","6422.04","0.43"
"Armenia","Bermuda","2014.0","Export","","","",""
"Armenia","Bolivia","2014.0","Export","","","",""
"Armenia","Brazil","2014.0","Export","2.0","0.16","1.38","0.0"
"Armenia","Botswana","2014.0","Export","","","",""
"Armenia","Canada","2014.0","Export","49.0","3.83","93281.4","6.26"
"Armenia","Switzerland","2014.0","Export","62.0","4.85","13963.14","0.94"
"Armenia","Chile","2014.0","Export","1.0","0.08","0.0","0.0"
"Armenia","China","2014.0","Export","29.0","2.27","170953.74","11.47"
"Armenia","Cote d'Ivoire","2014.0","Export","","","",""
"Armenia","Cameroon","2014.0","Export","","","",""
"Armenia","Cook Islands","2014.0","Export","","","",""
"Armenia","Colombia","2014.0","Export","","","",""
