"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Aruba","Brazil","2014.0","Export","5.0","0.47","53.26","0.05"
"Aruba","Switzerland","2014.0","Export","3.0","0.28","88.86","0.08"
"Aruba","China","2014.0","Export","6.0","0.56","652.39","0.56"
"Aruba","Colombia","2014.0","Export","60.0","5.63","35964.38","30.95"
"Aruba","Curaçao","2014.0","Export","249.0","23.38","25148.78","21.64"
"Aruba","Dominican Republic","2014.0","Export","13.0","1.22","165.34","0.14"
"Aruba","East Asia & Pacific","2014.0","Export","8.0","0.75","1502.89","1.29"
"Aruba","Europe & Central Asia","2014.0","Export","149.0","13.99","8476.77","7.29"
"Aruba","Spain","2014.0","Export","39.0","3.66","437.34","0.38"
"Aruba","France","2014.0","Export","33.0","3.1","786.69","0.68"
"Aruba","United Kingdom","2014.0","Export","3.0","0.28","122.5","0.11"
"Aruba","Japan","2014.0","Export","","","",""
"Aruba","Korea, Rep.","2014.0","Export","3.0","0.28","309.46","0.27"
"Aruba","Latin America & Caribbean","2014.0","Export","174.0","16.34","58129.05","50.02"
"Aruba","Mexico","2014.0","Export","3.0","0.28","2872.71","2.47"
"Aruba","North America","2014.0","Export","239.0","22.44","18289.85","15.74"
"Aruba","Netherlands","2014.0","Export","89.0","8.36","7041.38","6.06"
"Aruba","Other Asia, nes","2014.0","Export","6.0","0.56","1161.27","1.0"
"Aruba","Panama","2014.0","Export","23.0","2.16","1770.6","1.52"
"Aruba","Suriname","2014.0","Export","27.0","2.54","2412.23","2.08"
"Aruba","Thailand","2014.0","Export","1.0","0.09","541.03","0.47"
"Aruba","Trinidad and Tobago","2014.0","Export","3.0","0.28","40.02","0.03"
"Aruba","Unspecified","2014.0","Export","817.0","76.71","3505.65","3.02"
"Aruba","Uruguay","2014.0","Export","1.0","0.09","480.28","0.41"
"Aruba","United States","2014.0","Export","239.0","22.44","18289.85","15.74"
"Aruba","Venezuela","2014.0","Export","90.0","8.45","14370.23","12.37"
"Aruba"," World","2014.0","Export","1065.0","100.0","116214.26","100.0"
