"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Australia","Afghanistan","2014.0","Export","41.0","0.98","6363.32","0.0"
"Australia","Angola","2014.0","Export","80.0","1.91","10471.59","0.0"
"Australia","Anguila","2014.0","Export","4.0","0.1","10.94","0.0"
"Australia","Albania","2014.0","Export","21.0","0.5","2092.67","0.0"
"Australia","United Arab Emirates","2014.0","Export","1351.0","32.26","2631453.36","1.09"
"Australia","Argentina","2014.0","Export","297.0","7.09","120744.45","0.05"
"Australia","Armenia","2014.0","Export","45.0","1.07","1306.26","0.0"
"Australia","American Samoa","2014.0","Export","94.0","2.24","6330.71","0.0"
"Australia","Antarctica","2014.0","Export","52.0","1.24","6338.61","0.0"
"Australia","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Australia","Antigua and Barbuda","2014.0","Export","10.0","0.24","262.4","0.0"
"Australia","Australia","2014.0","Export","","","",""
"Australia","Austria","2014.0","Export","361.0","8.62","61321.59","0.03"
"Australia","Azerbaijan","2014.0","Export","59.0","1.41","10065.51","0.0"
"Australia","Burundi","2014.0","Export","9.0","0.21","1931.89","0.0"
"Australia","Belgium","2014.0","Export","716.0","17.1","947268.47","0.39"
"Australia","Benin","2014.0","Export","35.0","0.84","1503.6","0.0"
"Australia","Burkina Faso","2014.0","Export","184.0","4.39","6448.91","0.0"
"Australia","Bangladesh","2014.0","Export","253.0","6.04","494882.96","0.21"
"Australia","Bulgaria","2014.0","Export","146.0","3.49","145310.68","0.06"
"Australia","Bahrain","2014.0","Export","393.0","9.38","656668.92","0.27"
"Australia","Bahamas, The","2014.0","Export","16.0","0.38","3241.55","0.0"
"Australia","Bosnia and Herzegovina","2014.0","Export","11.0","0.26","297.54","0.0"
"Australia","Belarus","2014.0","Export","15.0","0.36","439.03","0.0"
"Australia","Belize","2014.0","Export","18.0","0.43","530.46","0.0"
"Australia","Bermuda","2014.0","Export","20.0","0.48","518.43","0.0"
"Australia","Bolivia","2014.0","Export","32.0","0.76","639.6","0.0"
"Australia","Brazil","2014.0","Export","510.0","12.18","939393.61","0.39"
"Australia","Barbados","2014.0","Export","20.0","0.48","2493.41","0.0"
"Australia","Brunei","2014.0","Export","385.0","9.19","38600.1","0.02"
"Australia","Bhutan","2014.0","Export","12.0","0.29","115.48","0.0"
"Australia","Bunkers","2014.0","Export","608.0","14.52","1608950.71","0.67"
"Australia","Botswana","2014.0","Export","58.0","1.38","2661.79","0.0"
"Australia","Central African Republic","2014.0","Export","3.0","0.07","575.78","0.0"
"Australia","Canada","2014.0","Export","1175.0","28.06","1106908.45","0.46"
"Australia","Cocos (Keeling) Islands","2014.0","Export","211.0","5.04","6272.24","0.0"
"Australia","Switzerland","2014.0","Export","537.0","12.82","492016.34","0.2"
"Australia","Chile","2014.0","Export","617.0","14.73","231305.12","0.1"
"Australia","China","2014.0","Export","2024.0","48.33","81413612.52","33.86"
"Australia","Cote d'Ivoire","2014.0","Export","208.0","4.97","6315.09","0.0"
"Australia","Cameroon","2014.0","Export","43.0","1.03","1876.65","0.0"
"Australia","Congo, Rep.","2014.0","Export","26.0","0.62","1883.39","0.0"
"Australia","Cook Islands","2014.0","Export","193.0","4.61","6818.41","0.0"
"Australia","Colombia","2014.0","Export","210.0","5.01","29518.51","0.01"
"Australia","Comoros","2014.0","Export","5.0","0.12","294.56","0.0"
"Australia","Cape Verde","2014.0","Export","1.0","0.02","4.42","0.0"
"Australia","Costa Rica","2014.0","Export","70.0","1.67","2881.81","0.0"
"Australia","Cuba","2014.0","Export","31.0","0.74","4230.22","0.0"
"Australia","Curaçao","2014.0","Export","24.0","0.57","1053.85","0.0"
"Australia","Christmas Island","2014.0","Export","722.0","17.24","39056.98","0.02"
"Australia","Cayman Islands","2014.0","Export","7.0","0.17","260.51","0.0"
"Australia","Cyprus","2014.0","Export","92.0","2.2","2911.99","0.0"
"Australia","Czech Republic","2014.0","Export","290.0","6.92","109090.1","0.05"
"Australia","Germany","2014.0","Export","1391.0","33.21","1225253.71","0.51"
"Australia","Djibouti","2014.0","Export","33.0","0.79","2383.63","0.0"
"Australia","Dominica","2014.0","Export","3.0","0.07","99.56","0.0"
"Australia","Denmark","2014.0","Export","465.0","11.1","101476.99","0.04"
"Australia","Dominican Republic","2014.0","Export","68.0","1.62","8142.83","0.0"
"Australia","Algeria","2014.0","Export","26.0","0.62","44256.59","0.02"
"Australia","East Asia & Pacific","2014.0","Export","4094.0","97.76","181712193.47","75.57"
"Australia","Europe & Central Asia","2014.0","Export","2637.0","62.97","12305292.75","5.12"
"Australia","Ecuador","2014.0","Export","93.0","2.22","16923.76","0.01"
"Australia","Egypt, Arab Rep.","2014.0","Export","406.0","9.69","427511.02","0.18"
"Australia","Eritrea","2014.0","Export","72.0","1.72","1790.6","0.0"
"Australia","Western Sahara","2014.0","Export","2.0","0.05","3.39","0.0"
"Australia","Spain","2014.0","Export","563.0","13.44","512620.55","0.21"
"Australia","Estonia","2014.0","Export","60.0","1.43","4418.98","0.0"
"Australia","Ethiopia(excludes Eritrea)","2014.0","Export","63.0","1.5","3453.09","0.0"
"Australia","Finland","2014.0","Export","350.0","8.36","42009.48","0.02"
"Australia","Fiji","2014.0","Export","1899.0","45.34","282029.53","0.12"
"Australia","Falkland Island","2014.0","Export","10.0","0.24","2012.36","0.0"
"Australia","France","2014.0","Export","936.0","22.35","1033184.85","0.43"
"Australia","Micronesia, Fed. Sts.","2014.0","Export","82.0","1.96","5489.11","0.0"
"Australia","Gabon","2014.0","Export","64.0","1.53","4298.6","0.0"
"Australia","United Kingdom","2014.0","Export","1745.0","41.67","3312569.54","1.38"
"Australia","Georgia","2014.0","Export","57.0","1.36","6856.6","0.0"
"Australia","Ghana","2014.0","Export","567.0","13.54","47928.47","0.02"
"Australia","Gibraltar","2014.0","Export","9.0","0.21","215.39","0.0"
"Australia","Guinea","2014.0","Export","97.0","2.32","2237.27","0.0"
"Australia","Gambia, The","2014.0","Export","","","",""
"Australia","Guinea-Bissau","2014.0","Export","","","",""
"Australia","Equatorial Guinea","2014.0","Export","36.0","0.86","935.89","0.0"
"Australia","Greece","2014.0","Export","230.0","5.49","11439.41","0.0"
"Australia","Grenada","2014.0","Export","2.0","0.05","17.85","0.0"
"Australia","Guatemala","2014.0","Export","84.0","2.01","6276.0","0.0"
"Australia","Guam","2014.0","Export","133.0","3.18","10148.14","0.0"
"Australia","Guyana","2014.0","Export","69.0","1.65","8709.62","0.0"
"Australia","Hong Kong, China","2014.0","Export","1840.0","43.94","2544694.16","1.06"
"Australia","Honduras","2014.0","Export","14.0","0.33","1746.36","0.0"
"Australia","Croatia","2014.0","Export","72.0","1.72","2567.75","0.0"
"Australia","Haiti","2014.0","Export","6.0","0.14","139.1","0.0"
"Australia","Hungary","2014.0","Export","142.0","3.39","15766.43","0.01"
"Australia","Indonesia","2014.0","Export","1710.0","40.83","4533816.8","1.89"
"Australia","India","2014.0","Export","1165.0","27.82","7995340.13","3.33"
"Australia","British Indian Ocean Ter.","2014.0","Export","","","",""
"Australia","Ireland","2014.0","Export","317.0","7.57","46114.52","0.02"
"Australia","Iran, Islamic Rep.","2014.0","Export","123.0","2.94","324691.75","0.14"
"Australia","Iraq","2014.0","Export","122.0","2.91","255658.15","0.11"
"Australia","Iceland","2014.0","Export","57.0","1.36","3468.59","0.0"
"Australia","Israel","2014.0","Export","405.0","9.67","203650.57","0.08"
"Australia","Italy","2014.0","Export","893.0","21.32","579306.62","0.24"
"Australia","Jamaica","2014.0","Export","53.0","1.27","11402.34","0.0"
"Australia","Jordan","2014.0","Export","180.0","4.3","196268.13","0.08"
"Australia","Japan","2014.0","Export","1565.0","37.37","43135786.66","17.94"
"Australia","Kazakhstan","2014.0","Export","165.0","3.94","17890.85","0.01"
"Australia","Kenya","2014.0","Export","282.0","6.73","78028.42","0.03"
"Australia","Kyrgyz Republic","2014.0","Export","59.0","1.41","3381.43","0.0"
"Australia","Cambodia","2014.0","Export","240.0","5.73","38814.32","0.02"
"Australia","Kiribati","2014.0","Export","313.0","7.47","19206.1","0.01"
"Australia","St. Kitts and Nevis","2014.0","Export","7.0","0.17","356.59","0.0"
"Australia","Korea, Rep.","2014.0","Export","1351.0","32.26","17891713.8","7.44"
"Australia","Kuwait","2014.0","Export","402.0","9.6","558594.68","0.23"
"Australia","Lao PDR","2014.0","Export","425.0","10.15","32247.11","0.01"
"Australia","Lebanon","2014.0","Export","333.0","7.95","38841.85","0.02"
"Australia","Liberia","2014.0","Export","46.0","1.1","12742.28","0.01"
"Australia","Libya","2014.0","Export","64.0","1.53","21197.54","0.01"
"Australia","St. Lucia","2014.0","Export","11.0","0.26","580.11","0.0"
"Australia","Latin America & Caribbean","2014.0","Export","1234.0","29.47","1998921.84","0.83"
"Australia","Sri Lanka","2014.0","Export","523.0","12.49","216907.94","0.09"
"Australia","Lesotho","2014.0","Export","","","",""
"Australia","Lithuania","2014.0","Export","108.0","2.58","3983.86","0.0"
"Australia","Luxembourg","2014.0","Export","40.0","0.96","741.28","0.0"
"Australia","Latvia","2014.0","Export","77.0","1.84","7469.38","0.0"
"Australia","Macao","2014.0","Export","237.0","5.66","29627.2","0.01"
"Australia","Morocco","2014.0","Export","69.0","1.65","41526.97","0.02"
"Australia","Moldova","2014.0","Export","6.0","0.14","317.37","0.0"
"Australia","Madagascar","2014.0","Export","84.0","2.01","14100.86","0.01"
"Australia","Maldives","2014.0","Export","294.0","7.02","32355.93","0.01"
"Australia","Middle East & North Africa","2014.0","Export","1928.0","46.04","8514764.26","3.54"
"Australia","Mexico","2014.0","Export","402.0","9.6","458315.91","0.19"
"Australia","Marshall Islands","2014.0","Export","58.0","1.38","3817.52","0.0"
"Australia","Macedonia, FYR","2014.0","Export","63.0","1.5","459.4","0.0"
"Australia","Mali","2014.0","Export","289.0","6.9","13261.81","0.01"
"Australia","Malta","2014.0","Export","89.0","2.13","4304.37","0.0"
"Australia","Myanmar","2014.0","Export","253.0","6.04","118863.61","0.05"
"Australia","Mongolia","2014.0","Export","226.0","5.4","9187.08","0.0"
"Australia","Northern Mariana Islands","2014.0","Export","23.0","0.55","1043.42","0.0"
"Australia","Montenegro","2014.0","Export","2.0","0.05","35.4","0.0"
"Australia","Mozambique","2014.0","Export","129.0","3.08","361583.83","0.15"
"Australia","Mauritania","2014.0","Export","139.0","3.32","7830.19","0.0"
"Australia","Montserrat","2014.0","Export","","","",""
"Australia","Mauritius","2014.0","Export","308.0","7.35","99291.65","0.04"
"Australia","Malawi","2014.0","Export","23.0","0.55","11804.82","0.0"
"Australia","Malaysia","2014.0","Export","1902.0","45.42","5431981.96","2.26"
"Australia","North America","2014.0","Export","2519.0","60.15","11050716.6","4.6"
"Australia","Namibia","2014.0","Export","109.0","2.6","18334.68","0.01"
"Australia","New Caledonia","2014.0","Export","1469.0","35.08","280890.02","0.12"
"Australia","Niger","2014.0","Export","7.0","0.17","596.61","0.0"
"Australia","Norfolk Island","2014.0","Export","233.0","5.56","5660.24","0.0"
"Australia","Nigeria","2014.0","Export","204.0","4.87","198002.24","0.08"
"Australia","Nicaragua","2014.0","Export","21.0","0.5","1479.23","0.0"
"Australia","Niue","2014.0","Export","10.0","0.24","150.49","0.0"
"Australia","Netherlands","2014.0","Export","1058.0","25.26","1787465.42","0.74"
"Australia","Norway","2014.0","Export","361.0","8.62","174981.4","0.07"
"Australia","Nepal","2014.0","Export","85.0","2.03","15005.3","0.01"
"Australia","Nauru","2014.0","Export","689.0","16.45","84516.56","0.04"
"Australia","New Zealand","2014.0","Export","3590.0","85.72","7179158.59","2.99"
"Australia","Other Asia, nes","2014.0","Export","1190.0","28.41","6217479.57","2.59"
"Australia","Oman","2014.0","Export","358.0","8.55","334601.57","0.14"
"Australia","Pakistan","2014.0","Export","399.0","9.53","378729.17","0.16"
"Australia","Panama","2014.0","Export","112.0","2.67","38218.51","0.02"
"Australia","Pitcairn","2014.0","Export","2.0","0.05","153.71","0.0"
"Australia","Peru","2014.0","Export","282.0","6.73","51251.05","0.02"
"Australia","Philippines","2014.0","Export","1410.0","33.67","1465012.9","0.61"
"Australia","Palau","2014.0","Export","53.0","1.27","1081.77","0.0"
"Australia","Papua New Guinea","2014.0","Export","2474.0","59.07","1945035.37","0.81"
"Australia","Poland","2014.0","Export","297.0","7.09","282391.06","0.12"
"Australia","Portugal","2014.0","Export","229.0","5.47","16644.63","0.01"
"Australia","Paraguay","2014.0","Export","42.0","1.0","585.13","0.0"
"Australia","French Polynesia","2014.0","Export","583.0","13.92","43399.6","0.02"
"Australia","Qatar","2014.0","Export","434.0","10.36","449600.77","0.19"
"Australia","Romania","2014.0","Export","125.0","2.98","40501.75","0.02"
"Australia","Russian Federation","2014.0","Export","396.0","9.46","476523.15","0.2"
"Australia","Rwanda","2014.0","Export","13.0","0.31","2832.67","0.0"
"Australia","South Asia","2014.0","Export","1594.0","38.06","9139700.23","3.8"
"Australia","Saudi Arabia","2014.0","Export","827.0","19.75","2029900.68","0.84"
"Australia","Senegal","2014.0","Export","245.0","5.85","12348.14","0.01"
"Australia","Serbia, FR(Serbia/Montenegro)","2014.0","Export","25.0","0.6","709.13","0.0"
"Australia","Singapore","2014.0","Export","2309.0","55.13","7609098.94","3.16"
"Australia","Saint Helena","2014.0","Export","17.0","0.41","189.06","0.0"
"Australia","Solomon Islands","2014.0","Export","1043.0","24.9","123519.63","0.05"
"Australia","Sierra Leone","2014.0","Export","95.0","2.27","4674.81","0.0"
"Australia","El Salvador","2014.0","Export","38.0","0.91","22568.64","0.01"
"Australia","Somalia","2014.0","Export","20.0","0.48","185.35","0.0"
"Australia","South Sudan","2014.0","Export","7.0","0.17","72.74","0.0"
"Australia","Sub-Saharan Africa","2014.0","Export","1781.0","42.53","2116258.75","0.88"
"Australia","Sao Tome and Principe","2014.0","Export","","","",""
"Australia","Sudan","2014.0","Export","60.0","1.43","168852.46","0.07"
"Australia","Suriname","2014.0","Export","37.0","0.88","2008.41","0.0"
"Australia","Slovak Republic","2014.0","Export","73.0","1.74","2874.95","0.0"
"Australia","Slovenia","2014.0","Export","71.0","1.7","17277.59","0.01"
"Australia","Sweden","2014.0","Export","583.0","13.92","247717.28","0.1"
"Australia","Swaziland","2014.0","Export","9.0","0.21","241.9","0.0"
"Australia","Seychelles","2014.0","Export","125.0","2.98","5958.65","0.0"
"Australia","Syrian Arab Republic","2014.0","Export","17.0","0.41","2855.26","0.0"
"Australia","Turks and Caicos Isl.","2014.0","Export","2.0","0.05","25.52","0.0"
"Australia","Chad","2014.0","Export","29.0","0.69","1764.43","0.0"
"Australia","Togo","2014.0","Export","8.0","0.19","1006.71","0.0"
