"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Austria","Aruba","2014.0","Export","60.0","1.38","533.13","0.0"
"Austria","Afghanistan","2014.0","Export","200.0","4.6","27876.95","0.02"
"Austria","Angola","2014.0","Export","277.0","6.38","19210.04","0.01"
"Austria","Anguila","2014.0","Export","4.0","0.09","21.3","0.0"
"Austria","Albania","2014.0","Export","1069.0","24.61","61919.82","0.04"
"Austria","Andorra","2014.0","Export","317.0","7.3","8231.4","0.0"
"Austria","United Arab Emirates","2014.0","Export","1688.0","38.86","895393.07","0.53"
"Austria","Argentina","2014.0","Export","716.0","16.48","147680.28","0.09"
"Austria","Armenia","2014.0","Export","740.0","17.04","89090.95","0.05"
"Austria","Antigua and Barbuda","2014.0","Export","37.0","0.85","643.98","0.0"
"Austria","Australia","2014.0","Export","1679.0","38.65","1041439.4","0.61"
"Austria","Azerbaijan","2014.0","Export","1098.0","25.28","150662.4","0.09"
"Austria","Burundi","2014.0","Export","60.0","1.38","72.94","0.0"
"Austria","Belgium","2014.0","Export","2352.0","54.14","2234333.16","1.32"
"Austria","Benin","2014.0","Export","246.0","5.66","17760.69","0.01"
"Austria","Bonaire","2014.0","Export","17.0","0.39","64.04","0.0"
"Austria","Burkina Faso","2014.0","Export","203.0","4.67","1463.82","0.0"
"Austria","Bangladesh","2014.0","Export","356.0","8.2","54414.88","0.03"
"Austria","Bulgaria","2014.0","Export","2588.0","59.58","836709.81","0.49"
"Austria","Bahrain","2014.0","Export","637.0","14.66","29886.4","0.02"
"Austria","Bahamas, The","2014.0","Export","280.0","6.45","15374.5","0.01"
"Austria","Bosnia and Herzegovina","2014.0","Export","2277.0","52.42","455840.86","0.27"
"Austria","Belarus","2014.0","Export","1238.0","28.5","274580.09","0.16"
"Austria","Belize","2014.0","Export","35.0","0.81","4251.73","0.0"
"Austria","Bermuda","2014.0","Export","31.0","0.71","464.08","0.0"
"Austria","Bolivia","2014.0","Export","468.0","10.77","65747.57","0.04"
"Austria","Brazil","2014.0","Export","1399.0","32.21","894392.84","0.53"
"Austria","Barbados","2014.0","Export","47.0","1.08","529.29","0.0"
"Austria","Brunei","2014.0","Export","67.0","1.54","1192.19","0.0"
"Austria","Bhutan","2014.0","Export","145.0","3.34","828.51","0.0"
"Austria","Bunkers","2014.0","Export","1.0","0.02","145166.18","0.09"
"Austria","Botswana","2014.0","Export","75.0","1.73","1829.95","0.0"
"Austria","Central African Republic","2014.0","Export","11.0","0.25","85.46","0.0"
"Austria","Canada","2014.0","Export","1620.0","37.29","1299076.07","0.77"
"Austria","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Austria","Switzerland","2014.0","Export","3583.0","82.48","9442810.19","5.56"
"Austria","Chile","2014.0","Export","1129.0","25.99","180735.18","0.11"
"Austria","China","2014.0","Export","2110.0","48.57","4393606.32","2.59"
"Austria","Cote d'Ivoire","2014.0","Export","233.0","5.36","22187.86","0.01"
"Austria","Cameroon","2014.0","Export","234.0","5.39","11767.89","0.01"
"Austria","Congo, Rep.","2014.0","Export","185.0","4.26","9779.14","0.01"
"Austria","Colombia","2014.0","Export","910.0","20.95","155923.85","0.09"
"Austria","Comoros","2014.0","Export","2.0","0.05","9.01","0.0"
"Austria","Cape Verde","2014.0","Export","141.0","3.25","1445.54","0.0"
"Austria","Costa Rica","2014.0","Export","579.0","13.33","54640.3","0.03"
"Austria","Cuba","2014.0","Export","123.0","2.83","6345.53","0.0"
"Austria","Curaçao","2014.0","Export","49.0","1.13","2410.59","0.0"
"Austria","Christmas Island","2014.0","Export","1.0","0.02","4.08","0.0"
"Austria","Cayman Islands","2014.0","Export","57.0","1.31","12071.63","0.01"
"Austria","Cyprus","2014.0","Export","1324.0","30.48","109011.41","0.06"
"Austria","Czech Republic","2014.0","Export","3331.0","76.68","5660688.09","3.34"
"Austria","Germany","2014.0","Export","3926.0","90.38","49508303.58","29.17"
"Austria","Djibouti","2014.0","Export","82.0","1.89","1102.32","0.0"
"Austria","Dominica","2014.0","Export","11.0","0.25","105.86","0.0"
"Austria","Denmark","2014.0","Export","1962.0","45.17","895039.07","0.53"
"Austria","Dominican Republic","2014.0","Export","412.0","9.48","12059.73","0.01"
"Austria","Algeria","2014.0","Export","671.0","15.45","291492.58","0.17"
"Austria","East Asia & Pacific","2014.0","Export","2937.0","67.61","11329746.49","6.68"
"Austria","Europe & Central Asia","2014.0","Export","4269.0","98.27","133165289.94","78.46"
"Austria","Ecuador","2014.0","Export","521.0","11.99","44223.23","0.03"
"Austria","Egypt, Arab Rep.","2014.0","Export","1130.0","26.01","252219.01","0.15"
"Austria","Eritrea","2014.0","Export","16.0","0.37","89.69","0.0"
"Austria","Spain","2014.0","Export","2394.0","55.11","2761321.92","1.63"
"Austria","Estonia","2014.0","Export","1631.0","37.55","142432.71","0.08"
"Austria","Ethiopia(excludes Eritrea)","2014.0","Export","335.0","7.71","9948.59","0.01"
"Austria","Finland","2014.0","Export","1865.0","42.93","619012.9","0.36"
"Austria","Fiji","2014.0","Export","154.0","3.55","2293.77","0.0"
"Austria","Falkland Island","2014.0","Export","8.0","0.18","16.28","0.0"
"Austria","France","2014.0","Export","2774.0","63.86","8063657.28","4.75"
"Austria","Faeroe Islands","2014.0","Export","141.0","3.25","1075.41","0.0"
"Austria","Gabon","2014.0","Export","399.0","9.19","21666.33","0.01"
"Austria","United Kingdom","2014.0","Export","2598.0","59.81","4955526.32","2.92"
"Austria","Georgia","2014.0","Export","972.0","22.38","70365.68","0.04"
"Austria","Ghana","2014.0","Export","761.0","17.52","34507.79","0.02"
"Austria","Gibraltar","2014.0","Export","79.0","1.82","3356.77","0.0"
"Austria","Guinea","2014.0","Export","45.0","1.04","501.15","0.0"
"Austria","Gambia, The","2014.0","Export","94.0","2.16","300.08","0.0"
"Austria","Guinea-Bissau","2014.0","Export","22.0","0.51","64.69","0.0"
"Austria","Equatorial Guinea","2014.0","Export","28.0","0.64","1862.36","0.0"
"Austria","Greece","2014.0","Export","2095.0","48.23","534006.73","0.31"
"Austria","Grenada","2014.0","Export","20.0","0.46","68.02","0.0"
"Austria","Greenland","2014.0","Export","31.0","0.71","85.9","0.0"
"Austria","Guatemala","2014.0","Export","425.0","9.78","22513.46","0.01"
"Austria","Guam","2014.0","Export","10.0","0.23","15.46","0.0"
"Austria","Guyana","2014.0","Export","32.0","0.74","877.32","0.0"
"Austria","Hong Kong, China","2014.0","Export","1645.0","37.87","684246.8","0.4"
"Austria","Honduras","2014.0","Export","262.0","6.03","22468.91","0.01"
"Austria","Croatia","2014.0","Export","2934.0","67.54","1535188.4","0.9"
"Austria","Haiti","2014.0","Export","87.0","2.0","1716.63","0.0"
"Austria","Hungary","2014.0","Export","3365.0","77.46","5555941.63","3.27"
"Austria","Indonesia","2014.0","Export","893.0","20.56","264530.23","0.16"
"Austria","India","2014.0","Export","1493.0","34.37","764391.25","0.45"
"Austria","Ireland","2014.0","Export","1351.0","31.1","367941.42","0.22"
"Austria","Iran, Islamic Rep.","2014.0","Export","1202.0","27.67","270244.02","0.16"
"Austria","Iraq","2014.0","Export","579.0","13.33","96916.44","0.06"
"Austria","Iceland","2014.0","Export","790.0","18.19","19813.09","0.01"
"Austria","Israel","2014.0","Export","1323.0","30.46","360809.57","0.21"
"Austria","Italy","2014.0","Export","3388.0","77.99","10628118.4","6.26"
"Austria","Jamaica","2014.0","Export","116.0","2.67","4599.01","0.0"
"Austria","Jordan","2014.0","Export","724.0","16.67","90658.73","0.05"
