"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Azerbaijan","Aruba","2014.0","Export","1.0","0.1","17.54","0.0"
"Azerbaijan","Afghanistan","2014.0","Export","16.0","1.57","275990.15","1.27"
"Azerbaijan","Angola","2014.0","Export","20.0","1.96","212.35","0.0"
"Azerbaijan","Anguila","2014.0","Export","","","",""
"Azerbaijan","Albania","2014.0","Export","","","",""
"Azerbaijan","Andorra","2014.0","Export","","","",""
"Azerbaijan","United Arab Emirates","2014.0","Export","139.0","13.64","4322.66","0.02"
"Azerbaijan","Argentina","2014.0","Export","2.0","0.2","58.57","0.0"
"Azerbaijan","American Samoa","2014.0","Export","","","",""
"Azerbaijan","Australia","2014.0","Export","12.0","1.18","326.82","0.0"
"Azerbaijan","Austria","2014.0","Export","15.0","1.47","345546.3","1.59"
"Azerbaijan","Belgium","2014.0","Export","52.0","5.1","1482.81","0.01"
"Azerbaijan","Bangladesh","2014.0","Export","","","",""
"Azerbaijan","Bulgaria","2014.0","Export","8.0","0.79","61154.75","0.28"
"Azerbaijan","Bahrain","2014.0","Export","1.0","0.1","21.78","0.0"
"Azerbaijan","Bahamas, The","2014.0","Export","1.0","0.1","25662.12","0.12"
"Azerbaijan","Bosnia and Herzegovina","2014.0","Export","2.0","0.2","397.15","0.0"
"Azerbaijan","Belarus","2014.0","Export","18.0","1.77","15095.09","0.07"
"Azerbaijan","Belize","2014.0","Export","","","",""
"Azerbaijan","Bermuda","2014.0","Export","1.0","0.1","12.53","0.0"
"Azerbaijan","Bolivia","2014.0","Export","7.0","0.69","18.04","0.0"
"Azerbaijan","Brazil","2014.0","Export","7.0","0.69","322.42","0.0"
"Azerbaijan","Barbados","2014.0","Export","","","",""
"Azerbaijan","Brunei","2014.0","Export","3.0","0.29","3.74","0.0"
"Azerbaijan","Canada","2014.0","Export","16.0","1.57","220248.17","1.01"
"Azerbaijan","Switzerland","2014.0","Export","18.0","1.77","78061.77","0.36"
"Azerbaijan","Chile","2014.0","Export","","","",""
"Azerbaijan","China","2014.0","Export","33.0","3.24","63862.85","0.29"
"Azerbaijan","Cote d'Ivoire","2014.0","Export","","","",""
"Azerbaijan","Cameroon","2014.0","Export","","","",""
"Azerbaijan","Congo, Rep.","2014.0","Export","1.0","0.1","0.56","0.0"
"Azerbaijan","Colombia","2014.0","Export","1.0","0.1","0.89","0.0"
"Azerbaijan","Costa Rica","2014.0","Export","","","",""
"Azerbaijan","Cuba","2014.0","Export","","","",""
"Azerbaijan","Curaçao","2014.0","Export","","","",""
"Azerbaijan","Cayman Islands","2014.0","Export","1.0","0.1","22.66","0.0"
"Azerbaijan","Cyprus","2014.0","Export","","","",""
"Azerbaijan","Czech Republic","2014.0","Export","16.0","1.57","592036.24","2.72"
"Azerbaijan","Germany","2014.0","Export","133.0","13.05","1925563.41","8.85"
"Azerbaijan","Dominica","2014.0","Export","","","",""
"Azerbaijan","Denmark","2014.0","Export","17.0","1.67","757.64","0.0"
"Azerbaijan","Dominican Republic","2014.0","Export","","","",""
"Azerbaijan","Algeria","2014.0","Export","4.0","0.39","673.2","0.0"
"Azerbaijan","East Asia & Pacific","2014.0","Export","85.0","8.34","3064917.65","14.09"
"Azerbaijan","Europe & Central Asia","2014.0","Export","913.0","89.6","13432061.66","61.75"
"Azerbaijan","Ecuador","2014.0","Export","4.0","0.39","8.69","0.0"
"Azerbaijan","Egypt, Arab Rep.","2014.0","Export","14.0","1.37","91528.0","0.42"
"Azerbaijan","Spain","2014.0","Export","22.0","2.16","783669.1","3.6"
"Azerbaijan","Estonia","2014.0","Export","3.0","0.29","222.95","0.0"
"Azerbaijan","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Azerbaijan","Finland","2014.0","Export","13.0","1.28","30.8","0.0"
"Azerbaijan","France","2014.0","Export","94.0","9.22","1523485.67","7.0"
"Azerbaijan","Gabon","2014.0","Export","2.0","0.2","29.88","0.0"
"Azerbaijan","United Kingdom","2014.0","Export","233.0","22.87","126533.6","0.58"
"Azerbaijan","Georgia","2014.0","Export","283.0","27.77","529549.11","2.43"
"Azerbaijan","Gibraltar","2014.0","Export","1.0","0.1","64535.72","0.3"
"Azerbaijan","Equatorial Guinea","2014.0","Export","1.0","0.1","0.29","0.0"
"Azerbaijan","Greece","2014.0","Export","5.0","0.49","255988.28","1.18"
"Azerbaijan","Greenland","2014.0","Export","","","",""
"Azerbaijan","Guam","2014.0","Export","","","",""
"Azerbaijan","Hong Kong, China","2014.0","Export","3.0","0.29","208.96","0.0"
"Azerbaijan","Croatia","2014.0","Export","3.0","0.29","311673.25","1.43"
"Azerbaijan","Hungary","2014.0","Export","10.0","0.98","71614.84","0.33"
"Azerbaijan","Indonesia","2014.0","Export","9.0","0.88","2012316.52","9.25"
"Azerbaijan","India","2014.0","Export","11.0","1.08","778249.99","3.58"
"Azerbaijan","Ireland","2014.0","Export","3.0","0.29","47.84","0.0"
"Azerbaijan","Iran, Islamic Rep.","2014.0","Export","56.0","5.5","39441.68","0.18"
"Azerbaijan","Iraq","2014.0","Export","44.0","4.32","236589.99","1.09"
"Azerbaijan","Iceland","2014.0","Export","","","",""
"Azerbaijan","Israel","2014.0","Export","13.0","1.28","1766949.6","8.12"
"Azerbaijan","Italy","2014.0","Export","51.0","5.0","4805617.56","22.09"
"Azerbaijan","Jamaica","2014.0","Export","","","",""
"Azerbaijan","Jordan","2014.0","Export","1.0","0.1","39.57","0.0"
"Azerbaijan","Japan","2014.0","Export","6.0","0.59","1230.85","0.01"
"Azerbaijan","Kazakhstan","2014.0","Export","201.0","19.73","29839.5","0.14"
"Azerbaijan","Kenya","2014.0","Export","","","",""
"Azerbaijan","Kyrgyz Republic","2014.0","Export","24.0","2.36","25800.15","0.12"
"Azerbaijan","Cambodia","2014.0","Export","6.0","0.59","3.81","0.0"
"Azerbaijan","Korea, Rep.","2014.0","Export","10.0","0.98","13.83","0.0"
"Azerbaijan","Kuwait","2014.0","Export","6.0","0.59","27.02","0.0"
"Azerbaijan","Lebanon","2014.0","Export","4.0","0.39","35091.21","0.16"
"Azerbaijan","Libya","2014.0","Export","1.0","0.1","25760.0","0.12"
"Azerbaijan","Latin America & Caribbean","2014.0","Export","27.0","2.65","28050.1","0.13"
"Azerbaijan","Sri Lanka","2014.0","Export","","","",""
"Azerbaijan","Lithuania","2014.0","Export","9.0","0.88","702.72","0.0"
"Azerbaijan","Luxembourg","2014.0","Export","62.0","6.08","158.96","0.0"
"Azerbaijan","Latvia","2014.0","Export","9.0","0.88","845.46","0.0"
"Azerbaijan","Morocco","2014.0","Export","5.0","0.49","38.5","0.0"
"Azerbaijan","Moldova","2014.0","Export","10.0","0.98","68.38","0.0"
"Azerbaijan","Madagascar","2014.0","Export","","","",""
"Azerbaijan","Middle East & North Africa","2014.0","Export","245.0","24.04","2708025.5","12.45"
"Azerbaijan","Mexico","2014.0","Export","7.0","0.69","80.62","0.0"
"Azerbaijan","Marshall Islands","2014.0","Export","","","",""
"Azerbaijan","Macedonia, FYR","2014.0","Export","1.0","0.1","2.71","0.0"
"Azerbaijan","Malta","2014.0","Export","2.0","0.2","86270.46","0.4"
"Azerbaijan","Myanmar","2014.0","Export","","","",""
"Azerbaijan","Mongolia","2014.0","Export","2.0","0.2","276.17","0.0"
"Azerbaijan","Montenegro","2014.0","Export","6.0","0.59","84.86","0.0"
"Azerbaijan","Mozambique","2014.0","Export","","","",""
"Azerbaijan","Mauritius","2014.0","Export","7.0","0.69","2.8","0.0"
"Azerbaijan","Malaysia","2014.0","Export","26.0","2.55","11293.06","0.05"
"Azerbaijan","North America","2014.0","Export","143.0","14.03","966087.7","4.44"
"Azerbaijan","Nigeria","2014.0","Export","3.0","0.29","53.28","0.0"
"Azerbaijan","Netherlands","2014.0","Export","73.0","7.16","19135.4","0.09"
"Azerbaijan","Norway","2014.0","Export","57.0","5.59","2019.35","0.01"
"Azerbaijan","Nepal","2014.0","Export","","","",""
"Azerbaijan","New Zealand","2014.0","Export","3.0","0.29","143.25","0.0"
"Azerbaijan","Other Asia, nes","2014.0","Export","2.0","0.2","432067.28","1.99"
"Azerbaijan","Oman","2014.0","Export","6.0","0.59","20.87","0.0"
"Azerbaijan","Pakistan","2014.0","Export","13.0","1.28","194.65","0.0"
"Azerbaijan","Panama","2014.0","Export","1.0","0.1","1725.0","0.01"
"Azerbaijan","Peru","2014.0","Export","","","",""
"Azerbaijan","Philippines","2014.0","Export","","","",""
"Azerbaijan","Papua New Guinea","2014.0","Export","1.0","0.1","1.02","0.0"
"Azerbaijan","Poland","2014.0","Export","30.0","2.94","16329.85","0.08"
"Azerbaijan","Portugal","2014.0","Export","2.0","0.2","552149.45","2.54"
"Azerbaijan","Paraguay","2014.0","Export","","","",""
"Azerbaijan","Occ.Pal.Terr","2014.0","Export","","","",""
