"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bahamas, The","Aruba","2014.0","Export","3.0","0.26","145.04","0.02"
"Bahamas, The","Afghanistan","2014.0","Export","","","",""
"Bahamas, The","Angola","2014.0","Export","1.0","0.09","4.0","0.0"
"Bahamas, The","Andorra","2014.0","Export","1.0","0.09","10.0","0.0"
"Bahamas, The","Argentina","2014.0","Export","23.0","1.99","6395.28","0.93"
"Bahamas, The","Antigua and Barbuda","2014.0","Export","3.0","0.26","3.45","0.0"
"Bahamas, The","Australia","2014.0","Export","2.0","0.17","2042.09","0.3"
"Bahamas, The","Austria","2014.0","Export","","","",""
"Bahamas, The","Belgium","2014.0","Export","3.0","0.26","211.05","0.03"
"Bahamas, The","Bonaire","2014.0","Export","7.0","0.61","2.0","0.0"
"Bahamas, The","Bulgaria","2014.0","Export","","","",""
"Bahamas, The","Bermuda","2014.0","Export","3.0","0.26","8.02","0.0"
"Bahamas, The","Brazil","2014.0","Export","18.0","1.56","3904.54","0.57"
"Bahamas, The","Barbados","2014.0","Export","46.0","3.98","762.72","0.11"
"Bahamas, The","Canada","2014.0","Export","35.0","3.03","14312.01","2.08"
"Bahamas, The","Switzerland","2014.0","Export","3.0","0.26","30.2","0.0"
"Bahamas, The","Chile","2014.0","Export","","","",""
"Bahamas, The","China","2014.0","Export","11.0","0.95","1427.09","0.21"
"Bahamas, The","Colombia","2014.0","Export","6.0","0.52","70.81","0.01"
"Bahamas, The","Costa Rica","2014.0","Export","2.0","0.17","8.0","0.0"
"Bahamas, The","Cuba","2014.0","Export","1.0","0.09","11.5","0.0"
"Bahamas, The","Curaçao","2014.0","Export","","","",""
"Bahamas, The","Cayman Islands","2014.0","Export","9.0","0.78","28.48","0.0"
"Bahamas, The","Cyprus","2014.0","Export","","","",""
"Bahamas, The","Czech Republic","2014.0","Export","","","",""
"Bahamas, The","Germany","2014.0","Export","21.0","1.82","5350.19","0.78"
"Bahamas, The","Dominica","2014.0","Export","2.0","0.17","5.12","0.0"
"Bahamas, The","Denmark","2014.0","Export","2.0","0.17","68.31","0.01"
