"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bahrain","Aruba","2014.0","Export","","","",""
"Bahrain","Afghanistan","2014.0","Export","3.0","0.11","242.8","0.0"
"Bahrain","Angola","2014.0","Export","5.0","0.18","6503.77","0.04"
"Bahrain","Anguila","2014.0","Export","3.0","0.11","56.85","0.0"
"Bahrain","Albania","2014.0","Export","2.0","0.07","28.28","0.0"
"Bahrain","Andorra","2014.0","Export","","","",""
"Bahrain","United Arab Emirates","2014.0","Export","1553.0","55.01","1401869.69","7.77"
"Bahrain","Argentina","2014.0","Export","3.0","0.11","864.95","0.0"
"Bahrain","Armenia","2014.0","Export","","","",""
"Bahrain","American Samoa","2014.0","Export","","","",""
"Bahrain","Antarctica","2014.0","Export","","","",""
"Bahrain","Antigua and Barbuda","2014.0","Export","68.0","2.41","37.43","0.0"
"Bahrain","Australia","2014.0","Export","43.0","1.52","93854.93","0.52"
"Bahrain","Austria","2014.0","Export","26.0","0.92","12774.94","0.07"
"Bahrain","Azerbaijan","2014.0","Export","","","",""
"Bahrain","Burundi","2014.0","Export","","","",""
"Bahrain","Belgium","2014.0","Export","128.0","4.53","32791.46","0.18"
"Bahrain","Benin","2014.0","Export","","","",""
"Bahrain","Burkina Faso","2014.0","Export","","","",""
"Bahrain","Bangladesh","2014.0","Export","38.0","1.35","60851.03","0.34"
"Bahrain","Bulgaria","2014.0","Export","1.0","0.04","4.06","0.0"
"Bahrain","Bahrain","2014.0","Export","","","",""
"Bahrain","Bahamas, The","2014.0","Export","47.0","1.66","23.18","0.0"
"Bahrain","Bosnia and Herzegovina","2014.0","Export","","","",""
"Bahrain","Belarus","2014.0","Export","","","",""
"Bahrain","Belize","2014.0","Export","8.0","0.28","1.58","0.0"
"Bahrain","Bermuda","2014.0","Export","25.0","0.89","10.38","0.0"
"Bahrain","Bolivia","2014.0","Export","","","",""
"Bahrain","Brazil","2014.0","Export","9.0","0.32","53774.42","0.3"
"Bahrain","Barbados","2014.0","Export","","","",""
"Bahrain","Brunei","2014.0","Export","1.0","0.04","0.53","0.0"
"Bahrain","Bhutan","2014.0","Export","","","",""
"Bahrain","Bunkers","2014.0","Export","31.0","1.1","132.0","0.0"
"Bahrain","Central African Republic","2014.0","Export","","","",""
"Bahrain","Canada","2014.0","Export","20.0","0.71","29153.71","0.16"
"Bahrain","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Bahrain","Switzerland","2014.0","Export","86.0","3.05","20730.09","0.12"
"Bahrain","Chile","2014.0","Export","2.0","0.07","5.04","0.0"
"Bahrain","China","2014.0","Export","72.0","2.55","145753.19","0.81"
"Bahrain","Cote d'Ivoire","2014.0","Export","2.0","0.07","73.69","0.0"
"Bahrain","Cameroon","2014.0","Export","2.0","0.07","8.96","0.0"
"Bahrain","Congo, Rep.","2014.0","Export","3.0","0.11","142.29","0.0"
"Bahrain","Cook Islands","2014.0","Export","","","",""
"Bahrain","Colombia","2014.0","Export","2.0","0.07","537.98","0.0"
"Bahrain","Comoros","2014.0","Export","","","",""
"Bahrain","Cape Verde","2014.0","Export","","","",""
"Bahrain","Costa Rica","2014.0","Export","2.0","0.07","45.32","0.0"
"Bahrain","Cuba","2014.0","Export","","","",""
"Bahrain","Curaçao","2014.0","Export","10.0","0.35","1.99","0.0"
"Bahrain","Christmas Island","2014.0","Export","","","",""
"Bahrain","Cayman Islands","2014.0","Export","19.0","0.67","11.52","0.0"
"Bahrain","Cyprus","2014.0","Export","73.0","2.59","854.68","0.0"
"Bahrain","Czech Republic","2014.0","Export","3.0","0.11","116.03","0.0"
"Bahrain","Germany","2014.0","Export","118.0","4.18","27700.74","0.15"
"Bahrain","Djibouti","2014.0","Export","11.0","0.39","412.75","0.0"
"Bahrain","Dominica","2014.0","Export","","","",""
"Bahrain","Denmark","2014.0","Export","73.0","2.59","2330.44","0.01"
"Bahrain","Dominican Republic","2014.0","Export","1.0","0.04","97.41","0.0"
"Bahrain","Algeria","2014.0","Export","18.0","0.64","220754.3","1.22"
"Bahrain","East Asia & Pacific","2014.0","Export","420.0","14.88","490344.67","2.72"
"Bahrain","Europe & Central Asia","2014.0","Export","607.0","21.5","569186.2","3.16"
"Bahrain","Ecuador","2014.0","Export","","","",""
"Bahrain","Egypt, Arab Rep.","2014.0","Export","105.0","3.72","246249.89","1.37"
"Bahrain","Eritrea","2014.0","Export","","","",""
"Bahrain","Western Sahara","2014.0","Export","","","",""
"Bahrain","Spain","2014.0","Export","61.0","2.16","10515.17","0.06"
"Bahrain","Estonia","2014.0","Export","2.0","0.07","19.77","0.0"
"Bahrain","Ethiopia(excludes Eritrea)","2014.0","Export","40.0","1.42","5525.92","0.03"
"Bahrain","Finland","2014.0","Export","8.0","0.28","1216.35","0.01"
"Bahrain","Fiji","2014.0","Export","","","",""
"Bahrain","Falkland Island","2014.0","Export","","","",""
"Bahrain","France","2014.0","Export","54.0","1.91","23344.72","0.13"
"Bahrain","Faeroe Islands","2014.0","Export","","","",""
"Bahrain","Gabon","2014.0","Export","6.0","0.21","54.32","0.0"
"Bahrain","United Kingdom","2014.0","Export","128.0","4.53","41992.9","0.23"
"Bahrain","Georgia","2014.0","Export","2.0","0.07","44.98","0.0"
"Bahrain","Ghana","2014.0","Export","5.0","0.18","115.91","0.0"
"Bahrain","Guinea","2014.0","Export","","","",""
"Bahrain","Gambia, The","2014.0","Export","","","",""
"Bahrain","Guinea-Bissau","2014.0","Export","","","",""
"Bahrain","Equatorial Guinea","2014.0","Export","","","",""
"Bahrain","Greece","2014.0","Export","61.0","2.16","150.48","0.0"
"Bahrain","Grenada","2014.0","Export","","","",""
"Bahrain","Greenland","2014.0","Export","","","",""
"Bahrain","Guatemala","2014.0","Export","1.0","0.04","0.27","0.0"
"Bahrain","Guam","2014.0","Export","","","",""
"Bahrain","Guyana","2014.0","Export","1.0","0.04","117.66","0.0"
"Bahrain","Hong Kong, China","2014.0","Export","81.0","2.87","14175.53","0.08"
"Bahrain","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Bahrain","Honduras","2014.0","Export","","","",""
"Bahrain","Croatia","2014.0","Export","1.0","0.04","862.21","0.0"
"Bahrain","Haiti","2014.0","Export","","","",""
"Bahrain","Hungary","2014.0","Export","1.0","0.04","0.66","0.0"
"Bahrain","Indonesia","2014.0","Export","8.0","0.28","15332.23","0.09"
"Bahrain","India","2014.0","Export","119.0","4.22","167247.97","0.93"
"Bahrain","British Indian Ocean Ter.","2014.0","Export","","","",""
"Bahrain","Ireland","2014.0","Export","7.0","0.25","407.12","0.0"
"Bahrain","Iran, Islamic Rep.","2014.0","Export","15.0","0.53","5824.6","0.03"
"Bahrain","Iraq","2014.0","Export","69.0","2.44","99076.19","0.55"
"Bahrain","Iceland","2014.0","Export","","","",""
"Bahrain","Israel","2014.0","Export","","","",""
"Bahrain","Italy","2014.0","Export","58.0","2.05","75619.16","0.42"
"Bahrain","Jamaica","2014.0","Export","1.0","0.04","3.97","0.0"
"Bahrain","Jordan","2014.0","Export","132.0","4.68","67138.57","0.37"
"Bahrain","Japan","2014.0","Export","28.0","0.99","31876.78","0.18"
"Bahrain","Kazakhstan","2014.0","Export","1.0","0.04","104.66","0.0"
"Bahrain","Kenya","2014.0","Export","20.0","0.71","14782.54","0.08"
"Bahrain","Kyrgyz Republic","2014.0","Export","","","",""
"Bahrain","Cambodia","2014.0","Export","4.0","0.14","4.08","0.0"
"Bahrain","Kiribati","2014.0","Export","","","",""
"Bahrain","St. Kitts and Nevis","2014.0","Export","1.0","0.04","6.09","0.0"
"Bahrain","Korea, Rep.","2014.0","Export","28.0","0.99","63002.08","0.35"
"Bahrain","Kuwait","2014.0","Export","954.0","33.79","219500.42","1.22"
"Bahrain","Lao PDR","2014.0","Export","","","",""
"Bahrain","Lebanon","2014.0","Export","72.0","2.55","56346.17","0.31"
"Bahrain","Liberia","2014.0","Export","128.0","4.53","522.05","0.0"
"Bahrain","Libya","2014.0","Export","17.0","0.6","12316.37","0.07"
"Bahrain","Latin America & Caribbean","2014.0","Export","175.0","6.2","56800.59","0.32"
"Bahrain","Sri Lanka","2014.0","Export","17.0","0.6","2499.99","0.01"
"Bahrain","Lesotho","2014.0","Export","","","",""
"Bahrain","Lithuania","2014.0","Export","2.0","0.07","1073.15","0.01"
"Bahrain","Luxembourg","2014.0","Export","29.0","1.03","30.75","0.0"
"Bahrain","Latvia","2014.0","Export","3.0","0.11","278.64","0.0"
"Bahrain","Macao","2014.0","Export","","","",""
"Bahrain","Morocco","2014.0","Export","39.0","1.38","178444.38","0.99"
"Bahrain","Moldova","2014.0","Export","","","",""
"Bahrain","Madagascar","2014.0","Export","","","",""
"Bahrain","Maldives","2014.0","Export","","","",""
"Bahrain","Middle East & North Africa","2014.0","Export","2684.0","95.08","6484645.44","35.96"
"Bahrain","Mexico","2014.0","Export","5.0","0.18","952.93","0.01"
"Bahrain","Marshall Islands","2014.0","Export","69.0","2.44","50.22","0.0"
"Bahrain","Macedonia, FYR","2014.0","Export","","","",""
"Bahrain","Mali","2014.0","Export","1.0","0.04","30.83","0.0"
"Bahrain","Malta","2014.0","Export","104.0","3.68","487.97","0.0"
"Bahrain","Myanmar","2014.0","Export","1.0","0.04","134.92","0.0"
"Bahrain","Mongolia","2014.0","Export","","","",""
"Bahrain","Northern Mariana Islands","2014.0","Export","","","",""
"Bahrain","Mozambique","2014.0","Export","4.0","0.14","6261.86","0.03"
"Bahrain","Mauritania","2014.0","Export","9.0","0.32","18.55","0.0"
"Bahrain","Montserrat","2014.0","Export","","","",""
"Bahrain","Mauritius","2014.0","Export","10.0","0.35","903.56","0.01"
"Bahrain","Malawi","2014.0","Export","","","",""
"Bahrain","Malaysia","2014.0","Export","53.0","1.88","5031.52","0.03"
"Bahrain","North America","2014.0","Export","229.0","8.11","941435.97","5.22"
"Bahrain","Namibia","2014.0","Export","6.0","0.21","2093.44","0.01"
