"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bangladesh","Afghanistan","2011.0","Export","19.0","1.07","3612.69","0.01"
"Bangladesh","Angola","2011.0","Export","8.0","0.45","2963.93","0.01"
"Bangladesh","Albania","2011.0","Export","5.0","0.28","127.78","0.0"
"Bangladesh","Andorra","2011.0","Export","2.0","0.11","35.68","0.0"
"Bangladesh","United Arab Emirates","2011.0","Export","332.0","18.78","154410.8","0.64"
"Bangladesh","Argentina","2011.0","Export","60.0","3.39","10032.41","0.04"
"Bangladesh","Armenia","2011.0","Export","1.0","0.06","7.75","0.0"
"Bangladesh","American Samoa","2011.0","Export","","","",""
"Bangladesh","Antigua and Barbuda","2011.0","Export","","","",""
"Bangladesh","Australia","2011.0","Export","249.0","14.08","295051.31","1.21"
"Bangladesh","Austria","2011.0","Export","104.0","5.88","59017.28","0.24"
"Bangladesh","Azerbaijan","2011.0","Export","3.0","0.17","1.47","0.0"
"Bangladesh","Burundi","2011.0","Export","2.0","0.11","45.57","0.0"
"Bangladesh","Belgium","2011.0","Export","232.0","13.12","794293.76","3.27"
"Bangladesh","Benin","2011.0","Export","5.0","0.28","2172.98","0.01"
"Bangladesh","Burkina Faso","2011.0","Export","2.0","0.11","102.67","0.0"
"Bangladesh","Bulgaria","2011.0","Export","31.0","1.75","3223.74","0.01"
"Bangladesh","Bahrain","2011.0","Export","63.0","3.56","4123.6","0.02"
"Bangladesh","Bosnia and Herzegovina","2011.0","Export","9.0","0.51","413.38","0.0"
"Bangladesh","Belarus","2011.0","Export","7.0","0.4","3132.74","0.01"
"Bangladesh","Belize","2011.0","Export","6.0","0.34","383.35","0.0"
"Bangladesh","Bermuda","2011.0","Export","","","",""
"Bangladesh","Bolivia","2011.0","Export","5.0","0.28","49.18","0.0"
"Bangladesh","Brazil","2011.0","Export","120.0","6.79","153506.08","0.63"
"Bangladesh","Barbados","2011.0","Export","","","",""
"Bangladesh","Brunei","2011.0","Export","4.0","0.23","70.65","0.0"
"Bangladesh","Bhutan","2011.0","Export","3.0","0.17","26.58","0.0"
"Bangladesh","Botswana","2011.0","Export","1.0","0.06","0.21","0.0"
"Bangladesh","Central African Republic","2011.0","Export","2.0","0.11","41.11","0.0"
"Bangladesh","Canada","2011.0","Export","327.0","18.5","1024426.02","4.21"
"Bangladesh","Switzerland","2011.0","Export","163.0","9.22","126309.63","0.52"
"Bangladesh","Chile","2011.0","Export","69.0","3.9","20887.46","0.09"
"Bangladesh","China","2011.0","Export","360.0","20.36","382895.52","1.57"
"Bangladesh","Cote d'Ivoire","2011.0","Export","6.0","0.34","7956.55","0.03"
"Bangladesh","Cameroon","2011.0","Export","7.0","0.4","1308.85","0.01"
"Bangladesh","Congo, Rep.","2011.0","Export","7.0","0.4","2404.69","0.01"
"Bangladesh","Cook Islands","2011.0","Export","","","",""
"Bangladesh","Colombia","2011.0","Export","36.0","2.04","7666.51","0.03"
"Bangladesh","Comoros","2011.0","Export","1.0","0.06","68.64","0.0"
"Bangladesh","Cape Verde","2011.0","Export","3.0","0.17","18.41","0.0"
"Bangladesh","Costa Rica","2011.0","Export","14.0","0.79","1435.45","0.01"
"Bangladesh","Cuba","2011.0","Export","5.0","0.28","1914.54","0.01"
"Bangladesh","Curaçao","2011.0","Export","5.0","0.28","3595.8","0.01"
"Bangladesh","Cyprus","2011.0","Export","41.0","2.32","3745.74","0.02"
"Bangladesh","Czech Republic","2011.0","Export","77.0","4.36","53044.26","0.22"
"Bangladesh","Germany","2011.0","Export","401.0","22.68","3781864.79","15.55"
"Bangladesh","Djibouti","2011.0","Export","11.0","0.62","3978.79","0.02"
"Bangladesh","Dominica","2011.0","Export","1.0","0.06","5.77","0.0"
"Bangladesh","Denmark","2011.0","Export","165.0","9.33","384861.42","1.58"
"Bangladesh","Dominican Republic","2011.0","Export","4.0","0.23","617.82","0.0"
"Bangladesh","Algeria","2011.0","Export","14.0","0.79","5424.72","0.02"
"Bangladesh","East Asia & Pacific","2011.0","Export","1025.0","57.98","2033916.72","8.37"
"Bangladesh","Europe & Central Asia","2011.0","Export","859.0","48.59","13988917.1","57.53"
"Bangladesh","Ecuador","2011.0","Export","16.0","0.91","207.61","0.0"
"Bangladesh","Egypt, Arab Rep.","2011.0","Export","30.0","1.7","15609.63","0.06"
"Bangladesh","Eritrea","2011.0","Export","1.0","0.06","35.18","0.0"
"Bangladesh","Spain","2011.0","Export","232.0","13.12","1072977.03","4.41"
"Bangladesh","Estonia","2011.0","Export","11.0","0.62","2995.16","0.01"
"Bangladesh","Ethiopia(excludes Eritrea)","2011.0","Export","11.0","0.62","2288.8","0.01"
"Bangladesh","Finland","2011.0","Export","96.0","5.43","47508.69","0.2"
