"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Barbados","Aruba","2014.0","Export","24.0","1.45","1522.58","0.32"
"Barbados","Afghanistan","2014.0","Export","1.0","0.06","0.2","0.0"
"Barbados","Angola","2014.0","Export","","","",""
"Barbados","Anguila","2014.0","Export","124.0","7.49","1412.35","0.29"
"Barbados","Albania","2014.0","Export","","","",""
"Barbados","Andorra","2014.0","Export","2.0","0.12","0.16","0.0"
"Barbados","United Arab Emirates","2014.0","Export","3.0","0.18","1346.66","0.28"
"Barbados","Argentina","2014.0","Export","1.0","0.06","0.01","0.0"
"Barbados","Antarctica","2014.0","Export","","","",""
"Barbados","Antigua and Barbuda","2014.0","Export","318.0","19.2","11142.08","2.32"
"Barbados","Australia","2014.0","Export","22.0","1.33","123.9","0.03"
"Barbados","Austria","2014.0","Export","2.0","0.12","0.01","0.0"
"Barbados","Belgium","2014.0","Export","9.0","0.54","198.86","0.04"
"Barbados","Benin","2014.0","Export","1.0","0.06","1.84","0.0"
"Barbados","Bonaire","2014.0","Export","6.0","0.36","32.93","0.01"
"Barbados","Burkina Faso","2014.0","Export","","","",""
"Barbados","Bangladesh","2014.0","Export","4.0","0.24","44.97","0.01"
"Barbados","Bulgaria","2014.0","Export","6.0","0.36","10.54","0.0"
"Barbados","Bahrain","2014.0","Export","1.0","0.06","1.11","0.0"
"Barbados","Bahamas, The","2014.0","Export","89.0","5.37","3974.18","0.83"
"Barbados","Bosnia and Herzegovina","2014.0","Export","4.0","0.24","5.06","0.0"
"Barbados","Belarus","2014.0","Export","1.0","0.06","7.76","0.0"
"Barbados","Belize","2014.0","Export","42.0","2.54","1398.95","0.29"
"Barbados","Bermuda","2014.0","Export","36.0","2.17","874.79","0.18"
"Barbados","Bolivia","2014.0","Export","1.0","0.06","0.3","0.0"
"Barbados","Brazil","2014.0","Export","15.0","0.91","94.01","0.02"
"Barbados","Brunei","2014.0","Export","","","",""
"Barbados","Central African Republic","2014.0","Export","","","",""
"Barbados","Canada","2014.0","Export","157.0","9.48","12053.04","2.51"
"Barbados","Cocos (Keeling) Islands","2014.0","Export","1.0","0.06","5.98","0.0"
"Barbados","Switzerland","2014.0","Export","18.0","1.09","907.89","0.19"
"Barbados","Chile","2014.0","Export","6.0","0.36","16.83","0.0"
"Barbados","China","2014.0","Export","52.0","3.14","10387.26","2.16"
"Barbados","Cote d'Ivoire","2014.0","Export","1.0","0.06","0.39","0.0"
"Barbados","Cameroon","2014.0","Export","5.0","0.3","0.58","0.0"
"Barbados","Congo, Rep.","2014.0","Export","1.0","0.06","0.1","0.0"
"Barbados","Colombia","2014.0","Export","91.0","5.5","7646.83","1.59"
"Barbados","Comoros","2014.0","Export","","","",""
"Barbados","Cape Verde","2014.0","Export","1.0","0.06","2.05","0.0"
"Barbados","Costa Rica","2014.0","Export","12.0","0.72","88.49","0.02"
"Barbados","Cuba","2014.0","Export","18.0","1.09","20.7","0.0"
"Barbados","Curaçao","2014.0","Export","95.0","5.74","11540.14","2.4"
"Barbados","Christmas Island","2014.0","Export","","","",""
"Barbados","Cayman Islands","2014.0","Export","72.0","4.35","1387.89","0.29"
"Barbados","Cyprus","2014.0","Export","9.0","0.54","116.15","0.02"
"Barbados","Czech Republic","2014.0","Export","7.0","0.42","351.13","0.07"
"Barbados","Germany","2014.0","Export","50.0","3.02","3072.69","0.64"
"Barbados","Dominica","2014.0","Export","268.0","16.18","4525.6","0.94"
"Barbados","Denmark","2014.0","Export","15.0","0.91","36.47","0.01"
"Barbados","Dominican Republic","2014.0","Export","52.0","3.14","1910.52","0.4"
"Barbados","East Asia & Pacific","2014.0","Export","141.0","8.51","12242.52","2.55"
"Barbados","Europe & Central Asia","2014.0","Export","547.0","33.03","39092.32","8.13"
"Barbados","Ecuador","2014.0","Export","5.0","0.3","30.75","0.01"
"Barbados","Egypt, Arab Rep.","2014.0","Export","1.0","0.06","0.19","0.0"
"Barbados","Spain","2014.0","Export","21.0","1.27","1714.63","0.36"
"Barbados","Estonia","2014.0","Export","","","",""
"Barbados","Finland","2014.0","Export","1.0","0.06","0.05","0.0"
"Barbados","Fiji","2014.0","Export","","","",""
"Barbados","France","2014.0","Export","335.0","20.23","10286.17","2.14"
"Barbados","Gabon","2014.0","Export","2.0","0.12","1.74","0.0"
"Barbados","United Kingdom","2014.0","Export","297.0","17.93","15717.56","3.27"
"Barbados","Georgia","2014.0","Export","1.0","0.06","6.01","0.0"
"Barbados","Ghana","2014.0","Export","6.0","0.36","5.16","0.0"
"Barbados","Guinea","2014.0","Export","","","",""
"Barbados","Gambia, The","2014.0","Export","","","",""
"Barbados","Guinea-Bissau","2014.0","Export","1.0","0.06","3.6","0.0"
"Barbados","Greece","2014.0","Export","3.0","0.18","154.63","0.03"
"Barbados","Grenada","2014.0","Export","365.0","22.04","11399.72","2.37"
"Barbados","Guatemala","2014.0","Export","7.0","0.42","145.54","0.03"
"Barbados","Guam","2014.0","Export","","","",""
