"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belarus","Aruba","2014.0","Export","1.0","0.03","8.2","0.0"
"Belarus","Afghanistan","2014.0","Export","28.0","0.81","4233.2","0.01"
"Belarus","Angola","2014.0","Export","34.0","0.99","5722.6","0.02"
"Belarus","Albania","2014.0","Export","14.0","0.41","101.7","0.0"
"Belarus","Andorra","2014.0","Export","8.0","0.23","114.9","0.0"
"Belarus","United Arab Emirates","2014.0","Export","173.0","5.02","32508.8","0.09"
"Belarus","Argentina","2014.0","Export","39.0","1.13","4821.8","0.01"
"Belarus","Armenia","2014.0","Export","520.0","15.09","27244.3","0.08"
"Belarus","Australia","2014.0","Export","70.0","2.03","2232.8","0.01"
"Belarus","Austria","2014.0","Export","129.0","3.74","22780.4","0.06"
"Belarus","Azerbaijan","2014.0","Export","524.0","15.21","186605.5","0.52"
"Belarus","Burundi","2014.0","Export","1.0","0.03","1.4","0.0"
"Belarus","Belgium","2014.0","Export","215.0","6.24","129004.6","0.36"
"Belarus","Benin","2014.0","Export","4.0","0.12","4886.5","0.01"
"Belarus","Bangladesh","2014.0","Export","7.0","0.2","59602.2","0.17"
"Belarus","Bulgaria","2014.0","Export","272.0","7.89","43865.1","0.12"
"Belarus","Bahrain","2014.0","Export","38.0","1.1","176.9","0.0"
"Belarus","Bosnia and Herzegovina","2014.0","Export","76.0","2.21","14377.5","0.04"
"Belarus","Belize","2014.0","Export","4.0","0.12","115.3","0.0"
"Belarus","Brazil","2014.0","Export","43.0","1.25","709548.3","1.97"
"Belarus","Barbados","2014.0","Export","1.0","0.03","29.8","0.0"
"Belarus","Brunei","2014.0","Export","1.0","0.03","166.0","0.0"
"Belarus","Central African Republic","2014.0","Export","","","",""
"Belarus","Canada","2014.0","Export","180.0","5.22","41864.1","0.12"
"Belarus","Switzerland","2014.0","Export","97.0","2.81","5247.4","0.01"
"Belarus","Chile","2014.0","Export","45.0","1.31","2003.7","0.01"
"Belarus","China","2014.0","Export","228.0","6.62","638993.9","1.77"
"Belarus","Cote d'Ivoire","2014.0","Export","5.0","0.15","15806.9","0.04"
"Belarus","Cameroon","2014.0","Export","13.0","0.38","3311.8","0.01"
"Belarus","Congo, Rep.","2014.0","Export","38.0","1.1","1694.7","0.0"
"Belarus","Colombia","2014.0","Export","12.0","0.35","1658.8","0.0"
"Belarus","Costa Rica","2014.0","Export","1.0","0.03","4709.0","0.01"
"Belarus","Cuba","2014.0","Export","133.0","3.86","13017.9","0.04"
"Belarus","Cyprus","2014.0","Export","23.0","0.67","3013.1","0.01"
"Belarus","Czech Republic","2014.0","Export","458.0","13.29","128584.3","0.36"
"Belarus","Germany","2014.0","Export","916.0","26.58","1640618.2","4.55"
"Belarus","Djibouti","2014.0","Export","1.0","0.03","34.0","0.0"
"Belarus","Dominica","2014.0","Export","","","",""
"Belarus","Denmark","2014.0","Export","101.0","2.93","8417.1","0.02"
"Belarus","Dominican Republic","2014.0","Export","24.0","0.7","1450.4","0.0"
"Belarus","Algeria","2014.0","Export","23.0","0.67","4808.2","0.01"
"Belarus","East Asia & Pacific","2014.0","Export","530.0","15.38","1267372.7","3.51"
"Belarus","Europe & Central Asia","2014.0","Export","3431.0","99.56","31927781.2","88.49"
"Belarus","Ecuador","2014.0","Export","52.0","1.51","13525.4","0.04"
"Belarus","Egypt, Arab Rep.","2014.0","Export","98.0","2.84","133696.8","0.37"
"Belarus","Eritrea","2014.0","Export","","","",""
"Belarus","Spain","2014.0","Export","97.0","2.81","17400.8","0.05"
"Belarus","Estonia","2014.0","Export","520.0","15.09","97041.7","0.27"
"Belarus","Ethiopia(excludes Eritrea)","2014.0","Export","19.0","0.55","3061.0","0.01"
"Belarus","Finland","2014.0","Export","127.0","3.69","43989.4","0.12"
"Belarus","Fiji","2014.0","Export","1.0","0.03","680.3","0.0"
"Belarus","France","2014.0","Export","181.0","5.25","110577.0","0.31"
"Belarus","Gabon","2014.0","Export","3.0","0.09","55.0","0.0"
"Belarus","United Kingdom","2014.0","Export","192.0","5.57","2923966.2","8.1"
"Belarus","Georgia","2014.0","Export","354.0","10.27","23144.7","0.06"
"Belarus","Ghana","2014.0","Export","16.0","0.46","1782.2","0.0"
"Belarus","Guinea","2014.0","Export","77.0","2.23","556.5","0.0"
"Belarus","Equatorial Guinea","2014.0","Export","20.0","0.58","674.6","0.0"
"Belarus","Greece","2014.0","Export","82.0","2.38","3371.4","0.01"
"Belarus","Guatemala","2014.0","Export","3.0","0.09","8663.6","0.02"
"Belarus","Guyana","2014.0","Export","1.0","0.03","1200.6","0.0"
"Belarus","Hong Kong, China","2014.0","Export","49.0","1.42","6957.4","0.02"
"Belarus","Honduras","2014.0","Export","3.0","0.09","0.9","0.0"
"Belarus","Croatia","2014.0","Export","14.0","0.41","4865.0","0.01"
"Belarus","Hungary","2014.0","Export","207.0","6.01","83151.8","0.23"
"Belarus","Indonesia","2014.0","Export","65.0","1.89","190205.1","0.53"
"Belarus","India","2014.0","Export","119.0","3.45","210355.2","0.58"
"Belarus","Ireland","2014.0","Export","31.0","0.9","13557.3","0.04"
"Belarus","Iran, Islamic Rep.","2014.0","Export","175.0","5.08","84288.9","0.23"
"Belarus","Iraq","2014.0","Export","8.0","0.23","2545.2","0.01"
"Belarus","Iceland","2014.0","Export","1.0","0.03","7733.0","0.02"
"Belarus","Israel","2014.0","Export","148.0","4.29","5091.9","0.01"
"Belarus","Italy","2014.0","Export","233.0","6.76","1008555.6","2.8"
"Belarus","Jamaica","2014.0","Export","","","",""
"Belarus","Jordan","2014.0","Export","46.0","1.33","11366.2","0.03"
"Belarus","Japan","2014.0","Export","53.0","1.54","12522.1","0.03"
"Belarus","Kazakhstan","2014.0","Export","1450.0","42.08","875462.0","2.43"
"Belarus","Kenya","2014.0","Export","11.0","0.32","13835.3","0.04"
"Belarus","Kyrgyz Republic","2014.0","Export","381.0","11.06","88823.9","0.25"
"Belarus","Cambodia","2014.0","Export","36.0","1.04","6934.5","0.02"
"Belarus","Korea, Rep.","2014.0","Export","64.0","1.86","42551.4","0.12"
"Belarus","Kuwait","2014.0","Export","14.0","0.41","1845.4","0.01"
"Belarus","Lao PDR","2014.0","Export","3.0","0.09","291.4","0.0"
"Belarus","Lebanon","2014.0","Export","49.0","1.42","2248.5","0.01"
"Belarus","Liberia","2014.0","Export","1.0","0.03","105.6","0.0"
"Belarus","Libya","2014.0","Export","6.0","0.17","1685.1","0.0"
"Belarus","Latin America & Caribbean","2014.0","Export","295.0","8.56","894022.6","2.48"
"Belarus","Sri Lanka","2014.0","Export","7.0","0.2","27365.0","0.08"
"Belarus","Lithuania","2014.0","Export","1360.0","39.47","1038121.6","2.88"
"Belarus","Luxembourg","2014.0","Export","18.0","0.52","3631.9","0.01"
"Belarus","Latvia","2014.0","Export","795.0","23.07","501494.1","1.39"
"Belarus","Macao","2014.0","Export","1.0","0.03","35.7","0.0"
"Belarus","Morocco","2014.0","Export","11.0","0.32","5631.3","0.02"
"Belarus","Moldova","2014.0","Export","859.0","24.93","260928.5","0.72"
"Belarus","Madagascar","2014.0","Export","4.0","0.12","70.1","0.0"
"Belarus","Middle East & North Africa","2014.0","Export","532.0","15.44","327494.0","0.91"
"Belarus","Mexico","2014.0","Export","43.0","1.25","3068.3","0.01"
"Belarus","Macedonia, FYR","2014.0","Export","37.0","1.07","11117.5","0.03"
"Belarus","Mali","2014.0","Export","6.0","0.17","5436.8","0.02"
"Belarus","Malta","2014.0","Export","1.0","0.03","18.9","0.0"
"Belarus","Myanmar","2014.0","Export","11.0","0.32","2295.7","0.01"
"Belarus","Mongolia","2014.0","Export","153.0","4.44","21663.8","0.06"
"Belarus","Montenegro","2014.0","Export","15.0","0.44","75.7","0.0"
"Belarus","Mozambique","2014.0","Export","1.0","0.03","1700.3","0.0"
"Belarus","Mauritania","2014.0","Export","2.0","0.06","0.3","0.0"
"Belarus","Mauritius","2014.0","Export","7.0","0.2","1491.8","0.0"
"Belarus","Malawi","2014.0","Export","1.0","0.03","3.3","0.0"
"Belarus","Malaysia","2014.0","Export","17.0","0.49","150531.0","0.42"
"Belarus","North America","2014.0","Export","379.0","11.0","161138.5","0.45"
"Belarus","Namibia","2014.0","Export","10.0","0.29","140.5","0.0"
"Belarus","Niger","2014.0","Export","2.0","0.06","743.9","0.0"
"Belarus","Nigeria","2014.0","Export","75.0","2.18","20113.8","0.06"
"Belarus","Nicaragua","2014.0","Export","64.0","1.86","2361.2","0.01"
"Belarus","Netherlands","2014.0","Export","177.0","5.14","1708587.0","4.74"
"Belarus","Norway","2014.0","Export","99.0","2.87","145301.7","0.4"
"Belarus","Nepal","2014.0","Export","","","",""
"Belarus","New Zealand","2014.0","Export","29.0","0.84","15907.5","0.04"
"Belarus","Other Asia, nes","2014.0","Export","39.0","1.13","64874.2","0.18"
