"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belgium","Aruba","2014.0","Export","127.0","2.83","3384.55","0.0"
"Belgium","Afghanistan","2014.0","Export","265.0","5.91","139360.51","0.03"
"Belgium","Angola","2014.0","Export","1403.0","31.3","491536.12","0.1"
"Belgium","Anguila","2014.0","Export","4.0","0.09","427.56","0.0"
"Belgium","Albania","2014.0","Export","537.0","11.98","22563.99","0.0"
"Belgium","Andorra","2014.0","Export","509.0","11.36","12104.29","0.0"
"Belgium","United Arab Emirates","2014.0","Export","2296.0","51.23","4743238.22","1.0"
"Belgium","Argentina","2014.0","Export","1071.0","23.9","586592.13","0.12"
"Belgium","Armenia","2014.0","Export","921.0","20.55","103789.95","0.02"
"Belgium","American Samoa","2014.0","Export","","","",""
"Belgium","Antarctica","2014.0","Export","68.0","1.52","812.72","0.0"
"Belgium","Fr. So. Ant. Tr","2014.0","Export","219.0","4.89","7239.82","0.0"
"Belgium","Antigua and Barbuda","2014.0","Export","39.0","0.87","986.74","0.0"
"Belgium","Australia","2014.0","Export","2235.0","49.87","2180392.36","0.46"
"Belgium","Austria","2014.0","Export","3190.0","71.17","4862611.3","1.03"
"Belgium","Azerbaijan","2014.0","Export","885.0","19.75","120544.29","0.03"
"Belgium","Burundi","2014.0","Export","776.0","17.31","63666.95","0.01"
"Belgium","Benin","2014.0","Export","844.0","18.83","348878.23","0.07"
"Belgium","Bonaire","2014.0","Export","55.0","1.23","890.13","0.0"
"Belgium","Burkina Faso","2014.0","Export","766.0","17.09","75614.44","0.02"
"Belgium","Bangladesh","2014.0","Export","516.0","11.51","146985.4","0.03"
"Belgium","Bulgaria","2014.0","Export","2471.0","55.13","784961.05","0.17"
"Belgium","Bahrain","2014.0","Export","905.0","20.19","92809.12","0.02"
"Belgium","Bahamas, The","2014.0","Export","60.0","1.34","3764.68","0.0"
"Belgium","Bosnia and Herzegovina","2014.0","Export","988.0","22.04","71652.99","0.02"
"Belgium","Belarus","2014.0","Export","1150.0","25.66","273994.71","0.06"
"Belgium","Belize","2014.0","Export","39.0","0.87","1519.46","0.0"
"Belgium","Bermuda","2014.0","Export","41.0","0.91","3720.91","0.0"
"Belgium","Bolivia","2014.0","Export","368.0","8.21","34563.15","0.01"
"Belgium","Brazil","2014.0","Export","1911.0","42.64","4375907.08","0.93"
