"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belize","Aruba","2014.0","Export","1.0","0.13","8.83","0.0"
"Belize","Andorra","2014.0","Export","","","",""
"Belize","United Arab Emirates","2014.0","Export","1.0","0.13","0.34","0.0"
"Belize","Argentina","2014.0","Export","3.0","0.38","3.39","0.0"
"Belize","Armenia","2014.0","Export","","","",""
"Belize","Antigua and Barbuda","2014.0","Export","7.0","0.88","67.15","0.02"
"Belize","Australia","2014.0","Export","3.0","0.38","37.27","0.01"
"Belize","Austria","2014.0","Export","1.0","0.13","72.39","0.02"
"Belize","Belgium","2014.0","Export","1.0","0.13","15.0","0.0"
"Belize","Bangladesh","2014.0","Export","","","",""
"Belize","Bulgaria","2014.0","Export","","","",""
"Belize","Bahamas, The","2014.0","Export","","","",""
"Belize","Bosnia and Herzegovina","2014.0","Export","","","",""
"Belize","Belarus","2014.0","Export","","","",""
"Belize","Bolivia","2014.0","Export","","","",""
"Belize","Brazil","2014.0","Export","2.0","0.25","33.66","0.01"
"Belize","Barbados","2014.0","Export","16.0","2.0","1585.53","0.43"
"Belize","Canada","2014.0","Export","26.0","3.25","8780.5","2.41"
"Belize","Switzerland","2014.0","Export","9.0","1.13","454.18","0.12"
"Belize","Chile","2014.0","Export","3.0","0.38","154.81","0.04"
"Belize","China","2014.0","Export","94.0","11.76","5676.7","1.56"
"Belize","Cote d'Ivoire","2014.0","Export","2.0","0.25","63.05","0.02"
"Belize","Colombia","2014.0","Export","1.0","0.13","1.38","0.0"
"Belize","Costa Rica","2014.0","Export","74.0","9.26","33.49","0.01"
"Belize","Cuba","2014.0","Export","2.0","0.25","212.08","0.06"
"Belize","Curaçao","2014.0","Export","7.0","0.88","8.82","0.0"
"Belize","Cyprus","2014.0","Export","1.0","0.13","50.96","0.01"
"Belize","Czech Republic","2014.0","Export","2.0","0.25","8.9","0.0"
"Belize","Germany","2014.0","Export","17.0","2.13","1235.19","0.34"
"Belize","Dominica","2014.0","Export","1.0","0.13","68.44","0.02"
"Belize","Denmark","2014.0","Export","1.0","0.13","24.95","0.01"
"Belize","Dominican Republic","2014.0","Export","1.0","0.13","24.72","0.01"
"Belize","East Asia & Pacific","2014.0","Export","149.0","18.65","10782.52","2.96"
"Belize","Europe & Central Asia","2014.0","Export","74.0","9.26","127326.25","34.89"
"Belize","Ecuador","2014.0","Export","1.0","0.13","13.03","0.0"
"Belize","Egypt, Arab Rep.","2014.0","Export","","","",""
"Belize","Spain","2014.0","Export","4.0","0.5","2561.75","0.7"
"Belize","Estonia","2014.0","Export","","","",""
"Belize","Finland","2014.0","Export","1.0","0.13","4.2","0.0"
"Belize","France","2014.0","Export","10.0","1.25","124.68","0.03"
"Belize","Gabon","2014.0","Export","","","",""
"Belize","United Kingdom","2014.0","Export","24.0","3.0","89802.25","24.61"
"Belize","Ghana","2014.0","Export","","","",""
"Belize","Gibraltar","2014.0","Export","","","",""
"Belize","Gambia, The","2014.0","Export","","","",""
"Belize","Grenada","2014.0","Export","3.0","0.38","13.8","0.0"
"Belize","Guatemala","2014.0","Export","96.0","12.02","9416.86","2.58"
"Belize","Guyana","2014.0","Export","9.0","1.13","5190.45","1.42"
"Belize","Hong Kong, China","2014.0","Export","9.0","1.13","771.49","0.21"
"Belize","Honduras","2014.0","Export","10.0","1.25","289.32","0.08"
"Belize","Croatia","2014.0","Export","","","",""
"Belize","Hungary","2014.0","Export","","","",""
"Belize","Indonesia","2014.0","Export","1.0","0.13","2.24","0.0"
"Belize","India","2014.0","Export","25.0","3.13","1365.74","0.37"
"Belize","Ireland","2014.0","Export","2.0","0.25","14055.66","3.85"
"Belize","Iran, Islamic Rep.","2014.0","Export","","","",""
"Belize","Iceland","2014.0","Export","","","",""
"Belize","Israel","2014.0","Export","1.0","0.13","10.89","0.0"
"Belize","Italy","2014.0","Export","8.0","1.0","150.96","0.04"
"Belize","Jamaica","2014.0","Export","32.0","4.0","15136.33","4.15"
"Belize","Japan","2014.0","Export","43.0","5.38","1896.2","0.52"
"Belize","Kenya","2014.0","Export","","","",""
"Belize","Cambodia","2014.0","Export","","","",""
"Belize","St. Kitts and Nevis","2014.0","Export","4.0","0.5","0.22","0.0"
"Belize","Korea, Rep.","2014.0","Export","5.0","0.63","759.78","0.21"
"Belize","Lebanon","2014.0","Export","2.0","0.25","8.32","0.0"
"Belize","St. Lucia","2014.0","Export","12.0","1.5","226.82","0.06"
"Belize","Latin America & Caribbean","2014.0","Export","335.0","41.93","77004.28","21.1"
"Belize","Sri Lanka","2014.0","Export","","","",""
"Belize","Lithuania","2014.0","Export","1.0","0.13","85.97","0.02"
"Belize","Latvia","2014.0","Export","","","",""
"Belize","Macao","2014.0","Export","","","",""
"Belize","Morocco","2014.0","Export","","","",""
"Belize","Middle East & North Africa","2014.0","Export","5.0","0.63","122.31","0.03"
"Belize","Mexico","2014.0","Export","147.0","18.4","28090.42","7.7"
"Belize","Macedonia, FYR","2014.0","Export","","","",""
"Belize","Malta","2014.0","Export","","","",""
"Belize","Northern Mariana Islands","2014.0","Export","","","",""
"Belize","Mozambique","2014.0","Export","","","",""
"Belize","Montserrat","2014.0","Export","","","",""
"Belize","Mauritius","2014.0","Export","","","",""
"Belize","Malawi","2014.0","Export","","","",""
"Belize","Malaysia","2014.0","Export","","","",""
"Belize","North America","2014.0","Export","531.0","66.46","146290.87","40.09"
"Belize","Niger","2014.0","Export","","","",""
"Belize","Nigeria","2014.0","Export","1.0","0.13","1.64","0.0"
"Belize","Nicaragua","2014.0","Export","7.0","0.88","382.1","0.1"
"Belize","Netherlands","2014.0","Export","13.0","1.63","16754.81","4.59"
"Belize","Norway","2014.0","Export","1.0","0.13","1611.72","0.44"
"Belize","New Zealand","2014.0","Export","1.0","0.13","10.09","0.0"
"Belize","Other Asia, nes","2014.0","Export","11.0","1.38","772.45","0.21"
"Belize","Oman","2014.0","Export","","","",""
"Belize","Pakistan","2014.0","Export","","","",""
"Belize","Panama","2014.0","Export","12.0","1.5","965.3","0.26"
"Belize","Peru","2014.0","Export","","","",""
"Belize","Philippines","2014.0","Export","","","",""
"Belize","Poland","2014.0","Export","2.0","0.25","36.9","0.01"
"Belize","Korea, Dem. Rep.","2014.0","Export","","","",""
"Belize","Portugal","2014.0","Export","","","",""
"Belize","Paraguay","2014.0","Export","","","",""
"Belize","Romania","2014.0","Export","","","",""
"Belize","Russian Federation","2014.0","Export","","","",""
"Belize","Rwanda","2014.0","Export","1.0","0.13","5.0","0.0"
"Belize","South Asia","2014.0","Export","25.0","3.13","1365.74","0.37"
"Belize","Saudi Arabia","2014.0","Export","1.0","0.13","102.76","0.03"
"Belize","Serbia, FR(Serbia/Montenegro)","2014.0","Export","","","",""
"Belize","Singapore","2014.0","Export","6.0","0.75","284.77","0.08"
"Belize","Sierra Leone","2014.0","Export","","","",""
"Belize","El Salvador","2014.0","Export","13.0","1.63","284.97","0.08"
"Belize","Sub-Saharan Africa","2014.0","Export","7.0","0.88","141.22","0.04"
"Belize","Sudan","2014.0","Export","1.0","0.13","20.0","0.01"
"Belize","Suriname","2014.0","Export","3.0","0.38","834.99","0.23"
"Belize","Slovak Republic","2014.0","Export","","","",""
