"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Benin","Afghanistan","2014.0","Export","","","",""
"Benin","Angola","2014.0","Export","","","",""
"Benin","Albania","2014.0","Export","1.0","0.14","4492.36","0.47"
"Benin","Andorra","2014.0","Export","","","",""
"Benin","United Arab Emirates","2014.0","Export","18.0","2.59","837.76","0.09"
"Benin","Argentina","2014.0","Export","","","",""
"Benin","Armenia","2014.0","Export","","","",""
"Benin","American Samoa","2014.0","Export","","","",""
"Benin","Antarctica","2014.0","Export","","","",""
"Benin","Antigua and Barbuda","2014.0","Export","","","",""
"Benin","Australia","2014.0","Export","1.0","0.14","5.32","0.0"
"Benin","Austria","2014.0","Export","1.0","0.14","1.0","0.0"
"Benin","Burundi","2014.0","Export","1.0","0.14","11.96","0.0"
"Benin","Belgium","2014.0","Export","38.0","5.46","15148.6","1.59"
"Benin","Burkina Faso","2014.0","Export","52.0","7.47","5338.73","0.56"
"Benin","Bangladesh","2014.0","Export","3.0","0.43","41731.1","4.39"
"Benin","Bulgaria","2014.0","Export","","","",""
"Benin","Bahrain","2014.0","Export","1.0","0.14","403.21","0.04"
"Benin","Bahamas, The","2014.0","Export","","","",""
"Benin","Bosnia and Herzegovina","2014.0","Export","4.0","0.57","10.32","0.0"
"Benin","Belarus","2014.0","Export","","","",""
"Benin","Belize","2014.0","Export","2.0","0.29","8.55","0.0"
"Benin","Bolivia","2014.0","Export","","","",""
"Benin","Brazil","2014.0","Export","3.0","0.43","7851.23","0.83"
"Benin","Barbados","2014.0","Export","","","",""
"Benin","Bouvet Island","2014.0","Export","","","",""
"Benin","Central African Republic","2014.0","Export","2.0","0.29","469.63","0.05"
"Benin","Canada","2014.0","Export","16.0","2.3","332.2","0.03"
"Benin","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Benin","Switzerland","2014.0","Export","9.0","1.29","12607.4","1.33"
"Benin","Chile","2014.0","Export","","","",""
"Benin","China","2014.0","Export","32.0","4.6","93755.41","9.86"
