"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bermuda","Aruba","2014.0","Export","","","",""
"Bermuda","Afghanistan","2014.0","Export","","","",""
"Bermuda","Albania","2014.0","Export","","","",""
"Bermuda","Andorra","2014.0","Export","","","",""
"Bermuda","United Arab Emirates","2014.0","Export","","","",""
"Bermuda","Argentina","2014.0","Export","","","",""
"Bermuda","American Samoa","2014.0","Export","","","",""
"Bermuda","Antigua and Barbuda","2014.0","Export","","","",""
"Bermuda","Australia","2014.0","Export","","","",""
"Bermuda","Austria","2014.0","Export","","","",""
"Bermuda","Burundi","2014.0","Export","","","",""
"Bermuda","Belgium","2014.0","Export","3.0","0.72","5.36","0.04"
"Bermuda","Burkina Faso","2014.0","Export","","","",""
"Bermuda","Bangladesh","2014.0","Export","","","",""
"Bermuda","Bulgaria","2014.0","Export","","","",""
"Bermuda","Bahrain","2014.0","Export","","","",""
"Bermuda","Bahamas, The","2014.0","Export","","","",""
"Bermuda","Bosnia and Herzegovina","2014.0","Export","","","",""
"Bermuda","Belarus","2014.0","Export","","","",""
"Bermuda","Belize","2014.0","Export","","","",""
"Bermuda","Brazil","2014.0","Export","","","",""
"Bermuda","Barbados","2014.0","Export","9.0","2.17","81.75","0.68"
"Bermuda","Canada","2014.0","Export","17.0","4.1","135.88","1.14"
"Bermuda","Switzerland","2014.0","Export","","","",""
"Bermuda","Chile","2014.0","Export","","","",""
"Bermuda","China","2014.0","Export","15.0","3.61","28.07","0.23"
"Bermuda","Cote d'Ivoire","2014.0","Export","","","",""
"Bermuda","Cameroon","2014.0","Export","","","",""
"Bermuda","Colombia","2014.0","Export","","","",""
"Bermuda","Cape Verde","2014.0","Export","","","",""
"Bermuda","Costa Rica","2014.0","Export","","","",""
"Bermuda","Cuba","2014.0","Export","","","",""
"Bermuda","Curaçao","2014.0","Export","","","",""
"Bermuda","Christmas Island","2014.0","Export","","","",""
"Bermuda","Cayman Islands","2014.0","Export","","","",""
"Bermuda","Cyprus","2014.0","Export","","","",""
"Bermuda","Czech Republic","2014.0","Export","","","",""
"Bermuda","Germany","2014.0","Export","7.0","1.69","135.19","1.13"
"Bermuda","Dominica","2014.0","Export","","","",""
"Bermuda","Denmark","2014.0","Export","7.0","1.69","24.29","0.2"
"Bermuda","Dominican Republic","2014.0","Export","","","",""
"Bermuda","Algeria","2014.0","Export","","","",""
"Bermuda","East Asia & Pacific","2014.0","Export","27.0","6.51","36.02","0.3"
"Bermuda","Europe & Central Asia","2014.0","Export","99.0","23.86","863.31","7.21"
"Bermuda","Ecuador","2014.0","Export","","","",""
"Bermuda","Egypt, Arab Rep.","2014.0","Export","","","",""
"Bermuda","Eritrea","2014.0","Export","","","",""
"Bermuda","Spain","2014.0","Export","2.0","0.48","1.14","0.01"
"Bermuda","Estonia","2014.0","Export","","","",""
"Bermuda","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Bermuda","Finland","2014.0","Export","1.0","0.24","1.0","0.01"
"Bermuda","Fiji","2014.0","Export","","","",""
"Bermuda","France","2014.0","Export","","","",""
"Bermuda","Gabon","2014.0","Export","","","",""
"Bermuda","United Kingdom","2014.0","Export","76.0","18.31","666.58","5.57"
"Bermuda","Georgia","2014.0","Export","","","",""
"Bermuda","Ghana","2014.0","Export","","","",""
"Bermuda","Gibraltar","2014.0","Export","","","",""
"Bermuda","Guinea","2014.0","Export","","","",""
"Bermuda","Greece","2014.0","Export","1.0","0.24","0.6","0.01"
"Bermuda","Grenada","2014.0","Export","","","",""
"Bermuda","Guatemala","2014.0","Export","","","",""
"Bermuda","Guam","2014.0","Export","","","",""
"Bermuda","Guyana","2014.0","Export","","","",""
"Bermuda","Hong Kong, China","2014.0","Export","1.0","0.24","0.31","0.0"
"Bermuda","Honduras","2014.0","Export","","","",""
"Bermuda","Croatia","2014.0","Export","","","",""
"Bermuda","Haiti","2014.0","Export","","","",""
"Bermuda","Hungary","2014.0","Export","","","",""
"Bermuda","Indonesia","2014.0","Export","","","",""
"Bermuda","India","2014.0","Export","1.0","0.24","0.85","0.01"
"Bermuda","Ireland","2014.0","Export","","","",""
"Bermuda","Iran, Islamic Rep.","2014.0","Export","","","",""
"Bermuda","Iceland","2014.0","Export","1.0","0.24","1.5","0.01"
"Bermuda","Israel","2014.0","Export","","","",""
"Bermuda","Italy","2014.0","Export","13.0","3.13","13.09","0.11"
"Bermuda","Jamaica","2014.0","Export","","","",""
"Bermuda","Jordan","2014.0","Export","","","",""
"Bermuda","Japan","2014.0","Export","","","",""
"Bermuda","Kenya","2014.0","Export","","","",""
"Bermuda","Cambodia","2014.0","Export","","","",""
"Bermuda","St. Kitts and Nevis","2014.0","Export","","","",""
"Bermuda","Korea, Rep.","2014.0","Export","9.0","2.17","7.4","0.06"
