"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bolivia","Aruba","2014.0","Export","","","",""
"Bolivia","Afghanistan","2014.0","Export","","","",""
"Bolivia","Angola","2014.0","Export","3.0","0.39","474.9","0.0"
"Bolivia","Albania","2014.0","Export","1.0","0.13","57.29","0.0"
"Bolivia","Andorra","2014.0","Export","","","",""
"Bolivia","United Arab Emirates","2014.0","Export","6.0","0.78","2335.3","0.02"
"Bolivia","Argentina","2014.0","Export","154.0","20.13","2539041.71","19.75"
"Bolivia","Armenia","2014.0","Export","","","",""
"Bolivia","Antigua and Barbuda","2014.0","Export","","","",""
"Bolivia","Australia","2014.0","Export","38.0","4.97","125604.04","0.98"
"Bolivia","Austria","2014.0","Export","17.0","2.22","4495.05","0.04"
"Bolivia","Burundi","2014.0","Export","","","",""
"Bolivia","Belgium","2014.0","Export","19.0","2.48","231305.52","1.8"
"Bolivia","Bangladesh","2014.0","Export","","","",""
"Bolivia","Bulgaria","2014.0","Export","7.0","0.92","585.04","0.0"
"Bolivia","Bahrain","2014.0","Export","","","",""
"Bolivia","Bahamas, The","2014.0","Export","8.0","1.05","50.68","0.0"
"Bolivia","Bosnia and Herzegovina","2014.0","Export","2.0","0.26","40.3","0.0"
"Bolivia","Belarus","2014.0","Export","","","",""
"Bolivia","Belize","2014.0","Export","12.0","1.57","5.43","0.0"
"Bolivia","Brazil","2014.0","Export","80.0","10.46","3818375.21","29.7"
"Bolivia","Barbados","2014.0","Export","","","",""
"Bolivia","Brunei","2014.0","Export","","","",""
"Bolivia","Central African Republic","2014.0","Export","","","",""
"Bolivia","Canada","2014.0","Export","80.0","10.46","200116.18","1.56"
"Bolivia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Bolivia","Switzerland","2014.0","Export","50.0","6.54","96335.01","0.75"
"Bolivia","Chile","2014.0","Export","303.0","39.61","105203.45","0.82"
"Bolivia","China","2014.0","Export","51.0","6.67","434023.52","3.38"
"Bolivia","Cote d'Ivoire","2014.0","Export","","","",""
"Bolivia","Cameroon","2014.0","Export","","","",""
"Bolivia","Congo, Rep.","2014.0","Export","","","",""
"Bolivia","Cook Islands","2014.0","Export","","","",""
"Bolivia","Colombia","2014.0","Export","62.0","8.1","678664.12","5.28"
"Bolivia","Cape Verde","2014.0","Export","","","",""
"Bolivia","Costa Rica","2014.0","Export","16.0","2.09","812.41","0.01"
"Bolivia","Cuba","2014.0","Export","17.0","2.22","518.93","0.0"
"Bolivia","Curaçao","2014.0","Export","1.0","0.13","8.51","0.0"
"Bolivia","Christmas Island","2014.0","Export","","","",""
"Bolivia","Cayman Islands","2014.0","Export","3.0","0.39","84.87","0.0"
"Bolivia","Cyprus","2014.0","Export","","","",""
"Bolivia","Czech Republic","2014.0","Export","2.0","0.26","174.4","0.0"
"Bolivia","Germany","2014.0","Export","86.0","11.24","68042.05","0.53"
"Bolivia","Dominica","2014.0","Export","","","",""
"Bolivia","Denmark","2014.0","Export","44.0","5.75","5417.85","0.04"
"Bolivia","Dominican Republic","2014.0","Export","5.0","0.65","1064.54","0.01"
"Bolivia","Algeria","2014.0","Export","","","",""
"Bolivia","East Asia & Pacific","2014.0","Export","139.0","18.17","1729552.54","13.45"
"Bolivia","Europe & Central Asia","2014.0","Export","291.0","38.04","885404.26","6.89"
"Bolivia","Ecuador","2014.0","Export","46.0","6.01","95274.6","0.74"
"Bolivia","Egypt, Arab Rep.","2014.0","Export","3.0","0.39","139.63","0.0"
"Bolivia","Eritrea","2014.0","Export","","","",""
"Bolivia","Spain","2014.0","Export","103.0","13.46","96393.39","0.75"
"Bolivia","Estonia","2014.0","Export","","","",""
"Bolivia","Ethiopia(excludes Eritrea)","2014.0","Export","6.0","0.78","139.03","0.0"
"Bolivia","Finland","2014.0","Export","19.0","2.48","13269.5","0.1"
"Bolivia","Fiji","2014.0","Export","","","",""
"Bolivia","France","2014.0","Export","72.0","9.41","42226.6","0.33"
"Bolivia","Gabon","2014.0","Export","","","",""
"Bolivia","United Kingdom","2014.0","Export","67.0","8.76","122740.45","0.95"
"Bolivia","Georgia","2014.0","Export","1.0","0.13","181.01","0.0"
"Bolivia","Ghana","2014.0","Export","","","",""
"Bolivia","Gambia, The","2014.0","Export","","","",""
