"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bosnia and Herzegovina","Afghanistan","2014.0","Export","13.0","0.45","88.75","0.0"
"Bosnia and Herzegovina","Angola","2014.0","Export","47.0","1.62","2400.81","0.04"
"Bosnia and Herzegovina","Anguila","2014.0","Export","2.0","0.07","0.91","0.0"
"Bosnia and Herzegovina","Albania","2014.0","Export","227.0","7.81","30463.8","0.52"
"Bosnia and Herzegovina","Andorra","2014.0","Export","1.0","0.03","53.83","0.0"
"Bosnia and Herzegovina","United Arab Emirates","2014.0","Export","100.0","3.44","15585.15","0.26"
"Bosnia and Herzegovina","Argentina","2014.0","Export","10.0","0.34","108.33","0.0"
"Bosnia and Herzegovina","Armenia","2014.0","Export","","","",""
"Bosnia and Herzegovina","American Samoa","2014.0","Export","","","",""
"Bosnia and Herzegovina","Antigua and Barbuda","2014.0","Export","","","",""
"Bosnia and Herzegovina","Australia","2014.0","Export","107.0","3.68","1416.82","0.02"
"Bosnia and Herzegovina","Austria","2014.0","Export","1020.0","35.11","512379.39","8.7"
"Bosnia and Herzegovina","Azerbaijan","2014.0","Export","5.0","0.17","935.02","0.02"
"Bosnia and Herzegovina","Belgium","2014.0","Export","278.0","9.57","29428.85","0.5"
"Bosnia and Herzegovina","Benin","2014.0","Export","","","",""
"Bosnia and Herzegovina","Burkina Faso","2014.0","Export","","","",""
"Bosnia and Herzegovina","Bangladesh","2014.0","Export","","","",""
"Bosnia and Herzegovina","Bulgaria","2014.0","Export","130.0","4.47","49620.2","0.84"
"Bosnia and Herzegovina","Bahrain","2014.0","Export","5.0","0.17","9.62","0.0"
"Bosnia and Herzegovina","Belarus","2014.0","Export","21.0","0.72","163.19","0.0"
"Bosnia and Herzegovina","Belize","2014.0","Export","","","",""
"Bosnia and Herzegovina","Bermuda","2014.0","Export","","","",""
"Bosnia and Herzegovina","Bolivia","2014.0","Export","","","",""
"Bosnia and Herzegovina","Brazil","2014.0","Export","30.0","1.03","4498.88","0.08"
"Bosnia and Herzegovina","Barbados","2014.0","Export","","","",""
"Bosnia and Herzegovina","Brunei","2014.0","Export","","","",""
"Bosnia and Herzegovina","Bhutan","2014.0","Export","","","",""
"Bosnia and Herzegovina","Botswana","2014.0","Export","8.0","0.28","1.42","0.0"
"Bosnia and Herzegovina","Central African Republic","2014.0","Export","","","",""
"Bosnia and Herzegovina","Canada","2014.0","Export","51.0","1.76","4917.45","0.08"
"Bosnia and Herzegovina","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Bosnia and Herzegovina","Switzerland","2014.0","Export","571.0","19.66","98897.0","1.68"
"Bosnia and Herzegovina","Chile","2014.0","Export","","","",""
"Bosnia and Herzegovina","China","2014.0","Export","99.0","3.41","9194.54","0.16"
"Bosnia and Herzegovina","Cote d'Ivoire","2014.0","Export","1.0","0.03","0.04","0.0"
"Bosnia and Herzegovina","Cameroon","2014.0","Export","","","",""
"Bosnia and Herzegovina","Congo, Rep.","2014.0","Export","14.0","0.48","42.18","0.0"
"Bosnia and Herzegovina","Cook Islands","2014.0","Export","","","",""
"Bosnia and Herzegovina","Colombia","2014.0","Export","","","",""
"Bosnia and Herzegovina","Comoros","2014.0","Export","","","",""
"Bosnia and Herzegovina","Costa Rica","2014.0","Export","2.0","0.07","37.05","0.0"
"Bosnia and Herzegovina","Cuba","2014.0","Export","1.0","0.03","173.51","0.0"
"Bosnia and Herzegovina","Cayman Islands","2014.0","Export","","","",""
"Bosnia and Herzegovina","Cyprus","2014.0","Export","16.0","0.55","6992.51","0.12"
"Bosnia and Herzegovina","Czech Republic","2014.0","Export","257.0","8.85","100571.97","1.71"
"Bosnia and Herzegovina","Germany","2014.0","Export","1272.0","43.79","893216.99","15.16"
"Bosnia and Herzegovina","Djibouti","2014.0","Export","","","",""
"Bosnia and Herzegovina","Dominica","2014.0","Export","3.0","0.1","192.29","0.0"
"Bosnia and Herzegovina","Denmark","2014.0","Export","174.0","5.99","7343.15","0.12"
"Bosnia and Herzegovina","Dominican Republic","2014.0","Export","2.0","0.07","13.12","0.0"
"Bosnia and Herzegovina","Algeria","2014.0","Export","40.0","1.38","27400.53","0.47"
"Bosnia and Herzegovina","East Asia & Pacific","2014.0","Export","286.0","9.85","20327.29","0.34"
"Bosnia and Herzegovina","Europe & Central Asia","2014.0","Export","2860.0","98.45","5428232.64","92.13"
"Bosnia and Herzegovina","Ecuador","2014.0","Export","1.0","0.03","2.08","0.0"
"Bosnia and Herzegovina","Egypt, Arab Rep.","2014.0","Export","65.0","2.24","28107.33","0.48"
"Bosnia and Herzegovina","Spain","2014.0","Export","237.0","8.16","74822.51","1.27"
"Bosnia and Herzegovina","Estonia","2014.0","Export","6.0","0.21","536.21","0.01"
"Bosnia and Herzegovina","Ethiopia(excludes Eritrea)","2014.0","Export","9.0","0.31","255.71","0.0"
"Bosnia and Herzegovina","Finland","2014.0","Export","36.0","1.24","1718.49","0.03"
"Bosnia and Herzegovina","Fiji","2014.0","Export","","","",""
"Bosnia and Herzegovina","Falkland Island","2014.0","Export","","","",""
"Bosnia and Herzegovina","France","2014.0","Export","391.0","13.46","83256.46","1.41"
"Bosnia and Herzegovina","Faeroe Islands","2014.0","Export","","","",""
"Bosnia and Herzegovina","Gabon","2014.0","Export","","","",""
"Bosnia and Herzegovina","United Kingdom","2014.0","Export","216.0","7.44","33968.82","0.58"
"Bosnia and Herzegovina","Georgia","2014.0","Export","12.0","0.41","376.02","0.01"
"Bosnia and Herzegovina","Ghana","2014.0","Export","6.0","0.21","34.1","0.0"
"Bosnia and Herzegovina","Gibraltar","2014.0","Export","","","",""
"Bosnia and Herzegovina","Gambia, The","2014.0","Export","8.0","0.28","12.62","0.0"
"Bosnia and Herzegovina","Greece","2014.0","Export","88.0","3.03","7302.15","0.12"
"Bosnia and Herzegovina","Grenada","2014.0","Export","","","",""
"Bosnia and Herzegovina","Guatemala","2014.0","Export","","","",""
"Bosnia and Herzegovina","Guam","2014.0","Export","","","",""
"Bosnia and Herzegovina","Guyana","2014.0","Export","","","",""
"Bosnia and Herzegovina","Hong Kong, China","2014.0","Export","30.0","1.03","440.01","0.01"
"Bosnia and Herzegovina","Honduras","2014.0","Export","","","",""
"Bosnia and Herzegovina","Croatia","2014.0","Export","1705.0","58.69","647141.45","10.98"
"Bosnia and Herzegovina","Haiti","2014.0","Export","1.0","0.03","0.16","0.0"
"Bosnia and Herzegovina","Hungary","2014.0","Export","260.0","8.95","126621.03","2.15"
"Bosnia and Herzegovina","Indonesia","2014.0","Export","3.0","0.1","283.71","0.0"
"Bosnia and Herzegovina","India","2014.0","Export","30.0","1.03","474.48","0.01"
"Bosnia and Herzegovina","Ireland","2014.0","Export","38.0","1.31","359.75","0.01"
"Bosnia and Herzegovina","Iran, Islamic Rep.","2014.0","Export","34.0","1.17","2100.9","0.04"
"Bosnia and Herzegovina","Iraq","2014.0","Export","30.0","1.03","1508.87","0.03"
"Bosnia and Herzegovina","Iceland","2014.0","Export","4.0","0.14","46.56","0.0"
"Bosnia and Herzegovina","Israel","2014.0","Export","38.0","1.31","1740.46","0.03"
"Bosnia and Herzegovina","Italy","2014.0","Export","877.0","30.19","812616.64","13.79"
"Bosnia and Herzegovina","Jamaica","2014.0","Export","","","",""
"Bosnia and Herzegovina","Jordan","2014.0","Export","17.0","0.59","1496.33","0.03"
"Bosnia and Herzegovina","Japan","2014.0","Export","55.0","1.89","1499.14","0.03"
"Bosnia and Herzegovina","Kazakhstan","2014.0","Export","6.0","0.21","134.46","0.0"
"Bosnia and Herzegovina","Kenya","2014.0","Export","6.0","0.21","75.44","0.0"
"Bosnia and Herzegovina","Kyrgyz Republic","2014.0","Export","1.0","0.03","28.0","0.0"
"Bosnia and Herzegovina","Cambodia","2014.0","Export","","","",""
