"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Botswana","Angola","2014.0","Export","24.0","0.99","2029.54","0.03"
"Botswana","Albania","2014.0","Export","","","",""
"Botswana","Andorra","2014.0","Export","6.0","0.25","49.51","0.0"
"Botswana","United Arab Emirates","2014.0","Export","8.0","0.33","372630.64","4.71"
"Botswana","Argentina","2014.0","Export","","","",""
"Botswana","Armenia","2014.0","Export","","","",""
"Botswana","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Botswana","Australia","2014.0","Export","50.0","2.06","210.4","0.0"
"Botswana","Austria","2014.0","Export","7.0","0.29","50.37","0.0"
"Botswana","Burundi","2014.0","Export","2.0","0.08","28.8","0.0"
"Botswana","Belgium","2014.0","Export","13.0","0.53","2040988.37","25.78"
"Botswana","Burkina Faso","2014.0","Export","1.0","0.04","214.88","0.0"
"Botswana","Bangladesh","2014.0","Export","1.0","0.04","2.25","0.0"
"Botswana","Bulgaria","2014.0","Export","","","",""
"Botswana","Bahrain","2014.0","Export","","","",""
"Botswana","Bosnia and Herzegovina","2014.0","Export","","","",""
"Botswana","Bermuda","2014.0","Export","","","",""
"Botswana","Brazil","2014.0","Export","2.0","0.08","2.03","0.0"
"Botswana","Canada","2014.0","Export","39.0","1.6","323239.37","4.08"
"Botswana","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Botswana","Switzerland","2014.0","Export","28.0","1.15","281230.45","3.55"
"Botswana","Chile","2014.0","Export","1.0","0.04","3.44","0.0"
"Botswana","China","2014.0","Export","51.0","2.1","61189.99","0.77"
"Botswana","Cote d'Ivoire","2014.0","Export","","","",""
"Botswana","Cameroon","2014.0","Export","3.0","0.12","101.11","0.0"
"Botswana","Congo, Rep.","2014.0","Export","5.0","0.21","193.3","0.0"
"Botswana","Colombia","2014.0","Export","","","",""
"Botswana","Costa Rica","2014.0","Export","","","",""
"Botswana","Curaçao","2014.0","Export","1.0","0.04","0.01","0.0"
"Botswana","Cayman Islands","2014.0","Export","","","",""
"Botswana","Cyprus","2014.0","Export","","","",""
"Botswana","Czech Republic","2014.0","Export","2.0","0.08","7.62","0.0"
"Botswana","Germany","2014.0","Export","43.0","1.77","383.73","0.0"
"Botswana","Denmark","2014.0","Export","2.0","0.08","26.92","0.0"
"Botswana","East Asia & Pacific","2014.0","Export","133.0","5.47","727797.41","9.19"
"Botswana","Europe & Central Asia","2014.0","Export","229.0","9.42","2727604.82","34.46"
"Botswana","Ecuador","2014.0","Export","","","",""
"Botswana","Egypt, Arab Rep.","2014.0","Export","","","",""
"Botswana","Eritrea","2014.0","Export","1.0","0.04","51.59","0.0"
"Botswana","Spain","2014.0","Export","9.0","0.37","1132.91","0.01"
"Botswana","Estonia","2014.0","Export","","","",""
"Botswana","Ethiopia(excludes Eritrea)","2014.0","Export","5.0","0.21","17.03","0.0"
"Botswana","Finland","2014.0","Export","4.0","0.16","80153.37","1.01"
"Botswana","France","2014.0","Export","29.0","1.19","3203.22","0.04"
"Botswana","United Kingdom","2014.0","Export","94.0","3.87","73079.13","0.92"
"Botswana","Georgia","2014.0","Export","44.0","1.81","633.17","0.01"
"Botswana","Ghana","2014.0","Export","16.0","0.66","112.45","0.0"
"Botswana","Guinea","2014.0","Export","","","",""
"Botswana","Gambia, The","2014.0","Export","1.0","0.04","19.59","0.0"
"Botswana","Greece","2014.0","Export","4.0","0.16","5073.65","0.06"
"Botswana","Grenada","2014.0","Export","11.0","0.45","0.19","0.0"
"Botswana","Guyana","2014.0","Export","1.0","0.04","0.7","0.0"
"Botswana","Hong Kong, China","2014.0","Export","28.0","1.15","235972.76","2.98"
"Botswana","Croatia","2014.0","Export","","","",""
"Botswana","Hungary","2014.0","Export","11.0","0.45","13.41","0.0"
"Botswana","Indonesia","2014.0","Export","1.0","0.04","25.19","0.0"
"Botswana","India","2014.0","Export","29.0","1.19","1179639.43","14.9"
"Botswana","Ireland","2014.0","Export","2.0","0.08","1.64","0.0"
"Botswana","Iran, Islamic Rep.","2014.0","Export","1.0","0.04","11.46","0.0"
"Botswana","Iceland","2014.0","Export","1.0","0.04","0.72","0.0"
"Botswana","Israel","2014.0","Export","23.0","0.95","662200.81","8.37"
"Botswana","Italy","2014.0","Export","14.0","0.58","1102.94","0.01"
"Botswana","Jamaica","2014.0","Export","","","",""
"Botswana","Jordan","2014.0","Export","1.0","0.04","0.04","0.0"
