"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Brazil","Aruba","2014.0","Export","236.0","5.85","282277.43","0.13"
"Brazil","Afghanistan","2014.0","Export","46.0","1.14","11721.37","0.01"
"Brazil","Angola","2014.0","Export","2193.0","54.34","1261718.73","0.56"
"Brazil","Anguila","2014.0","Export","16.0","0.4","499.91","0.0"
"Brazil","Albania","2014.0","Export","38.0","0.94","41175.64","0.02"
"Brazil","Andorra","2014.0","Export","2.0","0.05","1.68","0.0"
"Brazil","United Arab Emirates","2014.0","Export","961.0","23.81","2846576.74","1.26"
"Brazil","Argentina","2014.0","Export","2546.0","63.08","14281998.04","6.34"
"Brazil","Armenia","2014.0","Export","61.0","1.51","39238.55","0.02"
"Brazil","American Samoa","2014.0","Export","1.0","0.02","25.46","0.0"
"Brazil","Antigua and Barbuda","2014.0","Export","99.0","2.45","6867.57","0.0"
"Brazil","Australia","2014.0","Export","1038.0","25.72","420665.53","0.19"
"Brazil","Austria","2014.0","Export","361.0","8.94","146893.13","0.07"
"Brazil","Azerbaijan","2014.0","Export","97.0","2.4","26645.59","0.01"
"Brazil","Burundi","2014.0","Export","7.0","0.17","183.4","0.0"
"Brazil","Belgium","2014.0","Export","938.0","23.24","3286948.95","1.46"
"Brazil","Benin","2014.0","Export","54.0","1.34","119610.91","0.05"
"Brazil","Burkina Faso","2014.0","Export","63.0","1.56","3371.65","0.0"
"Brazil","Bangladesh","2014.0","Export","134.0","3.32","869106.96","0.39"
"Brazil","Bulgaria","2014.0","Export","250.0","6.19","205535.77","0.09"
"Brazil","Bahrain","2014.0","Export","162.0","4.01","343894.15","0.15"
"Brazil","Bahamas, The","2014.0","Export","143.0","3.54","613317.19","0.27"
"Brazil","Bosnia and Herzegovina","2014.0","Export","42.0","1.04","1612.25","0.0"
"Brazil","Belarus","2014.0","Export","76.0","1.88","73981.12","0.03"
"Brazil","Belize","2014.0","Export","143.0","3.54","4602.07","0.0"
"Brazil","Bermuda","2014.0","Export","42.0","1.04","27419.44","0.01"
"Brazil","Bolivia","2014.0","Export","2516.0","62.34","1612359.15","0.72"
"Brazil","Barbados","2014.0","Export","285.0","7.06","20534.05","0.01"
"Brazil","Brunei","2014.0","Export","52.0","1.29","814.59","0.0"
"Brazil","Bhutan","2014.0","Export","","","",""
"Brazil","Bunkers","2014.0","Export","2.0","0.05","4037680.21","1.79"
"Brazil","Botswana","2014.0","Export","61.0","1.51","1446.57","0.0"
"Brazil","Central African Republic","2014.0","Export","35.0","0.87","2222.97","0.0"
"Brazil","Canada","2014.0","Export","1060.0","26.26","2315561.32","1.03"
"Brazil","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","0.11","0.0"
"Brazil","Switzerland","2014.0","Export","922.0","22.84","2316677.65","1.03"
"Brazil","Chile","2014.0","Export","2371.0","58.75","4984190.84","2.21"
"Brazil","China","2014.0","Export","1385.0","34.32","40616107.93","18.04"
"Brazil","Cote d'Ivoire","2014.0","Export","275.0","6.81","55660.72","0.02"
"Brazil","Cameroon","2014.0","Export","160.0","3.96","83500.05","0.04"
"Brazil","Congo, Rep.","2014.0","Export","671.0","16.63","86152.63","0.04"
"Brazil","Cook Islands","2014.0","Export","","","",""
"Brazil","Colombia","2014.0","Export","2131.0","52.8","2384255.63","1.06"
"Brazil","Comoros","2014.0","Export","15.0","0.37","1695.82","0.0"
"Brazil","Cape Verde","2014.0","Export","263.0","6.52","21273.68","0.01"
"Brazil","Costa Rica","2014.0","Export","1337.0","33.13","248579.22","0.11"
"Brazil","Cuba","2014.0","Export","772.0","19.13","507778.16","0.23"
"Brazil","Curaçao","2014.0","Export","423.0","10.48","867788.2","0.39"
"Brazil","Cayman Islands","2014.0","Export","98.0","2.43","46359.51","0.02"
"Brazil","Cyprus","2014.0","Export","96.0","2.38","42944.77","0.02"
"Brazil","Czech Republic","2014.0","Export","249.0","6.17","55675.73","0.02"
"Brazil","Germany","2014.0","Export","1605.0","39.77","6630257.19","2.95"
"Brazil","Djibouti","2014.0","Export","20.0","0.5","20699.14","0.01"
"Brazil","Dominica","2014.0","Export","55.0","1.36","3679.48","0.0"
"Brazil","Denmark","2014.0","Export","351.0","8.7","516494.43","0.23"
"Brazil","Dominican Republic","2014.0","Export","1371.0","33.97","358337.92","0.16"
"Brazil","Algeria","2014.0","Export","334.0","8.28","1152388.98","0.51"
"Brazil","East Asia & Pacific","2014.0","Export","2410.0","59.71","66377473.67","29.49"
"Brazil","Europe & Central Asia","2014.0","Export","2984.0","73.93","51257838.96","22.77"
"Brazil","Ecuador","2014.0","Export","1691.0","41.9","822104.26","0.37"
"Brazil","Egypt, Arab Rep.","2014.0","Export","601.0","14.89","2314968.61","1.03"
"Brazil","Eritrea","2014.0","Export","1.0","0.02","56.77","0.0"
"Brazil","Spain","2014.0","Export","1253.0","31.05","3280754.95","1.46"
"Brazil","Estonia","2014.0","Export","132.0","3.27","46288.37","0.02"
"Brazil","Ethiopia(excludes Eritrea)","2014.0","Export","161.0","3.99","20643.33","0.01"
"Brazil","Finland","2014.0","Export","337.0","8.35","401204.8","0.18"
"Brazil","Fiji","2014.0","Export","46.0","1.14","978.75","0.0"
"Brazil","Falkland Island","2014.0","Export","2.0","0.05","2.23","0.0"
"Brazil","France","2014.0","Export","1551.0","38.43","2947647.71","1.31"
"Brazil","Free Zones","2014.0","Export","","","",""
"Brazil","Faeroe Islands","2014.0","Export","2.0","0.05","72.37","0.0"
"Brazil","Micronesia, Fed. Sts.","2014.0","Export","2.0","0.05","78.01","0.0"
"Brazil","Gabon","2014.0","Export","223.0","5.53","49503.62","0.02"
"Brazil","United Kingdom","2014.0","Export","1315.0","32.58","3827192.66","1.7"
"Brazil","Georgia","2014.0","Export","104.0","2.58","276797.52","0.12"
"Brazil","Ghana","2014.0","Export","570.0","14.12","213332.47","0.09"
"Brazil","Gibraltar","2014.0","Export","18.0","0.45","10032.06","0.0"
"Brazil","Guinea","2014.0","Export","152.0","3.77","65082.41","0.03"
"Brazil","Gambia, The","2014.0","Export","52.0","1.29","96281.71","0.04"
"Brazil","Guinea-Bissau","2014.0","Export","110.0","2.73","2562.61","0.0"
"Brazil","Equatorial Guinea","2014.0","Export","1239.0","30.7","56354.7","0.03"
"Brazil","Greece","2014.0","Export","387.0","9.59","136762.97","0.06"
"Brazil","Grenada","2014.0","Export","76.0","1.88","8221.83","0.0"
"Brazil","Guatemala","2014.0","Export","1191.0","29.51","211584.34","0.09"
"Brazil","Guam","2014.0","Export","4.0","0.1","114.74","0.0"
