"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Brunei","Afghanistan","2014.0","Export","","","",""
"Brunei","Albania","2014.0","Export","1.0","0.06","0.04","0.0"
"Brunei","United Arab Emirates","2014.0","Export","54.0","3.06","1890.93","0.02"
"Brunei","Argentina","2014.0","Export","2.0","0.11","17.34","0.0"
"Brunei","Antarctica","2014.0","Export","","","",""
"Brunei","Australia","2014.0","Export","129.0","7.31","795494.26","7.57"
"Brunei","Austria","2014.0","Export","1.0","0.06","0.02","0.0"
"Brunei","Belgium","2014.0","Export","","","",""
"Brunei","Bangladesh","2014.0","Export","1.0","0.06","35.7","0.0"
"Brunei","Bulgaria","2014.0","Export","","","",""
"Brunei","Bahrain","2014.0","Export","2.0","0.11","137.03","0.0"
"Brunei","Bahamas, The","2014.0","Export","","","",""
"Brunei","Belize","2014.0","Export","","","",""
"Brunei","Bermuda","2014.0","Export","","","",""
"Brunei","Brazil","2014.0","Export","9.0","0.51","224.5","0.0"
"Brunei","Canada","2014.0","Export","17.0","0.96","243832.05","2.32"
"Brunei","Switzerland","2014.0","Export","2.0","0.11","11.95","0.0"
"Brunei","Chile","2014.0","Export","1.0","0.06","0.71","0.0"
"Brunei","China","2014.0","Export","124.0","7.03","95382.87","0.91"
"Brunei","Cameroon","2014.0","Export","","","",""
"Brunei","Colombia","2014.0","Export","","","",""
"Brunei","Cuba","2014.0","Export","","","",""
"Brunei","Christmas Island","2014.0","Export","","","",""
"Brunei","Cyprus","2014.0","Export","","","",""
"Brunei","Czech Republic","2014.0","Export","1.0","0.06","0.02","0.0"
"Brunei","Germany","2014.0","Export","105.0","5.95","4243.83","0.04"
"Brunei","Denmark","2014.0","Export","14.0","0.79","216.5","0.0"
"Brunei","Dominican Republic","2014.0","Export","","","",""
"Brunei","East Asia & Pacific","2014.0","Export","1698.0","96.26","8401932.99","79.95"
"Brunei","Europe & Central Asia","2014.0","Export","464.0","26.3","299089.81","2.85"
"Brunei","Egypt, Arab Rep.","2014.0","Export","4.0","0.23","68.83","0.0"
"Brunei","Spain","2014.0","Export","2.0","0.11","43.08","0.0"
"Brunei","Finland","2014.0","Export","75.0","4.25","58.37","0.0"
"Brunei","Fiji","2014.0","Export","","","",""
"Brunei","France","2014.0","Export","15.0","0.85","354.96","0.0"
"Brunei","United Kingdom","2014.0","Export","238.0","13.49","6887.18","0.07"
"Brunei","Ghana","2014.0","Export","","","",""
"Brunei","Greece","2014.0","Export","1.0","0.06","0.21","0.0"
"Brunei","Guatemala","2014.0","Export","","","",""
"Brunei","Hong Kong, China","2014.0","Export","104.0","5.9","6264.54","0.06"
"Brunei","Honduras","2014.0","Export","","","",""
"Brunei","Hungary","2014.0","Export","","","",""
"Brunei","Indonesia","2014.0","Export","62.0","3.51","637063.49","6.06"
"Brunei","India","2014.0","Export","28.0","1.59","957138.37","9.11"
"Brunei","Ireland","2014.0","Export","","","",""
"Brunei","Iran, Islamic Rep.","2014.0","Export","1.0","0.06","9.66","0.0"
"Brunei","Iraq","2014.0","Export","1.0","0.06","0.0","0.0"
"Brunei","Iceland","2014.0","Export","","","",""
"Brunei","Israel","2014.0","Export","","","",""
"Brunei","Italy","2014.0","Export","24.0","1.36","280570.76","2.67"
"Brunei","Jamaica","2014.0","Export","","","",""
"Brunei","Jordan","2014.0","Export","1.0","0.06","18.72","0.0"
"Brunei","Japan","2014.0","Export","36.0","2.04","3910751.89","37.21"
"Brunei","Kenya","2014.0","Export","1.0","0.06","98.04","0.0"
"Brunei","Cambodia","2014.0","Export","1.0","0.06","39.22","0.0"
"Brunei","Korea, Rep.","2014.0","Export","100.0","5.67","1152075.73","10.96"
"Brunei","Kuwait","2014.0","Export","2.0","0.11","23.99","0.0"
"Brunei","Lao PDR","2014.0","Export","1.0","0.06","22.82","0.0"
"Brunei","Lebanon","2014.0","Export","2.0","0.11","5.03","0.0"
"Brunei","Latin America & Caribbean","2014.0","Export","11.0","0.62","242.54","0.0"
"Brunei","Sri Lanka","2014.0","Export","2.0","0.11","166.19","0.0"
"Brunei","Luxembourg","2014.0","Export","","","",""
"Brunei","Macao","2014.0","Export","","","",""
"Brunei","Morocco","2014.0","Export","1.0","0.06","9.02","0.0"
"Brunei","Madagascar","2014.0","Export","","","",""
"Brunei","Maldives","2014.0","Export","","","",""
"Brunei","Middle East & North Africa","2014.0","Export","93.0","5.27","4099.08","0.04"
"Brunei","Mexico","2014.0","Export","","","",""
"Brunei","Mali","2014.0","Export","","","",""
