"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bulgaria","Aruba","2014.0","Export","6.0","0.16","22.53","0.0"
"Bulgaria","Afghanistan","2014.0","Export","130.0","3.44","2632.76","0.01"
"Bulgaria","Angola","2014.0","Export","24.0","0.63","1183.46","0.0"
"Bulgaria","Albania","2014.0","Export","750.0","19.83","80810.89","0.28"
"Bulgaria","Andorra","2014.0","Export","12.0","0.32","127.74","0.0"
"Bulgaria","United Arab Emirates","2014.0","Export","483.0","12.77","359583.33","1.22"
"Bulgaria","Argentina","2014.0","Export","64.0","1.69","3792.73","0.01"
"Bulgaria","Armenia","2014.0","Export","440.0","11.63","24561.76","0.08"
"Bulgaria","Fr. So. Ant. Tr","2014.0","Export","10.0","0.26","251.67","0.0"
"Bulgaria","Antigua and Barbuda","2014.0","Export","9.0","0.24","769.18","0.0"
"Bulgaria","Australia","2014.0","Export","319.0","8.43","27595.63","0.09"
"Bulgaria","Austria","2014.0","Export","901.0","23.82","503541.97","1.71"
"Bulgaria","Azerbaijan","2014.0","Export","330.0","8.73","39855.55","0.14"
"Bulgaria","Burundi","2014.0","Export","7.0","0.19","165.54","0.0"
"Bulgaria","Belgium","2014.0","Export","888.0","23.48","1220325.02","4.15"
"Bulgaria","Benin","2014.0","Export","21.0","0.56","998.09","0.0"
"Bulgaria","Burkina Faso","2014.0","Export","4.0","0.11","62.32","0.0"
"Bulgaria","Bangladesh","2014.0","Export","47.0","1.24","4060.38","0.01"
"Bulgaria","Bahrain","2014.0","Export","69.0","1.82","1941.2","0.01"
"Bulgaria","Bahamas, The","2014.0","Export","6.0","0.16","1061.4","0.0"
"Bulgaria","Bosnia and Herzegovina","2014.0","Export","578.0","15.28","56056.1","0.19"
"Bulgaria","Belarus","2014.0","Export","369.0","9.76","57631.99","0.2"
"Bulgaria","Belize","2014.0","Export","9.0","0.24","6522.94","0.02"
"Bulgaria","Bermuda","2014.0","Export","4.0","0.11","27.49","0.0"
"Bulgaria","Bolivia","2014.0","Export","30.0","0.79","1288.69","0.0"
"Bulgaria","Brazil","2014.0","Export","177.0","4.68","20163.94","0.07"
"Bulgaria","Barbados","2014.0","Export","4.0","0.11","25.05","0.0"
"Bulgaria","Brunei","2014.0","Export","4.0","0.11","10.38","0.0"
"Bulgaria","Bunkers","2014.0","Export","8.0","0.21","55914.94","0.19"
"Bulgaria","Botswana","2014.0","Export","5.0","0.13","29.16","0.0"
"Bulgaria","Central African Republic","2014.0","Export","16.0","0.42","155.53","0.0"
"Bulgaria","Canada","2014.0","Export","364.0","9.62","53025.67","0.18"
"Bulgaria","Switzerland","2014.0","Export","758.0","20.04","162660.86","0.55"
"Bulgaria","Chile","2014.0","Export","122.0","3.23","5081.87","0.02"
"Bulgaria","China","2014.0","Export","470.0","12.43","708859.7","2.41"
"Bulgaria","Cote d'Ivoire","2014.0","Export","18.0","0.48","2130.51","0.01"
"Bulgaria","Cameroon","2014.0","Export","27.0","0.71","982.76","0.0"
"Bulgaria","Congo, Rep.","2014.0","Export","28.0","0.74","2393.63","0.01"
"Bulgaria","Cook Islands","2014.0","Export","3.0","0.08","111.58","0.0"
"Bulgaria","Colombia","2014.0","Export","78.0","2.06","5313.78","0.02"
"Bulgaria","Comoros","2014.0","Export","10.0","0.26","110.87","0.0"
"Bulgaria","Cape Verde","2014.0","Export","6.0","0.16","602.24","0.0"
"Bulgaria","Costa Rica","2014.0","Export","24.0","0.63","900.02","0.0"
"Bulgaria","Cuba","2014.0","Export","66.0","1.75","1471.76","0.01"
"Bulgaria","Curaçao","2014.0","Export","11.0","0.29","354.41","0.0"
"Bulgaria","Cayman Islands","2014.0","Export","2.0","0.05","53.23","0.0"
"Bulgaria","Cyprus","2014.0","Export","655.0","17.32","131803.3","0.45"
"Bulgaria","Czech Republic","2014.0","Export","864.0","22.85","424597.2","1.44"
"Bulgaria","Germany","2014.0","Export","1751.0","46.3","3531031.43","12.02"
"Bulgaria","Djibouti","2014.0","Export","9.0","0.24","58.54","0.0"
"Bulgaria","Dominica","2014.0","Export","1.0","0.03","0.08","0.0"
"Bulgaria","Denmark","2014.0","Export","467.0","12.35","139067.49","0.47"
"Bulgaria","Dominican Republic","2014.0","Export","46.0","1.22","1594.67","0.01"
"Bulgaria","Algeria","2014.0","Export","162.0","4.28","208379.38","0.71"
"Bulgaria","East Asia & Pacific","2014.0","Export","1083.0","28.64","1885819.5","6.42"
"Bulgaria","Europe & Central Asia","2014.0","Export","3724.0","98.47","23875701.65","81.25"
"Bulgaria","Ecuador","2014.0","Export","51.0","1.35","1704.53","0.01"
"Bulgaria","Egypt, Arab Rep.","2014.0","Export","333.0","8.8","245239.42","0.83"
"Bulgaria","Eritrea","2014.0","Export","3.0","0.08","56.62","0.0"
"Bulgaria","Spain","2014.0","Export","904.0","23.9","614251.51","2.09"
"Bulgaria","Estonia","2014.0","Export","317.0","8.38","28209.26","0.1"
"Bulgaria","Ethiopia(excludes Eritrea)","2014.0","Export","54.0","1.43","6658.9","0.02"
"Bulgaria","Finland","2014.0","Export","276.0","7.3","103778.17","0.35"
"Bulgaria","Fiji","2014.0","Export","3.0","0.08","112.94","0.0"
"Bulgaria","France","2014.0","Export","1228.0","32.47","1259513.63","4.29"
"Bulgaria","Faeroe Islands","2014.0","Export","1.0","0.03","4.04","0.0"
"Bulgaria","Gabon","2014.0","Export","21.0","0.56","821.51","0.0"
"Bulgaria","United Kingdom","2014.0","Export","1018.0","26.92","650193.74","2.21"
"Bulgaria","Georgia","2014.0","Export","669.0","17.69","245484.86","0.84"
"Bulgaria","Ghana","2014.0","Export","77.0","2.04","7126.19","0.02"
"Bulgaria","Gibraltar","2014.0","Export","17.0","0.45","217001.69","0.74"
"Bulgaria","Guinea","2014.0","Export","12.0","0.32","714.62","0.0"
"Bulgaria","Gambia, The","2014.0","Export","3.0","0.08","19.5","0.0"
"Bulgaria","Guinea-Bissau","2014.0","Export","1.0","0.03","1.33","0.0"
"Bulgaria","Equatorial Guinea","2014.0","Export","43.0","1.14","468.76","0.0"
"Bulgaria","Greece","2014.0","Export","2289.0","60.52","1967618.67","6.7"
"Bulgaria","Grenada","2014.0","Export","1.0","0.03","1.01","0.0"
"Bulgaria","Greenland","2014.0","Export","","","",""
"Bulgaria","Guatemala","2014.0","Export","24.0","0.63","1147.26","0.0"
"Bulgaria","Guam","2014.0","Export","2.0","0.05","1.19","0.0"
"Bulgaria","Guyana","2014.0","Export","14.0","0.37","477.21","0.0"
"Bulgaria","Hong Kong, China","2014.0","Export","380.0","10.05","63040.31","0.21"
"Bulgaria","Honduras","2014.0","Export","10.0","0.26","329.25","0.0"
"Bulgaria","Croatia","2014.0","Export","664.0","17.56","123542.54","0.42"
"Bulgaria","Haiti","2014.0","Export","15.0","0.4","136.38","0.0"
"Bulgaria","Hungary","2014.0","Export","870.0","23.0","395259.62","1.35"
"Bulgaria","Indonesia","2014.0","Export","153.0","4.05","37258.89","0.13"
"Bulgaria","India","2014.0","Export","289.0","7.64","64646.01","0.22"
"Bulgaria","Ireland","2014.0","Export","203.0","5.37","95306.15","0.32"
"Bulgaria","Iran, Islamic Rep.","2014.0","Export","195.0","5.16","111523.9","0.38"
"Bulgaria","Iraq","2014.0","Export","259.0","6.85","50726.24","0.17"
"Bulgaria","Iceland","2014.0","Export","59.0","1.56","1535.63","0.01"
"Bulgaria","Israel","2014.0","Export","433.0","11.45","125271.43","0.43"
"Bulgaria","Italy","2014.0","Export","1639.0","43.34","2631376.68","8.95"
"Bulgaria","Jamaica","2014.0","Export","6.0","0.16","206.66","0.0"
"Bulgaria","Jordan","2014.0","Export","177.0","4.68","19774.67","0.07"
"Bulgaria","Japan","2014.0","Export","284.0","7.51","37836.12","0.13"
"Bulgaria","Kazakhstan","2014.0","Export","335.0","8.86","46172.81","0.16"
"Bulgaria","Kenya","2014.0","Export","81.0","2.14","5845.05","0.02"
"Bulgaria","Kyrgyz Republic","2014.0","Export","88.0","2.33","3305.26","0.01"
"Bulgaria","Cambodia","2014.0","Export","17.0","0.45","309.07","0.0"
"Bulgaria","St. Kitts and Nevis","2014.0","Export","6.0","0.16","1372.23","0.0"
"Bulgaria","Korea, Rep.","2014.0","Export","247.0","6.53","94518.14","0.32"
"Bulgaria","Kuwait","2014.0","Export","153.0","4.05","5785.0","0.02"
"Bulgaria","Lao PDR","2014.0","Export","2.0","0.05","11.8","0.0"
"Bulgaria","Lebanon","2014.0","Export","312.0","8.25","134691.78","0.46"
"Bulgaria","Liberia","2014.0","Export","29.0","0.77","2262.84","0.01"
"Bulgaria","Libya","2014.0","Export","115.0","3.04","181879.91","0.62"
"Bulgaria","St. Lucia","2014.0","Export","1.0","0.03","0.43","0.0"
"Bulgaria","Latin America & Caribbean","2014.0","Export","562.0","14.86","101305.47","0.34"
"Bulgaria","Sri Lanka","2014.0","Export","40.0","1.06","7297.38","0.02"
"Bulgaria","Lesotho","2014.0","Export","1.0","0.03","3.46","0.0"
"Bulgaria","Lithuania","2014.0","Export","503.0","13.3","61868.1","0.21"
"Bulgaria","Luxembourg","2014.0","Export","82.0","2.17","3505.07","0.01"
"Bulgaria","Latvia","2014.0","Export","390.0","10.31","34169.28","0.12"
"Bulgaria","Macao","2014.0","Export","9.0","0.24","1411.54","0.0"
"Bulgaria","Morocco","2014.0","Export","201.0","5.31","90547.58","0.31"
"Bulgaria","Moldova","2014.0","Export","567.0","14.99","101749.91","0.35"
"Bulgaria","Madagascar","2014.0","Export","15.0","0.4","1348.79","0.0"
"Bulgaria","Maldives","2014.0","Export","16.0","0.42","70.44","0.0"
"Bulgaria","Middle East & North Africa","2014.0","Export","1324.0","35.01","1921322.22","6.54"
"Bulgaria","Mexico","2014.0","Export","194.0","5.13","35029.57","0.12"
"Bulgaria","Marshall Islands","2014.0","Export","12.0","0.32","2986.21","0.01"
"Bulgaria","Macedonia, FYR","2014.0","Export","2069.0","54.71","476815.97","1.62"
"Bulgaria","Mali","2014.0","Export","22.0","0.58","492.12","0.0"
"Bulgaria","Malta","2014.0","Export","288.0","7.62","50331.69","0.17"
"Bulgaria","Myanmar","2014.0","Export","22.0","0.58","521.79","0.0"
"Bulgaria","Mongolia","2014.0","Export","49.0","1.3","1729.58","0.01"
"Bulgaria","Montenegro","2014.0","Export","335.0","8.86","17477.53","0.06"
"Bulgaria","Mozambique","2014.0","Export","12.0","0.32","474.66","0.0"
"Bulgaria","Mauritania","2014.0","Export","9.0","0.24","101.02","0.0"
"Bulgaria","Mauritius","2014.0","Export","29.0","0.77","416.23","0.0"
"Bulgaria","Malawi","2014.0","Export","14.0","0.37","2609.48","0.01"
"Bulgaria","Malaysia","2014.0","Export","179.0","4.73","33160.06","0.11"
"Bulgaria","North America","2014.0","Export","941.0","24.88","465404.15","1.58"
"Bulgaria","Namibia","2014.0","Export","30.0","0.79","96232.92","0.33"
"Bulgaria","New Caledonia","2014.0","Export","7.0","0.19","373.58","0.0"
"Bulgaria","Niger","2014.0","Export","10.0","0.26","1059.78","0.0"
"Bulgaria","Nigeria","2014.0","Export","129.0","3.41","5579.14","0.02"
"Bulgaria","Nicaragua","2014.0","Export","5.0","0.13","27.7","0.0"
"Bulgaria","Netherlands","2014.0","Export","904.0","23.9","658848.93","2.24"
"Bulgaria","Norway","2014.0","Export","425.0","11.24","47446.01","0.16"
"Bulgaria","Nepal","2014.0","Export","18.0","0.48","232.14","0.0"
"Bulgaria","New Zealand","2014.0","Export","90.0","2.38","15963.84","0.05"
"Bulgaria","Other Asia, nes","2014.0","Export","172.0","4.55","26319.86","0.09"
"Bulgaria","Oman","2014.0","Export","67.0","1.77","25223.9","0.09"
"Bulgaria","Pakistan","2014.0","Export","97.0","2.56","14401.07","0.05"
"Bulgaria","Panama","2014.0","Export","104.0","2.75","3573.89","0.01"
"Bulgaria","Peru","2014.0","Export","82.0","2.17","4914.0","0.02"
"Bulgaria","Philippines","2014.0","Export","81.0","2.14","47452.29","0.16"
"Bulgaria","Palau","2014.0","Export","1.0","0.03","0.57","0.0"
"Bulgaria","Papua New Guinea","2014.0","Export","1.0","0.03","20.77","0.0"
