"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Burkina Faso","Afghanistan","2014.0","Export","","","",""
"Burkina Faso","Angola","2014.0","Export","1.0","0.14","70.89","0.0"
"Burkina Faso","Albania","2014.0","Export","","","",""
"Burkina Faso","Andorra","2014.0","Export","","","",""
"Burkina Faso","United Arab Emirates","2014.0","Export","7.0","0.95","2818.22","0.1"
"Burkina Faso","Argentina","2014.0","Export","","","",""
"Burkina Faso","Armenia","2014.0","Export","","","",""
"Burkina Faso","Australia","2014.0","Export","4.0","0.54","90.78","0.0"
"Burkina Faso","Austria","2014.0","Export","3.0","0.41","17.1","0.0"
"Burkina Faso","Burundi","2014.0","Export","","","",""
"Burkina Faso","Belgium","2014.0","Export","45.0","6.11","30234.61","1.06"
"Burkina Faso","Benin","2014.0","Export","67.0","9.09","37444.58","1.32"
"Burkina Faso","Bangladesh","2014.0","Export","","","",""
"Burkina Faso","Bulgaria","2014.0","Export","1.0","0.14","182.12","0.01"
"Burkina Faso","Bahrain","2014.0","Export","1.0","0.14","31.59","0.0"
"Burkina Faso","Bosnia and Herzegovina","2014.0","Export","","","",""
"Burkina Faso","Brazil","2014.0","Export","1.0","0.14","1179.82","0.04"
"Burkina Faso","Brunei","2014.0","Export","1.0","0.14","20.25","0.0"
"Burkina Faso","Botswana","2014.0","Export","","","",""
"Burkina Faso","Central African Republic","2014.0","Export","1.0","0.14","72.33","0.0"
"Burkina Faso","Canada","2014.0","Export","18.0","2.44","1677.45","0.06"
"Burkina Faso","Switzerland","2014.0","Export","17.0","2.31","1422340.71","49.98"
"Burkina Faso","Chile","2014.0","Export","4.0","0.54","3.8","0.0"
"Burkina Faso","China","2014.0","Export","17.0","2.31","32791.06","1.15"
"Burkina Faso","Cote d'Ivoire","2014.0","Export","206.0","27.95","149171.07","5.24"
"Burkina Faso","Cameroon","2014.0","Export","9.0","1.22","2403.95","0.08"
"Burkina Faso","Congo, Rep.","2014.0","Export","3.0","0.41","174.12","0.01"
"Burkina Faso","Cape Verde","2014.0","Export","1.0","0.14","61.28","0.0"
"Burkina Faso","Costa Rica","2014.0","Export","","","",""
"Burkina Faso","Curaçao","2014.0","Export","1.0","0.14","3.61","0.0"
"Burkina Faso","Cyprus","2014.0","Export","","","",""
"Burkina Faso","Czech Republic","2014.0","Export","2.0","0.27","24.32","0.0"
"Burkina Faso","Germany","2014.0","Export","56.0","7.6","6460.49","0.23"
"Burkina Faso","Djibouti","2014.0","Export","","","",""
"Burkina Faso","Denmark","2014.0","Export","8.0","1.09","15964.47","0.56"
"Burkina Faso","Algeria","2014.0","Export","2.0","0.27","1629.02","0.06"
"Burkina Faso","East Asia & Pacific","2014.0","Export","47.0","6.38","359057.55","12.62"
"Burkina Faso","Europe & Central Asia","2014.0","Export","327.0","44.37","1682879.99","59.14"
"Burkina Faso","Ecuador","2014.0","Export","","","",""
"Burkina Faso","Egypt, Arab Rep.","2014.0","Export","1.0","0.14","27.84","0.0"
"Burkina Faso","Eritrea","2014.0","Export","3.0","0.41","55.42","0.0"
"Burkina Faso","Spain","2014.0","Export","11.0","1.49","1825.63","0.06"
"Burkina Faso","Estonia","2014.0","Export","","","",""
"Burkina Faso","Ethiopia(excludes Eritrea)","2014.0","Export","2.0","0.27","4582.65","0.16"
"Burkina Faso","Finland","2014.0","Export","1.0","0.14","14.61","0.0"
"Burkina Faso","France","2014.0","Export","255.0","34.6","115620.97","4.06"
"Burkina Faso","Gabon","2014.0","Export","8.0","1.09","521.67","0.02"
"Burkina Faso","United Kingdom","2014.0","Export","23.0","3.12","48810.35","1.72"
"Burkina Faso","Georgia","2014.0","Export","3.0","0.41","26.84","0.0"
"Burkina Faso","Ghana","2014.0","Export","149.0","20.22","71460.83","2.51"
"Burkina Faso","Gibraltar","2014.0","Export","","","",""
"Burkina Faso","Gambia, The","2014.0","Export","6.0","0.81","560.53","0.02"
"Burkina Faso","Guinea-Bissau","2014.0","Export","2.0","0.27","150.5","0.01"
"Burkina Faso","Equatorial Guinea","2014.0","Export","1.0","0.14","77.78","0.0"
"Burkina Faso","Greece","2014.0","Export","3.0","0.41","10234.24","0.36"
"Burkina Faso","Guatemala","2014.0","Export","1.0","0.14","37.06","0.0"
"Burkina Faso","Hong Kong, China","2014.0","Export","5.0","0.68","5203.04","0.18"
"Burkina Faso","Honduras","2014.0","Export","","","",""
"Burkina Faso","Croatia","2014.0","Export","","","",""
"Burkina Faso","Hungary","2014.0","Export","","","",""
"Burkina Faso","Indonesia","2014.0","Export","3.0","0.41","24567.78","0.86"
"Burkina Faso","India","2014.0","Export","10.0","1.36","31847.83","1.12"
"Burkina Faso","Ireland","2014.0","Export","","","",""
"Burkina Faso","Iran, Islamic Rep.","2014.0","Export","1.0","0.14","13.66","0.0"
"Burkina Faso","Iceland","2014.0","Export","","","",""
"Burkina Faso","Israel","2014.0","Export","2.0","0.27","209.0","0.01"
"Burkina Faso","Italy","2014.0","Export","33.0","4.48","3127.89","0.11"
"Burkina Faso","Jordan","2014.0","Export","2.0","0.27","109.36","0.0"
"Burkina Faso","Japan","2014.0","Export","17.0","2.31","27572.63","0.97"
"Burkina Faso","Kazakhstan","2014.0","Export","","","",""
"Burkina Faso","Kenya","2014.0","Export","2.0","0.27","102.41","0.0"
"Burkina Faso","Cambodia","2014.0","Export","1.0","0.14","164.61","0.01"
"Burkina Faso","Korea, Rep.","2014.0","Export","2.0","0.27","0.06","0.0"
"Burkina Faso","Kuwait","2014.0","Export","","","",""
"Burkina Faso","Lebanon","2014.0","Export","5.0","0.68","379.58","0.01"
"Burkina Faso","Liberia","2014.0","Export","11.0","1.49","6525.51","0.23"
"Burkina Faso","Libya","2014.0","Export","3.0","0.41","165.74","0.01"
"Burkina Faso","Latin America & Caribbean","2014.0","Export","10.0","1.36","2327.25","0.08"
"Burkina Faso","Sri Lanka","2014.0","Export","","","",""
"Burkina Faso","Lithuania","2014.0","Export","","","",""
"Burkina Faso","Latvia","2014.0","Export","","","",""
"Burkina Faso","Macao","2014.0","Export","","","",""
"Burkina Faso","Morocco","2014.0","Export","11.0","1.49","958.97","0.03"
"Burkina Faso","Moldova","2014.0","Export","1.0","0.14","708.77","0.02"
"Burkina Faso","Madagascar","2014.0","Export","2.0","0.27","30.38","0.0"
"Burkina Faso","Middle East & North Africa","2014.0","Export","20.0","2.71","8880.7","0.31"
"Burkina Faso","Mexico","2014.0","Export","","","",""
"Burkina Faso","Mali","2014.0","Export","162.0","21.98","251070.42","8.82"
"Burkina Faso","Myanmar","2014.0","Export","","","",""
"Burkina Faso","Mozambique","2014.0","Export","1.0","0.14","54.35","0.0"
