"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Burundi","Afghanistan","2014.0","Export","1.0","0.21","0.5","0.0"
"Burundi","Anguila","2014.0","Export","","","",""
"Burundi","Andorra","2014.0","Export","1.0","0.21","0.81","0.0"
"Burundi","United Arab Emirates","2014.0","Export","9.0","1.87","24944.46","17.63"
"Burundi","Argentina","2014.0","Export","","","",""
"Burundi","American Samoa","2014.0","Export","","","",""
"Burundi","Australia","2014.0","Export","4.0","0.83","332.16","0.23"
"Burundi","Austria","2014.0","Export","","","",""
"Burundi","Azerbaijan","2014.0","Export","","","",""
"Burundi","Belgium","2014.0","Export","37.0","7.68","5863.42","4.14"
"Burundi","Benin","2014.0","Export","2.0","0.41","47.1","0.03"
"Burundi","Burkina Faso","2014.0","Export","1.0","0.21","3.28","0.0"
"Burundi","Bangladesh","2014.0","Export","","","",""
"Burundi","Bulgaria","2014.0","Export","","","",""
"Burundi","Bahrain","2014.0","Export","","","",""
"Burundi","Belize","2014.0","Export","","","",""
"Burundi","Bermuda","2014.0","Export","1.0","0.21","7.41","0.01"
"Burundi","Brazil","2014.0","Export","1.0","0.21","0.45","0.0"
"Burundi","Brunei","2014.0","Export","","","",""
"Burundi","Central African Republic","2014.0","Export","8.0","1.66","6.01","0.0"
"Burundi","Canada","2014.0","Export","4.0","0.83","345.45","0.24"
"Burundi","Switzerland","2014.0","Export","6.0","1.24","23471.04","16.59"
"Burundi","China","2014.0","Export","5.0","1.04","1183.49","0.84"
"Burundi","Cote d'Ivoire","2014.0","Export","5.0","1.04","29.83","0.02"
"Burundi","Cameroon","2014.0","Export","10.0","2.07","774.85","0.55"
"Burundi","Congo, Rep.","2014.0","Export","1.0","0.21","12.37","0.01"
"Burundi","Colombia","2014.0","Export","","","",""
"Burundi","Comoros","2014.0","Export","1.0","0.21","0.88","0.0"
"Burundi","Costa Rica","2014.0","Export","","","",""
"Burundi","Cyprus","2014.0","Export","","","",""
"Burundi","Czech Republic","2014.0","Export","","","",""
"Burundi","Germany","2014.0","Export","15.0","3.11","12420.38","8.78"
"Burundi","Djibouti","2014.0","Export","5.0","1.04","24.24","0.02"
"Burundi","Denmark","2014.0","Export","","","",""
"Burundi","East Asia & Pacific","2014.0","Export","15.0","3.11","7288.88","5.15"
"Burundi","Europe & Central Asia","2014.0","Export","73.0","15.15","47708.31","33.72"
"Burundi","Ecuador","2014.0","Export","","","",""
"Burundi","Egypt, Arab Rep.","2014.0","Export","1.0","0.21","4.03","0.0"
"Burundi","Spain","2014.0","Export","1.0","0.21","75.55","0.05"
"Burundi","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.21","12.22","0.01"
