"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cameroon","Afghanistan","2014.0","Export","","","",""
"Cameroon","Angola","2014.0","Export","95.0","6.47","10656.15","0.21"
"Cameroon","Albania","2014.0","Export","1.0","0.07","61.56","0.0"
"Cameroon","Andorra","2014.0","Export","1.0","0.07","0.98","0.0"
"Cameroon","United Arab Emirates","2014.0","Export","71.0","4.83","11783.23","0.23"
"Cameroon","Argentina","2014.0","Export","6.0","0.41","217.31","0.0"
"Cameroon","American Samoa","2014.0","Export","","","",""
"Cameroon","Antarctica","2014.0","Export","","","",""
"Cameroon","Antigua and Barbuda","2014.0","Export","1.0","0.07","55.46","0.0"
"Cameroon","Australia","2014.0","Export","13.0","0.89","612.45","0.01"
"Cameroon","Austria","2014.0","Export","1.0","0.07","14.6","0.0"
"Cameroon","Azerbaijan","2014.0","Export","1.0","0.07","2.05","0.0"
"Cameroon","Burundi","2014.0","Export","1.0","0.07","0.45","0.0"
"Cameroon","Belgium","2014.0","Export","119.0","8.1","147091.91","2.85"
"Cameroon","Benin","2014.0","Export","31.0","2.11","30405.46","0.59"
"Cameroon","Burkina Faso","2014.0","Export","13.0","0.89","3582.54","0.07"
"Cameroon","Bangladesh","2014.0","Export","2.0","0.14","41213.28","0.8"
"Cameroon","Bulgaria","2014.0","Export","4.0","0.27","345.96","0.01"
"Cameroon","Bahrain","2014.0","Export","1.0","0.07","5142.84","0.1"
"Cameroon","Bahamas, The","2014.0","Export","","","",""
"Cameroon","Bosnia and Herzegovina","2014.0","Export","","","",""
"Cameroon","Belize","2014.0","Export","","","",""
"Cameroon","Bolivia","2014.0","Export","","","",""
"Cameroon","Brazil","2014.0","Export","16.0","1.09","3380.68","0.07"
"Cameroon","Barbados","2014.0","Export","","","",""
"Cameroon","Brunei","2014.0","Export","","","",""
"Cameroon","Bunkers","2014.0","Export","9.0","0.61","21338.52","0.41"
"Cameroon","Bouvet Island","2014.0","Export","","","",""
"Cameroon","Botswana","2014.0","Export","","","",""
"Cameroon","Central African Republic","2014.0","Export","415.0","28.25","31338.78","0.61"
"Cameroon","Canada","2014.0","Export","28.0","1.91","1953.93","0.04"
"Cameroon","Switzerland","2014.0","Export","23.0","1.57","176.43","0.0"
"Cameroon","Chile","2014.0","Export","","","",""
"Cameroon","China","2014.0","Export","53.0","3.61","758100.27","14.69"
"Cameroon","Cote d'Ivoire","2014.0","Export","53.0","3.61","69636.36","1.35"
"Cameroon","Congo, Rep.","2014.0","Export","467.0","31.79","62453.68","1.21"
"Cameroon","Colombia","2014.0","Export","3.0","0.2","85.45","0.0"
"Cameroon","Comoros","2014.0","Export","1.0","0.07","249.47","0.0"
"Cameroon","Costa Rica","2014.0","Export","3.0","0.2","102.4","0.0"
"Cameroon","Cuba","2014.0","Export","","","",""
"Cameroon","Cyprus","2014.0","Export","1.0","0.07","157.8","0.0"
"Cameroon","Czech Republic","2014.0","Export","1.0","0.07","0.1","0.0"
"Cameroon","Germany","2014.0","Export","59.0","4.02","23054.8","0.45"
"Cameroon","Dominica","2014.0","Export","","","",""
