"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Canada","Aruba","2014.0","Export","240.0","5.44","9519.44","0.0"
"Canada","Afghanistan","2014.0","Export","247.0","5.59","15697.42","0.0"
"Canada","Angola","2014.0","Export","393.0","8.9","75236.96","0.02"
"Canada","Anguila","2014.0","Export","104.0","2.36","1076.3","0.0"
"Canada","Albania","2014.0","Export","437.0","9.9","43906.27","0.01"
"Canada","Andorra","2014.0","Export","5.0","0.11","259.33","0.0"
"Canada","United Arab Emirates","2014.0","Export","1749.0","39.61","1586915.25","0.34"
"Canada","Argentina","2014.0","Export","927.0","21.0","220653.1","0.05"
"Canada","Armenia","2014.0","Export","303.0","6.86","13685.5","0.0"
"Canada","American Samoa","2014.0","Export","14.0","0.32","1227.59","0.0"
"Canada","Antarctica","2014.0","Export","75.0","1.7","1006.04","0.0"
"Canada","Fr. So. Ant. Tr","2014.0","Export","18.0","0.41","74.49","0.0"
"Canada","Antigua and Barbuda","2014.0","Export","295.0","6.68","10361.8","0.0"
"Canada","Australia","2014.0","Export","2139.0","48.45","1590657.73","0.34"
"Canada","Austria","2014.0","Export","894.0","20.25","243344.59","0.05"
"Canada","Azerbaijan","2014.0","Export","326.0","7.38","37146.04","0.01"
"Canada","Burundi","2014.0","Export","27.0","0.61","2871.01","0.0"
"Canada","Belgium","2014.0","Export","1440.0","32.62","3067252.18","0.65"
"Canada","Benin","2014.0","Export","81.0","1.83","27616.22","0.01"
"Canada","Bonaire","2014.0","Export","17.0","0.39","230.89","0.0"
"Canada","Burkina Faso","2014.0","Export","669.0","15.15","24053.93","0.01"
"Canada","Bangladesh","2014.0","Export","265.0","6.0","640432.27","0.14"
"Canada","Bulgaria","2014.0","Export","391.0","8.86","87744.09","0.02"
"Canada","Bahrain","2014.0","Export","513.0","11.62","50621.17","0.01"
"Canada","Bahamas, The","2014.0","Export","521.0","11.8","222214.91","0.05"
"Canada","Bosnia and Herzegovina","2014.0","Export","110.0","2.49","3492.59","0.0"
"Canada","Belarus","2014.0","Export","30.0","0.68","29733.1","0.01"
"Canada","Belize","2014.0","Export","205.0","4.64","19469.16","0.0"
"Canada","Bermuda","2014.0","Export","796.0","18.03","32994.31","0.01"
"Canada","Bolivia","2014.0","Export","559.0","12.66","37231.62","0.01"
"Canada","Brazil","2014.0","Export","1455.0","32.96","1968524.8","0.42"
"Canada","Barbados","2014.0","Export","724.0","16.4","176737.95","0.04"
"Canada","Brunei","2014.0","Export","230.0","5.21","9644.88","0.0"
"Canada","Bhutan","2014.0","Export","9.0","0.2","138.22","0.0"
"Canada","Bunkers","2014.0","Export","1.0","0.02","71.54","0.0"
"Canada","Bouvet Island","2014.0","Export","1.0","0.02","0.0","0.0"
"Canada","Botswana","2014.0","Export","97.0","2.2","495559.78","0.1"
"Canada","Central African Republic","2014.0","Export","7.0","0.16","22.24","0.0"
"Canada","Canada","2014.0","Export","","","",""
"Canada","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","147.65","0.0"
"Canada","Switzerland","2014.0","Export","1300.0","29.45","1355558.42","0.29"
"Canada","Chile","2014.0","Export","1485.0","33.64","1027161.59","0.22"
"Canada","China","2014.0","Export","2355.0","53.34","17428548.36","3.69"
"Canada","Cote d'Ivoire","2014.0","Export","279.0","6.32","75013.58","0.02"
"Canada","Cameroon","2014.0","Export","282.0","6.39","61258.43","0.01"
"Canada","Congo, Rep.","2014.0","Export","284.0","6.43","27168.79","0.01"
"Canada","Cook Islands","2014.0","Export","2.0","0.05","135.6","0.0"
"Canada","Colombia","2014.0","Export","1223.0","27.7","832460.96","0.18"
"Canada","Comoros","2014.0","Export","42.0","0.95","773.95","0.0"
"Canada","Cape Verde","2014.0","Export","43.0","0.97","1587.87","0.0"
"Canada","Costa Rica","2014.0","Export","820.0","18.57","137481.82","0.03"
