"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cape Verde","Angola","2013.0","Export","2.0","3.33","96.61","0.14"
"Cape Verde","Andorra","2013.0","Export","","","",""
"Cape Verde","United Arab Emirates","2013.0","Export","1.0","1.67","57.41","0.08"
"Cape Verde","Argentina","2013.0","Export","","","",""
"Cape Verde","Austria","2013.0","Export","","","",""
"Cape Verde","Belgium","2013.0","Export","1.0","1.67","35.69","0.05"
"Cape Verde","Bangladesh","2013.0","Export","","","",""
"Cape Verde","Bulgaria","2013.0","Export","","","",""
"Cape Verde","Brazil","2013.0","Export","","","",""
"Cape Verde","Central African Republic","2013.0","Export","","","",""
"Cape Verde","Canada","2013.0","Export","","","",""
"Cape Verde","Switzerland","2013.0","Export","","","",""
"Cape Verde","Chile","2013.0","Export","","","",""
"Cape Verde","China","2013.0","Export","","","",""
"Cape Verde","Cote d'Ivoire","2013.0","Export","","","",""
"Cape Verde","Cameroon","2013.0","Export","","","",""
"Cape Verde","Congo, Rep.","2013.0","Export","","","",""
"Cape Verde","Colombia","2013.0","Export","1.0","1.67","569.13","0.82"
"Cape Verde","Costa Rica","2013.0","Export","","","",""
"Cape Verde","Cuba","2013.0","Export","","","",""
"Cape Verde","Czech Republic","2013.0","Export","","","",""
"Cape Verde","Germany","2013.0","Export","2.0","3.33","108.03","0.16"
"Cape Verde","Denmark","2013.0","Export","1.0","1.67","0.71","0.0"
"Cape Verde","Dominican Republic","2013.0","Export","","","",""
"Cape Verde","Algeria","2013.0","Export","","","",""
"Cape Verde","East Asia & Pacific","2013.0","Export","1.0","1.67","14.47","0.02"
"Cape Verde","Europe & Central Asia","2013.0","Export","41.0","68.33","63992.65","92.44"
"Cape Verde","Ecuador","2013.0","Export","","","",""
"Cape Verde","Egypt, Arab Rep.","2013.0","Export","1.0","1.67","14.31","0.02"
"Cape Verde","Spain","2013.0","Export","12.0","20.0","46163.85","66.68"
"Cape Verde","Finland","2013.0","Export","","","",""
"Cape Verde","France","2013.0","Export","3.0","5.0","2363.87","3.41"
"Cape Verde","United Kingdom","2013.0","Export","2.0","3.33","5.24","0.01"
"Cape Verde","Georgia","2013.0","Export","","","",""
"Cape Verde","Ghana","2013.0","Export","3.0","5.0","62.96","0.09"
"Cape Verde","Gibraltar","2013.0","Export","","","",""
"Cape Verde","Gambia, The","2013.0","Export","","","",""
