"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Chile","Aruba","2014.0","Export","39.0","1.23","2009.54","0.0"
"Chile","Afghanistan","2014.0","Export","","","",""
"Chile","Angola","2014.0","Export","13.0","0.41","9555.1","0.01"
"Chile","Anguila","2014.0","Export","3.0","0.09","63.46","0.0"
"Chile","Albania","2014.0","Export","","","",""
"Chile","Andorra","2014.0","Export","","","",""
"Chile","United Arab Emirates","2014.0","Export","135.0","4.27","139967.72","0.18"
"Chile","Argentina","2014.0","Export","1313.0","41.55","965105.03","1.26"
"Chile","Armenia","2014.0","Export","4.0","0.13","1693.78","0.0"
"Chile","Fr. So. Ant. Tr","2014.0","Export","21.0","0.66","1870.89","0.0"
"Chile","Antigua and Barbuda","2014.0","Export","6.0","0.19","1009.59","0.0"
"Chile","Australia","2014.0","Export","282.0","8.92","894191.07","1.17"
"Chile","Austria","2014.0","Export","81.0","2.56","70834.33","0.09"
"Chile","Azerbaijan","2014.0","Export","8.0","0.25","1848.6","0.0"
"Chile","Burundi","2014.0","Export","41.0","1.3","652.04","0.0"
"Chile","Belgium","2014.0","Export","276.0","8.73","1094611.5","1.43"
"Chile","Benin","2014.0","Export","5.0","0.16","1925.08","0.0"
"Chile","Burkina Faso","2014.0","Export","2.0","0.06","166.34","0.0"
"Chile","Bangladesh","2014.0","Export","7.0","0.22","2196.89","0.0"
"Chile","Bulgaria","2014.0","Export","26.0","0.82","489101.0","0.64"
"Chile","Bahrain","2014.0","Export","8.0","0.25","136657.39","0.18"
"Chile","Bahamas, The","2014.0","Export","7.0","0.22","1442.09","0.0"
"Chile","Bosnia and Herzegovina","2014.0","Export","1.0","0.03","333.8","0.0"
"Chile","Belarus","2014.0","Export","19.0","0.6","7564.83","0.01"
"Chile","Belize","2014.0","Export","24.0","0.76","1740.76","0.0"
"Chile","Bermuda","2014.0","Export","5.0","0.16","456.66","0.0"
"Chile","Bolivia","2014.0","Export","1695.0","53.64","1628896.11","2.13"
"Chile","Brazil","2014.0","Export","923.0","29.21","4122623.76","5.38"
"Chile","Barbados","2014.0","Export","11.0","0.35","1758.42","0.0"
"Chile","Brunei","2014.0","Export","","","",""
"Chile","Central African Republic","2014.0","Export","","","",""
"Chile","Canada","2014.0","Export","437.0","13.83","1227736.13","1.6"
"Chile","Switzerland","2014.0","Export","149.0","4.72","848327.89","1.11"
"Chile","Chile","2014.0","Export","","","",""
"Chile","China","2014.0","Export","325.0","10.28","18827695.61","24.57"
"Chile","Cote d'Ivoire","2014.0","Export","8.0","0.25","375.72","0.0"
"Chile","Cameroon","2014.0","Export","4.0","0.13","6015.77","0.01"
