"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"China","Aruba","2014.0","Export","506.0","11.43","53572.29","0.0"
"China","Afghanistan","2014.0","Export","796.0","17.98","393559.65","0.02"
"China","Angola","2014.0","Export","2434.0","54.97","5975306.81","0.26"
"China","Albania","2014.0","Export","1650.0","37.26","378269.75","0.02"
"China","Andorra","2014.0","Export","129.0","2.91","2203.82","0.0"
"China","United Arab Emirates","2014.0","Export","3304.0","74.62","39034355.82","1.67"
"China","Argentina","2014.0","Export","2720.0","61.43","7679790.43","0.33"
"China","Armenia","2014.0","Export","1274.0","28.77","122809.06","0.01"
"China","Antigua and Barbuda","2014.0","Export","587.0","13.26","172363.38","0.01"
"China","Australia","2014.0","Export","3555.0","80.28","39147666.83","1.67"
"China","Austria","2014.0","Export","2030.0","45.84","2397055.69","0.1"
"China","Azerbaijan","2014.0","Export","1410.0","31.84","645252.82","0.03"
"China","Burundi","2014.0","Export","712.0","16.08","51602.36","0.0"
"China","Belgium","2014.0","Export","2993.0","67.59","17216750.1","0.73"
"China","Benin","2014.0","Export","1658.0","37.44","3485978.74","0.15"
"China","Bonaire","2014.0","Export","12.0","0.27","391.85","0.0"
"China","Burkina Faso","2014.0","Export","712.0","16.08","117971.94","0.01"
"China","Bangladesh","2014.0","Export","3002.0","67.8","11783094.67","0.5"
"China","Bulgaria","2014.0","Export","2168.0","48.96","1178538.96","0.05"
"China","Bahrain","2014.0","Export","1966.0","44.4","1231780.81","0.05"
"China","Bahamas, The","2014.0","Export","758.0","17.12","742872.95","0.03"
"China","Bosnia and Herzegovina","2014.0","Export","877.0","19.81","283984.32","0.01"
"China","Belarus","2014.0","Export","1810.0","40.88","1110594.38","0.05"
"China","Belize","2014.0","Export","662.0","14.95","95861.22","0.0"
"China","Bermuda","2014.0","Export","153.0","3.46","188727.51","0.01"
"China","Bolivia","2014.0","Export","1621.0","36.61","705941.35","0.03"
"China","Brazil","2014.0","Export","3183.0","71.88","34877620.58","1.49"
"China","Barbados","2014.0","Export","740.0","16.71","71455.43","0.0"
"China","Brunei","2014.0","Export","1795.0","40.54","1746814.13","0.07"
"China","Bhutan","2014.0","Export","269.0","6.08","11115.48","0.0"
"China","Botswana","2014.0","Export","1205.0","27.21","176149.43","0.01"
"China","Central African Republic","2014.0","Export","151.0","3.41","7211.75","0.0"
"China","Canada","2014.0","Export","3319.0","74.95","30004305.95","1.28"
"China","Switzerland","2014.0","Export","2319.0","52.37","3109893.44","0.13"
"China","Chile","2014.0","Export","2989.0","67.5","13018752.98","0.56"
"China","China","2014.0","Export","","","",""
"China","Cote d'Ivoire","2014.0","Export","1845.0","41.67","1220078.81","0.05"
"China","Cameroon","2014.0","Export","2004.0","45.26","1877424.98","0.08"
"China","Congo, Rep.","2014.0","Export","1773.0","40.04","984525.85","0.04"
"China","Cook Islands","2014.0","Export","264.0","5.96","19420.26","0.0"
"China","Colombia","2014.0","Export","2817.0","63.62","8043192.24","0.34"
"China","Comoros","2014.0","Export","641.0","14.48","40684.72","0.0"
"China","Cape Verde","2014.0","Export","817.0","18.45","51223.2","0.0"
"China","Costa Rica","2014.0","Export","2020.0","45.62","1109538.25","0.05"
"China","Cuba","2014.0","Export","1767.0","39.91","1062465.31","0.05"
"China","Curaçao","2014.0","Export","776.0","17.52","85521.41","0.0"
"China","Cayman Islands","2014.0","Export","164.0","3.7","8461.5","0.0"
"China","Cyprus","2014.0","Export","1690.0","38.17","1037576.2","0.04"
"China","Czech Republic","2014.0","Export","2351.0","53.09","7993048.5","0.34"
"China","Germany","2014.0","Export","3507.0","79.2","72703322.14","3.1"
"China","Djibouti","2014.0","Export","1867.0","42.16","1112236.18","0.05"
"China","Dominica","2014.0","Export","820.0","18.52","37005.43","0.0"
"China","Denmark","2014.0","Export","2384.0","53.84","6545901.77","0.28"
"China","Dominican Republic","2014.0","Export","2114.0","47.74","1273625.76","0.05"
"China","Algeria","2014.0","Export","2463.0","55.62","7395238.41","0.32"
"China","East Asia & Pacific","2014.0","Export","4346.0","98.15","940823395.6","40.17"
"China","Europe & Central Asia","2014.0","Export","4114.0","92.91","480290640.96","20.5"
"China","Ecuador","2014.0","Export","2500.0","56.46","3245113.14","0.14"
"China","Egypt, Arab Rep.","2014.0","Export","2912.0","65.76","10460508.68","0.45"
"China","Eritrea","2014.0","Export","912.0","20.6","88144.18","0.0"
"China","Western Sahara","2014.0","Export","16.0","0.36","309.47","0.0"
"China","Spain","2014.0","Export","3159.0","71.34","21501415.38","0.92"
"China","Estonia","2014.0","Export","1858.0","41.96","1146094.08","0.05"
"China","Ethiopia(excludes Eritrea)","2014.0","Export","2132.0","48.15","2922309.22","0.12"
"China","Finland","2014.0","Export","2335.0","52.73","5098955.61","0.22"
"China","Fiji","2014.0","Export","1752.0","39.57","287254.47","0.01"
"China","France","2014.0","Export","3149.0","71.12","28978553.28","1.24"
"China","Faeroe Islands","2014.0","Export","104.0","2.35","1878.73","0.0"
"China","Micronesia, Fed. Sts.","2014.0","Export","443.0","10.0","9341.09","0.0"
"China","Gabon","2014.0","Export","1497.0","33.81","430320.29","0.02"
"China","United Kingdom","2014.0","Export","3377.0","76.26","57140811.32","2.44"
"China","Georgia","2014.0","Export","1957.0","44.2","908530.23","0.04"
"China","Ghana","2014.0","Export","2390.0","53.97","4134193.17","0.18"
"China","Gibraltar","2014.0","Export","153.0","3.46","8279.82","0.0"
"China","Guinea","2014.0","Export","1523.0","34.39","1101458.97","0.05"
"China","Gambia, The","2014.0","Export","936.0","21.14","350698.6","0.01"
"China","Guinea-Bissau","2014.0","Export","445.0","10.05","17153.18","0.0"
"China","Equatorial Guinea","2014.0","Export","1380.0","31.17","352515.33","0.01"
"China","Greece","2014.0","Export","2477.0","55.94","4185658.85","0.18"
"China","Grenada","2014.0","Export","670.0","15.13","14864.86","0.0"
"China","Greenland","2014.0","Export","58.0","1.31","777.58","0.0"
"China","Guatemala","2014.0","Export","2247.0","50.75","1866931.65","0.08"
"China","Guyana","2014.0","Export","1333.0","30.1","167286.28","0.01"
"China","Hong Kong, China","2014.0","Export","3841.0","86.74","363087889.75","15.5"
"China","Honduras","2014.0","Export","1666.0","37.62","686539.34","0.03"
"China","Croatia","2014.0","Export","1999.0","45.14","1027301.83","0.04"
"China","Haiti","2014.0","Export","1182.0","26.69","391379.24","0.02"
"China","Hungary","2014.0","Export","2095.0","47.31","5764317.07","0.25"
"China","Indonesia","2014.0","Export","3549.0","80.15","39060020.35","1.67"
"China","India","2014.0","Export","3498.0","79.0","54220379.0","2.31"
"China","Ireland","2014.0","Export","1989.0","44.92","2801680.46","0.12"
"China","Iran, Islamic Rep.","2014.0","Export","3091.0","69.81","24340266.02","1.04"
"China","Iraq","2014.0","Export","2266.0","51.17","7743471.76","0.33"
"China","Iceland","2014.0","Export","986.0","22.27","143759.37","0.01"
"China","Israel","2014.0","Export","2912.0","65.76","7739117.9","0.33"
"China","Italy","2014.0","Export","3324.0","75.07","28757274.92","1.23"
"China","Jamaica","2014.0","Export","1674.0","37.8","523043.59","0.02"
"China","Jordan","2014.0","Export","2528.0","57.09","3364759.43","0.14"
"China","Japan","2014.0","Export","3824.0","86.36","149410452.08","6.38"
"China","Kazakhstan","2014.0","Export","2652.0","59.89","12712076.6","0.54"
"China","Kenya","2014.0","Export","2631.0","59.42","4930568.71","0.21"
"China","Kyrgyz Republic","2014.0","Export","1850.0","41.78","5242697.87","0.22"
"China","Cambodia","2014.0","Export","2427.0","54.81","3275453.64","0.14"
"China","Kiribati","2014.0","Export","343.0","7.75","20620.38","0.0"
"China","St. Kitts and Nevis","2014.0","Export","201.0","4.54","26662.75","0.0"
"China","Korea, Rep.","2014.0","Export","3822.0","86.31","100334574.85","4.28"
"China","Kuwait","2014.0","Export","2375.0","53.64","3428724.31","0.15"
"China","Lao PDR","2014.0","Export","1487.0","33.58","1838932.2","0.08"
"China","Lebanon","2014.0","Export","2473.0","55.85","2605126.33","0.11"
"China","Liberia","2014.0","Export","1261.0","28.48","1711266.86","0.07"
"China","Libya","2014.0","Export","1915.0","43.25","2157639.0","0.09"
"China","St. Lucia","2014.0","Export","541.0","12.22","29902.24","0.0"
"China","Latin America & Caribbean","2014.0","Export","3762.0","84.96","134892206.27","5.76"
"China","Sri Lanka","2014.0","Export","2839.0","64.11","3792846.24","0.16"
"China","Lesotho","2014.0","Export","826.0","18.65","88760.09","0.0"
"China","Lithuania","2014.0","Export","2317.0","52.33","1658221.5","0.07"
"China","Luxembourg","2014.0","Export","632.0","14.27","1948749.57","0.08"
"China","Latvia","2014.0","Export","2079.0","46.95","1316816.93","0.06"
"China","Macao","2014.0","Export","2380.0","53.75","3592857.2","0.15"
"China","Morocco","2014.0","Export","2359.0","53.27","2963005.92","0.13"
"China","Moldova","2014.0","Export","1243.0","28.07","115288.68","0.0"
"China","Madagascar","2014.0","Export","1939.0","43.79","752678.1","0.03"
"China","Maldives","2014.0","Export","1289.0","29.11","103990.11","0.0"
"China","Middle East & North Africa","2014.0","Export","3855.0","87.06","146085650.68","6.24"
"China","Mexico","2014.0","Export","3170.0","71.59","32254872.15","1.38"
"China","Marshall Islands","2014.0","Export","352.0","7.95","1237975.03","0.05"
"China","Macedonia, FYR","2014.0","Export","914.0","20.64","76663.64","0.0"
"China","Mali","2014.0","Export","1004.0","22.67","297068.63","0.01"
"China","Malta","2014.0","Export","1481.0","33.45","3192858.52","0.14"
"China","Myanmar","2014.0","Export","2700.0","60.98","9367604.66","0.4"
"China","Mongolia","2014.0","Export","2138.0","48.28","2216399.66","0.09"
"China","Montenegro","2014.0","Export","893.0","20.17","157066.33","0.01"
"China","Mozambique","2014.0","Export","2084.0","47.06","1968739.79","0.08"
"China","Mauritania","2014.0","Export","1458.0","32.93","756946.57","0.03"
"China","Montserrat","2014.0","Export","18.0","0.41","416.42","0.0"
"China","Mauritius","2014.0","Export","2174.0","49.1","745215.46","0.03"
"China","Malawi","2014.0","Export","1280.0","28.91","157117.23","0.01"
"China","Malaysia","2014.0","Export","3625.0","81.87","46355435.25","1.98"
"China","North America","2014.0","Export","3911.0","88.32","427297939.74","18.24"
"China","Namibia","2014.0","Export","1480.0","33.42","545724.83","0.02"
"China","New Caledonia","2014.0","Export","1138.0","25.7","90753.84","0.0"
"China","Niger","2014.0","Export","1220.0","27.55","243696.27","0.01"
"China","Nigeria","2014.0","Export","2754.0","62.2","15393564.1","0.66"
"China","Nicaragua","2014.0","Export","1444.0","32.61","568133.65","0.02"
"China","Netherlands","2014.0","Export","3257.0","73.55","64928499.63","2.77"
"China","Norway","2014.0","Export","2094.0","47.29","2731441.87","0.12"
"China","Nepal","2014.0","Export","1646.0","37.17","2283571.02","0.1"
"China","Nauru","2014.0","Export","117.0","2.64","2751.56","0.0"
"China","New Zealand","2014.0","Export","3042.0","68.7","4737921.42","0.2"
"China","Other Asia, nes","2014.0","Export","3609.0","81.5","46277266.7","1.98"
"China","Oman","2014.0","Export","1964.0","44.35","2065379.9","0.09"
"China","Pakistan","2014.0","Export","3154.0","71.23","13246448.1","0.57"
"China","Panama","2014.0","Export","2289.0","51.69","9306961.86","0.4"
"China","Peru","2014.0","Export","2750.0","62.1","6100803.48","0.26"
"China","Philippines","2014.0","Export","3358.0","75.84","23474237.83","1.0"
"China","Palau","2014.0","Export","297.0","6.71","10456.18","0.0"
"China","Papua New Guinea","2014.0","Export","1825.0","41.22","636457.26","0.03"
"China","Poland","2014.0","Export","2817.0","63.62","14256905.24","0.61"
"China","Korea, Dem. Rep.","2014.0","Export","2838.0","64.09","3520407.97","0.15"
"China","Portugal","2014.0","Export","2384.0","53.84","3136965.98","0.13"
"China","Paraguay","2014.0","Export","1953.0","44.11","1396210.39","0.06"
"China","Occ.Pal.Terr","2014.0","Export","691.0","15.61","75506.72","0.0"
"China","French Polynesia","2014.0","Export","1002.0","22.63","52655.89","0.0"
"China","Qatar","2014.0","Export","2051.0","46.32","2254009.21","0.1"
"China","Romania","2014.0","Export","2417.0","54.58","3223177.59","0.14"
"China","Russian Federation","2014.0","Export","3475.0","78.48","53675376.89","2.29"
"China","Rwanda","2014.0","Export","1076.0","24.3","115211.83","0.0"
"China","South Asia","2014.0","Export","3790.0","85.59","85835004.26","3.66"
"China","Saudi Arabia","2014.0","Export","3006.0","67.89","20575713.52","0.88"
"China","Senegal","2014.0","Export","1870.0","42.23","1650137.47","0.07"
"China","Serbia, FR(Serbia/Montenegro)","2014.0","Export","1755.0","39.63","424560.1","0.02"
"China","Singapore","2014.0","Export","3512.0","79.31","48911897.96","2.09"
"China","Solomon Islands","2014.0","Export","764.0","17.25","49441.6","0.0"
"China","Sierra Leone","2014.0","Export","1217.0","27.48","163051.72","0.01"
"China","El Salvador","2014.0","Export","1799.0","40.63","601893.26","0.03"
"China","San Marino","2014.0","Export","126.0","2.85","2830.01","0.0"
"China","Somalia","2014.0","Export","892.0","20.14","206079.16","0.01"
"China","Saint Pierre and Miquelon","2014.0","Export","3.0","0.07","227.81","0.0"
"China","South Sudan","2014.0","Export","694.0","15.67","66078.71","0.0"
"China","Sub-Saharan Africa","2014.0","Export","3750.0","84.69","78585918.9","3.36"
"China","Sao Tome and Principe","2014.0","Export","286.0","6.46","5727.72","0.0"
"China","Sudan","2014.0","Export","2092.0","47.24","1928609.2","0.08"
"China","Suriname","2014.0","Export","1278.0","28.86","176864.79","0.01"
"China","Slovak Republic","2014.0","Export","1642.0","37.08","2828641.8","0.12"
"China","Slovenia","2014.0","Export","2101.0","47.45","1991940.74","0.09"
"China","Sweden","2014.0","Export","2455.0","55.44","7167638.42","0.31"
"China","Swaziland","2014.0","Export","372.0","8.4","26528.39","0.0"
"China","Seychelles","2014.0","Export","861.0","19.44","45581.78","0.0"
"China","Syrian Arab Republic","2014.0","Export","1963.0","44.33","984370.59","0.04"
"China","Turks and Caicos Isl.","2014.0","Export","49.0","1.11","1085.92","0.0"
"China","Chad","2014.0","Export","1122.0","25.34","317710.15","0.01"
"China","Togo","2014.0","Export","1709.0","38.6","2491912.04","0.11"
"China","Thailand","2014.0","Export","3627.0","81.91","34293357.06","1.46"
"China","Tajikistan","2014.0","Export","1640.0","37.04","2468232.02","0.11"
"China","Turkmenistan","2014.0","Export","1474.0","33.29","954281.6","0.04"
"China","East Timor","2014.0","Export","916.0","20.69","60341.65","0.0"
"China","Tonga","2014.0","Export","701.0","15.83","23943.3","0.0"
"China","Trinidad and Tobago","2014.0","Export","1607.0","36.29","427977.34","0.02"
"China","Tunisia","2014.0","Export","2111.0","47.67","1235774.28","0.05"
"China","Turkey","2014.0","Export","3188.0","72.0","19305856.07","0.82"
"China","Tuvalu","2014.0","Export","116.0","2.62","4644.55","0.0"
"China","Tanzania","2014.0","Export","2394.0","54.06","3843566.34","0.16"
"China","Uganda","2014.0","Export","1547.0","34.94","486645.73","0.02"
"China","Ukraine","2014.0","Export","2693.0","60.82","5106239.76","0.22"
"China","Unspecified","2014.0","Export","376.0","8.49","17353.61","0.0"
"China","Uruguay","2014.0","Export","2368.0","53.48","2458446.15","0.11"
"China","United States","2014.0","Export","3844.0","86.81","397104906.28","16.95"
"China","Uzbekistan","2014.0","Export","2301.0","51.96","2678262.45","0.11"
"China","Holy See","2014.0","Export","4.0","0.09","2.58","0.0"
"China","St. Vincent and the Grenadines","2014.0","Export","308.0","6.96","37294.0","0.0"
"China","Venezuela","2014.0","Export","2359.0","53.27","5657421.11","0.24"
"China","British Virgin Islands","2014.0","Export","128.0","2.89","114973.68","0.0"
"China","Vietnam","2014.0","Export","3572.0","80.67","63731484.57","2.72"
"China","Vanuatu","2014.0","Export","859.0","19.4","180236.37","0.01"
"China"," World","2014.0","Export","4428.0","100.0","2342343011.34","100.0"
"China","Wallis and Futura Isl.","2014.0","Export","116.0","2.62","1223.87","0.0"
"China","Samoa","2014.0","Export","824.0","18.61","55866.59","0.0"
"China","Yemen","2014.0","Export","2056.0","46.43","2201314.09","0.09"
"China","South Africa","2014.0","Export","3215.0","72.61","15699882.16","0.67"
"China","Congo, Dem. Rep.","2014.0","Export","2045.0","46.18","1362040.4","0.06"
"China","Zambia","2014.0","Export","1752.0","39.57","725665.69","0.03"
"China","Zimbabwe","2014.0","Export","1681.0","37.96","403801.41","0.02"
