"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Colombia","Aruba","2014.0","Export","599.0","17.49","1170602.59","2.14"
"Colombia","Afghanistan","2014.0","Export","4.0","0.12","15.73","0.0"
"Colombia","Angola","2014.0","Export","61.0","1.78","14460.57","0.03"
"Colombia","Anguila","2014.0","Export","23.0","0.67","46.65","0.0"
"Colombia","Albania","2014.0","Export","8.0","0.23","175.2","0.0"
"Colombia","Andorra","2014.0","Export","","","",""
"Colombia","United Arab Emirates","2014.0","Export","341.0","9.96","120450.37","0.22"
"Colombia","Argentina","2014.0","Export","393.0","11.47","201122.1","0.37"
"Colombia","Armenia","2014.0","Export","3.0","0.09","180.4","0.0"
"Colombia","American Samoa","2014.0","Export","","","",""
"Colombia","Antigua and Barbuda","2014.0","Export","46.0","1.34","798.96","0.0"
"Colombia","Australia","2014.0","Export","237.0","6.92","49593.78","0.09"
"Colombia","Austria","2014.0","Export","42.0","1.23","1254.98","0.0"
"Colombia","Azerbaijan","2014.0","Export","12.0","0.35","232.6","0.0"
"Colombia","Burundi","2014.0","Export","3.0","0.09","45.68","0.0"
"Colombia","Belgium","2014.0","Export","287.0","8.38","461631.95","0.84"
"Colombia","Benin","2014.0","Export","13.0","0.38","2668.0","0.0"
"Colombia","Burkina Faso","2014.0","Export","","","",""
"Colombia","Bangladesh","2014.0","Export","3.0","0.09","126.61","0.0"
"Colombia","Bulgaria","2014.0","Export","8.0","0.23","3292.33","0.01"
"Colombia","Bahrain","2014.0","Export","11.0","0.32","1005.48","0.0"
"Colombia","Bahamas, The","2014.0","Export","64.0","1.87","802328.34","1.46"
"Colombia","Bosnia and Herzegovina","2014.0","Export","","","",""
"Colombia","Belarus","2014.0","Export","3.0","0.09","1298.13","0.0"
"Colombia","Belize","2014.0","Export","100.0","2.92","2516.71","0.0"
"Colombia","Bermuda","2014.0","Export","19.0","0.55","198.87","0.0"
"Colombia","Bolivia","2014.0","Export","875.0","25.55","138771.67","0.25"
"Colombia","Brazil","2014.0","Export","675.0","19.71","1622412.84","2.96"
"Colombia","Barbados","2014.0","Export","149.0","4.35","4184.19","0.01"
"Colombia","Brunei","2014.0","Export","1.0","0.03","0.24","0.0"
"Colombia","Bhutan","2014.0","Export","","","",""
"Colombia","Bunkers","2014.0","Export","","","",""
"Colombia","Botswana","2014.0","Export","1.0","0.03","14.0","0.0"
"Colombia","Central African Republic","2014.0","Export","","","",""
"Colombia","Canada","2014.0","Export","464.0","13.55","664785.05","1.21"
"Colombia","Switzerland","2014.0","Export","193.0","5.63","501550.43","0.92"
"Colombia","Chile","2014.0","Export","1008.0","29.43","988881.86","1.8"
"Colombia","China","2014.0","Export","277.0","8.09","5755134.8","10.5"
"Colombia","Cote d'Ivoire","2014.0","Export","24.0","0.7","113103.45","0.21"
"Colombia","Cameroon","2014.0","Export","12.0","0.35","6868.08","0.01"
"Colombia","Congo, Rep.","2014.0","Export","25.0","0.73","964.29","0.0"
"Colombia","Colombia","2014.0","Export","","","",""
"Colombia","Comoros","2014.0","Export","7.0","0.2","205.43","0.0"
"Colombia","Cape Verde","2014.0","Export","2.0","0.06","308.4","0.0"
"Colombia","Costa Rica","2014.0","Export","1265.0","36.93","264489.75","0.48"
"Colombia","Cuba","2014.0","Export","347.0","10.13","34993.79","0.06"
"Colombia","Curaçao","2014.0","Export","617.0","18.01","286243.85","0.52"
"Colombia","Christmas Island","2014.0","Export","","","",""
"Colombia","Cayman Islands","2014.0","Export","22.0","0.64","530.64","0.0"
"Colombia","Cyprus","2014.0","Export","8.0","0.23","123.4","0.0"
"Colombia","Czech Republic","2014.0","Export","30.0","0.88","4255.48","0.01"
"Colombia","Germany","2014.0","Export","529.0","15.45","633519.79","1.16"
"Colombia","Djibouti","2014.0","Export","1.0","0.03","338.1","0.0"
"Colombia","Dominica","2014.0","Export","62.0","1.81","2154.12","0.0"
"Colombia","Denmark","2014.0","Export","50.0","1.46","158350.26","0.29"
"Colombia","Dominican Republic","2014.0","Export","1020.0","29.78","282293.09","0.52"
"Colombia","Algeria","2014.0","Export","45.0","1.31","11179.28","0.02"
"Colombia","East Asia & Pacific","2014.0","Export","710.0","20.73","7149914.63","13.05"
"Colombia","Europe & Central Asia","2014.0","Export","1406.0","41.05","10979622.55","20.04"
"Colombia","Ecuador","2014.0","Export","2283.0","66.66","1884349.39","3.44"
"Colombia","Egypt, Arab Rep.","2014.0","Export","53.0","1.55","2946.38","0.01"
"Colombia","Eritrea","2014.0","Export","","","",""
"Colombia","Western Sahara","2014.0","Export","","","",""
"Colombia","Spain","2014.0","Export","620.0","18.1","3263410.89","5.96"
"Colombia","Estonia","2014.0","Export","6.0","0.18","3574.61","0.01"
"Colombia","Ethiopia(excludes Eritrea)","2014.0","Export","3.0","0.09","144.31","0.0"
"Colombia","Finland","2014.0","Export","40.0","1.17","73728.78","0.13"
"Colombia","Fiji","2014.0","Export","5.0","0.15","193.36","0.0"
"Colombia","France","2014.0","Export","422.0","12.32","178539.53","0.33"
"Colombia","Free Zones","2014.0","Export","115.0","3.36","65133.11","0.12"
"Colombia","Gabon","2014.0","Export","22.0","0.64","5098.33","0.01"
"Colombia","United Kingdom","2014.0","Export","407.0","11.88","1090186.13","1.99"
"Colombia","Georgia","2014.0","Export","8.0","0.23","1613.61","0.0"
"Colombia","Ghana","2014.0","Export","27.0","0.79","3238.92","0.01"
"Colombia","Gibraltar","2014.0","Export","","","",""
"Colombia","Guinea","2014.0","Export","3.0","0.09","846.62","0.0"
"Colombia","Gambia, The","2014.0","Export","","","",""
"Colombia","Guinea-Bissau","2014.0","Export","","","",""
"Colombia","Equatorial Guinea","2014.0","Export","8.0","0.23","98.17","0.0"
"Colombia","Greece","2014.0","Export","70.0","2.04","8601.62","0.02"
"Colombia","Grenada","2014.0","Export","42.0","1.23","730.09","0.0"
"Colombia","Greenland","2014.0","Export","","","",""
"Colombia","Guatemala","2014.0","Export","1075.0","31.39","272947.41","0.5"
"Colombia","Guam","2014.0","Export","3.0","0.09","95.17","0.0"
"Colombia","Guyana","2014.0","Export","93.0","2.72","7792.02","0.01"
"Colombia","Hong Kong, China","2014.0","Export","157.0","4.58","63138.72","0.12"
"Colombia","Honduras","2014.0","Export","681.0","19.88","89930.89","0.16"
"Colombia","Croatia","2014.0","Export","4.0","0.12","13310.09","0.02"
"Colombia","Haiti","2014.0","Export","193.0","5.63","49294.85","0.09"
"Colombia","Hungary","2014.0","Export","18.0","0.53","2021.25","0.0"
"Colombia","Indonesia","2014.0","Export","73.0","2.13","5463.59","0.01"
"Colombia","India","2014.0","Export","143.0","4.18","2738698.29","5.0"
"Colombia","Ireland","2014.0","Export","20.0","0.58","89475.83","0.16"
"Colombia","Iran, Islamic Rep.","2014.0","Export","5.0","0.15","805.91","0.0"
"Colombia","Iraq","2014.0","Export","23.0","0.67","35844.95","0.07"
"Colombia","Iceland","2014.0","Export","2.0","0.06","160.58","0.0"
"Colombia","Israel","2014.0","Export","148.0","4.32","526447.24","0.96"
"Colombia","Italy","2014.0","Export","331.0","9.66","962000.25","1.76"
"Colombia","Jamaica","2014.0","Export","198.0","5.78","39693.37","0.07"
"Colombia","Jordan","2014.0","Export","16.0","0.47","3329.16","0.01"
"Colombia","Japan","2014.0","Export","209.0","6.1","420904.13","0.77"
