"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cote d'Ivoire","Afghanistan","2014.0","Export","1.0","0.05","12.29","0.0"
"Cote d'Ivoire","Angola","2014.0","Export","59.0","2.84","11508.23","0.09"
"Cote d'Ivoire","Albania","2014.0","Export","3.0","0.14","90.74","0.0"
"Cote d'Ivoire","Andorra","2014.0","Export","2.0","0.1","1.01","0.0"
"Cote d'Ivoire","United Arab Emirates","2014.0","Export","89.0","4.28","12974.32","0.1"
"Cote d'Ivoire","Argentina","2014.0","Export","3.0","0.14","1045.84","0.01"
"Cote d'Ivoire","Armenia","2014.0","Export","","","",""
"Cote d'Ivoire","Antigua and Barbuda","2014.0","Export","1.0","0.05","24.76","0.0"
"Cote d'Ivoire","Australia","2014.0","Export","17.0","0.82","17694.68","0.14"
"Cote d'Ivoire","Austria","2014.0","Export","8.0","0.38","75.16","0.0"
"Cote d'Ivoire","Burundi","2014.0","Export","1.0","0.05","3.25","0.0"
"Cote d'Ivoire","Belgium","2014.0","Export","179.0","8.61","567942.18","4.37"
"Cote d'Ivoire","Benin","2014.0","Export","216.0","10.39","71038.27","0.55"
"Cote d'Ivoire","Burkina Faso","2014.0","Export","604.0","29.05","570066.67","4.39"
"Cote d'Ivoire","Bangladesh","2014.0","Export","12.0","0.58","44597.53","0.34"
"Cote d'Ivoire","Bulgaria","2014.0","Export","8.0","0.38","28667.31","0.22"
"Cote d'Ivoire","Bahrain","2014.0","Export","2.0","0.1","1814.38","0.01"
"Cote d'Ivoire","Bahamas, The","2014.0","Export","1.0","0.05","9197.47","0.07"
"Cote d'Ivoire","Bosnia and Herzegovina","2014.0","Export","","","",""
"Cote d'Ivoire","Belarus","2014.0","Export","","","",""
"Cote d'Ivoire","Belize","2014.0","Export","1.0","0.05","33.77","0.0"
"Cote d'Ivoire","Bolivia","2014.0","Export","","","",""
"Cote d'Ivoire","Brazil","2014.0","Export","21.0","1.01","57923.57","0.45"
"Cote d'Ivoire","Barbados","2014.0","Export","3.0","0.14","219.27","0.0"
"Cote d'Ivoire","Brunei","2014.0","Export","","","",""
"Cote d'Ivoire","Central African Republic","2014.0","Export","37.0","1.78","3589.97","0.03"
"Cote d'Ivoire","Canada","2014.0","Export","61.0","2.93","356140.81","2.74"
"Cote d'Ivoire","Switzerland","2014.0","Export","94.0","4.52","406140.98","3.13"
"Cote d'Ivoire","Chile","2014.0","Export","4.0","0.19","284.62","0.0"
"Cote d'Ivoire","China","2014.0","Export","51.0","2.45","143239.63","1.1"
"Cote d'Ivoire","Cameroon","2014.0","Export","168.0","8.08","135453.97","1.04"
"Cote d'Ivoire","Congo, Rep.","2014.0","Export","166.0","7.98","68297.7","0.53"
"Cote d'Ivoire","Cook Islands","2014.0","Export","1.0","0.05","8.68","0.0"
"Cote d'Ivoire","Colombia","2014.0","Export","36.0","1.73","8997.14","0.07"
"Cote d'Ivoire","Comoros","2014.0","Export","31.0","1.49","265.19","0.0"
"Cote d'Ivoire","Cape Verde","2014.0","Export","8.0","0.38","8178.01","0.06"
"Cote d'Ivoire","Costa Rica","2014.0","Export","","","",""
"Cote d'Ivoire","Cuba","2014.0","Export","","","",""
"Cote d'Ivoire","Curaçao","2014.0","Export","2.0","0.1","7300.03","0.06"
"Cote d'Ivoire","Cayman Islands","2014.0","Export","","","",""
"Cote d'Ivoire","Cyprus","2014.0","Export","3.0","0.14","432.13","0.0"
"Cote d'Ivoire","Czech Republic","2014.0","Export","14.0","0.67","19840.54","0.15"
"Cote d'Ivoire","Germany","2014.0","Export","102.0","4.91","547092.98","4.21"
"Cote d'Ivoire","Djibouti","2014.0","Export","3.0","0.14","104.79","0.0"
"Cote d'Ivoire","Denmark","2014.0","Export","68.0","3.27","1353.52","0.01"
"Cote d'Ivoire","Dominican Republic","2014.0","Export","3.0","0.14","1869.91","0.01"
"Cote d'Ivoire","Algeria","2014.0","Export","27.0","1.3","87592.74","0.67"
"Cote d'Ivoire","East Asia & Pacific","2014.0","Export","141.0","6.78","1228598.35","9.46"
"Cote d'Ivoire","Europe & Central Asia","2014.0","Export","891.0","42.86","5130185.93","39.51"
"Cote d'Ivoire","Ecuador","2014.0","Export","6.0","0.29","1957.62","0.02"
"Cote d'Ivoire","Egypt, Arab Rep.","2014.0","Export","17.0","0.82","4391.25","0.03"
"Cote d'Ivoire","Eritrea","2014.0","Export","2.0","0.1","97.03","0.0"
"Cote d'Ivoire","Spain","2014.0","Export","105.0","5.05","245230.22","1.89"
"Cote d'Ivoire","Estonia","2014.0","Export","8.0","0.38","172142.91","1.33"
"Cote d'Ivoire","Ethiopia(excludes Eritrea)","2014.0","Export","10.0","0.48","54.3","0.0"
"Cote d'Ivoire","Finland","2014.0","Export","11.0","0.53","852.96","0.01"
"Cote d'Ivoire","Fiji","2014.0","Export","","","",""
"Cote d'Ivoire","Falkland Island","2014.0","Export","","","",""
"Cote d'Ivoire","France","2014.0","Export","608.0","29.24","799689.55","6.16"
"Cote d'Ivoire","Faeroe Islands","2014.0","Export","","","",""
"Cote d'Ivoire","Gabon","2014.0","Export","295.0","14.19","19119.06","0.15"
"Cote d'Ivoire","United Kingdom","2014.0","Export","205.0","9.86","229623.14","1.77"
"Cote d'Ivoire","Georgia","2014.0","Export","3.0","0.14","333.3","0.0"
"Cote d'Ivoire","Ghana","2014.0","Export","457.0","21.98","457246.42","3.52"
"Cote d'Ivoire","Gibraltar","2014.0","Export","1.0","0.05","29003.15","0.22"
"Cote d'Ivoire","Guinea","2014.0","Export","177.0","8.51","55353.35","0.43"
"Cote d'Ivoire","Gambia, The","2014.0","Export","25.0","1.2","13309.68","0.1"
"Cote d'Ivoire","Guinea-Bissau","2014.0","Export","6.0","0.29","916.52","0.01"
"Cote d'Ivoire","Equatorial Guinea","2014.0","Export","75.0","3.61","106545.72","0.82"
"Cote d'Ivoire","Greece","2014.0","Export","21.0","1.01","23093.36","0.18"
"Cote d'Ivoire","Grenada","2014.0","Export","","","",""
"Cote d'Ivoire","Guatemala","2014.0","Export","","","",""
"Cote d'Ivoire","Guyana","2014.0","Export","4.0","0.19","22.64","0.0"
"Cote d'Ivoire","Hong Kong, China","2014.0","Export","16.0","0.77","343.66","0.0"
"Cote d'Ivoire","Honduras","2014.0","Export","","","",""
"Cote d'Ivoire","Croatia","2014.0","Export","1.0","0.05","681.09","0.01"
"Cote d'Ivoire","Haiti","2014.0","Export","9.0","0.43","1253.41","0.01"
"Cote d'Ivoire","Hungary","2014.0","Export","2.0","0.1","346.92","0.0"
"Cote d'Ivoire","Indonesia","2014.0","Export","6.0","0.29","232718.57","1.79"
"Cote d'Ivoire","India","2014.0","Export","39.0","1.88","531709.8","4.09"
"Cote d'Ivoire","British Indian Ocean Ter.","2014.0","Export","","","",""
"Cote d'Ivoire","Ireland","2014.0","Export","8.0","0.38","54108.86","0.42"
"Cote d'Ivoire","Iran, Islamic Rep.","2014.0","Export","3.0","0.14","379.04","0.0"
"Cote d'Ivoire","Iraq","2014.0","Export","1.0","0.05","2.33","0.0"
"Cote d'Ivoire","Iceland","2014.0","Export","1.0","0.05","2.85","0.0"
"Cote d'Ivoire","Israel","2014.0","Export","15.0","0.72","8541.42","0.07"
"Cote d'Ivoire","Italy","2014.0","Export","154.0","7.41","312220.57","2.4"
"Cote d'Ivoire","Jamaica","2014.0","Export","2.0","0.1","215.02","0.0"
"Cote d'Ivoire","Jordan","2014.0","Export","10.0","0.48","9889.12","0.08"
"Cote d'Ivoire","Japan","2014.0","Export","31.0","1.49","8213.07","0.06"
"Cote d'Ivoire","Kenya","2014.0","Export","17.0","0.82","1718.78","0.01"
