"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Croatia","Afghanistan","2014.0","Export","8.0","0.21","83.0","0.0"
"Croatia","Angola","2014.0","Export","49.0","1.27","16487.54","0.12"
"Croatia","Albania","2014.0","Export","751.0","19.53","77511.42","0.56"
"Croatia","Andorra","2014.0","Export","2.0","0.05","13.88","0.0"
"Croatia","United Arab Emirates","2014.0","Export","285.0","7.41","41518.75","0.3"
"Croatia","Argentina","2014.0","Export","16.0","0.42","558.73","0.0"
"Croatia","Armenia","2014.0","Export","39.0","1.01","962.76","0.01"
"Croatia","Antigua and Barbuda","2014.0","Export","2.0","0.05","1.8","0.0"
"Croatia","Australia","2014.0","Export","220.0","5.72","14964.87","0.11"
"Croatia","Austria","2014.0","Export","1376.0","35.78","842623.71","6.09"
"Croatia","Azerbaijan","2014.0","Export","112.0","2.91","15186.92","0.11"
"Croatia","Burundi","2014.0","Export","1.0","0.03","15.28","0.0"
"Croatia","Belgium","2014.0","Export","548.0","14.25","184491.35","1.33"
"Croatia","Benin","2014.0","Export","8.0","0.21","48.09","0.0"
"Croatia","Burkina Faso","2014.0","Export","15.0","0.39","78.37","0.0"
"Croatia","Bangladesh","2014.0","Export","41.0","1.07","7351.35","0.05"
"Croatia","Bulgaria","2014.0","Export","532.0","13.83","59863.22","0.43"
"Croatia","Bahrain","2014.0","Export","19.0","0.49","7543.7","0.05"
"Croatia","Bahamas, The","2014.0","Export","28.0","0.73","56.53","0.0"
"Croatia","Bosnia and Herzegovina","2014.0","Export","3186.0","82.84","1641109.67","11.85"
"Croatia","Belarus","2014.0","Export","160.0","4.16","23052.83","0.17"
"Croatia","Belize","2014.0","Export","11.0","0.29","1408.16","0.01"
"Croatia","Bermuda","2014.0","Export","1.0","0.03","20.75","0.0"
"Croatia","Bolivia","2014.0","Export","1.0","0.03","85.78","0.0"
"Croatia","Brazil","2014.0","Export","131.0","3.41","13651.3","0.1"
"Croatia","Barbados","2014.0","Export","","","",""
"Croatia","Brunei","2014.0","Export","1.0","0.03","18.11","0.0"
"Croatia","Bhutan","2014.0","Export","1.0","0.03","18.41","0.0"
"Croatia","Bunkers","2014.0","Export","137.0","3.56","8905.6","0.06"
"Croatia","Botswana","2014.0","Export","","","",""
"Croatia","Canada","2014.0","Export","286.0","7.44","33476.12","0.24"
"Croatia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Croatia","Switzerland","2014.0","Export","788.0","20.49","164343.83","1.19"
"Croatia","Chile","2014.0","Export","97.0","2.52","1201.55","0.01"
"Croatia","China","2014.0","Export","316.0","8.22","68087.0","0.49"
"Croatia","Cote d'Ivoire","2014.0","Export","25.0","0.65","1683.7","0.01"
"Croatia","Cameroon","2014.0","Export","2.0","0.05","59.13","0.0"
"Croatia","Congo, Rep.","2014.0","Export","14.0","0.36","129.37","0.0"
"Croatia","Cook Islands","2014.0","Export","1.0","0.03","0.21","0.0"
"Croatia","Colombia","2014.0","Export","27.0","0.7","54797.3","0.4"
"Croatia","Comoros","2014.0","Export","1.0","0.03","44.75","0.0"
"Croatia","Cape Verde","2014.0","Export","","","",""
"Croatia","Costa Rica","2014.0","Export","13.0","0.34","5200.58","0.04"
"Croatia","Cuba","2014.0","Export","11.0","0.29","1527.76","0.01"
"Croatia","Curaçao","2014.0","Export","6.0","0.16","10.3","0.0"
"Croatia","Cayman Islands","2014.0","Export","18.0","0.47","149.09","0.0"
"Croatia","Cyprus","2014.0","Export","155.0","4.03","13723.42","0.1"
"Croatia","Czech Republic","2014.0","Export","681.0","17.71","212274.5","1.53"
"Croatia","Germany","2014.0","Export","1694.0","44.05","1548656.07","11.19"
"Croatia","Djibouti","2014.0","Export","6.0","0.16","5186.12","0.04"
"Croatia","Dominica","2014.0","Export","1.0","0.03","2.5","0.0"
"Croatia","Denmark","2014.0","Export","276.0","7.18","44829.0","0.32"
"Croatia","Dominican Republic","2014.0","Export","6.0","0.16","25.53","0.0"
"Croatia","Algeria","2014.0","Export","143.0","3.72","62099.83","0.45"
"Croatia","East Asia & Pacific","2014.0","Export","776.0","20.18","195258.14","1.41"
"Croatia","Europe & Central Asia","2014.0","Export","3823.0","99.4","12407180.53","89.62"
"Croatia","Ecuador","2014.0","Export","9.0","0.23","663.01","0.0"
"Croatia","Egypt, Arab Rep.","2014.0","Export","208.0","5.41","111645.13","0.81"
"Croatia","Eritrea","2014.0","Export","3.0","0.08","11.93","0.0"
"Croatia","Spain","2014.0","Export","445.0","11.57","179588.21","1.3"
"Croatia","Estonia","2014.0","Export","138.0","3.59","6501.49","0.05"
"Croatia","Ethiopia(excludes Eritrea)","2014.0","Export","11.0","0.29","4078.31","0.03"
"Croatia","Finland","2014.0","Export","194.0","5.04","32735.74","0.24"
"Croatia","Fiji","2014.0","Export","1.0","0.03","109.63","0.0"
"Croatia","Falkland Island","2014.0","Export","","","",""
"Croatia","France","2014.0","Export","718.0","18.67","306584.9","2.21"
"Croatia","Faeroe Islands","2014.0","Export","1.0","0.03","6.97","0.0"
"Croatia","Gabon","2014.0","Export","6.0","0.16","242.55","0.0"
"Croatia","United Kingdom","2014.0","Export","574.0","14.92","201818.77","1.46"
"Croatia","Georgia","2014.0","Export","41.0","1.07","8301.99","0.06"
"Croatia","Ghana","2014.0","Export","17.0","0.44","678.41","0.0"
"Croatia","Gibraltar","2014.0","Export","8.0","0.21","14444.29","0.1"
"Croatia","Guinea","2014.0","Export","4.0","0.1","163.34","0.0"
"Croatia","Gambia, The","2014.0","Export","","","",""
"Croatia","Equatorial Guinea","2014.0","Export","10.0","0.26","16.1","0.0"
"Croatia","Greece","2014.0","Export","350.0","9.1","155926.3","1.13"
"Croatia","Guatemala","2014.0","Export","3.0","0.08","248.82","0.0"
"Croatia","Guyana","2014.0","Export","","","",""
"Croatia","Hong Kong, China","2014.0","Export","146.0","3.8","9605.58","0.07"
"Croatia","Honduras","2014.0","Export","","","",""
"Croatia","Haiti","2014.0","Export","3.0","0.08","3.62","0.0"
"Croatia","Hungary","2014.0","Export","1016.0","26.42","479095.73","3.46"
"Croatia","Indonesia","2014.0","Export","96.0","2.5","8540.25","0.06"
"Croatia","India","2014.0","Export","161.0","4.19","18093.54","0.13"
"Croatia","Ireland","2014.0","Export","124.0","3.22","17898.92","0.13"
