"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cyprus","Aruba","2014.0","Export","2.0","0.12","112.33","0.01"
"Cyprus","Angola","2014.0","Export","23.0","1.33","299.7","0.02"
"Cyprus","Albania","2014.0","Export","21.0","1.21","2097.93","0.11"
"Cyprus","Andorra","2014.0","Export","1.0","0.06","1.07","0.0"
"Cyprus","United Arab Emirates","2014.0","Export","263.0","15.2","39596.6","2.06"
"Cyprus","Argentina","2014.0","Export","5.0","0.29","106.7","0.01"
"Cyprus","Armenia","2014.0","Export","12.0","0.69","929.79","0.05"
"Cyprus","American Samoa","2014.0","Export","","","",""
"Cyprus","Fr. So. Ant. Tr","2014.0","Export","1.0","0.06","0.28","0.0"
"Cyprus","Antigua and Barbuda","2014.0","Export","4.0","0.23","165.42","0.01"
"Cyprus","Australia","2014.0","Export","176.0","10.17","19363.17","1.01"
"Cyprus","Austria","2014.0","Export","58.0","3.35","12961.71","0.67"
"Cyprus","Azerbaijan","2014.0","Export","33.0","1.91","481.37","0.03"
"Cyprus","Burundi","2014.0","Export","1.0","0.06","37.98","0.0"
"Cyprus","Belgium","2014.0","Export","71.0","4.1","14718.92","0.77"
"Cyprus","Benin","2014.0","Export","4.0","0.23","24.35","0.0"
"Cyprus","Burkina Faso","2014.0","Export","2.0","0.12","10.98","0.0"
"Cyprus","Bangladesh","2014.0","Export","17.0","0.98","1448.97","0.08"
"Cyprus","Bulgaria","2014.0","Export","45.0","2.6","10382.01","0.54"
"Cyprus","Bahrain","2014.0","Export","48.0","2.77","4272.57","0.22"
"Cyprus","Bahamas, The","2014.0","Export","3.0","0.17","106.44","0.01"
"Cyprus","Bosnia and Herzegovina","2014.0","Export","3.0","0.17","1879.48","0.1"
"Cyprus","Belarus","2014.0","Export","14.0","0.81","832.68","0.04"
"Cyprus","Belize","2014.0","Export","1.0","0.06","159.93","0.01"
"Cyprus","Bermuda","2014.0","Export","","","",""
"Cyprus","Bolivia","2014.0","Export","1.0","0.06","31.99","0.0"
"Cyprus","Brazil","2014.0","Export","42.0","2.43","22958.1","1.2"
"Cyprus","Barbados","2014.0","Export","3.0","0.17","392.4","0.02"
"Cyprus","Brunei","2014.0","Export","6.0","0.35","116.32","0.01"
"Cyprus","Bunkers","2014.0","Export","117.0","6.76","322159.89","16.77"
"Cyprus","Botswana","2014.0","Export","3.0","0.17","2059.19","0.11"
"Cyprus","Central African Republic","2014.0","Export","4.0","0.23","97.95","0.01"
"Cyprus","Canada","2014.0","Export","74.0","4.28","3807.03","0.2"
"Cyprus","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Cyprus","Switzerland","2014.0","Export","125.0","7.23","23147.81","1.2"
"Cyprus","Chile","2014.0","Export","11.0","0.64","168.89","0.01"
"Cyprus","China","2014.0","Export","121.0","6.99","52538.18","2.73"
"Cyprus","Cote d'Ivoire","2014.0","Export","5.0","0.29","22.51","0.0"
"Cyprus","Cameroon","2014.0","Export","28.0","1.62","1026.24","0.05"
"Cyprus","Congo, Rep.","2014.0","Export","13.0","0.75","2007.95","0.1"
"Cyprus","Colombia","2014.0","Export","4.0","0.23","271.44","0.01"
"Cyprus","Cape Verde","2014.0","Export","2.0","0.12","19.99","0.0"
"Cyprus","Costa Rica","2014.0","Export","1.0","0.06","0.51","0.0"
"Cyprus","Cuba","2014.0","Export","3.0","0.17","5.36","0.0"
"Cyprus","Curaçao","2014.0","Export","9.0","0.52","398.14","0.02"
"Cyprus","Cayman Islands","2014.0","Export","1.0","0.06","0.2","0.0"
"Cyprus","Czech Republic","2014.0","Export","35.0","2.02","19127.05","1.0"
"Cyprus","Germany","2014.0","Export","220.0","12.72","48798.6","2.54"
"Cyprus","Djibouti","2014.0","Export","11.0","0.64","442.47","0.02"
"Cyprus","Dominica","2014.0","Export","1.0","0.06","12.44","0.0"
"Cyprus","Denmark","2014.0","Export","50.0","2.89","8881.67","0.46"
"Cyprus","Dominican Republic","2014.0","Export","6.0","0.35","286.7","0.01"
"Cyprus","Algeria","2014.0","Export","46.0","2.66","12277.07","0.64"
"Cyprus","East Asia & Pacific","2014.0","Export","418.0","24.16","167326.81","8.71"
"Cyprus","Europe & Central Asia","2014.0","Export","1209.0","69.88","875608.86","45.58"
"Cyprus","Ecuador","2014.0","Export","8.0","0.46","174.85","0.01"
"Cyprus","Egypt, Arab Rep.","2014.0","Export","322.0","18.61","46459.6","2.42"
"Cyprus","Eritrea","2014.0","Export","1.0","0.06","336.17","0.02"
"Cyprus","Spain","2014.0","Export","89.0","5.14","10896.1","0.57"
"Cyprus","Estonia","2014.0","Export","25.0","1.45","2343.74","0.12"
"Cyprus","Ethiopia(excludes Eritrea)","2014.0","Export","17.0","0.98","7649.09","0.4"
"Cyprus","Finland","2014.0","Export","44.0","2.54","5770.41","0.3"
"Cyprus","Fiji","2014.0","Export","7.0","0.4","19.09","0.0"
"Cyprus","Falkland Island","2014.0","Export","1.0","0.06","0.26","0.0"
"Cyprus","France","2014.0","Export","177.0","10.23","13753.68","0.72"
"Cyprus","Gabon","2014.0","Export","4.0","0.23","16.43","0.0"
"Cyprus","United Kingdom","2014.0","Export","488.0","28.21","181072.42","9.42"
"Cyprus","Georgia","2014.0","Export","31.0","1.79","797.44","0.04"
"Cyprus","Ghana","2014.0","Export","32.0","1.85","1450.77","0.08"
"Cyprus","Gibraltar","2014.0","Export","2.0","0.12","0.91","0.0"
"Cyprus","Guinea","2014.0","Export","15.0","0.87","458.25","0.02"
"Cyprus","Gambia, The","2014.0","Export","9.0","0.52","407.69","0.02"
"Cyprus","Guinea-Bissau","2014.0","Export","1.0","0.06","1.39","0.0"
"Cyprus","Greece","2014.0","Export","724.0","41.85","292727.97","15.24"
"Cyprus","Grenada","2014.0","Export","1.0","0.06","19.49","0.0"
"Cyprus","Greenland","2014.0","Export","1.0","0.06","86.09","0.0"
"Cyprus","Guatemala","2014.0","Export","1.0","0.06","2.99","0.0"
"Cyprus","Guyana","2014.0","Export","2.0","0.12","4.32","0.0"
"Cyprus","Hong Kong, China","2014.0","Export","147.0","8.5","26138.96","1.36"
"Cyprus","Honduras","2014.0","Export","","","",""
"Cyprus","Croatia","2014.0","Export","33.0","1.91","4285.55","0.22"
"Cyprus","Haiti","2014.0","Export","3.0","0.17","231.95","0.01"
"Cyprus","Hungary","2014.0","Export","25.0","1.45","527.4","0.03"
"Cyprus","Indonesia","2014.0","Export","18.0","1.04","3161.99","0.16"
"Cyprus","India","2014.0","Export","71.0","4.1","15818.39","0.82"
"Cyprus","British Indian Ocean Ter.","2014.0","Export","","","",""
"Cyprus","Ireland","2014.0","Export","49.0","2.83","3694.03","0.19"
"Cyprus","Iran, Islamic Rep.","2014.0","Export","60.0","3.47","3798.45","0.2"
"Cyprus","Iraq","2014.0","Export","50.0","2.89","8875.67","0.46"
"Cyprus","Iceland","2014.0","Export","9.0","0.52","192.59","0.01"
"Cyprus","Israel","2014.0","Export","195.0","11.27","103084.28","5.37"
"Cyprus","Italy","2014.0","Export","170.0","9.83","37803.06","1.97"
"Cyprus","Jamaica","2014.0","Export","3.0","0.17","60.83","0.0"
"Cyprus","Jordan","2014.0","Export","129.0","7.46","19994.92","1.04"
"Cyprus","Japan","2014.0","Export","65.0","3.76","1220.13","0.06"
"Cyprus","Kazakhstan","2014.0","Export","15.0","0.87","2463.64","0.13"
"Cyprus","Kenya","2014.0","Export","26.0","1.5","1618.46","0.08"
"Cyprus","Kyrgyz Republic","2014.0","Export","2.0","0.12","5.74","0.0"
"Cyprus","Cambodia","2014.0","Export","20.0","1.16","988.06","0.05"
"Cyprus","St. Kitts and Nevis","2014.0","Export","10.0","0.58","94.47","0.0"
"Cyprus","Korea, Rep.","2014.0","Export","76.0","4.39","11264.62","0.59"
"Cyprus","Kuwait","2014.0","Export","65.0","3.76","8321.22","0.43"
"Cyprus","Lao PDR","2014.0","Export","1.0","0.06","1.42","0.0"
"Cyprus","Lebanon","2014.0","Export","300.0","17.34","45453.7","2.37"
"Cyprus","Liberia","2014.0","Export","6.0","0.35","268.45","0.01"
"Cyprus","Libya","2014.0","Export","81.0","4.68","9747.66","0.51"
"Cyprus","St. Lucia","2014.0","Export","3.0","0.17","13.73","0.0"
"Cyprus","Latin America & Caribbean","2014.0","Export","98.0","5.66","32220.81","1.68"
"Cyprus","Sri Lanka","2014.0","Export","25.0","1.45","3824.41","0.2"
"Cyprus","Lesotho","2014.0","Export","1.0","0.06","77.94","0.0"
"Cyprus","Lithuania","2014.0","Export","34.0","1.97","7217.56","0.38"
"Cyprus","Luxembourg","2014.0","Export","2.0","0.12","75.24","0.0"
"Cyprus","Latvia","2014.0","Export","18.0","1.04","2744.19","0.14"
"Cyprus","Macao","2014.0","Export","18.0","1.04","849.89","0.04"
"Cyprus","Morocco","2014.0","Export","28.0","1.62","1600.02","0.08"
"Cyprus","Moldova","2014.0","Export","22.0","1.27","844.46","0.04"
"Cyprus","Madagascar","2014.0","Export","15.0","0.87","264.3","0.01"
"Cyprus","Maldives","2014.0","Export","11.0","0.64","485.34","0.03"
"Cyprus","Middle East & North Africa","2014.0","Export","930.0","53.76","358391.65","18.65"
"Cyprus","Mexico","2014.0","Export","17.0","0.98","6022.16","0.31"
"Cyprus","Marshall Islands","2014.0","Export","","","",""
"Cyprus","Macedonia, FYR","2014.0","Export","13.0","0.75","2037.15","0.11"
"Cyprus","Mali","2014.0","Export","11.0","0.64","84.91","0.0"
"Cyprus","Malta","2014.0","Export","86.0","4.97","7387.47","0.38"
"Cyprus","Myanmar","2014.0","Export","8.0","0.46","1538.85","0.08"
"Cyprus","Mongolia","2014.0","Export","8.0","0.46","805.86","0.04"
"Cyprus","Montenegro","2014.0","Export","30.0","1.73","2389.2","0.12"
"Cyprus","Mozambique","2014.0","Export","13.0","0.75","860.38","0.04"
"Cyprus","Mauritania","2014.0","Export","4.0","0.23","30.57","0.0"
"Cyprus","Mauritius","2014.0","Export","39.0","2.25","2432.09","0.13"
"Cyprus","Malaysia","2014.0","Export","66.0","3.81","8803.31","0.46"
"Cyprus","North America","2014.0","Export","344.0","19.88","67731.81","3.53"
"Cyprus","Namibia","2014.0","Export","2.0","0.12","80.76","0.0"
"Cyprus","New Caledonia","2014.0","Export","2.0","0.12","24.06","0.0"
"Cyprus","Niger","2014.0","Export","4.0","0.23","117.46","0.01"
"Cyprus","Nigeria","2014.0","Export","111.0","6.42","4615.27","0.24"
"Cyprus","Nicaragua","2014.0","Export","","","",""
