"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Czech Republic","Aruba","2014.0","Export","24.0","0.55","188.78","0.0"
"Czech Republic","Afghanistan","2014.0","Export","109.0","2.49","8659.59","0.01"
"Czech Republic","Angola","2014.0","Export","287.0","6.56","27988.9","0.02"
"Czech Republic","Anguila","2014.0","Export","1.0","0.02","4.35","0.0"
"Czech Republic","Albania","2014.0","Export","462.0","10.55","31249.88","0.02"
"Czech Republic","Andorra","2014.0","Export","127.0","2.9","2544.84","0.0"
"Czech Republic","United Arab Emirates","2014.0","Export","1216.0","27.78","797280.97","0.46"
"Czech Republic","Argentina","2014.0","Export","451.0","10.3","96036.2","0.06"
"Czech Republic","Armenia","2014.0","Export","609.0","13.91","26125.48","0.01"
"Czech Republic","American Samoa","2014.0","Export","","","",""
"Czech Republic","Antarctica","2014.0","Export","38.0","0.87","80.83","0.0"
"Czech Republic","Fr. So. Ant. Tr","2014.0","Export","40.0","0.91","784.86","0.0"
"Czech Republic","Antigua and Barbuda","2014.0","Export","11.0","0.25","87.3","0.0"
"Czech Republic","Australia","2014.0","Export","1217.0","27.8","594874.67","0.34"
"Czech Republic","Austria","2014.0","Export","2939.0","67.13","7553989.41","4.35"
"Czech Republic","Azerbaijan","2014.0","Export","678.0","15.49","112562.42","0.06"
"Czech Republic","Burundi","2014.0","Export","19.0","0.43","247.72","0.0"
"Czech Republic","Belgium","2014.0","Export","2114.0","48.29","4239220.74","2.44"
"Czech Republic","Benin","2014.0","Export","203.0","4.64","3900.24","0.0"
"Czech Republic","Bonaire","2014.0","Export","5.0","0.11","2.46","0.0"
"Czech Republic","Burkina Faso","2014.0","Export","76.0","1.74","2052.3","0.0"
"Czech Republic","Bangladesh","2014.0","Export","273.0","6.24","30024.4","0.02"
"Czech Republic","Bulgaria","2014.0","Export","2135.0","48.77","905408.33","0.52"
"Czech Republic","Bahrain","2014.0","Export","386.0","8.82","13532.88","0.01"
"Czech Republic","Bahamas, The","2014.0","Export","12.0","0.27","160.64","0.0"
"Czech Republic","Bosnia and Herzegovina","2014.0","Export","1272.0","29.05","137690.53","0.08"
"Czech Republic","Belarus","2014.0","Export","1416.0","32.34","411510.33","0.24"
"Czech Republic","Belize","2014.0","Export","91.0","2.08","5486.4","0.0"
"Czech Republic","Bermuda","2014.0","Export","26.0","0.59","15.2","0.0"
"Czech Republic","Bolivia","2014.0","Export","197.0","4.5","4890.46","0.0"
"Czech Republic","Brazil","2014.0","Export","932.0","21.29","383160.3","0.22"
"Czech Republic","Barbados","2014.0","Export","70.0","1.6","95.86","0.0"
"Czech Republic","Brunei","2014.0","Export","41.0","0.94","286.66","0.0"
"Czech Republic","Bhutan","2014.0","Export","1.0","0.02","20.46","0.0"
"Czech Republic","Bunkers","2014.0","Export","9.0","0.21","41751.48","0.02"
"Czech Republic","Bouvet Island","2014.0","Export","","","",""
"Czech Republic","Botswana","2014.0","Export","19.0","0.43","628.63","0.0"
"Czech Republic","Central African Republic","2014.0","Export","17.0","0.39","394.45","0.0"
"Czech Republic","Canada","2014.0","Export","1074.0","24.53","255151.08","0.15"
"Czech Republic","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Czech Republic","Switzerland","2014.0","Export","2386.0","54.5","2726263.95","1.57"
"Czech Republic","Chile","2014.0","Export","620.0","14.16","57569.75","0.03"
"Czech Republic","China","2014.0","Export","1450.0","33.12","2032995.35","1.17"
"Czech Republic","Cote d'Ivoire","2014.0","Export","202.0","4.61","18590.22","0.01"
"Czech Republic","Cameroon","2014.0","Export","112.0","2.56","2339.43","0.0"
"Czech Republic","Congo, Rep.","2014.0","Export","127.0","2.9","6236.56","0.0"
"Czech Republic","Cook Islands","2014.0","Export","1.0","0.02","10.59","0.0"
"Czech Republic","Colombia","2014.0","Export","568.0","12.97","69538.55","0.04"
"Czech Republic","Comoros","2014.0","Export","8.0","0.18","29.67","0.0"
"Czech Republic","Cape Verde","2014.0","Export","44.0","1.0","254.14","0.0"
"Czech Republic","Costa Rica","2014.0","Export","240.0","5.48","5931.29","0.0"
"Czech Republic","Cuba","2014.0","Export","126.0","2.88","24853.49","0.01"
"Czech Republic","Curaçao","2014.0","Export","16.0","0.37","103.94","0.0"
"Czech Republic","Christmas Island","2014.0","Export","","","",""
"Czech Republic","Cayman Islands","2014.0","Export","4.0","0.09","106.8","0.0"
"Czech Republic","Cyprus","2014.0","Export","792.0","18.09","109959.38","0.06"
"Czech Republic","Czech Republic","2014.0","Export","","","",""
"Czech Republic","Germany","2014.0","Export","3663.0","83.67","55643924.35","32.03"
"Czech Republic","Djibouti","2014.0","Export","20.0","0.46","335.43","0.0"
"Czech Republic","Dominica","2014.0","Export","3.0","0.07","39.53","0.0"
"Czech Republic","Denmark","2014.0","Export","1702.0","38.88","2008391.85","1.16"
"Czech Republic","Dominican Republic","2014.0","Export","272.0","6.21","7432.79","0.0"
"Czech Republic","Algeria","2014.0","Export","625.0","14.28","348832.35","0.2"
"Czech Republic","East Asia & Pacific","2014.0","Export","2372.0","54.18","5742242.58","3.31"
"Czech Republic","Europe & Central Asia","2014.0","Export","4364.0","99.68","156940313.29","90.34"
"Czech Republic","Ecuador","2014.0","Export","358.0","8.18","13277.5","0.01"
"Czech Republic","Egypt, Arab Rep.","2014.0","Export","850.0","19.42","446222.22","0.26"
"Czech Republic","Eritrea","2014.0","Export","16.0","0.37","113.56","0.0"
"Czech Republic","Western Sahara","2014.0","Export","","","",""
"Czech Republic","Spain","2014.0","Export","2062.0","47.1","4150214.82","2.39"
"Czech Republic","Estonia","2014.0","Export","1900.0","43.4","291679.38","0.17"
"Czech Republic","Ethiopia(excludes Eritrea)","2014.0","Export","176.0","4.02","28486.38","0.02"
"Czech Republic","Finland","2014.0","Export","1646.0","37.6","920195.16","0.53"
"Czech Republic","Fiji","2014.0","Export","35.0","0.8","486.39","0.0"
"Czech Republic","Falkland Island","2014.0","Export","1.0","0.02","0.36","0.0"
"Czech Republic","France","2014.0","Export","2380.0","54.36","8816363.88","5.07"
"Czech Republic","Faeroe Islands","2014.0","Export","82.0","1.87","2264.03","0.0"
"Czech Republic","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Czech Republic","Gabon","2014.0","Export","260.0","5.94","15347.13","0.01"
"Czech Republic","United Kingdom","2014.0","Export","2378.0","54.32","8846251.63","5.09"
"Czech Republic","Georgia","2014.0","Export","1044.0","23.85","84724.72","0.05"
"Czech Republic","Ghana","2014.0","Export","377.0","8.61","17968.68","0.01"
"Czech Republic","Gibraltar","2014.0","Export","67.0","1.53","454.56","0.0"
"Czech Republic","Guinea","2014.0","Export","56.0","1.28","3047.45","0.0"
"Czech Republic","Gambia, The","2014.0","Export","24.0","0.55","1832.43","0.0"
"Czech Republic","Guinea-Bissau","2014.0","Export","5.0","0.11","51.72","0.0"
"Czech Republic","Equatorial Guinea","2014.0","Export","91.0","2.08","865.33","0.0"
"Czech Republic","Greece","2014.0","Export","1627.0","37.16","317869.83","0.18"
"Czech Republic","Grenada","2014.0","Export","4.0","0.09","6.58","0.0"
"Czech Republic","Greenland","2014.0","Export","54.0","1.23","619.77","0.0"
"Czech Republic","Guatemala","2014.0","Export","229.0","5.23","13205.39","0.01"
"Czech Republic","Guam","2014.0","Export","3.0","0.07","1.33","0.0"
"Czech Republic","Guyana","2014.0","Export","9.0","0.21","69.31","0.0"
"Czech Republic","Hong Kong, China","2014.0","Export","899.0","20.53","365078.76","0.21"
"Czech Republic","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Czech Republic","Honduras","2014.0","Export","159.0","3.63","10324.04","0.01"
"Czech Republic","Croatia","2014.0","Export","2040.0","46.6","520944.16","0.3"
"Czech Republic","Haiti","2014.0","Export","8.0","0.18","27.01","0.0"
"Czech Republic","Hungary","2014.0","Export","2967.0","67.77","4837528.14","2.78"
"Czech Republic","Indonesia","2014.0","Export","503.0","11.49","172083.61","0.1"
"Czech Republic","India","2014.0","Export","1138.0","25.99","565939.4","0.33"
"Czech Republic","British Indian Ocean Ter.","2014.0","Export","","","",""
"Czech Republic","Ireland","2014.0","Export","1171.0","26.75","498138.86","0.29"
"Czech Republic","Iran, Islamic Rep.","2014.0","Export","423.0","9.66","27077.81","0.02"
"Czech Republic","Iraq","2014.0","Export","494.0","11.28","66304.1","0.04"
"Czech Republic","Iceland","2014.0","Export","681.0","15.56","40500.74","0.02"
"Czech Republic","Israel","2014.0","Export","1125.0","25.7","657170.1","0.38"
"Czech Republic","Italy","2014.0","Export","2633.0","60.14","6296798.44","3.62"
"Czech Republic","Jamaica","2014.0","Export","54.0","1.23","210.41","0.0"
"Czech Republic","Jordan","2014.0","Export","490.0","11.19","33431.32","0.02"
"Czech Republic","Japan","2014.0","Export","1148.0","26.22","1017386.96","0.59"
"Czech Republic","Kazakhstan","2014.0","Export","1177.0","26.88","419913.14","0.24"
"Czech Republic","Kenya","2014.0","Export","318.0","7.26","27833.74","0.02"
"Czech Republic","Kyrgyz Republic","2014.0","Export","411.0","9.39","14636.38","0.01"
"Czech Republic","Cambodia","2014.0","Export","55.0","1.26","726.87","0.0"
"Czech Republic","Kiribati","2014.0","Export","","","",""
"Czech Republic","St. Kitts and Nevis","2014.0","Export","9.0","0.21","18.18","0.0"
"Czech Republic","Korea, Rep.","2014.0","Export","1120.0","25.58","600417.81","0.35"
"Czech Republic","Kuwait","2014.0","Export","552.0","12.61","50564.26","0.03"
"Czech Republic","Lao PDR","2014.0","Export","18.0","0.41","370.13","0.0"
"Czech Republic","Lebanon","2014.0","Export","651.0","14.87","73981.41","0.04"
"Czech Republic","Liberia","2014.0","Export","171.0","3.91","555.9","0.0"
"Czech Republic","Libya","2014.0","Export","332.0","7.58","18964.44","0.01"
"Czech Republic","St. Lucia","2014.0","Export","1.0","0.02","11.1","0.0"
"Czech Republic","Latin America & Caribbean","2014.0","Export","1647.0","37.62","1490316.66","0.86"
"Czech Republic","Sri Lanka","2014.0","Export","256.0","5.85","9966.99","0.01"
"Czech Republic","Lesotho","2014.0","Export","9.0","0.21","56.02","0.0"
"Czech Republic","Lithuania","2014.0","Export","2202.0","50.3","585516.51","0.34"
"Czech Republic","Luxembourg","2014.0","Export","850.0","19.42","214087.06","0.12"
"Czech Republic","Latvia","2014.0","Export","1911.0","43.65","262437.23","0.15"
"Czech Republic","Macao","2014.0","Export","72.0","1.64","5544.31","0.0"
"Czech Republic","Morocco","2014.0","Export","601.0","13.73","226845.03","0.13"
"Czech Republic","Moldova","2014.0","Export","969.0","22.13","58525.59","0.03"
"Czech Republic","Madagascar","2014.0","Export","56.0","1.28","532.28","0.0"
"Czech Republic","Maldives","2014.0","Export","462.0","10.55","6730.48","0.0"
"Czech Republic","Middle East & North Africa","2014.0","Export","2133.0","48.72","3565984.48","2.05"
"Czech Republic","Mexico","2014.0","Export","925.0","21.13","638615.56","0.37"
"Czech Republic","Marshall Islands","2014.0","Export","25.0","0.57","405.3","0.0"
"Czech Republic","Macedonia, FYR","2014.0","Export","899.0","20.53","95288.76","0.05"
"Czech Republic","Mali","2014.0","Export","168.0","3.84","54322.23","0.03"
"Czech Republic","Malta","2014.0","Export","710.0","16.22","42772.21","0.02"
"Czech Republic","Myanmar","2014.0","Export","114.0","2.6","3052.26","0.0"
"Czech Republic","Mongolia","2014.0","Export","393.0","8.98","10332.48","0.01"
"Czech Republic","Northern Mariana Islands","2014.0","Export","1.0","0.02","2.55","0.0"
"Czech Republic","Montenegro","2014.0","Export","400.0","9.14","55623.89","0.03"
"Czech Republic","Mozambique","2014.0","Export","65.0","1.48","1709.1","0.0"
"Czech Republic","Mauritania","2014.0","Export","33.0","0.75","10024.22","0.01"
"Czech Republic","Montserrat","2014.0","Export","","","",""
"Czech Republic","Mauritius","2014.0","Export","271.0","6.19","10699.31","0.01"
"Czech Republic","Malawi","2014.0","Export","31.0","0.71","579.03","0.0"
"Czech Republic","Malaysia","2014.0","Export","710.0","16.22","221001.82","0.13"
"Czech Republic","North America","2014.0","Export","2076.0","47.42","4105701.0","2.36"
"Czech Republic","Namibia","2014.0","Export","80.0","1.83","3075.51","0.0"
"Czech Republic","New Caledonia","2014.0","Export","126.0","2.88","4546.01","0.0"
"Czech Republic","Niger","2014.0","Export","35.0","0.8","3234.21","0.0"
"Czech Republic","Norfolk Island","2014.0","Export","","","",""
"Czech Republic","Nigeria","2014.0","Export","553.0","12.63","70019.46","0.04"
"Czech Republic","Nicaragua","2014.0","Export","80.0","1.83","1337.42","0.0"
"Czech Republic","Niue","2014.0","Export","1.0","0.02","1.42","0.0"
"Czech Republic","Netherlands","2014.0","Export","2280.0","52.08","4752047.22","2.74"
"Czech Republic","Norway","2014.0","Export","1632.0","37.28","778115.25","0.45"
"Czech Republic","Nepal","2014.0","Export","171.0","3.91","8038.79","0.0"
"Czech Republic","Nauru","2014.0","Export","","","",""
"Czech Republic","New Zealand","2014.0","Export","687.0","15.69","74526.0","0.04"
"Czech Republic","Other Asia, nes","2014.0","Export","745.0","17.02","177511.86","0.1"
"Czech Republic","Oman","2014.0","Export","359.0","8.2","45118.42","0.03"
"Czech Republic","Pakistan","2014.0","Export","528.0","12.06","41576.26","0.02"
"Czech Republic","Panama","2014.0","Export","392.0","8.95","43376.64","0.03"
"Czech Republic","Pitcairn","2014.0","Export","","","",""
"Czech Republic","Peru","2014.0","Export","515.0","11.76","33083.05","0.02"
"Czech Republic","Philippines","2014.0","Export","400.0","9.14","107300.34","0.06"
"Czech Republic","Palau","2014.0","Export","","","",""
"Czech Republic","Papua New Guinea","2014.0","Export","31.0","0.71","395.38","0.0"
"Czech Republic","Poland","2014.0","Export","3440.0","78.57","10341112.86","5.95"
"Czech Republic","Korea, Dem. Rep.","2014.0","Export","4.0","0.09","95.79","0.0"
"Czech Republic","Portugal","2014.0","Export","1376.0","31.43","567289.87","0.33"
"Czech Republic","Paraguay","2014.0","Export","153.0","3.49","5040.44","0.0"
"Czech Republic","Occ.Pal.Terr","2014.0","Export","85.0","1.94","4454.51","0.0"
"Czech Republic","French Polynesia","2014.0","Export","84.0","1.92","277.64","0.0"
"Czech Republic","Qatar","2014.0","Export","523.0","11.95","101791.58","0.06"
"Czech Republic","Romania","2014.0","Export","2505.0","57.22","2200330.35","1.27"
"Czech Republic","Russian Federation","2014.0","Export","2435.0","55.62","5452210.03","3.14"
"Czech Republic","Rwanda","2014.0","Export","57.0","1.3","2044.89","0.0"
"Czech Republic","South Asia","2014.0","Export","1443.0","32.96","670956.38","0.39"
"Czech Republic","Saudi Arabia","2014.0","Export","882.0","20.15","515247.85","0.3"
"Czech Republic","Senegal","2014.0","Export","88.0","2.01","32104.33","0.02"
"Czech Republic","Serbia, FR(Serbia/Montenegro)","2014.0","Export","1927.0","44.02","528822.13","0.3"
"Czech Republic","Singapore","2014.0","Export","872.0","19.92","271689.98","0.16"
"Czech Republic","South Georgia and the South Sa","2014.0","Export","","","",""
"Czech Republic","Saint Helena","2014.0","Export","1.0","0.02","1.36","0.0"
"Czech Republic","Solomon Islands","2014.0","Export","19.0","0.43","161.35","0.0"
"Czech Republic","Sierra Leone","2014.0","Export","23.0","0.53","1077.66","0.0"
"Czech Republic","El Salvador","2014.0","Export","239.0","5.46","51786.18","0.03"
"Czech Republic","San Marino","2014.0","Export","81.0","1.85","2097.4","0.0"
"Czech Republic","Somalia","2014.0","Export","1.0","0.02","757.77","0.0"
"Czech Republic","Saint Pierre and Miquelon","2014.0","Export","","","",""
"Czech Republic","South Sudan","2014.0","Export","20.0","0.46","1437.94","0.0"
"Czech Republic","Sub-Saharan Africa","2014.0","Export","1511.0","34.51","915845.86","0.53"
"Czech Republic","Sao Tome and Principe","2014.0","Export","14.0","0.32","23.69","0.0"
"Czech Republic","Sudan","2014.0","Export","262.0","5.98","14535.06","0.01"
"Czech Republic","Suriname","2014.0","Export","36.0","0.82","564.04","0.0"
"Czech Republic","Slovak Republic","2014.0","Export","4098.0","93.6","14536284.46","8.37"
"Czech Republic","Slovenia","2014.0","Export","2075.0","47.4","741943.46","0.43"
"Czech Republic","Sweden","2014.0","Export","1897.0","43.33","2559058.26","1.47"
"Czech Republic","Swaziland","2014.0","Export","14.0","0.32","1206.08","0.0"
"Czech Republic","Saint Maarten (Dutch part)","2014.0","Export","9.0","0.21","185.3","0.0"
"Czech Republic","Seychelles","2014.0","Export","146.0","3.33","2285.84","0.0"
"Czech Republic","Syrian Arab Republic","2014.0","Export","149.0","3.4","5506.14","0.0"
"Czech Republic","Turks and Caicos Isl.","2014.0","Export","12.0","0.27","3.01","0.0"
"Czech Republic","Chad","2014.0","Export","45.0","1.03","1373.84","0.0"
"Czech Republic","Togo","2014.0","Export","154.0","3.52","7432.98","0.0"
"Czech Republic","Thailand","2014.0","Export","792.0","18.09","173766.88","0.1"
"Czech Republic","Tajikistan","2014.0","Export","138.0","3.15","5375.03","0.0"
"Czech Republic","Tokelau","2014.0","Export","","","",""
"Czech Republic","Turkmenistan","2014.0","Export","294.0","6.72","27068.67","0.02"
"Czech Republic","East Timor","2014.0","Export","4.0","0.09","84.16","0.0"
"Czech Republic","Tonga","2014.0","Export","","","",""
"Czech Republic","Trinidad and Tobago","2014.0","Export","127.0","2.9","2628.42","0.0"
"Czech Republic","Tunisia","2014.0","Export","540.0","12.33","81958.09","0.05"
"Czech Republic","Turkey","2014.0","Export","1599.0","36.52","2145787.99","1.24"
"Czech Republic","Tuvalu","2014.0","Export","","","",""
"Czech Republic","Tanzania","2014.0","Export","251.0","5.73","13371.03","0.01"
"Czech Republic","Uganda","2014.0","Export","110.0","2.51","10192.92","0.01"
"Czech Republic","Ukraine","2014.0","Export","2095.0","47.85","986529.68","0.57"
"Czech Republic","United States Minor Outlying I","2014.0","Export","2.0","0.05","25.1","0.0"
"Czech Republic","Unspecified","2014.0","Export","216.0","4.93","50829.74","0.03"
"Czech Republic","Uruguay","2014.0","Export","272.0","6.21","9421.5","0.01"
"Czech Republic","United States","2014.0","Export","1975.0","45.11","3850534.73","2.22"
"Czech Republic","Uzbekistan","2014.0","Export","551.0","12.59","77277.03","0.04"
"Czech Republic","Holy See","2014.0","Export","5.0","0.11","10.18","0.0"
"Czech Republic","St. Vincent and the Grenadines","2014.0","Export","60.0","1.37","102.04","0.0"
"Czech Republic","Venezuela","2014.0","Export","204.0","4.66","11445.4","0.01"
"Czech Republic","British Virgin Islands","2014.0","Export","59.0","1.35","4731.27","0.0"
"Czech Republic","Vietnam","2014.0","Export","762.0","17.41","84344.8","0.05"
"Czech Republic","Vanuatu","2014.0","Export","","","",""
"Czech Republic"," World","2014.0","Export","4378.0","100.0","173726654.16","100.0"
"Czech Republic","Samoa","2014.0","Export","9.0","0.21","6.99","0.0"
"Czech Republic","Yemen","2014.0","Export","220.0","5.03","13047.88","0.01"
"Czech Republic","South Africa","2014.0","Export","1001.0","22.86","519595.48","0.3"
"Czech Republic","Congo, Dem. Rep.","2014.0","Export","127.0","2.9","4939.19","0.0"
"Czech Republic","Zambia","2014.0","Export","138.0","3.15","3731.47","0.0"
"Czech Republic","Zimbabwe","2014.0","Export","56.0","1.28","1254.79","0.0"
