"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Denmark","Aruba","2014.0","Export","25.0","0.59","969.99","0.0"
"Denmark","Afghanistan","2014.0","Export","164.0","3.86","20194.64","0.02"
"Denmark","Angola","2014.0","Export","315.0","7.42","25185.64","0.02"
"Denmark","Anguila","2014.0","Export","6.0","0.14","67.21","0.0"
"Denmark","Albania","2014.0","Export","350.0","8.24","4706.79","0.0"
"Denmark","Andorra","2014.0","Export","142.0","3.34","933.39","0.0"
"Denmark","United Arab Emirates","2014.0","Export","1416.0","33.33","454567.49","0.41"
"Denmark","Argentina","2014.0","Export","473.0","11.13","118201.19","0.11"
"Denmark","Armenia","2014.0","Export","501.0","11.79","4979.87","0.0"
"Denmark","American Samoa","2014.0","Export","2.0","0.05","141.57","0.0"
"Denmark","Antarctica","2014.0","Export","12.0","0.28","29.28","0.0"
"Denmark","Fr. So. Ant. Tr","2014.0","Export","21.0","0.49","236.26","0.0"
"Denmark","Antigua and Barbuda","2014.0","Export","35.0","0.82","4030.08","0.0"
"Denmark","Australia","2014.0","Export","1562.0","36.77","853587.09","0.78"
"Denmark","Austria","2014.0","Export","2194.0","51.65","676066.87","0.62"
"Denmark","Azerbaijan","2014.0","Export","578.0","13.61","33708.53","0.03"
"Denmark","Burundi","2014.0","Export","102.0","2.4","1196.54","0.0"
"Denmark","Belgium","2014.0","Export","2372.0","55.84","1654922.33","1.51"
"Denmark","Benin","2014.0","Export","77.0","1.81","2253.36","0.0"
"Denmark","Burkina Faso","2014.0","Export","107.0","2.52","5041.63","0.0"
"Denmark","Bangladesh","2014.0","Export","231.0","5.44","40638.49","0.04"
"Denmark","Bulgaria","2014.0","Export","1411.0","33.22","117511.37","0.11"
"Denmark","Bahrain","2014.0","Export","547.0","12.88","24086.18","0.02"
"Denmark","Bahamas, The","2014.0","Export","132.0","3.11","14768.93","0.01"
"Denmark","Bosnia and Herzegovina","2014.0","Export","541.0","12.74","16064.95","0.01"
"Denmark","Belarus","2014.0","Export","835.0","19.66","79835.2","0.07"
"Denmark","Belize","2014.0","Export","35.0","0.82","9921.49","0.01"
"Denmark","Bermuda","2014.0","Export","53.0","1.25","11629.82","0.01"
"Denmark","Bolivia","2014.0","Export","203.0","4.78","11135.99","0.01"
"Denmark","Brazil","2014.0","Export","1104.0","25.99","782118.2","0.71"
"Denmark","Barbados","2014.0","Export","47.0","1.11","3200.0","0.0"
"Denmark","Brunei","2014.0","Export","51.0","1.2","2280.27","0.0"
"Denmark","Bhutan","2014.0","Export","23.0","0.54","226.78","0.0"
"Denmark","Botswana","2014.0","Export","25.0","0.59","598.43","0.0"
"Denmark","Central African Republic","2014.0","Export","74.0","1.74","4129.19","0.0"
"Denmark","Canada","2014.0","Export","1406.0","33.1","684642.91","0.62"
"Denmark","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Denmark","Switzerland","2014.0","Export","2238.0","52.68","934464.08","0.85"
"Denmark","Chile","2014.0","Export","852.0","20.06","188985.22","0.17"
"Denmark","China","2014.0","Export","1774.0","41.76","3137533.75","2.86"
"Denmark","Cote d'Ivoire","2014.0","Export","291.0","6.85","11203.92","0.01"
"Denmark","Cameroon","2014.0","Export","212.0","4.99","7961.31","0.01"
"Denmark","Congo, Rep.","2014.0","Export","180.0","4.24","5640.38","0.01"
"Denmark","Cook Islands","2014.0","Export","2.0","0.05","74.69","0.0"
"Denmark","Colombia","2014.0","Export","488.0","11.49","92434.41","0.08"
"Denmark","Comoros","2014.0","Export","5.0","0.12","146.73","0.0"
"Denmark","Cape Verde","2014.0","Export","80.0","1.88","2556.26","0.0"
