"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Dominican Republic","Aruba","2014.0","Export","397.0","14.1","7160.39","0.07"
"Dominican Republic","Afghanistan","2014.0","Export","1.0","0.04","36.0","0.0"
"Dominican Republic","Angola","2014.0","Export","5.0","0.18","100.92","0.0"
"Dominican Republic","Anguila","2014.0","Export","91.0","3.23","1288.96","0.01"
"Dominican Republic","Albania","2014.0","Export","2.0","0.07","27.33","0.0"
"Dominican Republic","Andorra","2014.0","Export","1.0","0.04","42.36","0.0"
"Dominican Republic","United Arab Emirates","2014.0","Export","21.0","0.75","13767.41","0.14"
"Dominican Republic","Argentina","2014.0","Export","43.0","1.53","961.49","0.01"
"Dominican Republic","Armenia","2014.0","Export","1.0","0.04","14.2","0.0"
"Dominican Republic","Antarctica","2014.0","Export","","","",""
"Dominican Republic","Antigua and Barbuda","2014.0","Export","187.0","6.64","3752.68","0.04"
"Dominican Republic","Australia","2014.0","Export","45.0","1.6","6060.43","0.06"
"Dominican Republic","Austria","2014.0","Export","10.0","0.36","238.88","0.0"
"Dominican Republic","Azerbaijan","2014.0","Export","1.0","0.04","0.22","0.0"
"Dominican Republic","Belgium","2014.0","Export","94.0","3.34","75716.38","0.76"
"Dominican Republic","Benin","2014.0","Export","3.0","0.11","491.16","0.0"
"Dominican Republic","Bangladesh","2014.0","Export","4.0","0.14","6440.51","0.06"
"Dominican Republic","Bulgaria","2014.0","Export","5.0","0.18","411.85","0.0"
"Dominican Republic","Bahrain","2014.0","Export","1.0","0.04","12.54","0.0"
"Dominican Republic","Bahamas, The","2014.0","Export","374.0","13.28","11715.71","0.12"
"Dominican Republic","Bosnia and Herzegovina","2014.0","Export","","","",""
"Dominican Republic","Belarus","2014.0","Export","","","",""
"Dominican Republic","Belize","2014.0","Export","20.0","0.71","231.13","0.0"
"Dominican Republic","Bermuda","2014.0","Export","11.0","0.39","535.69","0.01"
"Dominican Republic","Bolivia","2014.0","Export","6.0","0.21","905.19","0.01"
"Dominican Republic","Brazil","2014.0","Export","95.0","3.37","12989.34","0.13"
"Dominican Republic","Barbados","2014.0","Export","148.0","5.26","8176.88","0.08"
"Dominican Republic","Brunei","2014.0","Export","","","",""
"Dominican Republic","Central African Republic","2014.0","Export","2.0","0.07","76.23","0.0"
"Dominican Republic","Canada","2014.0","Export","279.0","9.91","912400.67","9.19"
"Dominican Republic","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Dominican Republic","Switzerland","2014.0","Export","153.0","5.43","249497.57","2.51"
"Dominican Republic","Chile","2014.0","Export","86.0","3.05","12170.02","0.12"
"Dominican Republic","China","2014.0","Export","201.0","7.14","169830.49","1.71"
"Dominican Republic","Cote d'Ivoire","2014.0","Export","1.0","0.04","501.09","0.01"
"Dominican Republic","Cameroon","2014.0","Export","","","",""
"Dominican Republic","Cook Islands","2014.0","Export","4.0","0.14","17.3","0.0"
"Dominican Republic","Colombia","2014.0","Export","235.0","8.35","47058.21","0.47"
"Dominican Republic","Comoros","2014.0","Export","","","",""
"Dominican Republic","Cape Verde","2014.0","Export","","","",""
"Dominican Republic","Costa Rica","2014.0","Export","161.0","5.72","29671.78","0.3"
"Dominican Republic","Cuba","2014.0","Export","470.0","16.69","32894.79","0.33"
"Dominican Republic","Curaçao","2014.0","Export","230.0","8.17","5405.96","0.05"
"Dominican Republic","Cayman Islands","2014.0","Export","29.0","1.03","2743.02","0.03"
"Dominican Republic","Cyprus","2014.0","Export","35.0","1.24","393.84","0.0"
"Dominican Republic","Czech Republic","2014.0","Export","6.0","0.21","536.52","0.01"
"Dominican Republic","Germany","2014.0","Export","447.0","15.87","120009.63","1.21"
"Dominican Republic","Djibouti","2014.0","Export","1.0","0.04","72.0","0.0"
"Dominican Republic","Dominica","2014.0","Export","73.0","2.59","3962.17","0.04"
"Dominican Republic","Denmark","2014.0","Export","25.0","0.89","9913.04","0.1"
"Dominican Republic","Algeria","2014.0","Export","","","",""
"Dominican Republic","East Asia & Pacific","2014.0","Export","363.0","12.89","297517.69","3.0"
"Dominican Republic","Europe & Central Asia","2014.0","Export","1216.0","43.18","1068515.59","10.76"
"Dominican Republic","Ecuador","2014.0","Export","33.0","1.17","13045.44","0.13"
"Dominican Republic","Egypt, Arab Rep.","2014.0","Export","6.0","0.21","130.3","0.0"
"Dominican Republic","Eritrea","2014.0","Export","","","",""
"Dominican Republic","Western Sahara","2014.0","Export","","","",""
"Dominican Republic","Spain","2014.0","Export","411.0","14.6","95556.11","0.96"
"Dominican Republic","Estonia","2014.0","Export","12.0","0.43","386.5","0.0"
"Dominican Republic","Ethiopia(excludes Eritrea)","2014.0","Export","4.0","0.14","4.28","0.0"
"Dominican Republic","Finland","2014.0","Export","11.0","0.39","64.12","0.0"
"Dominican Republic","Fiji","2014.0","Export","","","",""
"Dominican Republic","France","2014.0","Export","655.0","23.26","52255.76","0.53"
"Dominican Republic","Faeroe Islands","2014.0","Export","2.0","0.07","1.67","0.0"
"Dominican Republic","Gabon","2014.0","Export","","","",""
"Dominican Republic","United Kingdom","2014.0","Export","150.0","5.33","169568.61","1.71"
"Dominican Republic","Georgia","2014.0","Export","1.0","0.04","77.81","0.0"
"Dominican Republic","Ghana","2014.0","Export","3.0","0.11","207.91","0.0"
"Dominican Republic","Gibraltar","2014.0","Export","5.0","0.18","286.92","0.0"
"Dominican Republic","Guinea","2014.0","Export","1.0","0.04","37.98","0.0"
"Dominican Republic","Gambia, The","2014.0","Export","","","",""
"Dominican Republic","Guinea-Bissau","2014.0","Export","","","",""
"Dominican Republic","Equatorial Guinea","2014.0","Export","1.0","0.04","0.08","0.0"
"Dominican Republic","Greece","2014.0","Export","20.0","0.71","2040.95","0.02"
"Dominican Republic","Grenada","2014.0","Export","78.0","2.77","2410.13","0.02"
"Dominican Republic","Greenland","2014.0","Export","","","",""
"Dominican Republic","Guatemala","2014.0","Export","152.0","5.4","26751.67","0.27"
"Dominican Republic","Guyana","2014.0","Export","180.0","6.39","12287.33","0.12"
"Dominican Republic","Hong Kong, China","2014.0","Export","85.0","3.02","16821.0","0.17"
