"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ecuador","Aruba","2014.0","Export","48.0","2.01","234.5","0.0"
"Ecuador","Afghanistan","2014.0","Export","","","",""
"Ecuador","Angola","2014.0","Export","8.0","0.34","1555.31","0.01"
"Ecuador","Albania","2014.0","Export","6.0","0.25","11253.73","0.04"
"Ecuador","Andorra","2014.0","Export","","","",""
"Ecuador","United Arab Emirates","2014.0","Export","162.0","6.79","9276.04","0.04"
"Ecuador","Argentina","2014.0","Export","116.0","4.86","195862.84","0.76"
"Ecuador","Armenia","2014.0","Export","1.0","0.04","235.39","0.0"
"Ecuador","American Samoa","2014.0","Export","1.0","0.04","120.97","0.0"
"Ecuador","Antarctica","2014.0","Export","","","",""
"Ecuador","Antigua and Barbuda","2014.0","Export","9.0","0.38","80.91","0.0"
"Ecuador","Australia","2014.0","Export","110.0","4.61","16013.66","0.06"
"Ecuador","Austria","2014.0","Export","25.0","1.05","1755.18","0.01"
"Ecuador","Azerbaijan","2014.0","Export","9.0","0.38","1787.23","0.01"
"Ecuador","Belgium","2014.0","Export","111.0","4.65","222566.35","0.86"
"Ecuador","Benin","2014.0","Export","6.0","0.25","705.74","0.0"
"Ecuador","Burkina Faso","2014.0","Export","","","",""
"Ecuador","Bangladesh","2014.0","Export","2.0","0.08","27.83","0.0"
"Ecuador","Bulgaria","2014.0","Export","8.0","0.34","12992.64","0.05"
"Ecuador","Bahrain","2014.0","Export","3.0","0.13","1123.87","0.0"
"Ecuador","Bahamas, The","2014.0","Export","36.0","1.51","72321.93","0.28"
"Ecuador","Bosnia and Herzegovina","2014.0","Export","1.0","0.04","31.46","0.0"
"Ecuador","Belarus","2014.0","Export","1.0","0.04","2286.8","0.01"
"Ecuador","Belize","2014.0","Export","20.0","0.84","59.36","0.0"
"Ecuador","Bolivia","2014.0","Export","296.0","12.41","25924.66","0.1"
"Ecuador","Brazil","2014.0","Export","149.0","6.24","133329.22","0.52"
"Ecuador","Barbados","2014.0","Export","46.0","1.93","1221.15","0.0"
"Ecuador","Brunei","2014.0","Export","1.0","0.04","1.98","0.0"
"Ecuador","Central African Republic","2014.0","Export","","","",""
"Ecuador","Canada","2014.0","Export","228.0","9.56","118691.07","0.46"
"Ecuador","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Ecuador","Switzerland","2014.0","Export","75.0","3.14","69573.83","0.27"
"Ecuador","Chile","2014.0","Export","491.0","20.58","2300953.33","8.94"
"Ecuador","China","2014.0","Export","109.0","4.57","501379.34","1.95"
"Ecuador","Cote d'Ivoire","2014.0","Export","5.0","0.21","60902.17","0.24"
"Ecuador","Cameroon","2014.0","Export","7.0","0.29","430.86","0.0"
"Ecuador","Congo, Rep.","2014.0","Export","5.0","0.21","215.14","0.0"
"Ecuador","Cook Islands","2014.0","Export","","","",""
"Ecuador","Colombia","2014.0","Export","956.0","40.07","945407.18","3.67"
"Ecuador","Comoros","2014.0","Export","","","",""
"Ecuador","Cape Verde","2014.0","Export","2.0","0.08","362.52","0.0"
"Ecuador","Costa Rica","2014.0","Export","293.0","12.28","26564.34","0.1"
"Ecuador","Cuba","2014.0","Export","95.0","3.98","11705.57","0.05"
"Ecuador","Curaçao","2014.0","Export","108.0","4.53","944.86","0.0"
"Ecuador","Cayman Islands","2014.0","Export","39.0","1.63","101.44","0.0"
"Ecuador","Cyprus","2014.0","Export","5.0","0.21","1817.33","0.01"
"Ecuador","Czech Republic","2014.0","Export","31.0","1.3","5179.97","0.02"
"Ecuador","Germany","2014.0","Export","219.0","9.18","526397.1","2.05"
"Ecuador","Djibouti","2014.0","Export","","","",""
"Ecuador","Dominica","2014.0","Export","17.0","0.71","112.04","0.0"
"Ecuador","Denmark","2014.0","Export","71.0","2.98","14782.01","0.06"
"Ecuador","Dominican Republic","2014.0","Export","207.0","8.68","58078.17","0.23"
"Ecuador","Algeria","2014.0","Export","6.0","0.25","9369.95","0.04"
"Ecuador","East Asia & Pacific","2014.0","Export","328.0","13.75","1779921.34","6.92"
"Ecuador","Europe & Central Asia","2014.0","Export","960.0","40.23","4240162.4","16.48"
"Ecuador","Egypt, Arab Rep.","2014.0","Export","15.0","0.63","20391.0","0.08"
"Ecuador","Spain","2014.0","Export","598.0","25.06","524958.2","2.04"
"Ecuador","Estonia","2014.0","Export","2.0","0.08","7550.74","0.03"
"Ecuador","Ethiopia(excludes Eritrea)","2014.0","Export","3.0","0.13","13.67","0.0"
"Ecuador","Finland","2014.0","Export","46.0","1.93","4468.1","0.02"
"Ecuador","Fiji","2014.0","Export","","","",""
"Ecuador","France","2014.0","Export","188.0","7.88","315767.33","1.23"
"Ecuador","Free Zones","2014.0","Export","","","",""
"Ecuador","Faeroe Islands","2014.0","Export","","","",""
"Ecuador","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Ecuador","Gabon","2014.0","Export","1.0","0.04","156.86","0.0"
"Ecuador","United Kingdom","2014.0","Export","214.0","8.97","177862.2","0.69"
"Ecuador","Georgia","2014.0","Export","32.0","1.34","61269.58","0.24"
"Ecuador","Ghana","2014.0","Export","8.0","0.34","990.23","0.0"
"Ecuador","Guinea","2014.0","Export","1.0","0.04","13.66","0.0"
"Ecuador","Guinea-Bissau","2014.0","Export","","","",""
"Ecuador","Equatorial Guinea","2014.0","Export","1.0","0.04","134.73","0.0"
"Ecuador","Greece","2014.0","Export","18.0","0.75","42143.56","0.16"
"Ecuador","Grenada","2014.0","Export","2.0","0.08","56.77","0.0"
"Ecuador","Guatemala","2014.0","Export","179.0","7.5","63721.05","0.25"
"Ecuador","Guam","2014.0","Export","2.0","0.08","140.59","0.0"
"Ecuador","Guyana","2014.0","Export","3.0","0.13","158.04","0.0"
"Ecuador","Hong Kong, China","2014.0","Export","63.0","2.64","26771.75","0.1"
"Ecuador","Honduras","2014.0","Export","104.0","4.36","26299.76","0.1"
"Ecuador","Croatia","2014.0","Export","3.0","0.13","15980.91","0.06"
"Ecuador","Haiti","2014.0","Export","15.0","0.63","2450.35","0.01"
"Ecuador","Hungary","2014.0","Export","22.0","0.92","882.04","0.0"
"Ecuador","Indonesia","2014.0","Export","25.0","1.05","33827.1","0.13"
"Ecuador","India","2014.0","Export","57.0","2.39","342387.28","1.33"
"Ecuador","British Indian Ocean Ter.","2014.0","Export","","","",""
"Ecuador","Ireland","2014.0","Export","26.0","1.09","2091.17","0.01"
"Ecuador","Iran, Islamic Rep.","2014.0","Export","4.0","0.17","155.59","0.0"
"Ecuador","Iceland","2014.0","Export","2.0","0.08","854.65","0.0"
"Ecuador","Israel","2014.0","Export","30.0","1.26","22490.97","0.09"
"Ecuador","Italy","2014.0","Export","220.0","9.22","433770.53","1.69"
"Ecuador","Jamaica","2014.0","Export","43.0","1.8","3038.24","0.01"
"Ecuador","Jordan","2014.0","Export","6.0","0.25","5233.8","0.02"
"Ecuador","Japan","2014.0","Export","90.0","3.77","320223.25","1.24"
"Ecuador","Kazakhstan","2014.0","Export","8.0","0.34","11220.2","0.04"
"Ecuador","Kenya","2014.0","Export","4.0","0.17","59.74","0.0"
"Ecuador","Kyrgyz Republic","2014.0","Export","2.0","0.08","1370.86","0.01"
"Ecuador","Cambodia","2014.0","Export","","","",""
"Ecuador","Kiribati","2014.0","Export","1.0","0.04","239.02","0.0"
"Ecuador","St. Kitts and Nevis","2014.0","Export","9.0","0.38","37.05","0.0"
"Ecuador","Korea, Rep.","2014.0","Export","61.0","2.56","58070.19","0.23"
"Ecuador","Kuwait","2014.0","Export","20.0","0.84","28104.07","0.11"
"Ecuador","Lao PDR","2014.0","Export","","","",""
"Ecuador","Lebanon","2014.0","Export","11.0","0.46","1137.94","0.0"
"Ecuador","Liberia","2014.0","Export","1.0","0.04","16.55","0.0"
"Ecuador","Libya","2014.0","Export","8.0","0.34","7308.38","0.03"
"Ecuador","St. Lucia","2014.0","Export","29.0","1.22","312.49","0.0"
"Ecuador","Latin America & Caribbean","2014.0","Export","1865.0","78.16","7655459.75","29.75"
