"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Egypt, Arab Rep.","Afghanistan","2014.0","Export","17.0","0.64","13028.22","0.05"
"Egypt, Arab Rep.","Angola","2014.0","Export","78.0","2.96","38566.26","0.14"
"Egypt, Arab Rep.","Albania","2014.0","Export","63.0","2.39","12877.43","0.05"
"Egypt, Arab Rep.","United Arab Emirates","2014.0","Export","788.0","29.88","993763.73","3.71"
"Egypt, Arab Rep.","Argentina","2014.0","Export","36.0","1.37","8354.05","0.03"
"Egypt, Arab Rep.","Armenia","2014.0","Export","20.0","0.76","3258.63","0.01"
"Egypt, Arab Rep.","Australia","2014.0","Export","154.0","5.84","21601.22","0.08"
"Egypt, Arab Rep.","Austria","2014.0","Export","111.0","4.21","17990.16","0.07"
"Egypt, Arab Rep.","Azerbaijan","2014.0","Export","27.0","1.02","2494.42","0.01"
"Egypt, Arab Rep.","Burundi","2014.0","Export","46.0","1.74","10153.78","0.04"
"Egypt, Arab Rep.","Belgium","2014.0","Export","300.0","11.38","345538.18","1.29"
"Egypt, Arab Rep.","Benin","2014.0","Export","57.0","2.16","11016.6","0.04"
"Egypt, Arab Rep.","Burkina Faso","2014.0","Export","31.0","1.18","7138.67","0.03"
"Egypt, Arab Rep.","Bangladesh","2014.0","Export","71.0","2.69","52947.39","0.2"
"Egypt, Arab Rep.","Bulgaria","2014.0","Export","83.0","3.15","42638.81","0.16"
"Egypt, Arab Rep.","Bahrain","2014.0","Export","273.0","10.35","42238.38","0.16"
"Egypt, Arab Rep.","Bahamas, The","2014.0","Export","5.0","0.19","17.96","0.0"
"Egypt, Arab Rep.","Bosnia and Herzegovina","2014.0","Export","29.0","1.1","1453.6","0.01"
"Egypt, Arab Rep.","Belarus","2014.0","Export","18.0","0.68","4609.18","0.02"
"Egypt, Arab Rep.","Belize","2014.0","Export","1.0","0.04","0.3","0.0"
"Egypt, Arab Rep.","Bolivia","2014.0","Export","5.0","0.19","100.26","0.0"
"Egypt, Arab Rep.","Brazil","2014.0","Export","122.0","4.63","172068.59","0.64"
"Egypt, Arab Rep.","Barbados","2014.0","Export","1.0","0.04","158.39","0.0"
"Egypt, Arab Rep.","Brunei","2014.0","Export","20.0","0.76","2315.22","0.01"
"Egypt, Arab Rep.","Bunkers","2014.0","Export","7.0","0.27","863529.31","3.22"
"Egypt, Arab Rep.","Botswana","2014.0","Export","2.0","0.08","55.11","0.0"
"Egypt, Arab Rep.","Central African Republic","2014.0","Export","2.0","0.08","66.67","0.0"
"Egypt, Arab Rep.","Canada","2014.0","Export","220.0","8.34","515027.54","1.92"
"Egypt, Arab Rep.","Switzerland","2014.0","Export","106.0","4.02","35456.92","0.13"
"Egypt, Arab Rep.","Chile","2014.0","Export","60.0","2.28","7908.41","0.03"
"Egypt, Arab Rep.","China","2014.0","Export","223.0","8.46","329922.51","1.23"
"Egypt, Arab Rep.","Cote d'Ivoire","2014.0","Export","119.0","4.51","37540.67","0.14"
"Egypt, Arab Rep.","Cameroon","2014.0","Export","89.0","3.38","40474.26","0.15"
"Egypt, Arab Rep.","Congo, Rep.","2014.0","Export","29.0","1.1","32321.57","0.12"
"Egypt, Arab Rep.","Colombia","2014.0","Export","39.0","1.48","8499.05","0.03"
"Egypt, Arab Rep.","Comoros","2014.0","Export","21.0","0.8","869.27","0.0"
"Egypt, Arab Rep.","Cape Verde","2014.0","Export","10.0","0.38","1528.97","0.01"
"Egypt, Arab Rep.","Costa Rica","2014.0","Export","17.0","0.64","1238.44","0.0"
"Egypt, Arab Rep.","Cuba","2014.0","Export","7.0","0.27","874.14","0.0"
"Egypt, Arab Rep.","Curaçao","2014.0","Export","2.0","0.08","28.77","0.0"
"Egypt, Arab Rep.","Cyprus","2014.0","Export","206.0","7.81","72175.39","0.27"
"Egypt, Arab Rep.","Czech Republic","2014.0","Export","133.0","5.04","99102.98","0.37"
"Egypt, Arab Rep.","Germany","2014.0","Export","511.0","19.38","670350.84","2.5"
"Egypt, Arab Rep.","Djibouti","2014.0","Export","103.0","3.91","20800.58","0.08"
"Egypt, Arab Rep.","Dominica","2014.0","Export","8.0","0.3","836.34","0.0"
"Egypt, Arab Rep.","Denmark","2014.0","Export","100.0","3.79","14821.84","0.06"
"Egypt, Arab Rep.","Dominican Republic","2014.0","Export","22.0","0.83","3281.63","0.01"
"Egypt, Arab Rep.","Algeria","2014.0","Export","451.0","17.1","567989.7","2.12"
"Egypt, Arab Rep.","East Asia & Pacific","2014.0","Export","567.0","21.5","1259561.37","4.7"
"Egypt, Arab Rep.","Europe & Central Asia","2014.0","Export","1553.0","58.89","9496327.62","35.42"
"Egypt, Arab Rep.","Ecuador","2014.0","Export","19.0","0.72","1636.83","0.01"
"Egypt, Arab Rep.","Egypt, Arab Rep.","2014.0","Export","","","",""
"Egypt, Arab Rep.","Eritrea","2014.0","Export","119.0","4.51","50130.57","0.19"
"Egypt, Arab Rep.","Spain","2014.0","Export","337.0","12.78","582344.78","2.17"
"Egypt, Arab Rep.","Estonia","2014.0","Export","27.0","1.02","3348.11","0.01"
"Egypt, Arab Rep.","Ethiopia(excludes Eritrea)","2014.0","Export","190.0","7.21","88238.42","0.33"
"Egypt, Arab Rep.","Finland","2014.0","Export","52.0","1.97","13469.36","0.05"
"Egypt, Arab Rep.","Fiji","2014.0","Export","3.0","0.11","239.13","0.0"
"Egypt, Arab Rep.","France","2014.0","Export","393.0","14.9","834394.06","3.11"
"Egypt, Arab Rep.","Gabon","2014.0","Export","58.0","2.2","14594.98","0.05"
"Egypt, Arab Rep.","United Kingdom","2014.0","Export","472.0","17.9","1010991.92","3.77"
"Egypt, Arab Rep.","Georgia","2014.0","Export","80.0","3.03","12093.66","0.05"
"Egypt, Arab Rep.","Ghana","2014.0","Export","169.0","6.41","51206.7","0.19"
"Egypt, Arab Rep.","Gibraltar","2014.0","Export","","","",""
"Egypt, Arab Rep.","Guinea","2014.0","Export","69.0","2.62","9607.93","0.04"
"Egypt, Arab Rep.","Gambia, The","2014.0","Export","42.0","1.59","4618.58","0.02"
"Egypt, Arab Rep.","Guinea-Bissau","2014.0","Export","5.0","0.19","173.16","0.0"
"Egypt, Arab Rep.","Greece","2014.0","Export","307.0","11.64","471881.05","1.76"
"Egypt, Arab Rep.","Grenada","2014.0","Export","","","",""
"Egypt, Arab Rep.","Guatemala","2014.0","Export","20.0","0.76","5004.52","0.02"
"Egypt, Arab Rep.","Hong Kong, China","2014.0","Export","110.0","4.17","28635.88","0.11"
"Egypt, Arab Rep.","Honduras","2014.0","Export","12.0","0.46","401.22","0.0"
"Egypt, Arab Rep.","Croatia","2014.0","Export","75.0","2.84","12960.91","0.05"
"Egypt, Arab Rep.","Haiti","2014.0","Export","8.0","0.3","3134.75","0.01"
"Egypt, Arab Rep.","Hungary","2014.0","Export","83.0","3.15","18009.69","0.07"
"Egypt, Arab Rep.","Indonesia","2014.0","Export","79.0","3.0","61857.8","0.23"
"Egypt, Arab Rep.","India","2014.0","Export","206.0","7.81","1923336.27","7.17"
"Egypt, Arab Rep.","Ireland","2014.0","Export","90.0","3.41","25256.79","0.09"
"Egypt, Arab Rep.","Iran, Islamic Rep.","2014.0","Export","35.0","1.33","21804.78","0.08"
"Egypt, Arab Rep.","Iraq","2014.0","Export","407.0","15.43","781783.0","2.92"
"Egypt, Arab Rep.","Iceland","2014.0","Export","8.0","0.3","38.02","0.0"
"Egypt, Arab Rep.","Israel","2014.0","Export","281.0","10.66","61907.93","0.23"
"Egypt, Arab Rep.","Italy","2014.0","Export","621.0","23.55","2454462.5","9.15"
"Egypt, Arab Rep.","Jamaica","2014.0","Export","13.0","0.49","531.5","0.0"
"Egypt, Arab Rep.","Jordan","2014.0","Export","747.0","28.33","620620.85","2.31"
"Egypt, Arab Rep.","Japan","2014.0","Export","133.0","5.04","363151.94","1.35"
"Egypt, Arab Rep.","Kazakhstan","2014.0","Export","48.0","1.82","12745.03","0.05"
"Egypt, Arab Rep.","Kenya","2014.0","Export","354.0","13.42","244606.26","0.91"
"Egypt, Arab Rep.","Cambodia","2014.0","Export","6.0","0.23","204.1","0.0"
"Egypt, Arab Rep.","Korea, Rep.","2014.0","Export","71.0","2.69","273670.16","1.02"
"Egypt, Arab Rep.","Kuwait","2014.0","Export","588.0","22.3","580781.28","2.17"
"Egypt, Arab Rep.","Lao PDR","2014.0","Export","1.0","0.04","3.07","0.0"
"Egypt, Arab Rep.","Lebanon","2014.0","Export","635.0","24.08","599068.16","2.23"
"Egypt, Arab Rep.","Liberia","2014.0","Export","25.0","0.95","2849.52","0.01"
"Egypt, Arab Rep.","Libya","2014.0","Export","653.0","24.76","990327.95","3.69"
"Egypt, Arab Rep.","Latin America & Caribbean","2014.0","Export","276.0","10.47","253403.78","0.95"
"Egypt, Arab Rep.","Sri Lanka","2014.0","Export","53.0","2.01","23193.94","0.09"
"Egypt, Arab Rep.","Lesotho","2014.0","Export","","","",""
"Egypt, Arab Rep.","Lithuania","2014.0","Export","55.0","2.09","15057.45","0.06"
"Egypt, Arab Rep.","Luxembourg","2014.0","Export","7.0","0.27","810.76","0.0"
"Egypt, Arab Rep.","Latvia","2014.0","Export","18.0","0.68","10102.12","0.04"
"Egypt, Arab Rep.","Macao","2014.0","Export","","","",""
