"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"El Salvador","Aruba","2014.0","Export","26.0","1.0","233.34","0.0"
"El Salvador","Afghanistan","2014.0","Export","","","",""
"El Salvador","Angola","2014.0","Export","1.0","0.04","20.0","0.0"
"El Salvador","Albania","2014.0","Export","","","",""
"El Salvador","Andorra","2014.0","Export","23.0","0.89","10.69","0.0"
"El Salvador","United Arab Emirates","2014.0","Export","10.0","0.39","243.6","0.0"
"El Salvador","Argentina","2014.0","Export","17.0","0.66","262.19","0.01"
"El Salvador","Armenia","2014.0","Export","1.0","0.04","44.86","0.0"
"El Salvador","Antigua and Barbuda","2014.0","Export","4.0","0.15","22.01","0.0"
"El Salvador","Australia","2014.0","Export","43.0","1.66","16383.3","0.31"
"El Salvador","Austria","2014.0","Export","21.0","0.81","301.51","0.01"
"El Salvador","Belgium","2014.0","Export","29.0","1.12","7858.25","0.15"
"El Salvador","Bangladesh","2014.0","Export","2.0","0.08","150.89","0.0"
"El Salvador","Bulgaria","2014.0","Export","3.0","0.12","1.82","0.0"
"El Salvador","Bahrain","2014.0","Export","2.0","0.08","32.38","0.0"
"El Salvador","Bahamas, The","2014.0","Export","9.0","0.35","498.88","0.01"
"El Salvador","Bosnia and Herzegovina","2014.0","Export","","","",""
"El Salvador","Belarus","2014.0","Export","","","",""
"El Salvador","Belize","2014.0","Export","258.0","9.95","11415.98","0.22"
"El Salvador","Bermuda","2014.0","Export","2.0","0.08","6.56","0.0"
"El Salvador","Bolivia","2014.0","Export","46.0","1.77","1829.37","0.03"
"El Salvador","Brazil","2014.0","Export","41.0","1.58","8164.32","0.15"
"El Salvador","Barbados","2014.0","Export","11.0","0.42","429.28","0.01"
"El Salvador","Brunei","2014.0","Export","","","",""
"El Salvador","Bhutan","2014.0","Export","","","",""
"El Salvador","Central African Republic","2014.0","Export","","","",""
"El Salvador","Canada","2014.0","Export","155.0","5.98","64414.68","1.22"
"El Salvador","Switzerland","2014.0","Export","36.0","1.39","755.01","0.01"
"El Salvador","Chile","2014.0","Export","80.0","3.09","12999.23","0.25"
"El Salvador","China","2014.0","Export","44.0","1.7","5747.87","0.11"
"El Salvador","Cameroon","2014.0","Export","2.0","0.08","65.13","0.0"
"El Salvador","Cook Islands","2014.0","Export","","","",""
"El Salvador","Colombia","2014.0","Export","141.0","5.44","12791.78","0.24"
"El Salvador","Cape Verde","2014.0","Export","","","",""
"El Salvador","Costa Rica","2014.0","Export","955.0","36.84","242398.57","4.6"
"El Salvador","Cuba","2014.0","Export","22.0","0.85","6923.65","0.13"
"El Salvador","Curaçao","2014.0","Export","48.0","1.85","492.42","0.01"
"El Salvador","Cayman Islands","2014.0","Export","20.0","0.77","139.55","0.0"
"El Salvador","Cyprus","2014.0","Export","1.0","0.04","88.66","0.0"
"El Salvador","Czech Republic","2014.0","Export","20.0","0.77","808.71","0.02"
"El Salvador","Germany","2014.0","Export","149.0","5.75","23306.07","0.44"
"El Salvador","Dominica","2014.0","Export","2.0","0.08","42.4","0.0"
"El Salvador","Denmark","2014.0","Export","11.0","0.42","24.47","0.0"
"El Salvador","Dominican Republic","2014.0","Export","293.0","11.3","84172.47","1.6"
"El Salvador","Algeria","2014.0","Export","3.0","0.12","168.37","0.0"
"El Salvador","East Asia & Pacific","2014.0","Export","147.0","5.67","102352.27","1.94"
"El Salvador","Europe & Central Asia","2014.0","Export","476.0","18.36","190007.71","3.6"
"El Salvador","Ecuador","2014.0","Export","71.0","2.74","5135.09","0.1"
"El Salvador","Egypt, Arab Rep.","2014.0","Export","5.0","0.19","52.22","0.0"
"El Salvador","Spain","2014.0","Export","225.0","8.68","66352.62","1.26"
"El Salvador","Estonia","2014.0","Export","","","",""
"El Salvador","Ethiopia(excludes Eritrea)","2014.0","Export","2.0","0.08","67.93","0.0"
"El Salvador","Finland","2014.0","Export","9.0","0.35","620.66","0.01"
"El Salvador","Fiji","2014.0","Export","","","",""
"El Salvador","France","2014.0","Export","77.0","2.97","7635.84","0.14"
"El Salvador","Gabon","2014.0","Export","1.0","0.04","0.45","0.0"
"El Salvador","United Kingdom","2014.0","Export","70.0","2.7","9030.31","0.17"
"El Salvador","Georgia","2014.0","Export","2.0","0.08","0.04","0.0"
"El Salvador","Ghana","2014.0","Export","4.0","0.15","126.58","0.0"
"El Salvador","Gibraltar","2014.0","Export","1.0","0.04","4.03","0.0"
"El Salvador","Gambia, The","2014.0","Export","4.0","0.15","317.65","0.01"
"El Salvador","Guinea-Bissau","2014.0","Export","4.0","0.15","160.37","0.0"
"El Salvador","Greece","2014.0","Export","5.0","0.19","1305.95","0.02"
"El Salvador","Grenada","2014.0","Export","1.0","0.04","53.93","0.0"
"El Salvador","Greenland","2014.0","Export","1.0","0.04","0.56","0.0"
"El Salvador","Guatemala","2014.0","Export","1760.0","67.9","708146.13","13.43"
"El Salvador","Guam","2014.0","Export","","","",""
"El Salvador","Guyana","2014.0","Export","20.0","0.77","3096.9","0.06"
"El Salvador","Hong Kong, China","2014.0","Export","58.0","2.24","4586.17","0.09"
"El Salvador","Honduras","2014.0","Export","1511.0","58.29","747720.37","14.18"
"El Salvador","Croatia","2014.0","Export","","","",""
"El Salvador","Haiti","2014.0","Export","78.0","3.01","7758.28","0.15"
"El Salvador","Hungary","2014.0","Export","4.0","0.15","3.52","0.0"
"El Salvador","Indonesia","2014.0","Export","6.0","0.23","195.15","0.0"
"El Salvador","India","2014.0","Export","16.0","0.62","7010.07","0.13"
"El Salvador","Ireland","2014.0","Export","7.0","0.27","47.43","0.0"
"El Salvador","Iran, Islamic Rep.","2014.0","Export","","","",""
"El Salvador","Iceland","2014.0","Export","","","",""
"El Salvador","Israel","2014.0","Export","25.0","0.96","111.89","0.0"
"El Salvador","Italy","2014.0","Export","68.0","2.62","24971.51","0.47"
"El Salvador","Jamaica","2014.0","Export","32.0","1.23","14473.92","0.27"
"El Salvador","Jordan","2014.0","Export","5.0","0.19","3371.96","0.06"
"El Salvador","Japan","2014.0","Export","48.0","1.85","15880.75","0.3"
"El Salvador","Kazakhstan","2014.0","Export","","","",""
"El Salvador","Kenya","2014.0","Export","2.0","0.08","31.79","0.0"
"El Salvador","Kyrgyz Republic","2014.0","Export","","","",""
"El Salvador","Cambodia","2014.0","Export","1.0","0.04","1.97","0.0"
"El Salvador","St. Kitts and Nevis","2014.0","Export","","","",""
"El Salvador","Korea, Rep.","2014.0","Export","40.0","1.54","41075.22","0.78"
"El Salvador","Lebanon","2014.0","Export","20.0","0.77","1029.49","0.02"
"El Salvador","Liberia","2014.0","Export","1.0","0.04","2.57","0.0"
"El Salvador","St. Lucia","2014.0","Export","2.0","0.08","10.93","0.0"
"El Salvador","Latin America & Caribbean","2014.0","Export","2397.0","92.48","2431551.07","46.12"
"El Salvador","Sri Lanka","2014.0","Export","3.0","0.12","9.52","0.0"
"El Salvador","Lithuania","2014.0","Export","2.0","0.08","67.55","0.0"
"El Salvador","Luxembourg","2014.0","Export","2.0","0.08","2.33","0.0"
"El Salvador","Latvia","2014.0","Export","","","",""
"El Salvador","Macao","2014.0","Export","2.0","0.08","21.41","0.0"
"El Salvador","Morocco","2014.0","Export","2.0","0.08","313.76","0.01"
"El Salvador","Moldova","2014.0","Export","","","",""
"El Salvador","Middle East & North Africa","2014.0","Export","56.0","2.16","5348.44","0.1"
"El Salvador","Mexico","2014.0","Export","446.0","17.21","64809.07","1.23"
"El Salvador","Mongolia","2014.0","Export","6.0","0.23","14.7","0.0"
"El Salvador","Montserrat","2014.0","Export","","","",""
"El Salvador","Mauritius","2014.0","Export","1.0","0.04","1.05","0.0"
"El Salvador","Malaysia","2014.0","Export","12.0","0.46","241.66","0.0"
"El Salvador","North America","2014.0","Export","1155.0","44.56","2515948.61","47.72"
"El Salvador","Namibia","2014.0","Export","","","",""
"El Salvador","New Caledonia","2014.0","Export","","","",""
"El Salvador","Nigeria","2014.0","Export","","","",""
"El Salvador","Nicaragua","2014.0","Export","1393.0","53.74","335997.91","6.37"
"El Salvador","Netherlands","2014.0","Export","65.0","2.51","35379.24","0.67"
"El Salvador","Norway","2014.0","Export","7.0","0.27","2825.26","0.05"
"El Salvador","Nepal","2014.0","Export","7.0","0.27","5.6","0.0"
"El Salvador","New Zealand","2014.0","Export","21.0","0.81","14245.85","0.27"
"El Salvador","Other Asia, nes","2014.0","Export","45.0","1.74","15609.64","0.3"
"El Salvador","Oman","2014.0","Export","1.0","0.04","2.5","0.0"
"El Salvador","Pakistan","2014.0","Export","4.0","0.15","371.15","0.01"
"El Salvador","Panama","2014.0","Export","794.0","30.63","142222.33","2.7"
"El Salvador","Pitcairn","2014.0","Export","1.0","0.04","9.5","0.0"
"El Salvador","Peru","2014.0","Export","96.0","3.7","2407.76","0.05"
"El Salvador","Philippines","2014.0","Export","8.0","0.31","210.91","0.0"
"El Salvador","Palau","2014.0","Export","","","",""
"El Salvador","Papua New Guinea","2014.0","Export","","","",""
"El Salvador","Poland","2014.0","Export","8.0","0.31","96.64","0.0"
"El Salvador","Korea, Dem. Rep.","2014.0","Export","2.0","0.08","27.76","0.0"
"El Salvador","Portugal","2014.0","Export","14.0","0.54","1415.31","0.03"
"El Salvador","Paraguay","2014.0","Export","47.0","1.81","263.42","0.01"
"El Salvador","French Polynesia","2014.0","Export","2.0","0.08","18.47","0.0"
"El Salvador","Qatar","2014.0","Export","1.0","0.04","4.0","0.0"
"El Salvador","Romania","2014.0","Export","2.0","0.08","120.98","0.0"
"El Salvador","Russian Federation","2014.0","Export","12.0","0.46","260.32","0.0"
"El Salvador","Rwanda","2014.0","Export","","","",""
"El Salvador","South Asia","2014.0","Export","29.0","1.12","7547.23","0.14"
"El Salvador","Saudi Arabia","2014.0","Export","2.0","0.08","5.73","0.0"
"El Salvador","Senegal","2014.0","Export","7.0","0.27","136.08","0.0"
"El Salvador","Serbia, FR(Serbia/Montenegro)","2014.0","Export","","","",""
"El Salvador","Singapore","2014.0","Export","21.0","0.81","358.32","0.01"
"El Salvador","Sierra Leone","2014.0","Export","4.0","0.15","15.71","0.0"
"El Salvador","Somalia","2014.0","Export","","","",""
"El Salvador","Sub-Saharan Africa","2014.0","Export","28.0","1.08","3794.27","0.07"
"El Salvador","Sudan","2014.0","Export","","","",""
"El Salvador","Suriname","2014.0","Export","12.0","0.46","123.7","0.0"
"El Salvador","Slovak Republic","2014.0","Export","33.0","1.27","640.49","0.01"
"El Salvador","Slovenia","2014.0","Export","3.0","0.12","13.61","0.0"
"El Salvador","Sweden","2014.0","Export","19.0","0.73","4985.21","0.09"
"El Salvador","Swaziland","2014.0","Export","4.0","0.15","1.0","0.0"
"El Salvador","Seychelles","2014.0","Export","1.0","0.04","1.45","0.0"
"El Salvador","Syrian Arab Republic","2014.0","Export","2.0","0.08","12.56","0.0"
"El Salvador","Turks and Caicos Isl.","2014.0","Export","","","",""
"El Salvador","Togo","2014.0","Export","","","",""
"El Salvador","Thailand","2014.0","Export","8.0","0.31","78.13","0.0"
"El Salvador","Turkmenistan","2014.0","Export","","","",""
"El Salvador","East Timor","2014.0","Export","","","",""
"El Salvador","Trinidad and Tobago","2014.0","Export","70.0","2.7","4072.89","0.08"
"El Salvador","Tunisia","2014.0","Export","","","",""
"El Salvador","Turkey","2014.0","Export","11.0","0.42","1029.14","0.02"
"El Salvador","Tanzania","2014.0","Export","","","",""
"El Salvador","Uganda","2014.0","Export","1.0","0.04","0.2","0.0"
"El Salvador","Ukraine","2014.0","Export","1.0","0.04","3.16","0.0"
"El Salvador","Unspecified","2014.0","Export","1.0","0.04","0.54","0.0"
"El Salvador","Uruguay","2014.0","Export","25.0","0.96","273.26","0.01"
"El Salvador","United States","2014.0","Export","1137.0","43.87","2451527.37","46.49"
"El Salvador","Uzbekistan","2014.0","Export","","","",""
"El Salvador","Venezuela","2014.0","Export","63.0","2.43","12662.15","0.24"
"El Salvador","British Virgin Islands","2014.0","Export","","","",""
"El Salvador","Vietnam","2014.0","Export","12.0","0.46","3264.64","0.06"
"El Salvador"," World","2014.0","Export","2592.0","100.0","5272669.61","100.0"
"El Salvador","Wallis and Futura Isl.","2014.0","Export","1.0","0.04","3.89","0.0"
"El Salvador","South Africa","2014.0","Export","11.0","0.42","2846.3","0.05"
"El Salvador","Zambia","2014.0","Export","","","",""
"El Salvador","Zimbabwe","2014.0","Export","","","",""
