"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Estonia","Aruba","2014.0","Export","7.0","0.19","102.65","0.0"
"Estonia","Afghanistan","2014.0","Export","17.0","0.46","1387.77","0.01"
"Estonia","Angola","2014.0","Export","13.0","0.35","1028.85","0.01"
"Estonia","Albania","2014.0","Export","14.0","0.38","511.73","0.0"
"Estonia","Andorra","2014.0","Export","3.0","0.08","7.55","0.0"
"Estonia","United Arab Emirates","2014.0","Export","260.0","7.02","31368.07","0.18"
"Estonia","Argentina","2014.0","Export","48.0","1.3","2343.14","0.01"
"Estonia","Armenia","2014.0","Export","78.0","2.11","2453.34","0.01"
"Estonia","American Samoa","2014.0","Export","","","",""
"Estonia","Fr. So. Ant. Tr","2014.0","Export","5.0","0.14","2168.12","0.01"
"Estonia","Antigua and Barbuda","2014.0","Export","53.0","1.43","24.49","0.0"
"Estonia","Australia","2014.0","Export","234.0","6.32","34760.91","0.2"
"Estonia","Austria","2014.0","Export","298.0","8.05","47966.6","0.27"
"Estonia","Azerbaijan","2014.0","Export","125.0","3.38","19013.29","0.11"
"Estonia","Belgium","2014.0","Export","456.0","12.32","367543.52","2.09"
"Estonia","Benin","2014.0","Export","10.0","0.27","2493.35","0.01"
"Estonia","Burkina Faso","2014.0","Export","4.0","0.11","290.31","0.0"
"Estonia","Bangladesh","2014.0","Export","11.0","0.3","427.78","0.0"
"Estonia","Bulgaria","2014.0","Export","272.0","7.35","31895.28","0.18"
"Estonia","Bahrain","2014.0","Export","69.0","1.86","542.38","0.0"
"Estonia","Bahamas, The","2014.0","Export","24.0","0.65","2028.4","0.01"
"Estonia","Bosnia and Herzegovina","2014.0","Export","40.0","1.08","1535.95","0.01"
"Estonia","Belarus","2014.0","Export","1003.0","27.09","87064.34","0.5"
"Estonia","Belize","2014.0","Export","1.0","0.03","0.3","0.0"
"Estonia","Bolivia","2014.0","Export","25.0","0.68","780.91","0.0"
"Estonia","Brazil","2014.0","Export","173.0","4.67","39122.08","0.22"
"Estonia","Barbados","2014.0","Export","3.0","0.08","38.72","0.0"
"Estonia","Bunkers","2014.0","Export","723.0","19.53","133321.88","0.76"
"Estonia","Botswana","2014.0","Export","","","",""
"Estonia","Central African Republic","2014.0","Export","","","",""
"Estonia","Canada","2014.0","Export","203.0","5.48","112414.83","0.64"
"Estonia","Switzerland","2014.0","Export","442.0","11.94","65561.28","0.37"
"Estonia","Chile","2014.0","Export","71.0","1.92","3250.57","0.02"
"Estonia","China","2014.0","Export","385.0","10.4","204036.92","1.16"
"Estonia","Cote d'Ivoire","2014.0","Export","7.0","0.19","477.9","0.0"
"Estonia","Cameroon","2014.0","Export","19.0","0.51","1007.97","0.01"
"Estonia","Congo, Rep.","2014.0","Export","1.0","0.03","2.39","0.0"
"Estonia","Cook Islands","2014.0","Export","","","",""
"Estonia","Colombia","2014.0","Export","31.0","0.84","4375.39","0.02"
"Estonia","Comoros","2014.0","Export","","","",""
