"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ethiopia(excludes Eritrea)","Afghanistan","2014.0","Export","1.0","0.06","3.31","0.0"
"Ethiopia(excludes Eritrea)","Angola","2014.0","Export","25.0","1.46","814.67","0.01"
"Ethiopia(excludes Eritrea)","Albania","2014.0","Export","2.0","0.12","111.72","0.0"
"Ethiopia(excludes Eritrea)","Andorra","2014.0","Export","24.0","1.4","359.26","0.01"
"Ethiopia(excludes Eritrea)","United Arab Emirates","2014.0","Export","425.0","24.75","143725.61","2.54"
"Ethiopia(excludes Eritrea)","Argentina","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Armenia","2014.0","Export","2.0","0.12","80.45","0.0"
"Ethiopia(excludes Eritrea)","Antigua and Barbuda","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Australia","2014.0","Export","93.0","5.42","21793.2","0.38"
"Ethiopia(excludes Eritrea)","Austria","2014.0","Export","20.0","1.16","365.71","0.01"
"Ethiopia(excludes Eritrea)","Azerbaijan","2014.0","Export","33.0","1.92","64.41","0.0"
"Ethiopia(excludes Eritrea)","Burundi","2014.0","Export","26.0","1.51","75.02","0.0"
"Ethiopia(excludes Eritrea)","Belgium","2014.0","Export","99.0","5.77","90602.26","1.6"
"Ethiopia(excludes Eritrea)","Benin","2014.0","Export","29.0","1.69","16.92","0.0"
"Ethiopia(excludes Eritrea)","Burkina Faso","2014.0","Export","53.0","3.09","340.6","0.01"
"Ethiopia(excludes Eritrea)","Bangladesh","2014.0","Export","4.0","0.23","491.01","0.01"
"Ethiopia(excludes Eritrea)","Bulgaria","2014.0","Export","5.0","0.29","7106.15","0.13"
"Ethiopia(excludes Eritrea)","Bahrain","2014.0","Export","53.0","3.09","7029.24","0.12"
"Ethiopia(excludes Eritrea)","Bahamas, The","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Bosnia and Herzegovina","2014.0","Export","6.0","0.35","77.84","0.0"
"Ethiopia(excludes Eritrea)","Belarus","2014.0","Export","1.0","0.06","46.45","0.0"
"Ethiopia(excludes Eritrea)","Belize","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Bermuda","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Bolivia","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Brazil","2014.0","Export","10.0","0.58","35.29","0.0"
"Ethiopia(excludes Eritrea)","Barbados","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Bhutan","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Botswana","2014.0","Export","35.0","2.04","38.78","0.0"
"Ethiopia(excludes Eritrea)","Central African Republic","2014.0","Export","1.0","0.06","4.94","0.0"
"Ethiopia(excludes Eritrea)","Canada","2014.0","Export","129.0","7.51","14750.97","0.26"
"Ethiopia(excludes Eritrea)","Switzerland","2014.0","Export","115.0","6.7","158758.86","2.8"
"Ethiopia(excludes Eritrea)","Chile","2014.0","Export","59.0","3.44","231.21","0.0"
"Ethiopia(excludes Eritrea)","China","2014.0","Export","220.0","12.81","533171.81","9.41"
"Ethiopia(excludes Eritrea)","Cote d'Ivoire","2014.0","Export","50.0","2.91","225.51","0.0"
"Ethiopia(excludes Eritrea)","Cameroon","2014.0","Export","19.0","1.11","57.66","0.0"
"Ethiopia(excludes Eritrea)","Congo, Rep.","2014.0","Export","57.0","3.32","873.0","0.02"
"Ethiopia(excludes Eritrea)","Colombia","2014.0","Export","1.0","0.06","194.7","0.0"
"Ethiopia(excludes Eritrea)","Comoros","2014.0","Export","1.0","0.06","2.87","0.0"
"Ethiopia(excludes Eritrea)","Cape Verde","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Costa Rica","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Cuba","2014.0","Export","1.0","0.06","57.06","0.0"
"Ethiopia(excludes Eritrea)","Christmas Island","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Cyprus","2014.0","Export","3.0","0.17","425.48","0.01"
"Ethiopia(excludes Eritrea)","Czech Republic","2014.0","Export","44.0","2.56","1904.45","0.03"
"Ethiopia(excludes Eritrea)","Germany","2014.0","Export","360.0","20.97","320232.31","5.65"
"Ethiopia(excludes Eritrea)","Djibouti","2014.0","Export","311.0","18.11","172853.41","3.05"
"Ethiopia(excludes Eritrea)","Dominica","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Denmark","2014.0","Export","50.0","2.91","1085.31","0.02"
"Ethiopia(excludes Eritrea)","Dominican Republic","2014.0","Export","5.0","0.29","37.49","0.0"
"Ethiopia(excludes Eritrea)","Algeria","2014.0","Export","16.0","0.93","3083.93","0.05"
"Ethiopia(excludes Eritrea)","East Asia & Pacific","2014.0","Export","474.0","27.61","850018.21","15.0"
"Ethiopia(excludes Eritrea)","Europe & Central Asia","2014.0","Export","955.0","55.62","1524786.06","26.91"
"Ethiopia(excludes Eritrea)","Ecuador","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Egypt, Arab Rep.","2014.0","Export","101.0","5.88","94552.9","1.67"
"Ethiopia(excludes Eritrea)","Spain","2014.0","Export","102.0","5.94","15434.84","0.27"
"Ethiopia(excludes Eritrea)","Estonia","2014.0","Export","3.0","0.17","354.6","0.01"
"Ethiopia(excludes Eritrea)","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Finland","2014.0","Export","19.0","1.11","3899.68","0.07"
"Ethiopia(excludes Eritrea)","France","2014.0","Export","267.0","15.55","67942.72","1.2"
"Ethiopia(excludes Eritrea)","Gabon","2014.0","Export","13.0","0.76","564.82","0.01"
"Ethiopia(excludes Eritrea)","United Kingdom","2014.0","Export","245.0","14.27","62316.37","1.1"
"Ethiopia(excludes Eritrea)","Georgia","2014.0","Export","3.0","0.17","152.64","0.0"
"Ethiopia(excludes Eritrea)","Ghana","2014.0","Export","58.0","3.38","1324.58","0.02"
"Ethiopia(excludes Eritrea)","Gibraltar","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Guinea","2014.0","Export","2.0","0.12","16.54","0.0"
"Ethiopia(excludes Eritrea)","Gambia, The","2014.0","Export","3.0","0.17","34.19","0.0"
"Ethiopia(excludes Eritrea)","Guinea-Bissau","2014.0","Export","1.0","0.06","0.78","0.0"
"Ethiopia(excludes Eritrea)","Equatorial Guinea","2014.0","Export","2.0","0.12","4.86","0.0"
"Ethiopia(excludes Eritrea)","Greece","2014.0","Export","15.0","0.87","16638.61","0.29"
"Ethiopia(excludes Eritrea)","Grenada","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Guatemala","2014.0","Export","2.0","0.12","1294.79","0.02"
"Ethiopia(excludes Eritrea)","Hong Kong, China","2014.0","Export","30.0","1.75","25033.97","0.44"
"Ethiopia(excludes Eritrea)","Honduras","2014.0","Export","1.0","0.06","2518.3","0.04"
"Ethiopia(excludes Eritrea)","Croatia","2014.0","Export","1.0","0.06","591.93","0.01"
"Ethiopia(excludes Eritrea)","Haiti","2014.0","Export","5.0","0.29","78.3","0.0"
"Ethiopia(excludes Eritrea)","Hungary","2014.0","Export","5.0","0.29","1240.23","0.02"
"Ethiopia(excludes Eritrea)","Indonesia","2014.0","Export","19.0","1.11","36524.56","0.64"
"Ethiopia(excludes Eritrea)","India","2014.0","Export","127.0","7.4","59791.42","1.06"
"Ethiopia(excludes Eritrea)","Ireland","2014.0","Export","53.0","3.09","321.11","0.01"
"Ethiopia(excludes Eritrea)","Iran, Islamic Rep.","2014.0","Export","2.0","0.12","0.11","0.0"
"Ethiopia(excludes Eritrea)","Iraq","2014.0","Export","2.0","0.12","172.6","0.0"
"Ethiopia(excludes Eritrea)","Iceland","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Israel","2014.0","Export","115.0","6.7","134404.3","2.37"
"Ethiopia(excludes Eritrea)","Italy","2014.0","Export","234.0","13.63","82250.33","1.45"
"Ethiopia(excludes Eritrea)","Jamaica","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Jordan","2014.0","Export","66.0","3.84","37329.6","0.66"
"Ethiopia(excludes Eritrea)","Japan","2014.0","Export","76.0","4.43","144370.99","2.55"
"Ethiopia(excludes Eritrea)","Kazakhstan","2014.0","Export","2.0","0.12","44.33","0.0"
"Ethiopia(excludes Eritrea)","Kenya","2014.0","Export","329.0","19.16","36294.86","0.64"
"Ethiopia(excludes Eritrea)","Cambodia","2014.0","Export","1.0","0.06","39.6","0.0"
"Ethiopia(excludes Eritrea)","Korea, Rep.","2014.0","Export","50.0","2.91","43540.81","0.77"
"Ethiopia(excludes Eritrea)","Kuwait","2014.0","Export","100.0","5.82","800740.98","14.13"
"Ethiopia(excludes Eritrea)","Lebanon","2014.0","Export","40.0","2.33","9367.73","0.17"
"Ethiopia(excludes Eritrea)","Liberia","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Libya","2014.0","Export","3.0","0.17","4388.61","0.08"
"Ethiopia(excludes Eritrea)","Latin America & Caribbean","2014.0","Export","115.0","6.7","40779.91","0.72"
"Ethiopia(excludes Eritrea)","Sri Lanka","2014.0","Export","9.0","0.52","1176.91","0.02"
"Ethiopia(excludes Eritrea)","Lesotho","2014.0","Export","33.0","1.92","16.26","0.0"
"Ethiopia(excludes Eritrea)","Lithuania","2014.0","Export","1.0","0.06","601.38","0.01"
"Ethiopia(excludes Eritrea)","Luxembourg","2014.0","Export","1.0","0.06","77.03","0.0"
"Ethiopia(excludes Eritrea)","Latvia","2014.0","Export","3.0","0.17","795.52","0.01"
"Ethiopia(excludes Eritrea)","Morocco","2014.0","Export","7.0","0.41","500.42","0.01"
"Ethiopia(excludes Eritrea)","Moldova","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Madagascar","2014.0","Export","1.0","0.06","3.79","0.0"
"Ethiopia(excludes Eritrea)","Middle East & North Africa","2014.0","Export","831.0","48.4","2043366.38","36.06"
"Ethiopia(excludes Eritrea)","Mexico","2014.0","Export","47.0","2.74","1122.35","0.02"
"Ethiopia(excludes Eritrea)","Mali","2014.0","Export","69.0","4.02","100.57","0.0"
"Ethiopia(excludes Eritrea)","Malta","2014.0","Export","7.0","0.41","92.59","0.0"
"Ethiopia(excludes Eritrea)","Myanmar","2014.0","Export","20.0","1.16","5.26","0.0"
"Ethiopia(excludes Eritrea)","Mozambique","2014.0","Export","18.0","1.05","128.84","0.0"
"Ethiopia(excludes Eritrea)","Mauritania","2014.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Mauritius","2014.0","Export","1.0","0.06","62.15","0.0"
"Ethiopia(excludes Eritrea)","Malawi","2014.0","Export","42.0","2.45","25.09","0.0"
"Ethiopia(excludes Eritrea)","Malaysia","2014.0","Export","88.0","5.13","3532.22","0.06"
"Ethiopia(excludes Eritrea)","North America","2014.0","Export","483.0","28.13","200059.45","3.53"
"Ethiopia(excludes Eritrea)","Namibia","2014.0","Export","59.0","3.44","18.77","0.0"
"Ethiopia(excludes Eritrea)","Niger","2014.0","Export","11.0","0.64","1.07","0.0"
"Ethiopia(excludes Eritrea)","Nigeria","2014.0","Export","107.0","6.23","874.07","0.02"
"Ethiopia(excludes Eritrea)","Nicaragua","2014.0","Export","1.0","0.06","33066.21","0.58"
"Ethiopia(excludes Eritrea)","Netherlands","2014.0","Export","142.0","8.27","526555.91","9.29"
"Ethiopia(excludes Eritrea)","Norway","2014.0","Export","111.0","6.46","24257.14","0.43"
"Ethiopia(excludes Eritrea)","Nepal","2014.0","Export","16.0","0.93","48.54","0.0"
"Ethiopia(excludes Eritrea)","New Zealand","2014.0","Export","43.0","2.5","4756.34","0.08"
"Ethiopia(excludes Eritrea)","Other Asia, nes","2014.0","Export","13.0","0.76","5524.36","0.1"
"Ethiopia(excludes Eritrea)","Oman","2014.0","Export","13.0","0.76","5158.47","0.09"
