"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Fiji","Aruba","2014.0","Export","","","",""
"Fiji","Afghanistan","2014.0","Export","1.0","0.05","13.26","0.0"
"Fiji","Angola","2014.0","Export","","","",""
"Fiji","Anguila","2014.0","Export","","","",""
"Fiji","United Arab Emirates","2014.0","Export","18.0","0.84","849.03","0.06"
"Fiji","Argentina","2014.0","Export","1.0","0.05","0.03","0.0"
"Fiji","American Samoa","2014.0","Export","195.0","9.06","24952.38","1.82"
"Fiji","Antarctica","2014.0","Export","1.0","0.05","113.99","0.01"
"Fiji","Antigua and Barbuda","2014.0","Export","","","",""
"Fiji","Australia","2014.0","Export","755.0","35.08","158640.85","11.55"
"Fiji","Austria","2014.0","Export","1.0","0.05","40.96","0.0"
"Fiji","Azerbaijan","2014.0","Export","1.0","0.05","89.41","0.01"
"Fiji","Belgium","2014.0","Export","3.0","0.14","785.55","0.06"
"Fiji","Bangladesh","2014.0","Export","1.0","0.05","0.0","0.0"
"Fiji","Bulgaria","2014.0","Export","1.0","0.05","33.38","0.0"
"Fiji","Bahrain","2014.0","Export","2.0","0.09","192.49","0.01"
"Fiji","Bahamas, The","2014.0","Export","27.0","1.25","22.41","0.0"
"Fiji","Bosnia and Herzegovina","2014.0","Export","","","",""
"Fiji","Belize","2014.0","Export","","","",""
"Fiji","Brazil","2014.0","Export","5.0","0.23","67.53","0.0"
"Fiji","Barbados","2014.0","Export","2.0","0.09","181.6","0.01"
"Fiji","Brunei","2014.0","Export","2.0","0.09","4.34","0.0"
"Fiji","Bunkers","2014.0","Export","126.0","5.86","203357.81","14.81"
"Fiji","Central African Republic","2014.0","Export","","","",""
"Fiji","Canada","2014.0","Export","106.0","4.93","5216.37","0.38"
"Fiji","Cocos (Keeling) Islands","2014.0","Export","10.0","0.46","3.26","0.0"
"Fiji","Switzerland","2014.0","Export","3.0","0.14","35.19","0.0"
"Fiji","Chile","2014.0","Export","3.0","0.14","35.97","0.0"
"Fiji","China","2014.0","Export","211.0","9.8","80484.8","5.86"
"Fiji","Cote d'Ivoire","2014.0","Export","4.0","0.19","21.73","0.0"
"Fiji","Cameroon","2014.0","Export","2.0","0.09","44.34","0.0"
"Fiji","Congo, Rep.","2014.0","Export","","","",""
"Fiji","Cook Islands","2014.0","Export","273.0","12.69","16276.1","1.19"
"Fiji","Colombia","2014.0","Export","","","",""
