"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"France","Aruba","2014.0","Export","239.0","5.46","21476.63","0.0"
"France","Afghanistan","2014.0","Export","189.0","4.32","22605.92","0.0"
"France","Angola","2014.0","Export","1559.0","35.59","1022092.82","0.18"
"France","Anguila","2014.0","Export","22.0","0.5","2260.74","0.0"
"France","Albania","2014.0","Export","771.0","17.6","46142.55","0.01"
"France","Andorra","2014.0","Export","1758.0","40.14","279139.82","0.05"
"France","United Arab Emirates","2014.0","Export","2707.0","61.8","5446019.19","0.96"
"France","Argentina","2014.0","Export","1608.0","36.71","1187666.02","0.21"
"France","Armenia","2014.0","Export","837.0","19.11","64256.72","0.01"
"France","American Samoa","2014.0","Export","25.0","0.57","3713.07","0.0"
"France","Antarctica","2014.0","Export","17.0","0.39","2863.56","0.0"
"France","Fr. So. Ant. Tr","2014.0","Export","79.0","1.8","6854.56","0.0"
"France","Antigua and Barbuda","2014.0","Export","235.0","5.37","55312.36","0.01"
"France","Australia","2014.0","Export","2465.0","56.28","3416551.78","0.6"
"France","Austria","2014.0","Export","3339.0","76.23","4762433.53","0.84"
"France","Azerbaijan","2014.0","Export","1090.0","24.89","276742.35","0.05"
"France","Burundi","2014.0","Export","238.0","5.43","19482.54","0.0"
"France","Belgium","2014.0","Export","4097.0","93.54","41272866.01","7.28"
"France","Benin","2014.0","Export","1608.0","36.71","350189.66","0.06"
"France","Bonaire","2014.0","Export","14.0","0.32","197.89","0.0"
"France","Burkina Faso","2014.0","Export","1670.0","38.13","357455.35","0.06"
"France","Bangladesh","2014.0","Export","627.0","14.32","200933.83","0.04"
"France","Bulgaria","2014.0","Export","2670.0","60.96","958293.71","0.17"
"France","Bahrain","2014.0","Export","1289.0","29.43","312602.92","0.06"
"France","Bahamas, The","2014.0","Export","190.0","4.34","39952.28","0.01"
"France","Bosnia and Herzegovina","2014.0","Export","919.0","20.98","120774.97","0.02"
"France","Belarus","2014.0","Export","1082.0","24.7","239523.86","0.04"
"France","Belize","2014.0","Export","39.0","0.89","5108.78","0.0"
"France","Bermuda","2014.0","Export","269.0","6.14","5264.57","0.0"
"France","Bolivia","2014.0","Export","435.0","9.93","107812.84","0.02"
"France","Brazil","2014.0","Export","2403.0","54.86","5704801.27","1.01"
"France","Barbados","2014.0","Export","333.0","7.6","29730.54","0.01"
"France","Brunei","2014.0","Export","300.0","6.85","6727.78","0.0"
"France","Bhutan","2014.0","Export","37.0","0.84","440.68","0.0"
"France","Bouvet Island","2014.0","Export","","","",""
"France","Botswana","2014.0","Export","109.0","2.49","7488.31","0.0"
"France","Central African Republic","2014.0","Export","677.0","15.46","35449.43","0.01"
"France","Canada","2014.0","Export","2665.0","60.84","3901054.93","0.69"
"France","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","4.8","0.0"
"France","Switzerland","2014.0","Export","3952.0","90.23","17202850.83","3.04"
"France","Chile","2014.0","Export","1841.0","42.03","885673.13","0.16"
"France","China","2014.0","Export","3127.0","71.39","21469259.82","3.79"
"France","Cote d'Ivoire","2014.0","Export","2493.0","56.92","1414141.75","0.25"
"France","Cameroon","2014.0","Export","2252.0","51.42","868854.33","0.15"
"France","Congo, Rep.","2014.0","Export","2192.0","50.05","844285.0","0.15"
"France","Cook Islands","2014.0","Export","7.0","0.16","39.78","0.0"
"France","Colombia","2014.0","Export","1742.0","39.77","1304242.21","0.23"
"France","Comoros","2014.0","Export","815.0","18.61","37845.42","0.01"
"France","Cape Verde","2014.0","Export","296.0","6.76","14607.18","0.0"
"France","Costa Rica","2014.0","Export","733.0","16.74","56317.44","0.01"
"France","Cuba","2014.0","Export","569.0","12.99","208448.11","0.04"
"France","Curaçao","2014.0","Export","339.0","7.74","11735.88","0.0"
"France","Christmas Island","2014.0","Export","","","",""
"France","Cayman Islands","2014.0","Export","217.0","4.95","23485.9","0.0"
"France","Cyprus","2014.0","Export","1948.0","44.47","603191.83","0.11"
"France","Czech Republic","2014.0","Export","3208.0","73.24","4702728.03","0.83"
"France","Germany","2014.0","Export","4116.0","93.97","93804334.97","16.55"
"France","Djibouti","2014.0","Export","1177.0","26.87","93018.65","0.02"
"France","Dominica","2014.0","Export","88.0","2.01","5072.28","0.0"
"France","Denmark","2014.0","Export","3094.0","70.64","3214317.59","0.57"
"France","Dominican Republic","2014.0","Export","1108.0","25.3","136077.76","0.02"
"France","Algeria","2014.0","Export","2642.0","60.32","8175042.04","1.44"
"France","East Asia & Pacific","2014.0","Export","3992.0","91.14","66710520.93","11.77"
"France","Europe & Central Asia","2014.0","Export","4361.0","99.57","381349438.91","67.3"
"France","Ecuador","2014.0","Export","841.0","19.2","152577.12","0.03"
"France","Egypt, Arab Rep.","2014.0","Export","2034.0","46.44","2097345.53","0.37"
"France","Eritrea","2014.0","Export","66.0","1.51","3957.09","0.0"
"France","Western Sahara","2014.0","Export","","","",""
"France","Spain","2014.0","Export","4039.0","92.21","40237402.3","7.1"
"France","Estonia","2014.0","Export","2182.0","49.82","339882.12","0.06"
"France","Ethiopia(excludes Eritrea)","2014.0","Export","623.0","14.22","132342.25","0.02"
"France","Finland","2014.0","Export","2827.0","64.54","1908375.65","0.34"
"France","Fiji","2014.0","Export","185.0","4.22","61649.9","0.01"
"France","Falkland Island","2014.0","Export","3.0","0.07","6.13","0.0"
"France","France","2014.0","Export","","","",""
"France","Faeroe Islands","2014.0","Export","103.0","2.35","2530.94","0.0"
"France","Micronesia, Fed. Sts.","2014.0","Export","4.0","0.09","40.85","0.0"
"France","Gabon","2014.0","Export","2382.0","54.38","902349.65","0.16"
"France","United Kingdom","2014.0","Export","3878.0","88.54","40208880.27","7.1"
"France","Georgia","2014.0","Export","1007.0","22.99","144288.44","0.03"
"France","Ghana","2014.0","Export","1063.0","24.27","263121.12","0.05"
"France","Gibraltar","2014.0","Export","221.0","5.05","346447.39","0.06"
"France","Guinea","2014.0","Export","1189.0","27.15","168166.95","0.03"
"France","Gambia, The","2014.0","Export","242.0","5.53","25049.04","0.0"
"France","Guinea-Bissau","2014.0","Export","182.0","4.16","12405.5","0.0"
"France","Equatorial Guinea","2014.0","Export","1102.0","25.16","137390.78","0.02"
"France","Greece","2014.0","Export","3062.0","69.91","2800480.13","0.49"
"France","Grenada","2014.0","Export","206.0","4.7","1565.13","0.0"
"France","Greenland","2014.0","Export","70.0","1.6","1192.25","0.0"
"France","Guatemala","2014.0","Export","728.0","16.62","157946.08","0.03"
"France","Guam","2014.0","Export","149.0","3.4","14299.72","0.0"
"France","Guyana","2014.0","Export","201.0","4.59","6065.87","0.0"
"France","Hong Kong, China","2014.0","Export","2604.0","59.45","5844723.29","1.03"
"France","Heard Island and McDonald Isla","2014.0","Export","","","",""
"France","Honduras","2014.0","Export","336.0","7.67","46008.14","0.01"
"France","Croatia","2014.0","Export","2052.0","46.85","407543.2","0.07"
"France","Haiti","2014.0","Export","755.0","17.24","63522.97","0.01"
"France","Hungary","2014.0","Export","3071.0","70.11","4343278.1","0.77"
"France","Indonesia","2014.0","Export","1681.0","38.38","2205675.85","0.39"
"France","India","2014.0","Export","2492.0","56.9","3585143.98","0.63"
"France","British Indian Ocean Ter.","2014.0","Export","3.0","0.07","72.53","0.0"
"France","Ireland","2014.0","Export","2812.0","64.2","3033426.0","0.54"
"France","Iran, Islamic Rep.","2014.0","Export","1135.0","25.91","601703.34","0.11"
"France","Iraq","2014.0","Export","801.0","18.29","553262.57","0.1"
"France","Iceland","2014.0","Export","1029.0","23.49","84680.49","0.01"
"France","Israel","2014.0","Export","2272.0","51.87","1544401.08","0.27"
"France","Italy","2014.0","Export","4037.0","92.17","40924834.09","7.22"
"France","Jamaica","2014.0","Export","268.0","6.12","22461.53","0.0"
"France","Jordan","2014.0","Export","1406.0","32.1","383669.03","0.07"
