"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"French Polynesia","Albania","2014.0","Export","","","",""
"French Polynesia","Andorra","2014.0","Export","","","",""
"French Polynesia","United Arab Emirates","2014.0","Export","2.0","0.23","93.72","0.06"
"French Polynesia","Argentina","2014.0","Export","1.0","0.11","0.97","0.0"
"French Polynesia","Armenia","2014.0","Export","","","",""
"French Polynesia","American Samoa","2014.0","Export","4.0","0.46","63.76","0.04"
"French Polynesia","Antigua and Barbuda","2014.0","Export","","","",""
"French Polynesia","Australia","2014.0","Export","56.0","6.39","353.13","0.21"
"French Polynesia","Austria","2014.0","Export","6.0","0.68","7.86","0.0"
"French Polynesia","Belgium","2014.0","Export","9.0","1.03","376.58","0.22"
"French Polynesia","Burkina Faso","2014.0","Export","","","",""
"French Polynesia","Bangladesh","2014.0","Export","","","",""
"French Polynesia","Bulgaria","2014.0","Export","","","",""
"French Polynesia","Bosnia and Herzegovina","2014.0","Export","","","",""
"French Polynesia","Belarus","2014.0","Export","","","",""
"French Polynesia","Belize","2014.0","Export","","","",""
"French Polynesia","Bolivia","2014.0","Export","","","",""
"French Polynesia","Brazil","2014.0","Export","5.0","0.57","205.9","0.12"
"French Polynesia","Barbados","2014.0","Export","","","",""
"French Polynesia","Central African Republic","2014.0","Export","","","",""
"French Polynesia","Canada","2014.0","Export","22.0","2.51","2506.08","1.47"
"French Polynesia","Switzerland","2014.0","Export","11.0","1.25","72.38","0.04"
"French Polynesia","Chile","2014.0","Export","138.0","15.74","444.49","0.26"
"French Polynesia","China","2014.0","Export","23.0","2.62","2289.57","1.35"
"French Polynesia","Cote d'Ivoire","2014.0","Export","","","",""
"French Polynesia","Cameroon","2014.0","Export","","","",""
"French Polynesia","Congo, Rep.","2014.0","Export","","","",""
"French Polynesia","Cook Islands","2014.0","Export","70.0","7.98","185.95","0.11"
"French Polynesia","Colombia","2014.0","Export","3.0","0.34","8027.22","4.72"
"French Polynesia","Comoros","2014.0","Export","","","",""
"French Polynesia","Costa Rica","2014.0","Export","2.0","0.23","0.07","0.0"
"French Polynesia","Cuba","2014.0","Export","","","",""
"French Polynesia","Cyprus","2014.0","Export","","","",""
"French Polynesia","Czech Republic","2014.0","Export","","","",""
"French Polynesia","Germany","2014.0","Export","41.0","4.67","1139.21","0.67"
"French Polynesia","Dominica","2014.0","Export","","","",""
"French Polynesia","Denmark","2014.0","Export","7.0","0.8","497.37","0.29"
"French Polynesia","Dominican Republic","2014.0","Export","1.0","0.11","8.1","0.0"
"French Polynesia","Algeria","2014.0","Export","1.0","0.11","0.33","0.0"
"French Polynesia","East Asia & Pacific","2014.0","Export","542.0","61.8","114304.62","67.2"
"French Polynesia","Europe & Central Asia","2014.0","Export","504.0","57.47","22395.37","13.17"
"French Polynesia","Ecuador","2014.0","Export","1.0","0.11","278.3","0.16"
"French Polynesia","Egypt, Arab Rep.","2014.0","Export","","","",""
"French Polynesia","Eritrea","2014.0","Export","","","",""
"French Polynesia","Spain","2014.0","Export","12.0","1.37","49.52","0.03"
"French Polynesia","Estonia","2014.0","Export","","","",""
"French Polynesia","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"French Polynesia","Finland","2014.0","Export","","","",""
"French Polynesia","Fiji","2014.0","Export","8.0","0.91","28.86","0.02"
"French Polynesia","France","2014.0","Export","480.0","54.73","19439.99","11.43"
"French Polynesia","United Kingdom","2014.0","Export","20.0","2.28","81.36","0.05"
"French Polynesia","Georgia","2014.0","Export","","","",""
"French Polynesia","Ghana","2014.0","Export","","","",""
"French Polynesia","Equatorial Guinea","2014.0","Export","","","",""
"French Polynesia","Greece","2014.0","Export","","","",""
"French Polynesia","Grenada","2014.0","Export","","","",""
"French Polynesia","Greenland","2014.0","Export","","","",""
"French Polynesia","Guatemala","2014.0","Export","","","",""
"French Polynesia","Guam","2014.0","Export","2.0","0.23","25.16","0.01"
"French Polynesia","Guyana","2014.0","Export","","","",""
"French Polynesia","Hong Kong, China","2014.0","Export","21.0","2.39","48886.19","28.74"
"French Polynesia","Honduras","2014.0","Export","","","",""
"French Polynesia","Croatia","2014.0","Export","1.0","0.11","95.97","0.06"
"French Polynesia","Haiti","2014.0","Export","1.0","0.11","0.27","0.0"
"French Polynesia","Hungary","2014.0","Export","2.0","0.23","1.51","0.0"
"French Polynesia","Indonesia","2014.0","Export","6.0","0.68","322.72","0.19"
"French Polynesia","India","2014.0","Export","1.0","0.11","72.59","0.04"
"French Polynesia","Ireland","2014.0","Export","","","",""
"French Polynesia","Iran, Islamic Rep.","2014.0","Export","","","",""
"French Polynesia","Iceland","2014.0","Export","","","",""
"French Polynesia","Israel","2014.0","Export","2.0","0.23","89.28","0.05"
"French Polynesia","Italy","2014.0","Export","10.0","1.14","266.58","0.16"
"French Polynesia","Jamaica","2014.0","Export","","","",""
"French Polynesia","Jordan","2014.0","Export","","","",""
"French Polynesia","Japan","2014.0","Export","47.0","5.36","46996.64","27.63"
"French Polynesia","Kazakhstan","2014.0","Export","1.0","0.11","1.05","0.0"
"French Polynesia","Kenya","2014.0","Export","","","",""
"French Polynesia","Cambodia","2014.0","Export","1.0","0.11","4.66","0.0"
"French Polynesia","Korea, Rep.","2014.0","Export","6.0","0.68","278.09","0.16"
"French Polynesia","Lebanon","2014.0","Export","","","",""
"French Polynesia","St. Lucia","2014.0","Export","","","",""
"French Polynesia","Latin America & Caribbean","2014.0","Export","149.0","16.99","8981.64","5.28"
"French Polynesia","Sri Lanka","2014.0","Export","","","",""
"French Polynesia","Lithuania","2014.0","Export","4.0","0.46","21.45","0.01"
"French Polynesia","Luxembourg","2014.0","Export","4.0","0.46","47.4","0.03"
"French Polynesia","Latvia","2014.0","Export","1.0","0.11","0.52","0.0"
"French Polynesia","Macao","2014.0","Export","","","",""
"French Polynesia","Morocco","2014.0","Export","","","",""
"French Polynesia","Moldova","2014.0","Export","","","",""
