"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Gambia, The","Angola","2014.0","Export","1.0","0.29","14.76","0.01"
"Gambia, The","Andorra","2014.0","Export","","","",""
"Gambia, The","United Arab Emirates","2014.0","Export","14.0","4.11","288.73","0.28"
"Gambia, The","Argentina","2014.0","Export","","","",""
"Gambia, The","Antigua and Barbuda","2014.0","Export","","","",""
"Gambia, The","Australia","2014.0","Export","","","",""
"Gambia, The","Austria","2014.0","Export","1.0","0.29","2.67","0.0"
"Gambia, The","Azerbaijan","2014.0","Export","","","",""
"Gambia, The","Belgium","2014.0","Export","8.0","2.35","28.44","0.03"
"Gambia, The","Benin","2014.0","Export","1.0","0.29","1.21","0.0"
"Gambia, The","Burkina Faso","2014.0","Export","23.0","6.74","66.23","0.06"
"Gambia, The","Bangladesh","2014.0","Export","","","",""
"Gambia, The","Bulgaria","2014.0","Export","","","",""
"Gambia, The","Bosnia and Herzegovina","2014.0","Export","1.0","0.29","8.1","0.01"
"Gambia, The","Brazil","2014.0","Export","4.0","1.17","2.29","0.0"
"Gambia, The","Brunei","2014.0","Export","","","",""
"Gambia, The","Canada","2014.0","Export","","","",""
"Gambia, The","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Gambia, The","Switzerland","2014.0","Export","","","",""
"Gambia, The","China","2014.0","Export","6.0","1.76","7533.55","7.25"
"Gambia, The","Cote d'Ivoire","2014.0","Export","4.0","1.17","17.52","0.02"
"Gambia, The","Cameroon","2014.0","Export","","","",""
"Gambia, The","Colombia","2014.0","Export","","","",""
"Gambia, The","Cuba","2014.0","Export","","","",""
"Gambia, The","Curaçao","2014.0","Export","","","",""
"Gambia, The","Cyprus","2014.0","Export","","","",""
"Gambia, The","Czech Republic","2014.0","Export","","","",""
"Gambia, The","Germany","2014.0","Export","2.0","0.59","5.57","0.01"
"Gambia, The","Dominica","2014.0","Export","","","",""
"Gambia, The","Denmark","2014.0","Export","","","",""
"Gambia, The","Algeria","2014.0","Export","","","",""
"Gambia, The","East Asia & Pacific","2014.0","Export","20.0","5.87","8407.5","8.09"
"Gambia, The","Europe & Central Asia","2014.0","Export","60.0","17.6","2088.8","2.01"
"Gambia, The","Egypt, Arab Rep.","2014.0","Export","","","",""
"Gambia, The","Spain","2014.0","Export","13.0","3.81","469.05","0.45"
"Gambia, The","Estonia","2014.0","Export","","","",""
"Gambia, The","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Gambia, The","Finland","2014.0","Export","1.0","0.29","16.38","0.02"
"Gambia, The","France","2014.0","Export","8.0","2.35","136.01","0.13"
"Gambia, The","Gabon","2014.0","Export","","","",""
"Gambia, The","United Kingdom","2014.0","Export","20.0","5.87","707.64","0.68"
"Gambia, The","Georgia","2014.0","Export","","","",""
"Gambia, The","Ghana","2014.0","Export","1.0","0.29","1.21","0.0"
"Gambia, The","Guinea","2014.0","Export","36.0","10.56","25702.07","24.73"
"Gambia, The","Guinea-Bissau","2014.0","Export","118.0","34.6","5389.55","5.19"
"Gambia, The","Greece","2014.0","Export","","","",""
"Gambia, The","Guatemala","2014.0","Export","","","",""
"Gambia, The","Hong Kong, China","2014.0","Export","1.0","0.29","0.61","0.0"
"Gambia, The","Honduras","2014.0","Export","","","",""
"Gambia, The","Hungary","2014.0","Export","","","",""
"Gambia, The","Indonesia","2014.0","Export","","","",""
"Gambia, The","India","2014.0","Export","9.0","2.64","4447.46","4.28"
"Gambia, The","Ireland","2014.0","Export","","","",""
"Gambia, The","Iceland","2014.0","Export","3.0","0.88","7.45","0.01"
"Gambia, The","Israel","2014.0","Export","8.0","2.35","68.15","0.07"
"Gambia, The","Italy","2014.0","Export","12.0","3.52","234.27","0.23"
"Gambia, The","Jordan","2014.0","Export","","","",""
"Gambia, The","Japan","2014.0","Export","2.0","0.59","43.7","0.04"
"Gambia, The","Kenya","2014.0","Export","","","",""
"Gambia, The","Korea, Rep.","2014.0","Export","1.0","0.29","29.91","0.03"
"Gambia, The","Kuwait","2014.0","Export","","","",""
"Gambia, The","Lebanon","2014.0","Export","","","",""
"Gambia, The","Liberia","2014.0","Export","1.0","0.29","0.95","0.0"
"Gambia, The","Libya","2014.0","Export","","","",""
"Gambia, The","Latin America & Caribbean","2014.0","Export","4.0","1.17","2.29","0.0"
"Gambia, The","Sri Lanka","2014.0","Export","","","",""
"Gambia, The","Lithuania","2014.0","Export","","","",""
"Gambia, The","Latvia","2014.0","Export","","","",""
"Gambia, The","Morocco","2014.0","Export","","","",""
"Gambia, The","Middle East & North Africa","2014.0","Export","21.0","6.16","356.87","0.34"
"Gambia, The","Mali","2014.0","Export","111.0","32.55","39346.67","37.86"
"Gambia, The","Malta","2014.0","Export","","","",""
"Gambia, The","Mongolia","2014.0","Export","","","",""
"Gambia, The","Mauritania","2014.0","Export","","","",""
"Gambia, The","Mauritius","2014.0","Export","","","",""
"Gambia, The","Malaysia","2014.0","Export","1.0","0.29","3.09","0.0"
"Gambia, The","North America","2014.0","Export","9.0","2.64","47.33","0.05"
"Gambia, The","Namibia","2014.0","Export","","","",""
"Gambia, The","Niger","2014.0","Export","6.0","1.76","381.48","0.37"
"Gambia, The","Nigeria","2014.0","Export","8.0","2.35","40.96","0.04"
"Gambia, The","Niue","2014.0","Export","","","",""
"Gambia, The","Netherlands","2014.0","Export","17.0","4.99","451.82","0.43"
"Gambia, The","Norway","2014.0","Export","","","",""
"Gambia, The","Nauru","2014.0","Export","","","",""
"Gambia, The","New Zealand","2014.0","Export","1.0","0.29","1.23","0.0"
