"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Georgia","Afghanistan","2014.0","Export","31.0","1.47","1543.48","0.05"
"Georgia","Angola","2014.0","Export","1.0","0.05","89.76","0.0"
"Georgia","Albania","2014.0","Export","4.0","0.19","216.2","0.01"
"Georgia","Andorra","2014.0","Export","","","",""
"Georgia","United Arab Emirates","2014.0","Export","219.0","10.38","28147.48","0.98"
"Georgia","Argentina","2014.0","Export","","","",""
"Georgia","Armenia","2014.0","Export","1265.0","59.95","288244.43","10.07"
"Georgia","Australia","2014.0","Export","57.0","2.7","1052.79","0.04"
"Georgia","Austria","2014.0","Export","72.0","3.41","4836.48","0.17"
"Georgia","Azerbaijan","2014.0","Export","1055.0","50.0","544418.91","19.03"
"Georgia","Belgium","2014.0","Export","219.0","10.38","41675.38","1.46"
"Georgia","Benin","2014.0","Export","86.0","4.08","22.61","0.0"
"Georgia","Bangladesh","2014.0","Export","","","",""
"Georgia","Bulgaria","2014.0","Export","43.0","2.04","164090.23","5.74"
"Georgia","Bahrain","2014.0","Export","27.0","1.28","2.61","0.0"
"Georgia","Bosnia and Herzegovina","2014.0","Export","","","",""
"Georgia","Belarus","2014.0","Export","95.0","4.5","34790.18","1.22"
"Georgia","Belize","2014.0","Export","26.0","1.23","35.41","0.0"
"Georgia","Bolivia","2014.0","Export","1.0","0.05","42.0","0.0"
"Georgia","Brazil","2014.0","Export","1.0","0.05","4526.04","0.16"
"Georgia","Central African Republic","2014.0","Export","1.0","0.05","120.12","0.0"
"Georgia","Canada","2014.0","Export","88.0","4.17","47745.56","1.67"
"Georgia","Switzerland","2014.0","Export","58.0","2.75","14638.56","0.51"
"Georgia","Chile","2014.0","Export","1.0","0.05","2853.06","0.1"
"Georgia","China","2014.0","Export","45.0","2.13","90392.77","3.16"
"Georgia","Cote d'Ivoire","2014.0","Export","2.0","0.09","356.11","0.01"
"Georgia","Cameroon","2014.0","Export","1.0","0.05","4033.6","0.14"
"Georgia","Colombia","2014.0","Export","71.0","3.36","5313.29","0.19"
"Georgia","Costa Rica","2014.0","Export","1.0","0.05","18.91","0.0"
"Georgia","Cuba","2014.0","Export","","","",""
"Georgia","Cyprus","2014.0","Export","51.0","2.42","536.71","0.02"
"Georgia","Czech Republic","2014.0","Export","105.0","4.98","14165.31","0.5"
"Georgia","Germany","2014.0","Export","479.0","22.7","69141.61","2.42"
"Georgia","Denmark","2014.0","Export","70.0","3.32","1052.6","0.04"
"Georgia","Algeria","2014.0","Export","1.0","0.05","155.68","0.01"
"Georgia","East Asia & Pacific","2014.0","Export","143.0","6.78","112172.71","3.92"
"Georgia","Europe & Central Asia","2014.0","Export","2022.0","95.83","2340866.21","81.81"
"Georgia","Ecuador","2014.0","Export","1.0","0.05","2624.7","0.09"
"Georgia","Egypt, Arab Rep.","2014.0","Export","141.0","6.68","5145.26","0.18"
"Georgia","Spain","2014.0","Export","90.0","4.27","70314.05","2.46"
"Georgia","Estonia","2014.0","Export","56.0","2.65","2501.07","0.09"
"Georgia","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.05","2074.66","0.07"
"Georgia","Finland","2014.0","Export","10.0","0.47","659.15","0.02"
"Georgia","France","2014.0","Export","151.0","7.16","26882.15","0.94"
"Georgia","Faeroe Islands","2014.0","Export","","","",""
"Georgia","Gabon","2014.0","Export","1.0","0.05","280.36","0.01"
"Georgia","United Kingdom","2014.0","Export","232.0","11.0","24671.25","0.86"
"Georgia","Ghana","2014.0","Export","4.0","0.19","13.49","0.0"
"Georgia","Gibraltar","2014.0","Export","1.0","0.05","3011.19","0.11"
"Georgia","Greece","2014.0","Export","119.0","5.64","13752.37","0.48"
"Georgia","Grenada","2014.0","Export","","","",""
