"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Germany","Aruba","2014.0","Export","684.0","15.44","9852.14","0.0"
"Germany","Afghanistan","2014.0","Export","954.0","21.54","158781.55","0.01"
"Germany","Angola","2014.0","Export","1422.0","32.11","505055.25","0.03"
"Germany","Anguila","2014.0","Export","19.0","0.43","42.69","0.0"
"Germany","Albania","2014.0","Export","1911.0","43.15","213986.08","0.01"
"Germany","Andorra","2014.0","Export","925.0","20.89","53220.15","0.0"
"Germany","United Arab Emirates","2014.0","Export","3387.0","76.47","15282567.08","1.01"
"Germany","Argentina","2014.0","Export","2427.0","54.8","3285631.39","0.22"
"Germany","Armenia","2014.0","Export","1982.0","44.75","178907.23","0.01"
"Germany","American Samoa","2014.0","Export","28.0","0.63","165.92","0.0"
"Germany","Antarctica","2014.0","Export","47.0","1.06","895.07","0.0"
"Germany","Fr. So. Ant. Tr","2014.0","Export","160.0","3.61","3017.28","0.0"
"Germany","Antigua and Barbuda","2014.0","Export","275.0","6.21","13450.84","0.0"
"Germany","Australia","2014.0","Export","3271.0","73.85","10407173.62","0.69"
"Germany","Austria","2014.0","Export","4252.0","96.0","74536000.86","4.93"
"Germany","Azerbaijan","2014.0","Export","2409.0","54.39","1069582.37","0.07"
"Germany","Burundi","2014.0","Export","455.0","10.27","19677.72","0.0"
"Germany","Belgium","2014.0","Export","4138.0","93.43","55936239.9","3.7"
"Germany","Benin","2014.0","Export","847.0","19.12","105008.88","0.01"
"Germany","Bonaire","2014.0","Export","164.0","3.7","1202.13","0.0"
"Germany","Burkina Faso","2014.0","Export","844.0","19.06","73685.48","0.0"
"Germany","Bangladesh","2014.0","Export","1645.0","37.14","797359.2","0.05"
"Germany","Bulgaria","2014.0","Export","3613.0","81.58","4387980.01","0.29"
"Germany","Bahrain","2014.0","Export","2018.0","45.56","502717.8","0.03"
"Germany","Bahamas, The","2014.0","Export","547.0","12.35","35204.45","0.0"
"Germany","Bosnia and Herzegovina","2014.0","Export","2802.0","63.26","1056925.64","0.07"
"Germany","Belarus","2014.0","Export","2894.0","65.34","2446538.54","0.16"
"Germany","Belize","2014.0","Export","353.0","7.97","34687.83","0.0"
"Germany","Bermuda","2014.0","Export","343.0","7.74","6171.45","0.0"
"Germany","Bolivia","2014.0","Export","1547.0","34.93","174397.63","0.01"
"Germany","Brazil","2014.0","Export","3130.0","70.67","13989246.06","0.93"
"Germany","Barbados","2014.0","Export","695.0","15.69","20073.29","0.0"
"Germany","Brunei","2014.0","Export","733.0","16.55","177572.87","0.01"
"Germany","Bhutan","2014.0","Export","319.0","7.2","4738.26","0.0"
"Germany","Bunkers","2014.0","Export","1456.0","32.87","4641809.86","0.31"
"Germany","Bouvet Island","2014.0","Export","","","",""
"Germany","Botswana","2014.0","Export","496.0","11.2","75950.17","0.01"
"Germany","Central African Republic","2014.0","Export","163.0","3.68","8716.03","0.0"
"Germany","Canada","2014.0","Export","3157.0","71.28","11643783.19","0.77"
"Germany","Switzerland","2014.0","Export","4218.0","95.24","63106783.02","4.18"
"Germany","Chile","2014.0","Export","2774.0","62.63","2822642.67","0.19"
"Germany","China","2014.0","Export","3625.0","81.85","99371555.88","6.58"
"Germany","Cote d'Ivoire","2014.0","Export","1488.0","33.6","195973.18","0.01"
"Germany","Cameroon","2014.0","Export","1387.0","31.32","185413.62","0.01"
"Germany","Congo, Rep.","2014.0","Export","953.0","21.52","128396.63","0.01"
"Germany","Cook Islands","2014.0","Export","29.0","0.65","2538.6","0.0"
"Germany","Colombia","2014.0","Export","2498.0","56.4","2406083.42","0.16"
"Germany","Comoros","2014.0","Export","79.0","1.78","1453.84","0.0"
"Germany","Cape Verde","2014.0","Export","511.0","11.54","11245.62","0.0"
"Germany","Costa Rica","2014.0","Export","1636.0","36.94","238415.35","0.02"
"Germany","Cuba","2014.0","Export","1298.0","29.31","255054.44","0.02"
"Germany","Curaçao","2014.0","Export","748.0","16.89","19032.65","0.0"
"Germany","Christmas Island","2014.0","Export","","","",""
"Germany","Cayman Islands","2014.0","Export","522.0","11.79","228369.78","0.02"
"Germany","Cyprus","2014.0","Export","2756.0","62.23","763639.06","0.05"
"Germany","Czech Republic","2014.0","Export","4136.0","93.38","44539465.72","2.95"
"Germany","Djibouti","2014.0","Export","404.0","9.12","11451.61","0.0"
"Germany","Dominica","2014.0","Export","227.0","5.13","1239.37","0.0"
