"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Greece","Aruba","2014.0","Export","10.0","0.25","176.46","0.0"
"Greece","Afghanistan","2014.0","Export","26.0","0.66","6049.31","0.02"
"Greece","Angola","2014.0","Export","66.0","1.67","4429.33","0.01"
"Greece","Anguila","2014.0","Export","2.0","0.05","39.4","0.0"
"Greece","Albania","2014.0","Export","1896.0","47.95","546810.98","1.53"
"Greece","Andorra","2014.0","Export","18.0","0.46","499.89","0.0"
"Greece","United Arab Emirates","2014.0","Export","736.0","18.61","477569.55","1.34"
"Greece","Argentina","2014.0","Export","46.0","1.16","9642.53","0.03"
"Greece","Armenia","2014.0","Export","123.0","3.11","13204.07","0.04"
"Greece","American Samoa","2014.0","Export","1.0","0.03","0.99","0.0"
"Greece","Antigua and Barbuda","2014.0","Export","5.0","0.13","346.22","0.0"
"Greece","Australia","2014.0","Export","573.0","14.49","174578.25","0.49"
"Greece","Austria","2014.0","Export","856.0","21.65","232948.51","0.65"
"Greece","Azerbaijan","2014.0","Export","141.0","3.57","32172.29","0.09"
"Greece","Burundi","2014.0","Export","3.0","0.08","0.81","0.0"
"Greece","Belgium","2014.0","Export","1189.0","30.07","414645.45","1.16"
"Greece","Benin","2014.0","Export","23.0","0.58","2267.2","0.01"
"Greece","Bonaire","2014.0","Export","4.0","0.1","2.02","0.0"
"Greece","Burkina Faso","2014.0","Export","9.0","0.23","4772.22","0.01"
"Greece","Bangladesh","2014.0","Export","42.0","1.06","16204.7","0.05"
"Greece","Bulgaria","2014.0","Export","3052.0","77.19","1785447.11","4.99"
"Greece","Bahrain","2014.0","Export","152.0","3.84","10913.67","0.03"
"Greece","Bahamas, The","2014.0","Export","61.0","1.54","1799.42","0.01"
"Greece","Bosnia and Herzegovina","2014.0","Export","225.0","5.69","96149.41","0.27"
"Greece","Belarus","2014.0","Export","84.0","2.12","18983.02","0.05"
"Greece","Belize","2014.0","Export","6.0","0.15","107.11","0.0"
"Greece","Bermuda","2014.0","Export","4.0","0.1","34.25","0.0"
"Greece","Bolivia","2014.0","Export","15.0","0.38","3220.61","0.01"
"Greece","Brazil","2014.0","Export","223.0","5.64","52810.37","0.15"
"Greece","Barbados","2014.0","Export","9.0","0.23","40.04","0.0"
"Greece","Brunei","2014.0","Export","7.0","0.18","7.54","0.0"
"Greece","Bunkers","2014.0","Export","534.0","13.51","2007376.58","5.61"
"Greece","Botswana","2014.0","Export","6.0","0.15","371.8","0.0"
"Greece","Central African Republic","2014.0","Export","7.0","0.18","155.55","0.0"
"Greece","Canada","2014.0","Export","427.0","10.8","168811.82","0.47"
"Greece","Switzerland","2014.0","Export","696.0","17.6","148455.31","0.42"
"Greece","Chile","2014.0","Export","122.0","3.09","16531.25","0.05"
"Greece","China","2014.0","Export","446.0","11.28","370119.35","1.04"
"Greece","Cote d'Ivoire","2014.0","Export","68.0","1.72","8291.59","0.02"
"Greece","Cameroon","2014.0","Export","126.0","3.19","11733.55","0.03"
"Greece","Congo, Rep.","2014.0","Export","48.0","1.21","3123.03","0.01"
"Greece","Cook Islands","2014.0","Export","3.0","0.08","4.07","0.0"
"Greece","Colombia","2014.0","Export","70.0","1.77","19631.05","0.05"
"Greece","Comoros","2014.0","Export","","","",""
"Greece","Cape Verde","2014.0","Export","2.0","0.05","53.18","0.0"
"Greece","Costa Rica","2014.0","Export","29.0","0.73","1061.91","0.0"
"Greece","Cuba","2014.0","Export","16.0","0.4","1201.77","0.0"
"Greece","Curaçao","2014.0","Export","38.0","0.96","780.02","0.0"
"Greece","Cayman Islands","2014.0","Export","5.0","0.13","12.52","0.0"
"Greece","Cyprus","2014.0","Export","2960.0","74.86","1639903.36","4.59"
"Greece","Czech Republic","2014.0","Export","765.0","19.35","250698.63","0.7"
"Greece","Germany","2014.0","Export","2141.0","54.15","2342430.6","6.55"
"Greece","Djibouti","2014.0","Export","10.0","0.25","141.7","0.0"
"Greece","Denmark","2014.0","Export","612.0","15.48","130567.09","0.37"
"Greece","Dominican Republic","2014.0","Export","35.0","0.89","14048.03","0.04"
"Greece","Algeria","2014.0","Export","225.0","5.69","374890.4","1.05"
"Greece","East Asia & Pacific","2014.0","Export","1220.0","30.85","1674004.76","4.68"
"Greece","Europe & Central Asia","2014.0","Export","3896.0","98.53","23841780.04","66.68"
"Greece","Ecuador","2014.0","Export","28.0","0.71","7770.4","0.02"
"Greece","Egypt, Arab Rep.","2014.0","Export","570.0","14.42","1004022.02","2.81"
"Greece","Eritrea","2014.0","Export","2.0","0.05","68.18","0.0"
"Greece","Spain","2014.0","Export","1326.0","33.54","886756.09","2.48"
"Greece","Estonia","2014.0","Export","306.0","7.74","11045.91","0.03"
"Greece","Ethiopia(excludes Eritrea)","2014.0","Export","107.0","2.71","10837.95","0.03"
"Greece","Finland","2014.0","Export","432.0","10.93","218683.91","0.61"
"Greece","Fiji","2014.0","Export","2.0","0.05","37.21","0.0"
"Greece","Falkland Island","2014.0","Export","1.0","0.03","40549.72","0.11"
"Greece","France","2014.0","Export","1409.0","35.63","851857.15","2.38"
"Greece","Faeroe Islands","2014.0","Export","2.0","0.05","15.07","0.0"
"Greece","Gabon","2014.0","Export","16.0","0.4","548.7","0.0"
"Greece","United Kingdom","2014.0","Export","1387.0","35.08","1283909.77","3.59"
"Greece","Georgia","2014.0","Export","280.0","7.08","173616.85","0.49"
"Greece","Ghana","2014.0","Export","100.0","2.53","21011.56","0.06"
"Greece","Gibraltar","2014.0","Export","58.0","1.47","852339.9","2.38"
"Greece","Guinea","2014.0","Export","36.0","0.91","3071.5","0.01"
"Greece","Gambia, The","2014.0","Export","3.0","0.08","114.35","0.0"
"Greece","Guinea-Bissau","2014.0","Export","2.0","0.05","245.79","0.0"
"Greece","Equatorial Guinea","2014.0","Export","8.0","0.2","120.11","0.0"
"Greece","Greenland","2014.0","Export","2.0","0.05","30.02","0.0"
"Greece","Guatemala","2014.0","Export","25.0","0.63","3940.76","0.01"
"Greece","Guam","2014.0","Export","2.0","0.05","6.32","0.0"
"Greece","Guyana","2014.0","Export","3.0","0.08","55.72","0.0"
"Greece","Hong Kong, China","2014.0","Export","390.0","9.86","70009.63","0.2"
"Greece","Honduras","2014.0","Export","10.0","0.25","404.37","0.0"
"Greece","Croatia","2014.0","Export","591.0","14.95","93247.27","0.26"
"Greece","Haiti","2014.0","Export","7.0","0.18","140.57","0.0"
"Greece","Hungary","2014.0","Export","716.0","18.11","136376.7","0.38"
"Greece","Indonesia","2014.0","Export","125.0","3.16","133593.01","0.37"
"Greece","India","2014.0","Export","329.0","8.32","73041.51","0.2"
"Greece","British Indian Ocean Ter.","2014.0","Export","1.0","0.03","1.19","0.0"
"Greece","Ireland","2014.0","Export","342.0","8.65","44305.37","0.12"
"Greece","Iran, Islamic Rep.","2014.0","Export","110.0","2.78","22569.54","0.06"
"Greece","Iraq","2014.0","Export","159.0","4.02","49322.65","0.14"
"Greece","Iceland","2014.0","Export","52.0","1.32","2580.7","0.01"
"Greece","Israel","2014.0","Export","592.0","14.97","270537.79","0.76"
"Greece","Italy","2014.0","Export","1860.0","47.04","3287658.24","9.19"
"Greece","Jamaica","2014.0","Export","27.0","0.68","862.41","0.0"
"Greece","Jordan","2014.0","Export","358.0","9.05","63560.39","0.18"
"Greece","Japan","2014.0","Export","326.0","8.24","59350.42","0.17"
