"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Greenland","Afghanistan","2014.0","Export","","","",""
"Greenland","United Arab Emirates","2014.0","Export","","","",""
"Greenland","Argentina","2014.0","Export","","","",""
"Greenland","Antigua and Barbuda","2014.0","Export","","","",""
"Greenland","Australia","2014.0","Export","1.0","0.4","0.17","0.0"
"Greenland","Austria","2014.0","Export","","","",""
"Greenland","Belgium","2014.0","Export","","","",""
"Greenland","Bangladesh","2014.0","Export","","","",""
"Greenland","Bulgaria","2014.0","Export","","","",""
"Greenland","Bahamas, The","2014.0","Export","","","",""
"Greenland","Bosnia and Herzegovina","2014.0","Export","","","",""
"Greenland","Bolivia","2014.0","Export","","","",""
"Greenland","Brazil","2014.0","Export","","","",""
"Greenland","Barbados","2014.0","Export","","","",""
"Greenland","Bunkers","2014.0","Export","","","",""
"Greenland","Canada","2014.0","Export","","","",""
"Greenland","Switzerland","2014.0","Export","","","",""
"Greenland","Chile","2014.0","Export","","","",""
"Greenland","China","2014.0","Export","","","",""
"Greenland","Cote d'Ivoire","2014.0","Export","","","",""
"Greenland","Cameroon","2014.0","Export","","","",""
"Greenland","Congo, Rep.","2014.0","Export","","","",""
"Greenland","Colombia","2014.0","Export","","","",""
"Greenland","Costa Rica","2014.0","Export","","","",""
"Greenland","Cuba","2014.0","Export","","","",""
"Greenland","Cyprus","2014.0","Export","","","",""
"Greenland","Czech Republic","2014.0","Export","","","",""
"Greenland","Germany","2014.0","Export","","","",""
"Greenland","Djibouti","2014.0","Export","","","",""
"Greenland","Denmark","2014.0","Export","245.0","98.39","431806.87","79.89"
"Greenland","Dominican Republic","2014.0","Export","","","",""
"Greenland","Algeria","2014.0","Export","","","",""
"Greenland","East Asia & Pacific","2014.0","Export","1.0","0.4","0.17","0.0"
"Greenland","Europe & Central Asia","2014.0","Export","248.0","99.6","520078.41","96.22"
"Greenland","Ecuador","2014.0","Export","","","",""
"Greenland","Egypt, Arab Rep.","2014.0","Export","","","",""
"Greenland","Spain","2014.0","Export","1.0","0.4","143.32","0.03"
"Greenland","Estonia","2014.0","Export","","","",""
"Greenland","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Greenland","Finland","2014.0","Export","","","",""
"Greenland","Fiji","2014.0","Export","","","",""
"Greenland","Falkland Island","2014.0","Export","","","",""
"Greenland","France","2014.0","Export","","","",""
