"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Guatemala","Aruba","2014.0","Export","18.0","0.55","37424.67","0.34"
"Guatemala","Afghanistan","2014.0","Export","1.0","0.03","181.31","0.0"
"Guatemala","Angola","2014.0","Export","","","",""
"Guatemala","Anguila","2014.0","Export","1.0","0.03","1.9","0.0"
"Guatemala","Albania","2014.0","Export","1.0","0.03","5466.63","0.05"
"Guatemala","Andorra","2014.0","Export","","","",""
"Guatemala","United Arab Emirates","2014.0","Export","30.0","0.92","67882.29","0.62"
"Guatemala","Argentina","2014.0","Export","142.0","4.34","3100.3","0.03"
"Guatemala","American Samoa","2014.0","Export","","","",""
"Guatemala","Antigua and Barbuda","2014.0","Export","14.0","0.43","432.37","0.0"
"Guatemala","Australia","2014.0","Export","84.0","2.57","8989.08","0.08"
"Guatemala","Austria","2014.0","Export","81.0","2.47","497.09","0.0"
"Guatemala","Belgium","2014.0","Export","109.0","3.33","102032.69","0.94"
"Guatemala","Benin","2014.0","Export","2.0","0.06","8982.21","0.08"
"Guatemala","Bangladesh","2014.0","Export","1.0","0.03","11218.84","0.1"
"Guatemala","Bulgaria","2014.0","Export","4.0","0.12","1967.65","0.02"
"Guatemala","Bahrain","2014.0","Export","3.0","0.09","651.13","0.01"
"Guatemala","Bahamas, The","2014.0","Export","37.0","1.13","3039.48","0.03"
"Guatemala","Belarus","2014.0","Export","","","",""
"Guatemala","Belize","2014.0","Export","861.0","26.31","91168.03","0.84"
"Guatemala","Bermuda","2014.0","Export","6.0","0.18","339.73","0.0"
"Guatemala","Bolivia","2014.0","Export","87.0","2.66","1727.05","0.02"
"Guatemala","Brazil","2014.0","Export","158.0","4.83","19138.11","0.18"
"Guatemala","Barbados","2014.0","Export","32.0","0.98","1866.32","0.02"
"Guatemala","Canada","2014.0","Export","188.0","5.74","235220.45","2.16"
"Guatemala","Switzerland","2014.0","Export","102.0","3.12","2663.63","0.02"
"Guatemala","Chile","2014.0","Export","225.0","6.87","112662.04","1.03"
"Guatemala","China","2014.0","Export","113.0","3.45","42603.22","0.39"
"Guatemala","Cote d'Ivoire","2014.0","Export","1.0","0.03","24634.79","0.23"
"Guatemala","Cameroon","2014.0","Export","1.0","0.03","17.4","0.0"
"Guatemala","Congo, Rep.","2014.0","Export","1.0","0.03","15200.12","0.14"
"Guatemala","Colombia","2014.0","Export","362.0","11.06","52935.58","0.49"
"Guatemala","Cape Verde","2014.0","Export","2.0","0.06","25.27","0.0"
"Guatemala","Costa Rica","2014.0","Export","1625.0","49.65","418346.54","3.84"
"Guatemala","Cuba","2014.0","Export","264.0","8.07","17119.41","0.16"
"Guatemala","Curaçao","2014.0","Export","33.0","1.01","1709.82","0.02"
"Guatemala","Cayman Islands","2014.0","Export","40.0","1.22","826.74","0.01"
"Guatemala","Cyprus","2014.0","Export","","","",""
"Guatemala","Czech Republic","2014.0","Export","8.0","0.24","248.65","0.0"
"Guatemala","Germany","2014.0","Export","229.0","7.0","117948.37","1.08"
"Guatemala","Djibouti","2014.0","Export","","","",""
"Guatemala","Dominica","2014.0","Export","6.0","0.18","128.34","0.0"
"Guatemala","Denmark","2014.0","Export","32.0","0.98","870.99","0.01"
"Guatemala","Dominican Republic","2014.0","Export","700.0","21.39","142086.05","1.3"
"Guatemala","Algeria","2014.0","Export","2.0","0.06","263.9","0.0"
"Guatemala","East Asia & Pacific","2014.0","Export","486.0","14.85","554912.31","5.1"
