"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Guyana","Aruba","2014.0","Export","2.0","0.17","34.78","0.0"
"Guyana","Angola","2014.0","Export","","","",""
"Guyana","Anguila","2014.0","Export","35.0","2.96","221.69","0.02"
"Guyana","Andorra","2014.0","Export","","","",""
"Guyana","United Arab Emirates","2014.0","Export","19.0","1.61","15477.62","1.35"
"Guyana","Argentina","2014.0","Export","1.0","0.08","0.0","0.0"
"Guyana","Armenia","2014.0","Export","","","",""
"Guyana","Fr. So. Ant. Tr","2014.0","Export","1.0","0.08","31.36","0.0"
"Guyana","Antigua and Barbuda","2014.0","Export","139.0","11.77","9508.7","0.83"
"Guyana","Australia","2014.0","Export","4.0","0.34","295.37","0.03"
"Guyana","Austria","2014.0","Export","1.0","0.08","0.43","0.0"
"Guyana","Belgium","2014.0","Export","18.0","1.52","23914.5","2.08"
"Guyana","Bangladesh","2014.0","Export","1.0","0.08","18.83","0.0"
"Guyana","Bulgaria","2014.0","Export","2.0","0.17","2461.26","0.21"
"Guyana","Bahrain","2014.0","Export","","","",""
"Guyana","Bahamas, The","2014.0","Export","8.0","0.68","95.08","0.01"
"Guyana","Bosnia and Herzegovina","2014.0","Export","","","",""
"Guyana","Belize","2014.0","Export","7.0","0.59","1759.85","0.15"
"Guyana","Bermuda","2014.0","Export","1.0","0.08","44.11","0.0"
"Guyana","Bolivia","2014.0","Export","","","",""
"Guyana","Brazil","2014.0","Export","15.0","1.27","3856.01","0.34"
"Guyana","Barbados","2014.0","Export","305.0","25.83","14724.61","1.28"
"Guyana","Canada","2014.0","Export","227.0","19.22","96425.62","8.4"
"Guyana","Switzerland","2014.0","Export","1.0","0.08","307.99","0.03"
"Guyana","Chile","2014.0","Export","2.0","0.17","227.06","0.02"
"Guyana","China","2014.0","Export","60.0","5.08","21446.23","1.87"
"Guyana","Cameroon","2014.0","Export","","","",""
"Guyana","Colombia","2014.0","Export","56.0","4.74","155.07","0.01"
"Guyana","Cape Verde","2014.0","Export","","","",""
"Guyana","Costa Rica","2014.0","Export","5.0","0.42","46.2","0.0"
"Guyana","Cuba","2014.0","Export","2.0","0.17","134.91","0.01"
"Guyana","Curaçao","2014.0","Export","125.0","10.58","1014.26","0.09"
"Guyana","Cayman Islands","2014.0","Export","13.0","1.1","119.2","0.01"
"Guyana","Cyprus","2014.0","Export","1.0","0.08","16.74","0.0"
"Guyana","Czech Republic","2014.0","Export","1.0","0.08","4.41","0.0"
"Guyana","Germany","2014.0","Export","27.0","2.29","62684.7","5.46"
"Guyana","Dominica","2014.0","Export","30.0","2.54","1868.57","0.16"
"Guyana","Denmark","2014.0","Export","3.0","0.25","9.59","0.0"
"Guyana","Dominican Republic","2014.0","Export","18.0","1.52","4978.71","0.43"
"Guyana","East Asia & Pacific","2014.0","Export","94.0","7.96","44612.56","3.89"
"Guyana","Europe & Central Asia","2014.0","Export","152.0","12.87","320039.47","27.89"
"Guyana","Ecuador","2014.0","Export","3.0","0.25","3.5","0.0"
"Guyana","Egypt, Arab Rep.","2014.0","Export","","","",""
"Guyana","Spain","2014.0","Export","3.0","0.25","7780.07","0.68"
"Guyana","Estonia","2014.0","Export","","","",""
"Guyana","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Guyana","Finland","2014.0","Export","5.0","0.42","0.99","0.0"
"Guyana","France","2014.0","Export","36.0","3.05","6170.65","0.54"
"Guyana","Faeroe Islands","2014.0","Export","","","",""
"Guyana","Gabon","2014.0","Export","","","",""
"Guyana","United Kingdom","2014.0","Export","66.0","5.59","138283.26","12.05"
"Guyana","Ghana","2014.0","Export","1.0","0.08","15.25","0.0"
"Guyana","Gibraltar","2014.0","Export","","","",""
"Guyana","Guinea-Bissau","2014.0","Export","","","",""
"Guyana","Greece","2014.0","Export","","","",""
"Guyana","Grenada","2014.0","Export","92.0","7.79","3551.36","0.31"
"Guyana","Guatemala","2014.0","Export","7.0","0.59","284.01","0.02"
"Guyana","Hong Kong, China","2014.0","Export","25.0","2.12","8058.87","0.7"
"Guyana","Honduras","2014.0","Export","1.0","0.08","6.0","0.0"
"Guyana","Croatia","2014.0","Export","","","",""
"Guyana","Haiti","2014.0","Export","5.0","0.42","5498.63","0.48"
"Guyana","Hungary","2014.0","Export","","","",""
"Guyana","Indonesia","2014.0","Export","1.0","0.08","12.79","0.0"
"Guyana","India","2014.0","Export","51.0","4.32","5521.9","0.48"
"Guyana","Ireland","2014.0","Export","5.0","0.42","6166.36","0.54"
"Guyana","Iran, Islamic Rep.","2014.0","Export","","","",""
"Guyana","Iceland","2014.0","Export","","","",""
"Guyana","Israel","2014.0","Export","3.0","0.25","2563.17","0.22"
"Guyana","Italy","2014.0","Export","6.0","0.51","131.35","0.01"
"Guyana","Jamaica","2014.0","Export","103.0","8.72","67255.42","5.86"
"Guyana","Jordan","2014.0","Export","","","",""
"Guyana","Japan","2014.0","Export","9.0","0.76","5140.28","0.45"
"Guyana","Kenya","2014.0","Export","","","",""
"Guyana","St. Kitts and Nevis","2014.0","Export","95.0","8.04","1582.67","0.14"
"Guyana","Korea, Rep.","2014.0","Export","15.0","1.27","1259.84","0.11"
"Guyana","Kuwait","2014.0","Export","2.0","0.17","348.21","0.03"
"Guyana","Lebanon","2014.0","Export","2.0","0.17","169.76","0.01"
"Guyana","Liberia","2014.0","Export","1.0","0.08","13.13","0.0"
"Guyana","St. Lucia","2014.0","Export","90.0","7.62","10735.63","0.94"
"Guyana","Latin America & Caribbean","2014.0","Export","847.0","71.72","350095.25","30.51"
"Guyana","Sri Lanka","2014.0","Export","1.0","0.08","12.11","0.0"
"Guyana","Lithuania","2014.0","Export","","","",""
"Guyana","Morocco","2014.0","Export","","","",""
"Guyana","Madagascar","2014.0","Export","","","",""
"Guyana","Middle East & North Africa","2014.0","Export","23.0","1.95","18596.48","1.62"
"Guyana","Mexico","2014.0","Export","12.0","1.02","12675.91","1.1"
"Guyana","Malta","2014.0","Export","","","",""
"Guyana","Mongolia","2014.0","Export","1.0","0.08","0.06","0.0"
"Guyana","Mozambique","2014.0","Export","","","",""
"Guyana","Montserrat","2014.0","Export","60.0","5.08","77.97","0.01"
"Guyana","Mauritius","2014.0","Export","1.0","0.08","72.13","0.01"
"Guyana","Malaysia","2014.0","Export","4.0","0.34","377.68","0.03"
"Guyana","North America","2014.0","Export","644.0","54.53","405542.57","35.34"
"Guyana","Namibia","2014.0","Export","","","",""
"Guyana","New Caledonia","2014.0","Export","1.0","0.08","421.2","0.04"
"Guyana","Niger","2014.0","Export","","","",""
"Guyana","Nigeria","2014.0","Export","5.0","0.42","3.3","0.0"
"Guyana","Nicaragua","2014.0","Export","2.0","0.17","12839.65","1.12"
"Guyana","Netherlands","2014.0","Export","41.0","3.47","22282.61","1.94"
"Guyana","Norway","2014.0","Export","1.0","0.08","0.01","0.0"
"Guyana","Nepal","2014.0","Export","1.0","0.08","38.89","0.0"
"Guyana","New Zealand","2014.0","Export","6.0","0.51","1819.11","0.16"
"Guyana","Other Asia, nes","2014.0","Export","6.0","0.51","698.36","0.06"
"Guyana","Oman","2014.0","Export","1.0","0.08","20.47","0.0"
"Guyana","Pakistan","2014.0","Export","4.0","0.34","242.06","0.02"
"Guyana","Panama","2014.0","Export","12.0","1.02","20930.42","1.82"
"Guyana","Peru","2014.0","Export","1.0","0.08","0.0","0.0"
"Guyana","Philippines","2014.0","Export","3.0","0.25","649.76","0.06"
"Guyana","Papua New Guinea","2014.0","Export","","","",""
"Guyana","Poland","2014.0","Export","","","",""
"Guyana","Korea, Dem. Rep.","2014.0","Export","2.0","0.17","13.95","0.0"
"Guyana","Portugal","2014.0","Export","2.0","0.17","18657.72","1.63"
"Guyana","French Polynesia","2014.0","Export","1.0","0.08","32.44","0.0"
"Guyana","Qatar","2014.0","Export","2.0","0.17","12.57","0.0"
"Guyana","Romania","2014.0","Export","","","",""
"Guyana","Russian Federation","2014.0","Export","2.0","0.17","222.2","0.02"
"Guyana","South Asia","2014.0","Export","55.0","4.66","5833.78","0.51"
"Guyana","Saudi Arabia","2014.0","Export","2.0","0.17","4.68","0.0"
"Guyana","Singapore","2014.0","Export","8.0","0.68","3677.62","0.32"
"Guyana","Sierra Leone","2014.0","Export","","","",""
"Guyana","El Salvador","2014.0","Export","24.0","2.03","14.3","0.0"
"Guyana","Sub-Saharan Africa","2014.0","Export","16.0","1.35","229.75","0.02"
"Guyana","Suriname","2014.0","Export","222.0","18.8","10806.73","0.94"
"Guyana","Slovak Republic","2014.0","Export","2.0","0.17","2.13","0.0"
"Guyana","Slovenia","2014.0","Export","","","",""
"Guyana","Sweden","2014.0","Export","","","",""
"Guyana","Swaziland","2014.0","Export","","","",""
"Guyana","Turks and Caicos Isl.","2014.0","Export","12.0","1.02","26.38","0.0"
"Guyana","Thailand","2014.0","Export","1.0","0.08","344.72","0.03"
"Guyana","Tajikistan","2014.0","Export","","","",""
"Guyana","Trinidad and Tobago","2014.0","Export","307.0","25.99","52284.6","4.56"
"Guyana","Turkey","2014.0","Export","5.0","0.42","119.28","0.01"
"Guyana","Uganda","2014.0","Export","","","",""
"Guyana","Ukraine","2014.0","Export","5.0","0.42","30820.46","2.69"
"Guyana","United States Minor Outlying I","2014.0","Export","4.0","0.34","90.68","0.01"
"Guyana","Unspecified","2014.0","Export","","","",""
"Guyana","Uruguay","2014.0","Export","1.0","0.08","6.93","0.0"
"Guyana","United States","2014.0","Export","557.0","47.16","309072.84","26.93"
"Guyana","Uzbekistan","2014.0","Export","1.0","0.08","2.77","0.0"
"Guyana","St. Vincent and the Grenadines","2014.0","Export","53.0","4.49","3874.68","0.34"
"Guyana","Venezuela","2014.0","Export","183.0","15.5","110209.67","9.6"
"Guyana","British Virgin Islands","2014.0","Export","106.0","8.98","407.88","0.04"
"Guyana","Vietnam","2014.0","Export","9.0","0.76","1062.66","0.09"
"Guyana"," World","2014.0","Export","1181.0","100.0","1147492.06","100.0"
"Guyana","Yemen","2014.0","Export","","","",""
"Guyana","South Africa","2014.0","Export","10.0","0.85","125.95","0.01"
