"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Hong Kong, China","Aruba","2014.0","Export","69.0","1.7","7049.54","0.0"
"Hong Kong, China","Afghanistan","2014.0","Export","34.0","0.84","9021.61","0.0"
"Hong Kong, China","Angola","2014.0","Export","292.0","7.2","155391.11","0.03"
"Hong Kong, China","Albania","2014.0","Export","97.0","2.39","10619.96","0.0"
"Hong Kong, China","Andorra","2014.0","Export","45.0","1.11","669.83","0.0"
"Hong Kong, China","United Arab Emirates","2014.0","Export","1168.0","28.78","6605923.3","1.26"
"Hong Kong, China","Argentina","2014.0","Export","552.0","13.6","492970.34","0.09"
"Hong Kong, China","Armenia","2014.0","Export","126.0","3.11","16800.18","0.0"
"Hong Kong, China","American Samoa","2014.0","Export","20.0","0.49","659.6","0.0"
"Hong Kong, China","Australia","2014.0","Export","1720.0","42.39","4470236.72","0.85"
"Hong Kong, China","Austria","2014.0","Export","669.0","16.49","612283.47","0.12"
"Hong Kong, China","Azerbaijan","2014.0","Export","279.0","6.88","98208.46","0.02"
"Hong Kong, China","Burundi","2014.0","Export","27.0","0.67","7237.42","0.0"
"Hong Kong, China","Belgium","2014.0","Export","882.0","21.73","3147692.68","0.6"
"Hong Kong, China","Benin","2014.0","Export","54.0","1.33","4838.93","0.0"
"Hong Kong, China","Burkina Faso","2014.0","Export","52.0","1.28","11784.46","0.0"
"Hong Kong, China","Bangladesh","2014.0","Export","951.0","23.44","1373008.39","0.26"
"Hong Kong, China","Bulgaria","2014.0","Export","331.0","8.16","65145.09","0.01"
"Hong Kong, China","Bahrain","2014.0","Export","409.0","10.08","83409.78","0.02"
"Hong Kong, China","Bahamas, The","2014.0","Export","84.0","2.07","4981.73","0.0"
"Hong Kong, China","Bosnia and Herzegovina","2014.0","Export","67.0","1.65","21616.78","0.0"
"Hong Kong, China","Belarus","2014.0","Export","219.0","5.4","65099.27","0.01"
"Hong Kong, China","Belize","2014.0","Export","50.0","1.23","2978.22","0.0"
"Hong Kong, China","Bolivia","2014.0","Export","195.0","4.81","37204.61","0.01"
"Hong Kong, China","Brazil","2014.0","Export","921.0","22.7","1873981.55","0.36"
"Hong Kong, China","Barbados","2014.0","Export","61.0","1.5","2697.66","0.0"
"Hong Kong, China","Brunei","2014.0","Export","307.0","7.57","23029.97","0.0"
"Hong Kong, China","Bhutan","2014.0","Export","36.0","0.89","1261.09","0.0"
"Hong Kong, China","Botswana","2014.0","Export","45.0","1.11","15795.25","0.0"
"Hong Kong, China","Central African Republic","2014.0","Export","34.0","0.84","2998.44","0.0"
"Hong Kong, China","Canada","2014.0","Export","1486.0","36.62","2924071.41","0.56"
"Hong Kong, China","Switzerland","2014.0","Export","986.0","24.3","4456963.28","0.85"
"Hong Kong, China","Chile","2014.0","Export","635.0","15.65","486818.72","0.09"
"Hong Kong, China","China","2014.0","Export","3657.0","90.12","300429691.15","57.33"
"Hong Kong, China","Cote d'Ivoire","2014.0","Export","145.0","3.57","26110.61","0.01"
"Hong Kong, China","Cameroon","2014.0","Export","150.0","3.7","60487.18","0.01"
"Hong Kong, China","Congo, Rep.","2014.0","Export","107.0","2.64","16253.2","0.0"
"Hong Kong, China","Colombia","2014.0","Export","613.0","15.11","682488.0","0.13"
"Hong Kong, China","Comoros","2014.0","Export","13.0","0.32","105.25","0.0"
"Hong Kong, China","Cape Verde","2014.0","Export","17.0","0.42","5941.65","0.0"
"Hong Kong, China","Costa Rica","2014.0","Export","312.0","7.69","106992.26","0.02"
"Hong Kong, China","Cuba","2014.0","Export","46.0","1.13","11250.82","0.0"
"Hong Kong, China","Cyprus","2014.0","Export","297.0","7.32","26400.49","0.01"
"Hong Kong, China","Czech Republic","2014.0","Export","560.0","13.8","814127.31","0.16"
"Hong Kong, China","Germany","2014.0","Export","1606.0","39.58","9367969.97","1.79"
"Hong Kong, China","Djibouti","2014.0","Export","29.0","0.71","3066.55","0.0"
"Hong Kong, China","Denmark","2014.0","Export","756.0","18.63","563525.37","0.11"
"Hong Kong, China","Dominican Republic","2014.0","Export","312.0","7.69","127130.54","0.02"
"Hong Kong, China","Algeria","2014.0","Export","129.0","3.18","181434.54","0.03"
"Hong Kong, China","East Asia & Pacific","2014.0","Export","3968.0","97.78","372845909.85","71.14"
"Hong Kong, China","Europe & Central Asia","2014.0","Export","2465.0","60.74","53410805.54","10.19"
"Hong Kong, China","Ecuador","2014.0","Export","331.0","8.16","181514.95","0.03"
"Hong Kong, China","Egypt, Arab Rep.","2014.0","Export","779.0","19.2","536670.79","0.1"
"Hong Kong, China","Spain","2014.0","Export","1020.0","25.14","1993773.93","0.38"
