"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Hungary","Aruba","2014.0","Export","3.0","0.07","101.65","0.0"
"Hungary","Afghanistan","2014.0","Export","62.0","1.55","8208.36","0.01"
"Hungary","Angola","2014.0","Export","125.0","3.12","27616.82","0.02"
"Hungary","Albania","2014.0","Export","722.0","18.04","63760.4","0.06"
"Hungary","Andorra","2014.0","Export","44.0","1.1","36.33","0.0"
"Hungary","United Arab Emirates","2014.0","Export","738.0","18.44","237052.43","0.21"
"Hungary","Argentina","2014.0","Export","210.0","5.25","24573.25","0.02"
"Hungary","Armenia","2014.0","Export","255.0","6.37","21225.21","0.02"
"Hungary","American Samoa","2014.0","Export","","","",""
"Hungary","Fr. So. Ant. Tr","2014.0","Export","6.0","0.15","22.48","0.0"
"Hungary","Antigua and Barbuda","2014.0","Export","2.0","0.05","215.61","0.0"
"Hungary","Australia","2014.0","Export","620.0","15.49","427243.99","0.38"
"Hungary","Austria","2014.0","Export","2478.0","61.9","6181127.74","5.5"
"Hungary","Azerbaijan","2014.0","Export","361.0","9.02","72260.05","0.06"
"Hungary","Burundi","2014.0","Export","2.0","0.05","109.97","0.0"
"Hungary","Belgium","2014.0","Export","1386.0","34.62","2028270.35","1.8"
"Hungary","Benin","2014.0","Export","38.0","0.95","6210.09","0.01"
"Hungary","Burkina Faso","2014.0","Export","15.0","0.37","5524.39","0.0"
"Hungary","Bangladesh","2014.0","Export","48.0","1.2","33955.11","0.03"
"Hungary","Bulgaria","2014.0","Export","1908.0","47.66","1130760.28","1.01"
"Hungary","Bahrain","2014.0","Export","189.0","4.72","6979.51","0.01"
"Hungary","Bahamas, The","2014.0","Export","7.0","0.17","241.22","0.0"
"Hungary","Bosnia and Herzegovina","2014.0","Export","1503.0","37.55","407842.92","0.36"
"Hungary","Belarus","2014.0","Export","697.0","17.41","191632.78","0.17"
"Hungary","Belize","2014.0","Export","13.0","0.32","1476.19","0.0"
"Hungary","Bermuda","2014.0","Export","4.0","0.1","73.08","0.0"
"Hungary","Bolivia","2014.0","Export","37.0","0.92","3447.45","0.0"
"Hungary","Brazil","2014.0","Export","550.0","13.74","341559.21","0.3"
"Hungary","Barbados","2014.0","Export","11.0","0.27","1498.75","0.0"
"Hungary","Brunei","2014.0","Export","6.0","0.15","2501.11","0.0"
"Hungary","Botswana","2014.0","Export","17.0","0.42","208.87","0.0"
"Hungary","Central African Republic","2014.0","Export","9.0","0.22","250.98","0.0"
"Hungary","Canada","2014.0","Export","712.0","17.79","305154.88","0.27"
"Hungary","Switzerland","2014.0","Export","1846.0","46.12","1054593.64","0.94"
"Hungary","Chile","2014.0","Export","302.0","7.54","57450.21","0.05"
"Hungary","China","2014.0","Export","1078.0","26.93","2156427.88","1.92"
"Hungary","Cote d'Ivoire","2014.0","Export","74.0","1.85","10949.45","0.01"
"Hungary","Cameroon","2014.0","Export","55.0","1.37","15935.15","0.01"
"Hungary","Congo, Rep.","2014.0","Export","43.0","1.07","6080.81","0.01"
"Hungary","Cook Islands","2014.0","Export","5.0","0.12","82.28","0.0"
"Hungary","Colombia","2014.0","Export","193.0","4.82","44652.24","0.04"
"Hungary","Comoros","2014.0","Export","1.0","0.03","31.68","0.0"
"Hungary","Cape Verde","2014.0","Export","15.0","0.37","4512.58","0.0"
"Hungary","Costa Rica","2014.0","Export","145.0","3.62","11268.29","0.01"
"Hungary","Cuba","2014.0","Export","63.0","1.57","1165.92","0.0"
"Hungary","Curaçao","2014.0","Export","16.0","0.4","8027.35","0.01"
"Hungary","Cayman Islands","2014.0","Export","6.0","0.15","198.88","0.0"
"Hungary","Cyprus","2014.0","Export","409.0","10.22","64714.13","0.06"
"Hungary","Czech Republic","2014.0","Export","2207.0","55.13","4272421.17","3.8"
"Hungary","Germany","2014.0","Export","2688.0","67.15","30808809.98","27.4"
"Hungary","Djibouti","2014.0","Export","6.0","0.15","890.46","0.0"
"Hungary","Dominica","2014.0","Export","18.0","0.45","105.85","0.0"
"Hungary","Denmark","2014.0","Export","969.0","24.21","884677.07","0.79"
"Hungary","Dominican Republic","2014.0","Export","88.0","2.2","6274.63","0.01"
"Hungary","Algeria","2014.0","Export","209.0","5.22","153186.78","0.14"
"Hungary","East Asia & Pacific","2014.0","Export","1802.0","45.02","4534420.23","4.03"
"Hungary","Europe & Central Asia","2014.0","Export","3953.0","98.75","99560562.08","88.55"
"Hungary","Ecuador","2014.0","Export","67.0","1.67","6469.51","0.01"
"Hungary","Egypt, Arab Rep.","2014.0","Export","498.0","12.44","299298.83","0.27"
"Hungary","Eritrea","2014.0","Export","2.0","0.05","37.07","0.0"
"Hungary","Spain","2014.0","Export","1202.0","30.03","2968019.25","2.64"
"Hungary","Estonia","2014.0","Export","868.0","21.68","219044.48","0.19"
"Hungary","Ethiopia(excludes Eritrea)","2014.0","Export","42.0","1.05","8111.56","0.01"
"Hungary","Finland","2014.0","Export","746.0","18.64","302196.73","0.27"
"Hungary","Fiji","2014.0","Export","2.0","0.05","7.72","0.0"
"Hungary","France","2014.0","Export","1660.0","41.47","4992250.96","4.44"
"Hungary","Faeroe Islands","2014.0","Export","6.0","0.15","320.48","0.0"
"Hungary","Micronesia, Fed. Sts.","2014.0","Export","1.0","0.03","0.56","0.0"
"Hungary","Gabon","2014.0","Export","28.0","0.7","1459.5","0.0"
"Hungary","United Kingdom","2014.0","Export","1623.0","40.54","4034624.77","3.59"
"Hungary","Georgia","2014.0","Export","371.0","9.27","58286.8","0.05"
"Hungary","Ghana","2014.0","Export","173.0","4.32","29629.27","0.03"
"Hungary","Gibraltar","2014.0","Export","21.0","0.52","799.91","0.0"
"Hungary","Guinea","2014.0","Export","19.0","0.47","13461.05","0.01"
"Hungary","Gambia, The","2014.0","Export","15.0","0.37","1812.86","0.0"
"Hungary","Guinea-Bissau","2014.0","Export","2.0","0.05","31.58","0.0"
"Hungary","Equatorial Guinea","2014.0","Export","1.0","0.03","276.24","0.0"
"Hungary","Greece","2014.0","Export","1205.0","30.1","405453.06","0.36"
"Hungary","Greenland","2014.0","Export","3.0","0.07","3.19","0.0"
"Hungary","Guatemala","2014.0","Export","57.0","1.42","4984.58","0.0"
"Hungary","Guyana","2014.0","Export","2.0","0.05","151.22","0.0"
"Hungary","Hong Kong, China","2014.0","Export","673.0","16.81","273954.66","0.24"
"Hungary","Honduras","2014.0","Export","20.0","0.5","2277.25","0.0"
"Hungary","Croatia","2014.0","Export","2180.0","54.46","1551321.11","1.38"
"Hungary","Haiti","2014.0","Export","5.0","0.12","712.56","0.0"
"Hungary","Indonesia","2014.0","Export","295.0","7.37","36522.24","0.03"
"Hungary","India","2014.0","Export","611.0","15.26","209126.01","0.19"
"Hungary","Ireland","2014.0","Export","638.0","15.94","220928.3","0.2"
"Hungary","Iran, Islamic Rep.","2014.0","Export","203.0","5.07","34908.14","0.03"
"Hungary","Iraq","2014.0","Export","458.0","11.44","22053.42","0.02"
"Hungary","Iceland","2014.0","Export","172.0","4.3","12033.63","0.01"
"Hungary","Israel","2014.0","Export","692.0","17.29","358801.74","0.32"
"Hungary","Italy","2014.0","Export","1948.0","48.66","5174818.35","4.6"
"Hungary","Jamaica","2014.0","Export","28.0","0.7","6021.7","0.01"
"Hungary","Jordan","2014.0","Export","252.0","6.3","45007.0","0.04"
"Hungary","Japan","2014.0","Export","879.0","21.96","701630.26","0.62"
"Hungary","Kazakhstan","2014.0","Export","537.0","13.41","167342.51","0.15"
"Hungary","Kenya","2014.0","Export","116.0","2.9","19325.34","0.02"
"Hungary","Kyrgyz Republic","2014.0","Export","82.0","2.05","18080.91","0.02"
"Hungary","Cambodia","2014.0","Export","30.0","0.75","255.2","0.0"
"Hungary","Kiribati","2014.0","Export","2.0","0.05","1.95","0.0"
"Hungary","St. Kitts and Nevis","2014.0","Export","1.0","0.03","19.88","0.0"
"Hungary","Korea, Rep.","2014.0","Export","544.0","13.59","338584.33","0.3"
"Hungary","Kuwait","2014.0","Export","228.0","5.7","47431.94","0.04"
"Hungary","Lao PDR","2014.0","Export","7.0","0.17","403.12","0.0"
"Hungary","Lebanon","2014.0","Export","292.0","7.29","76185.03","0.07"
"Hungary","Liberia","2014.0","Export","13.0","0.32","731.7","0.0"
"Hungary","Libya","2014.0","Export","236.0","5.9","13043.22","0.01"
"Hungary","St. Lucia","2014.0","Export","3.0","0.07","173.8","0.0"
"Hungary","Latin America & Caribbean","2014.0","Export","958.0","23.93","1194765.44","1.06"
"Hungary","Sri Lanka","2014.0","Export","73.0","1.82","3574.42","0.0"
"Hungary","Lesotho","2014.0","Export","3.0","0.07","0.68","0.0"
"Hungary","Lithuania","2014.0","Export","915.0","22.86","242793.12","0.22"
"Hungary","Luxembourg","2014.0","Export","393.0","9.82","100396.33","0.09"
"Hungary","Latvia","2014.0","Export","831.0","20.76","253001.84","0.23"
"Hungary","Macao","2014.0","Export","25.0","0.62","2668.76","0.0"
"Hungary","Morocco","2014.0","Export","388.0","9.69","174263.71","0.16"
"Hungary","Moldova","2014.0","Export","881.0","22.01","118943.97","0.11"
"Hungary","Madagascar","2014.0","Export","27.0","0.67","786.48","0.0"
"Hungary","Maldives","2014.0","Export","24.0","0.6","257.31","0.0"
"Hungary","Middle East & North Africa","2014.0","Export","1698.0","42.42","1809012.03","1.61"
"Hungary","Mexico","2014.0","Export","467.0","11.67","614037.05","0.55"
"Hungary","Marshall Islands","2014.0","Export","2.0","0.05","471.95","0.0"
"Hungary","Macedonia, FYR","2014.0","Export","1129.0","28.2","184934.61","0.16"
"Hungary","Mali","2014.0","Export","36.0","0.9","3315.15","0.0"
"Hungary","Malta","2014.0","Export","347.0","8.67","20764.92","0.02"
"Hungary","Myanmar","2014.0","Export","20.0","0.5","4025.48","0.0"
"Hungary","Mongolia","2014.0","Export","91.0","2.27","11420.22","0.01"
"Hungary","Northern Mariana Islands","2014.0","Export","2.0","0.05","0.77","0.0"
"Hungary","Montenegro","2014.0","Export","844.0","21.08","66337.7","0.06"
"Hungary","Mozambique","2014.0","Export","25.0","0.62","5874.02","0.01"
"Hungary","Mauritania","2014.0","Export","9.0","0.22","2651.39","0.0"
"Hungary","Mauritius","2014.0","Export","72.0","1.8","4141.4","0.0"
"Hungary","Malawi","2014.0","Export","6.0","0.15","438.08","0.0"
"Hungary","Malaysia","2014.0","Export","337.0","8.42","116745.15","0.1"
"Hungary","North America","2014.0","Export","1595.0","39.85","4250409.25","3.78"
"Hungary","Namibia","2014.0","Export","16.0","0.4","1104.87","0.0"
"Hungary","New Caledonia","2014.0","Export","38.0","0.95","3651.97","0.0"
"Hungary","Niger","2014.0","Export","10.0","0.25","1275.41","0.0"
"Hungary","Nigeria","2014.0","Export","200.0","5.0","114292.86","0.1"
"Hungary","Nicaragua","2014.0","Export","12.0","0.3","1178.62","0.0"
"Hungary","Netherlands","2014.0","Export","1526.0","38.12","3284691.58","2.92"
"Hungary","Norway","2014.0","Export","881.0","22.01","291431.5","0.26"
"Hungary","Nepal","2014.0","Export","18.0","0.45","683.18","0.0"
"Hungary","Nauru","2014.0","Export","3.0","0.07","4.2","0.0"
"Hungary","New Zealand","2014.0","Export","248.0","6.2","54128.58","0.05"
"Hungary","Other Asia, nes","2014.0","Export","373.0","9.32","147226.97","0.13"
"Hungary","Oman","2014.0","Export","149.0","3.72","10877.9","0.01"
"Hungary","Pakistan","2014.0","Export","206.0","5.15","27999.95","0.02"
"Hungary","Panama","2014.0","Export","77.0","1.92","7512.67","0.01"
"Hungary","Peru","2014.0","Export","144.0","3.6","24067.62","0.02"
"Hungary","Philippines","2014.0","Export","185.0","4.62","14591.07","0.01"
"Hungary","Palau","2014.0","Export","1.0","0.03","0.55","0.0"
"Hungary","Papua New Guinea","2014.0","Export","3.0","0.07","297.35","0.0"
"Hungary","Poland","2014.0","Export","1971.0","49.24","4333048.52","3.85"
"Hungary","Korea, Dem. Rep.","2014.0","Export","","","",""
"Hungary","Portugal","2014.0","Export","661.0","16.51","320118.75","0.28"
"Hungary","Paraguay","2014.0","Export","49.0","1.22","3142.4","0.0"
"Hungary","Occ.Pal.Terr","2014.0","Export","8.0","0.2","4208.38","0.0"
"Hungary","French Polynesia","2014.0","Export","18.0","0.45","1224.63","0.0"
"Hungary","Qatar","2014.0","Export","244.0","6.1","35248.73","0.03"
"Hungary","Romania","2014.0","Export","3134.0","78.29","6100141.62","5.43"
"Hungary","Russian Federation","2014.0","Export","1376.0","34.37","2807997.74","2.5"
"Hungary","Rwanda","2014.0","Export","17.0","0.42","1112.4","0.0"
"Hungary","South Asia","2014.0","Export","734.0","18.34","283804.32","0.25"
"Hungary","Saudi Arabia","2014.0","Export","414.0","10.34","161899.86","0.14"
"Hungary","Senegal","2014.0","Export","57.0","1.42","23817.32","0.02"
"Hungary","Serbia, FR(Serbia/Montenegro)","2014.0","Export","2470.0","61.7","1787850.93","1.59"
"Hungary","Singapore","2014.0","Export","461.0","11.52","209569.79","0.19"
"Hungary","South Georgia and the South Sa","2014.0","Export","","","",""
"Hungary","Saint Helena","2014.0","Export","","","",""
"Hungary","Solomon Islands","2014.0","Export","","","",""
"Hungary","Sierra Leone","2014.0","Export","11.0","0.27","1890.21","0.0"
"Hungary","El Salvador","2014.0","Export","37.0","0.92","1493.53","0.0"
"Hungary","San Marino","2014.0","Export","12.0","0.3","443.19","0.0"
"Hungary","Somalia","2014.0","Export","2.0","0.05","60.78","0.0"
"Hungary","Special Categories","2014.0","Export","1.0","0.03","58.2","0.0"
"Hungary","Sub-Saharan Africa","2014.0","Export","812.0","20.28","643415.77","0.57"
"Hungary","Sudan","2014.0","Export","39.0","0.97","1176.05","0.0"
"Hungary","Suriname","2014.0","Export","12.0","0.3","1507.18","0.0"
