"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Iceland","Aruba","2014.0","Export","1.0","0.07","70.7","0.0"
"Iceland","Albania","2014.0","Export","2.0","0.13","1.55","0.0"
"Iceland","Andorra","2014.0","Export","4.0","0.26","622.46","0.01"
"Iceland","United Arab Emirates","2014.0","Export","31.0","2.04","6704.95","0.13"
"Iceland","Argentina","2014.0","Export","18.0","1.18","3080.13","0.06"
"Iceland","Armenia","2014.0","Export","","","",""
"Iceland","Antigua and Barbuda","2014.0","Export","2.0","0.13","1005.52","0.02"
"Iceland","Australia","2014.0","Export","95.0","6.25","31847.82","0.63"
"Iceland","Austria","2014.0","Export","67.0","4.41","3274.28","0.06"
"Iceland","Azerbaijan","2014.0","Export","4.0","0.26","597.39","0.01"
"Iceland","Belgium","2014.0","Export","121.0","7.96","112789.16","2.23"
"Iceland","Benin","2014.0","Export","1.0","0.07","149.72","0.0"
"Iceland","Burkina Faso","2014.0","Export","","","",""
"Iceland","Bangladesh","2014.0","Export","2.0","0.13","205.82","0.0"
"Iceland","Bulgaria","2014.0","Export","11.0","0.72","64.02","0.0"
"Iceland","Bahrain","2014.0","Export","7.0","0.46","1731.34","0.03"
"Iceland","Bahamas, The","2014.0","Export","2.0","0.13","2213.19","0.04"
"Iceland","Bosnia and Herzegovina","2014.0","Export","","","",""
"Iceland","Belarus","2014.0","Export","9.0","0.59","7792.78","0.15"
"Iceland","Bermuda","2014.0","Export","1.0","0.07","1.84","0.0"
"Iceland","Bolivia","2014.0","Export","","","",""
"Iceland","Brazil","2014.0","Export","24.0","1.58","7462.25","0.15"
"Iceland","Barbados","2014.0","Export","1.0","0.07","29.22","0.0"
"Iceland","Canada","2014.0","Export","212.0","13.94","41997.54","0.83"
"Iceland","Switzerland","2014.0","Export","132.0","8.68","81274.12","1.61"
"Iceland","Chile","2014.0","Export","41.0","2.7","5507.36","0.11"
"Iceland","China","2014.0","Export","93.0","6.11","41088.13","0.81"
"Iceland","Cote d'Ivoire","2014.0","Export","","","",""
"Iceland","Congo, Rep.","2014.0","Export","","","",""
"Iceland","Colombia","2014.0","Export","2.0","0.13","561.74","0.01"
"Iceland","Comoros","2014.0","Export","","","",""
"Iceland","Costa Rica","2014.0","Export","4.0","0.26","8.93","0.0"
"Iceland","Cuba","2014.0","Export","2.0","0.13","620.77","0.01"
"Iceland","Cayman Islands","2014.0","Export","1.0","0.07","125.17","0.0"
"Iceland","Cyprus","2014.0","Export","8.0","0.53","866.43","0.02"
"Iceland","Czech Republic","2014.0","Export","40.0","2.63","4803.28","0.1"
"Iceland","Germany","2014.0","Export","363.0","23.87","304655.98","6.03"
"Iceland","Djibouti","2014.0","Export","1.0","0.07","26.59","0.0"
"Iceland","Dominica","2014.0","Export","1.0","0.07","3.72","0.0"
"Iceland","Denmark","2014.0","Export","416.0","27.35","100907.53","2.0"
"Iceland","Dominican Republic","2014.0","Export","","","",""
"Iceland","Algeria","2014.0","Export","","","",""
"Iceland","East Asia & Pacific","2014.0","Export","246.0","16.17","205510.9","4.07"
"Iceland","Europe & Central Asia","2014.0","Export","1403.0","92.24","4348347.23","86.08"
"Iceland","Ecuador","2014.0","Export","5.0","0.33","390.64","0.01"
"Iceland","Egypt, Arab Rep.","2014.0","Export","12.0","0.79","5627.61","0.11"
"Iceland","Spain","2014.0","Export","162.0","10.65","380521.65","7.53"
"Iceland","Estonia","2014.0","Export","33.0","2.17","6370.43","0.13"
"Iceland","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Iceland","Finland","2014.0","Export","90.0","5.92","8040.63","0.16"
"Iceland","Fiji","2014.0","Export","","","",""
"Iceland","Falkland Island","2014.0","Export","2.0","0.13","14.73","0.0"
"Iceland","France","2014.0","Export","204.0","13.41","251209.96","4.97"
"Iceland","Faeroe Islands","2014.0","Export","471.0","30.97","44866.81","0.89"
"Iceland","Gabon","2014.0","Export","1.0","0.07","37.89","0.0"
"Iceland","United Kingdom","2014.0","Export","398.0","26.17","567378.95","11.23"
"Iceland","Georgia","2014.0","Export","6.0","0.39","259.68","0.01"
"Iceland","Ghana","2014.0","Export","5.0","0.33","5830.72","0.12"
"Iceland","Gibraltar","2014.0","Export","2.0","0.13","50.52","0.0"
"Iceland","Gambia, The","2014.0","Export","","","",""
"Iceland","Greece","2014.0","Export","39.0","2.56","8882.82","0.18"
"Iceland","Greenland","2014.0","Export","436.0","28.67","88438.88","1.75"
"Iceland","Guatemala","2014.0","Export","","","",""
"Iceland","Guam","2014.0","Export","1.0","0.07","4.9","0.0"
"Iceland","Hong Kong, China","2014.0","Export","58.0","3.81","8165.37","0.16"
"Iceland","Honduras","2014.0","Export","","","",""
"Iceland","Croatia","2014.0","Export","10.0","0.66","1303.55","0.03"
"Iceland","Haiti","2014.0","Export","","","",""
"Iceland","Hungary","2014.0","Export","24.0","1.58","73622.13","1.46"
"Iceland","Indonesia","2014.0","Export","11.0","0.72","737.5","0.01"
"Iceland","India","2014.0","Export","29.0","1.91","1200.06","0.02"
"Iceland","Ireland","2014.0","Export","79.0","5.19","16262.45","0.32"
"Iceland","Iran, Islamic Rep.","2014.0","Export","2.0","0.13","325.46","0.01"
"Iceland","Iraq","2014.0","Export","","","",""
"Iceland","Israel","2014.0","Export","26.0","1.71","695.96","0.01"
"Iceland","Italy","2014.0","Export","123.0","8.09","85514.12","1.69"
"Iceland","Jamaica","2014.0","Export","2.0","0.13","2.29","0.0"
"Iceland","Jordan","2014.0","Export","3.0","0.2","271.06","0.01"
"Iceland","Japan","2014.0","Export","99.0","6.51","91874.43","1.82"
"Iceland","Kazakhstan","2014.0","Export","5.0","0.33","1269.83","0.03"
"Iceland","Kenya","2014.0","Export","24.0","1.58","2879.7","0.06"
"Iceland","Cambodia","2014.0","Export","1.0","0.07","1.18","0.0"
"Iceland","Korea, Rep.","2014.0","Export","38.0","2.5","9276.34","0.18"
"Iceland","Kuwait","2014.0","Export","8.0","0.53","38.92","0.0"
"Iceland","Lao PDR","2014.0","Export","","","",""
"Iceland","Lebanon","2014.0","Export","10.0","0.66","525.55","0.01"
"Iceland","Liberia","2014.0","Export","1.0","0.07","225.32","0.0"
"Iceland","Libya","2014.0","Export","2.0","0.13","1.93","0.0"
"Iceland","Latin America & Caribbean","2014.0","Export","98.0","6.44","32596.67","0.65"
"Iceland","Sri Lanka","2014.0","Export","3.0","0.2","7.47","0.0"
"Iceland","Lithuania","2014.0","Export","70.0","4.6","57726.4","1.14"
"Iceland","Luxembourg","2014.0","Export","42.0","2.76","883.34","0.02"
"Iceland","Latvia","2014.0","Export","52.0","3.42","5427.1","0.11"
"Iceland","Macao","2014.0","Export","3.0","0.2","147.47","0.0"
"Iceland","Morocco","2014.0","Export","4.0","0.26","2653.44","0.05"
"Iceland","Moldova","2014.0","Export","","","",""
"Iceland","Madagascar","2014.0","Export","1.0","0.07","0.33","0.0"
"Iceland","Maldives","2014.0","Export","","","",""
"Iceland","Middle East & North Africa","2014.0","Export","91.0","5.98","21567.72","0.43"
"Iceland","Mexico","2014.0","Export","32.0","2.1","8285.15","0.16"
"Iceland","Marshall Islands","2014.0","Export","1.0","0.07","789.62","0.02"
"Iceland","Macedonia, FYR","2014.0","Export","3.0","0.2","158.29","0.0"
"Iceland","Mali","2014.0","Export","1.0","0.07","5.88","0.0"
"Iceland","Malta","2014.0","Export","21.0","1.38","2026.72","0.04"
"Iceland","Myanmar","2014.0","Export","1.0","0.07","88.75","0.0"
