"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"India","Aruba","2014.0","Export","146.0","3.29","3421.62","0.0"
"India","Afghanistan","2014.0","Export","1107.0","24.97","442875.79","0.14"
"India","Angola","2014.0","Export","1172.0","26.43","610367.82","0.19"
"India","Anguila","2014.0","Export","7.0","0.16","38.71","0.0"
"India","Albania","2014.0","Export","189.0","4.26","19256.13","0.01"
"India","Andorra","2014.0","Export","14.0","0.32","255.59","0.0"
"India","United Arab Emirates","2014.0","Export","3620.0","81.64","32919602.03","10.37"
"India","Argentina","2014.0","Export","1154.0","26.03","499436.13","0.16"
"India","Armenia","2014.0","Export","251.0","5.66","95888.57","0.03"
"India","American Samoa","2014.0","Export","9.0","0.2","38.55","0.0"
"India","Antarctica","2014.0","Export","2.0","0.05","2.94","0.0"
"India","Antigua and Barbuda","2014.0","Export","88.0","1.98","2259.94","0.0"
"India","Australia","2014.0","Export","2782.0","62.74","2593527.77","0.82"
"India","Austria","2014.0","Export","1274.0","28.73","367373.09","0.12"
"India","Azerbaijan","2014.0","Export","411.0","9.27","112074.42","0.04"
"India","Burundi","2014.0","Export","444.0","10.01","30823.55","0.01"
"India","Belgium","2014.0","Export","2120.0","47.81","5894950.52","1.86"
"India","Benin","2014.0","Export","664.0","14.98","529631.05","0.17"
"India","Burkina Faso","2014.0","Export","491.0","11.07","113898.73","0.04"
"India","Bangladesh","2014.0","Export","3100.0","69.91","6255234.93","1.97"
"India","Bulgaria","2014.0","Export","784.0","17.68","231446.88","0.07"
"India","Bahrain","2014.0","Export","2010.0","45.33","476030.74","0.15"
"India","Bahamas, The","2014.0","Export","151.0","3.41","114034.0","0.04"
"India","Bosnia and Herzegovina","2014.0","Export","203.0","4.58","18107.42","0.01"
"India","Belarus","2014.0","Export","404.0","9.11","51090.02","0.02"
"India","Belize","2014.0","Export","137.0","3.09","23109.94","0.01"
"India","Bermuda","2014.0","Export","92.0","2.07","3115.59","0.0"
"India","Bolivia","2014.0","Export","447.0","10.08","68422.57","0.02"
"India","Brazil","2014.0","Export","1846.0","41.63","7140521.87","2.25"
"India","Barbados","2014.0","Export","292.0","6.59","9416.25","0.0"
"India","Brunei","2014.0","Export","594.0","13.4","42478.62","0.01"
"India","Bhutan","2014.0","Export","546.0","12.31","200365.95","0.06"
"India","Botswana","2014.0","Export","642.0","14.48","50544.69","0.02"
"India","Central African Republic","2014.0","Export","83.0","1.87","6380.63","0.0"
"India","Canada","2014.0","Export","2478.0","55.89","2166283.62","0.68"
"India","Cocos (Keeling) Islands","2014.0","Export","","","",""
"India","Switzerland","2014.0","Export","1708.0","38.52","1129006.43","0.36"
"India","Chile","2014.0","Export","1402.0","31.62","618711.45","0.19"
"India","China","2014.0","Export","2515.0","56.72","13434250.52","4.23"
"India","Cote d'Ivoire","2014.0","Export","942.0","21.24","288347.64","0.09"
"India","Cameroon","2014.0","Export","962.0","21.7","230965.43","0.07"
"India","Congo, Rep.","2014.0","Export","1220.0","27.51","225702.77","0.07"
"India","Cook Islands","2014.0","Export","11.0","0.25","90.53","0.0"
"India","Colombia","2014.0","Export","1463.0","32.99","1125150.96","0.35"
"India","Comoros","2014.0","Export","266.0","6.0","16475.19","0.01"
"India","Cape Verde","2014.0","Export","78.0","1.76","4219.14","0.0"
"India","Costa Rica","2014.0","Export","599.0","13.51","93592.19","0.03"
"India","Cuba","2014.0","Export","160.0","3.61","36303.78","0.01"
"India","Curaçao","2014.0","Export","437.0","9.86","45104.8","0.01"
"India","Christmas Island","2014.0","Export","","","",""
"India","Cayman Islands","2014.0","Export","166.0","3.74","8171.77","0.0"
"India","Cyprus","2014.0","Export","667.0","15.04","55035.95","0.02"
"India","Czech Republic","2014.0","Export","1255.0","28.3","397288.13","0.13"
"India","Germany","2014.0","Export","3096.0","69.82","7745248.86","2.44"
"India","Djibouti","2014.0","Export","674.0","15.2","297623.11","0.09"
"India","Dominica","2014.0","Export","87.0","1.96","2374.99","0.0"
"India","Denmark","2014.0","Export","1374.0","30.99","748398.52","0.24"
"India","Dominican Republic","2014.0","Export","655.0","14.77","139563.16","0.04"
"India","Algeria","2014.0","Export","1069.0","24.11","1080276.71","0.34"
"India","East Asia & Pacific","2014.0","Export","4047.0","91.27","71824098.89","22.62"
"India","Europe & Central Asia","2014.0","Export","4030.0","90.89","61904956.47","19.49"
"India","Ecuador","2014.0","Export","821.0","18.52","297691.22","0.09"
"India","Egypt, Arab Rep.","2014.0","Export","2071.0","46.71","3136177.94","0.99"
"India","Eritrea","2014.0","Export","226.0","5.1","14202.45","0.0"
"India","Western Sahara","2014.0","Export","5.0","0.11","9.4","0.0"
"India","Spain","2014.0","Export","2314.0","52.19","3142284.26","0.99"
"India","Estonia","2014.0","Export","562.0","12.67","68341.27","0.02"
"India","Ethiopia(excludes Eritrea)","2014.0","Export","1810.0","40.82","762769.58","0.24"
"India","Finland","2014.0","Export","1159.0","26.14","357380.68","0.11"
"India","Fiji","2014.0","Export","1203.0","27.13","51103.62","0.02"
"India","Falkland Island","2014.0","Export","","","",""
"India","France","2014.0","Export","2544.0","57.37","5093448.92","1.6"
"India","Faeroe Islands","2014.0","Export","7.0","0.16","2661.74","0.0"
"India","Micronesia, Fed. Sts.","2014.0","Export","31.0","0.7","445.7","0.0"
"India","Gabon","2014.0","Export","421.0","9.49","40606.82","0.01"
"India","United Kingdom","2014.0","Export","3148.0","71.0","9665339.0","3.04"
"India","Georgia","2014.0","Export","701.0","15.81","98525.62","0.03"
"India","Ghana","2014.0","Export","1877.0","42.33","670382.76","0.21"
"India","Gibraltar","2014.0","Export","68.0","1.53","574224.49","0.18"
"India","Guinea","2014.0","Export","846.0","19.08","256182.7","0.08"
"India","Gambia, The","2014.0","Export","575.0","12.97","88617.09","0.03"
"India","Guinea-Bissau","2014.0","Export","112.0","2.53","17595.19","0.01"
"India","Equatorial Guinea","2014.0","Export","128.0","2.89","14361.51","0.0"
"India","Greece","2014.0","Export","1307.0","29.48","363042.5","0.11"
"India","Grenada","2014.0","Export","95.0","2.14","1534.35","0.0"
"India","Greenland","2014.0","Export","9.0","0.2","1143.64","0.0"
"India","Guatemala","2014.0","Export","887.0","20.0","221723.6","0.07"
"India","Guam","2014.0","Export","40.0","0.9","238.14","0.0"
"India","Guyana","2014.0","Export","583.0","13.15","23398.67","0.01"
"India","Hong Kong, China","2014.0","Export","1982.0","44.7","13412017.85","4.22"
"India","Heard Island and McDonald Isla","2014.0","Export","1.0","0.02","57.43","0.0"
"India","Honduras","2014.0","Export","535.0","12.07","161922.11","0.05"
"India","Croatia","2014.0","Export","639.0","14.41","191845.21","0.06"
"India","Haiti","2014.0","Export","239.0","5.39","73358.5","0.02"
"India","Hungary","2014.0","Export","917.0","20.68","352883.75","0.11"
"India","Indonesia","2014.0","Export","2191.0","49.41","4444760.18","1.4"
"India","Ireland","2014.0","Export","1157.0","26.09","731158.22","0.23"
"India","Iran, Islamic Rep.","2014.0","Export","1873.0","42.24","4404314.34","1.39"
"India","Iraq","2014.0","Export","1246.0","28.1","786662.37","0.25"
"India","Iceland","2014.0","Export","258.0","5.82","20374.78","0.01"
"India","Israel","2014.0","Export","1826.0","41.18","3581833.28","1.13"
"India","Italy","2014.0","Export","2583.0","58.25","5445502.6","1.71"
"India","Jamaica","2014.0","Export","451.0","10.17","36348.54","0.01"
"India","Jordan","2014.0","Export","1592.0","35.9","1613056.53","0.51"
"India","Japan","2014.0","Export","2469.0","55.68","5756878.75","1.81"
"India","Kazakhstan","2014.0","Export","782.0","17.64","237905.99","0.07"
"India","Kenya","2014.0","Export","2750.0","62.02","4405448.06","1.39"
"India","Kyrgyz Republic","2014.0","Export","384.0","8.66","36035.8","0.01"
"India","Cambodia","2014.0","Export","672.0","15.16","154065.13","0.05"
