"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Indonesia","Aruba","2014.0","Export","43.0","1.09","715.38","0.0"
"Indonesia","Afghanistan","2014.0","Export","44.0","1.12","77411.21","0.04"
"Indonesia","Angola","2014.0","Export","181.0","4.6","189663.99","0.11"
"Indonesia","Anguila","2014.0","Export","22.0","0.56","564.95","0.0"
"Indonesia","Albania","2014.0","Export","56.0","1.42","6672.39","0.0"
"Indonesia","Andorra","2014.0","Export","3.0","0.08","10.14","0.0"
"Indonesia","United Arab Emirates","2014.0","Export","1291.0","32.79","2503133.96","1.42"
"Indonesia","Argentina","2014.0","Export","380.0","9.65","236923.35","0.13"
"Indonesia","Armenia","2014.0","Export","20.0","0.51","3846.78","0.0"
"Indonesia","American Samoa","2014.0","Export","32.0","0.81","3499.09","0.0"
"Indonesia","Antigua and Barbuda","2014.0","Export","66.0","1.68","1753.52","0.0"
"Indonesia","Australia","2014.0","Export","1861.0","47.27","4962452.28","2.82"
"Indonesia","Austria","2014.0","Export","390.0","9.91","40286.64","0.02"
"Indonesia","Azerbaijan","2014.0","Export","51.0","1.3","5567.32","0.0"
"Indonesia","Burundi","2014.0","Export","6.0","0.15","319.64","0.0"
"Indonesia","Belgium","2014.0","Export","1067.0","27.1","1217320.72","0.69"
"Indonesia","Benin","2014.0","Export","93.0","2.36","213117.72","0.12"
"Indonesia","Burkina Faso","2014.0","Export","28.0","0.71","9006.98","0.01"
"Indonesia","Bangladesh","2014.0","Export","506.0","12.85","1377618.99","0.78"
"Indonesia","Bulgaria","2014.0","Export","169.0","4.29","77454.02","0.04"
"Indonesia","Bahrain","2014.0","Export","259.0","6.58","57883.88","0.03"
"Indonesia","Bahamas, The","2014.0","Export","39.0","0.99","911.04","0.0"
"Indonesia","Bosnia and Herzegovina","2014.0","Export","17.0","0.43","2990.48","0.0"
"Indonesia","Belarus","2014.0","Export","31.0","0.79","3875.13","0.0"
"Indonesia","Belize","2014.0","Export","64.0","1.63","861.91","0.0"
"Indonesia","Bermuda","2014.0","Export","34.0","0.86","1174.31","0.0"
"Indonesia","Bolivia","2014.0","Export","60.0","1.52","8572.02","0.0"
"Indonesia","Brazil","2014.0","Export","742.0","18.85","1498199.37","0.85"
"Indonesia","Barbados","2014.0","Export","81.0","2.06","3674.33","0.0"
"Indonesia","Brunei","2014.0","Export","649.0","16.48","100296.04","0.06"
"Indonesia","Bhutan","2014.0","Export","8.0","0.2","330.26","0.0"
"Indonesia","Botswana","2014.0","Export","18.0","0.46","282.43","0.0"
"Indonesia","Central African Republic","2014.0","Export","13.0","0.33","536.98","0.0"
"Indonesia","Canada","2014.0","Export","897.0","22.78","755021.28","0.43"
"Indonesia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Indonesia","Switzerland","2014.0","Export","556.0","14.12","133900.55","0.08"
"Indonesia","Chile","2014.0","Export","488.0","12.4","177899.07","0.1"
"Indonesia","China","2014.0","Export","1983.0","50.37","17605944.45","10.0"
"Indonesia","Cote d'Ivoire","2014.0","Export","129.0","3.28","103928.09","0.06"
"Indonesia","Cameroon","2014.0","Export","179.0","4.55","36516.33","0.02"
"Indonesia","Congo, Rep.","2014.0","Export","115.0","2.92","44096.4","0.03"
"Indonesia","Cook Islands","2014.0","Export","139.0","3.53","1018.11","0.0"
"Indonesia","Colombia","2014.0","Export","417.0","10.59","147221.87","0.08"
"Indonesia","Comoros","2014.0","Export","21.0","0.53","3039.46","0.0"
"Indonesia","Cape Verde","2014.0","Export","38.0","0.97","935.06","0.0"
"Indonesia","Costa Rica","2014.0","Export","214.0","5.44","24363.62","0.01"
"Indonesia","Cuba","2014.0","Export","31.0","0.79","2747.96","0.0"
"Indonesia","Curaçao","2014.0","Export","166.0","4.22","4050.57","0.0"
"Indonesia","Christmas Island","2014.0","Export","97.0","2.46","44.11","0.0"
"Indonesia","Cayman Islands","2014.0","Export","26.0","0.66","446.96","0.0"
"Indonesia","Cyprus","2014.0","Export","147.0","3.73","10313.22","0.01"
"Indonesia","Czech Republic","2014.0","Export","289.0","7.34","84937.26","0.05"
"Indonesia","Germany","2014.0","Export","1499.0","38.07","2821568.44","1.6"
"Indonesia","Djibouti","2014.0","Export","104.0","2.64","306827.8","0.17"
"Indonesia","Dominica","2014.0","Export","23.0","0.58","2236.13","0.0"
"Indonesia","Denmark","2014.0","Export","481.0","12.22","226612.9","0.13"
"Indonesia","Dominican Republic","2014.0","Export","229.0","5.82","31721.97","0.02"
