"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ireland","Aruba","2014.0","Export","3.0","0.08","81.7","0.0"
"Ireland","Afghanistan","2014.0","Export","41.0","1.12","5385.38","0.0"
"Ireland","Angola","2014.0","Export","77.0","2.11","22259.3","0.02"
"Ireland","Albania","2014.0","Export","45.0","1.23","8327.45","0.01"
"Ireland","Andorra","2014.0","Export","25.0","0.68","585.48","0.0"
"Ireland","United Arab Emirates","2014.0","Export","839.0","22.97","474521.12","0.4"
"Ireland","Argentina","2014.0","Export","150.0","4.11","98979.19","0.08"
"Ireland","Armenia","2014.0","Export","34.0","0.93","2122.56","0.0"
"Ireland","American Samoa","2014.0","Export","","","",""
"Ireland","Fr. So. Ant. Tr","2014.0","Export","7.0","0.19","113.5","0.0"
"Ireland","Antigua and Barbuda","2014.0","Export","5.0","0.14","110.21","0.0"
"Ireland","Australia","2014.0","Export","924.0","25.3","930354.59","0.79"
"Ireland","Austria","2014.0","Export","477.0","13.06","470885.07","0.4"
"Ireland","Azerbaijan","2014.0","Export","112.0","3.07","11987.81","0.01"
"Ireland","Burundi","2014.0","Export","8.0","0.22","53.44","0.0"
"Ireland","Belgium","2014.0","Export","852.0","23.33","15656130.86","13.24"
"Ireland","Benin","2014.0","Export","28.0","0.77","4596.13","0.0"
"Ireland","Bonaire","2014.0","Export","","","",""
"Ireland","Burkina Faso","2014.0","Export","47.0","1.29","14354.83","0.01"
"Ireland","Bangladesh","2014.0","Export","59.0","1.62","14657.15","0.01"
"Ireland","Bulgaria","2014.0","Export","188.0","5.15","88309.02","0.07"
"Ireland","Bahrain","2014.0","Export","197.0","5.39","44018.66","0.04"
"Ireland","Bahamas, The","2014.0","Export","18.0","0.49","3212.5","0.0"
"Ireland","Bosnia and Herzegovina","2014.0","Export","74.0","2.03","16157.9","0.01"
"Ireland","Belarus","2014.0","Export","95.0","2.6","8443.15","0.01"
"Ireland","Belize","2014.0","Export","19.0","0.52","217.17","0.0"
"Ireland","Bermuda","2014.0","Export","35.0","0.96","929.5","0.0"
"Ireland","Bolivia","2014.0","Export","43.0","1.18","3503.01","0.0"
"Ireland","Brazil","2014.0","Export","399.0","10.93","339476.07","0.29"
"Ireland","Barbados","2014.0","Export","82.0","2.25","2195.28","0.0"
"Ireland","Brunei","2014.0","Export","29.0","0.79","2713.98","0.0"
"Ireland","Bhutan","2014.0","Export","1.0","0.03","1.19","0.0"
"Ireland","Bunkers","2014.0","Export","11.0","0.3","654745.71","0.55"
"Ireland","Botswana","2014.0","Export","35.0","0.96","2424.92","0.0"
