"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Israel","Aruba","2014.0","Export","18.0","0.6","2201.0","0.0"
"Israel","Afghanistan","2014.0","Export","5.0","0.17","742.0","0.0"
"Israel","Angola","2014.0","Export","603.0","20.0","73447.0","0.11"
"Israel","Anguila","2014.0","Export","3.0","0.1","21.0","0.0"
"Israel","Albania","2014.0","Export","70.0","2.32","10769.0","0.02"
"Israel","Andorra","2014.0","Export","5.0","0.17","13.0","0.0"
"Israel","Argentina","2014.0","Export","355.0","11.77","105544.0","0.15"
"Israel","Armenia","2014.0","Export","64.0","2.12","4619.0","0.01"
"Israel","American Samoa","2014.0","Export","1.0","0.03","117.0","0.0"
"Israel","Antigua and Barbuda","2014.0","Export","15.0","0.5","160.0","0.0"
"Israel","Australia","2014.0","Export","809.0","26.83","602266.0","0.87"
"Israel","Austria","2014.0","Export","403.0","13.37","93077.0","0.14"
"Israel","Azerbaijan","2014.0","Export","158.0","5.24","185060.0","0.27"
"Israel","Burundi","2014.0","Export","10.0","0.33","476.0","0.0"
"Israel","Belgium","2014.0","Export","846.0","28.06","3299311.0","4.78"
"Israel","Benin","2014.0","Export","14.0","0.46","3528.0","0.01"
"Israel","Burkina Faso","2014.0","Export","96.0","3.18","5094.0","0.01"
"Israel","Bangladesh","2014.0","Export","10.0","0.33","449.0","0.0"
"Israel","Bulgaria","2014.0","Export","335.0","11.11","128683.0","0.19"
"Israel","Bahamas, The","2014.0","Export","14.0","0.46","337.0","0.0"
"Israel","Bosnia and Herzegovina","2014.0","Export","46.0","1.53","1284.0","0.0"
"Israel","Belarus","2014.0","Export","152.0","5.04","34114.0","0.05"
"Israel","Belize","2014.0","Export","17.0","0.56","699.0","0.0"
"Israel","Bermuda","2014.0","Export","17.0","0.56","131.0","0.0"
"Israel","Bolivia","2014.0","Export","84.0","2.79","10344.0","0.01"
"Israel","Brazil","2014.0","Export","663.0","21.99","922097.0","1.34"
"Israel","Barbados","2014.0","Export","44.0","1.46","823.0","0.0"
"Israel","Brunei","2014.0","Export","2.0","0.07","36.0","0.0"
"Israel","Bhutan","2014.0","Export","6.0","0.2","525.0","0.0"
"Israel","Botswana","2014.0","Export","77.0","2.55","100024.0","0.14"
"Israel","Central African Republic","2014.0","Export","3.0","0.1","6.0","0.0"
"Israel","Canada","2014.0","Export","796.0","26.4","587905.0","0.85"
"Israel","Switzerland","2014.0","Export","615.0","20.4","1424628.0","2.07"
"Israel","Chile","2014.0","Export","380.0","12.6","119442.0","0.17"
"Israel","China","2014.0","Export","828.0","27.46","2792891.0","4.05"
"Israel","Cote d'Ivoire","2014.0","Export","76.0","2.52","19233.0","0.03"
"Israel","Cameroon","2014.0","Export","86.0","2.85","6874.0","0.01"
"Israel","Congo, Rep.","2014.0","Export","183.0","6.07","12777.0","0.02"
"Israel","Colombia","2014.0","Export","354.0","11.74","217961.0","0.32"
"Israel","Cape Verde","2014.0","Export","1.0","0.03","52.0","0.0"
"Israel","Costa Rica","2014.0","Export","182.0","6.04","390147.0","0.57"
"Israel","Cuba","2014.0","Export","70.0","2.32","21286.0","0.03"
"Israel","Curaçao","2014.0","Export","12.0","0.4","1012.0","0.0"
"Israel","Cayman Islands","2014.0","Export","8.0","0.27","42.0","0.0"
"Israel","Cyprus","2014.0","Export","548.0","18.18","950670.0","1.38"
"Israel","Czech Republic","2014.0","Export","447.0","14.83","168077.0","0.24"
"Israel","Germany","2014.0","Export","1238.0","41.06","1726840.0","2.5"
"Israel","Djibouti","2014.0","Export","64.0","2.12","12747.0","0.02"
"Israel","Dominica","2014.0","Export","13.0","0.43","2256.0","0.0"
"Israel","Denmark","2014.0","Export","366.0","12.14","94264.0","0.14"
"Israel","Dominican Republic","2014.0","Export","129.0","4.28","20392.0","0.03"
"Israel","East Asia & Pacific","2014.0","Export","1620.0","53.73","14394166.0","20.87"
"Israel","Europe & Central Asia","2014.0","Export","2454.0","81.39","24705563.0","35.82"
"Israel","Ecuador","2014.0","Export","176.0","5.84","37507.0","0.05"
"Israel","Egypt, Arab Rep.","2014.0","Export","199.0","6.6","147892.0","0.21"
"Israel","Eritrea","2014.0","Export","7.0","0.23","48.0","0.0"
"Israel","Spain","2014.0","Export","771.0","25.57","1036791.0","1.5"
"Israel","Estonia","2014.0","Export","148.0","4.91","16821.0","0.02"
"Israel","Ethiopia(excludes Eritrea)","2014.0","Export","108.0","3.58","8637.0","0.01"
"Israel","Finland","2014.0","Export","345.0","11.44","123370.0","0.18"
"Israel","Fiji","2014.0","Export","20.0","0.66","2563.0","0.0"
"Israel","Falkland Island","2014.0","Export","3.0","0.1","12.0","0.0"
"Israel","France","2014.0","Export","1025.0","34.0","1674651.0","2.43"
"Israel","Faeroe Islands","2014.0","Export","2.0","0.07","3.0","0.0"
"Israel","Gabon","2014.0","Export","67.0","2.22","4023.0","0.01"
"Israel","United Kingdom","2014.0","Export","1188.0","39.4","3973619.0","5.76"
"Israel","Georgia","2014.0","Export","301.0","9.98","113253.0","0.16"
"Israel","Ghana","2014.0","Export","429.0","14.23","99406.0","0.14"
"Israel","Gibraltar","2014.0","Export","22.0","0.73","17966.0","0.03"
"Israel","Guinea","2014.0","Export","58.0","1.92","2787.0","0.0"
"Israel","Gambia, The","2014.0","Export","17.0","0.56","313.0","0.0"
"Israel","Guinea-Bissau","2014.0","Export","16.0","0.53","360.0","0.0"
"Israel","Equatorial Guinea","2014.0","Export","282.0","9.35","13289.0","0.02"
"Israel","Greece","2014.0","Export","511.0","16.95","458175.0","0.66"
"Israel","Grenada","2014.0","Export","2.0","0.07","4.0","0.0"
"Israel","Greenland","2014.0","Export","4.0","0.13","171.0","0.0"
"Israel","Guatemala","2014.0","Export","180.0","5.97","29272.0","0.04"
"Israel","Guam","2014.0","Export","4.0","0.13","27.0","0.0"
"Israel","Guyana","2014.0","Export","16.0","0.53","1286.0","0.0"
"Israel","Hong Kong, China","2014.0","Export","653.0","21.66","6129016.0","8.89"
"Israel","Honduras","2014.0","Export","66.0","2.19","7748.0","0.01"
"Israel","Croatia","2014.0","Export","179.0","5.94","21436.0","0.03"
"Israel","Haiti","2014.0","Export","29.0","0.96","3991.0","0.01"
"Israel","Hungary","2014.0","Export","497.0","16.48","169640.0","0.25"
"Israel","Indonesia","2014.0","Export","142.0","4.71","26973.0","0.04"
"Israel","India","2014.0","Export","803.0","26.63","2202593.0","3.19"
"Israel","Ireland","2014.0","Export","340.0","11.28","99778.0","0.14"
"Israel","Iceland","2014.0","Export","87.0","2.89","3765.0","0.01"
"Israel","Italy","2014.0","Export","978.0","32.44","1093392.0","1.59"
"Israel","Jamaica","2014.0","Export","66.0","2.19","6138.0","0.01"
"Israel","Jordan","2014.0","Export","480.0","15.92","107737.0","0.16"
"Israel","Japan","2014.0","Export","648.0","21.49","787657.0","1.14"
"Israel","Kazakhstan","2014.0","Export","230.0","7.63","114420.0","0.17"
"Israel","Kenya","2014.0","Export","321.0","10.65","62807.0","0.09"
"Israel","Kyrgyz Republic","2014.0","Export","31.0","1.03","1951.0","0.0"
"Israel","Cambodia","2014.0","Export","39.0","1.29","1638.0","0.0"
"Israel","St. Kitts and Nevis","2014.0","Export","2.0","0.07","14.0","0.0"
"Israel","Korea, Rep.","2014.0","Export","620.0","20.56","627626.0","0.91"
"Israel","Lao PDR","2014.0","Export","8.0","0.27","40.0","0.0"
"Israel","Liberia","2014.0","Export","42.0","1.39","1306.0","0.0"
"Israel","St. Lucia","2014.0","Export","5.0","0.17","73.0","0.0"
"Israel","Latin America & Caribbean","2014.0","Export","1187.0","39.37","2500363.0","3.63"
"Israel","Sri Lanka","2014.0","Export","152.0","5.04","101655.0","0.15"
"Israel","Lesotho","2014.0","Export","3.0","0.1","36.0","0.0"
"Israel","Lithuania","2014.0","Export","254.0","8.42","51537.0","0.07"
"Israel","Luxembourg","2014.0","Export","104.0","3.45","22336.0","0.03"
"Israel","Latvia","2014.0","Export","232.0","7.69","50648.0","0.07"
"Israel","Macao","2014.0","Export","30.0","1.0","306.0","0.0"
"Israel","Morocco","2014.0","Export","39.0","1.29","10546.0","0.02"
"Israel","Moldova","2014.0","Export","111.0","3.68","45096.0","0.07"
"Israel","Madagascar","2014.0","Export","25.0","0.83","4001.0","0.01"
"Israel","Maldives","2014.0","Export","15.0","0.5","1324.0","0.0"
"Israel","Middle East & North Africa","2014.0","Export","689.0","22.85","467485.0","0.68"
"Israel","Mexico","2014.0","Export","566.0","18.77","464366.0","0.67"
"Israel","Macedonia, FYR","2014.0","Export","79.0","2.62","4719.0","0.01"
"Israel","Mali","2014.0","Export","17.0","0.56","1170.0","0.0"
"Israel","Malta","2014.0","Export","115.0","3.81","188144.0","0.27"
"Israel","Myanmar","2014.0","Export","43.0","1.43","12503.0","0.02"
"Israel","Mongolia","2014.0","Export","28.0","0.93","577.0","0.0"
"Israel","Montenegro","2014.0","Export","19.0","0.63","581.0","0.0"
