"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Italy","Aruba","2014.0","Export","241.0","5.39","11493.58","0.0"
"Italy","Afghanistan","2014.0","Export","199.0","4.45","9490.79","0.0"
"Italy","Angola","2014.0","Export","1173.0","26.24","529127.78","0.1"
"Italy","Anguila","2014.0","Export","48.0","1.07","1134.41","0.0"
"Italy","Albania","2014.0","Export","2629.0","58.8","1687747.64","0.32"
"Italy","Andorra","2014.0","Export","303.0","6.78","19599.46","0.0"
"Italy","United Arab Emirates","2014.0","Export","2853.0","63.81","7057087.51","1.34"
"Italy","Argentina","2014.0","Export","1861.0","41.62","1370701.53","0.26"
"Italy","Armenia","2014.0","Export","1056.0","23.62","170848.86","0.03"
"Italy","American Samoa","2014.0","Export","6.0","0.13","185.13","0.0"
"Italy","Fr. So. Ant. Tr","2014.0","Export","9.0","0.2","148.74","0.0"
"Italy","Antigua and Barbuda","2014.0","Export","195.0","4.36","5770.5","0.0"
"Italy","Australia","2014.0","Export","2685.0","60.05","4786146.29","0.91"
"Italy","Austria","2014.0","Export","3888.0","86.96","11055414.15","2.09"
"Italy","Azerbaijan","2014.0","Export","1506.0","33.68","789971.74","0.15"
"Italy","Burundi","2014.0","Export","142.0","3.18","4541.58","0.0"
"Italy","Belgium","2014.0","Export","3769.0","84.3","17547458.54","3.32"
"Italy","Benin","2014.0","Export","392.0","8.77","96250.95","0.02"
"Italy","Bonaire","2014.0","Export","41.0","0.92","325.88","0.0"
"Italy","Burkina Faso","2014.0","Export","462.0","10.33","49709.03","0.01"
"Italy","Bangladesh","2014.0","Export","1026.0","22.95","420278.39","0.08"
"Italy","Bulgaria","2014.0","Export","3470.0","77.61","2444590.82","0.46"
"Italy","Bahrain","2014.0","Export","1341.0","29.99","298555.35","0.06"
"Italy","Bahamas, The","2014.0","Export","241.0","5.39","88798.08","0.02"
"Italy","Bosnia and Herzegovina","2014.0","Export","2048.0","45.81","801503.77","0.15"
"Italy","Belarus","2014.0","Export","1566.0","35.03","666236.62","0.13"
"Italy","Belize","2014.0","Export","138.0","3.09","35950.11","0.01"
"Italy","Bermuda","2014.0","Export","156.0","3.49","7696.46","0.0"
"Italy","Bolivia","2014.0","Export","761.0","17.02","132707.65","0.03"
"Italy","Brazil","2014.0","Export","2710.0","60.61","6234604.7","1.18"
"Italy","Barbados","2014.0","Export","175.0","3.91","28531.15","0.01"
"Italy","Brunei","2014.0","Export","240.0","5.37","60233.11","0.01"
"Italy","Bhutan","2014.0","Export","40.0","0.89","1707.35","0.0"
"Italy","Bunkers","2014.0","Export","2.0","0.04","1799554.99","0.34"
"Italy","Botswana","2014.0","Export","73.0","1.63","4412.73","0.0"
"Italy","Central African Republic","2014.0","Export","116.0","2.59","5449.91","0.0"
"Italy","Canada","2014.0","Export","2570.0","57.48","4116325.21","0.78"
"Italy","Cocos (Keeling) Islands","2014.0","Export","1.0","0.02","43.25","0.0"
"Italy","Switzerland","2014.0","Export","3826.0","85.57","25356850.03","4.8"
"Italy","Chile","2014.0","Export","1990.0","44.51","1153303.55","0.22"
"Italy","China","2014.0","Export","3069.0","68.64","13932166.6","2.64"
"Italy","Cote d'Ivoire","2014.0","Export","1051.0","23.51","269002.2","0.05"
"Italy","Cameroon","2014.0","Export","869.0","19.44","128412.67","0.02"
"Italy","Congo, Rep.","2014.0","Export","1071.0","23.95","411342.9","0.08"
"Italy","Cook Islands","2014.0","Export","3.0","0.07","51.94","0.0"
"Italy","Colombia","2014.0","Export","1904.0","42.59","953660.47","0.18"
"Italy","Comoros","2014.0","Export","26.0","0.58","950.55","0.0"
"Italy","Cape Verde","2014.0","Export","382.0","8.54","36047.33","0.01"
"Italy","Costa Rica","2014.0","Export","972.0","21.74","181203.62","0.03"
"Italy","Cuba","2014.0","Export","1028.0","22.99","305517.35","0.06"
"Italy","Curaçao","2014.0","Export","133.0","2.97","3553.93","0.0"
"Italy","Christmas Island","2014.0","Export","","","",""
"Italy","Cayman Islands","2014.0","Export","140.0","3.13","363178.11","0.07"
"Italy","Cyprus","2014.0","Export","2761.0","61.75","572969.64","0.11"
"Italy","Czech Republic","2014.0","Export","3677.0","82.24","6183471.13","1.17"
"Italy","Germany","2014.0","Export","4189.0","93.69","66456448.66","12.58"
"Italy","Djibouti","2014.0","Export","387.0","8.66","28162.76","0.01"
"Italy","Dominica","2014.0","Export","40.0","0.89","924.68","0.0"
"Italy","Denmark","2014.0","Export","3086.0","69.02","3401345.83","0.64"
"Italy","Dominican Republic","2014.0","Export","1136.0","25.41","229021.77","0.04"
"Italy","Algeria","2014.0","Export","2019.0","45.16","5729918.52","1.08"
"Italy","East Asia & Pacific","2014.0","Export","3843.0","85.95","49065784.46","9.29"
"Italy","Europe & Central Asia","2014.0","Export","4463.0","99.82","349917119.54","66.23"
"Italy","Ecuador","2014.0","Export","1204.0","26.93","287873.44","0.05"
"Italy","Egypt, Arab Rep.","2014.0","Export","2624.0","58.69","3696001.9","0.7"
"Italy","Eritrea","2014.0","Export","300.0","6.71","17014.28","0.0"
"Italy","Western Sahara","2014.0","Export","1.0","0.02","141.24","0.0"
"Italy","Spain","2014.0","Export","4104.0","91.79","23822834.68","4.51"
"Italy","Estonia","2014.0","Export","2652.0","59.32","526247.39","0.1"
"Italy","Ethiopia(excludes Eritrea)","2014.0","Export","1171.0","26.19","349974.8","0.07"
"Italy","Finland","2014.0","Export","2901.0","64.88","1885296.1","0.36"
"Italy","Fiji","2014.0","Export","145.0","3.24","9358.11","0.0"
"Italy","Falkland Island","2014.0","Export","5.0","0.11","27.05","0.0"
"Italy","France","2014.0","Export","4240.0","94.83","55778664.82","10.56"
"Italy","Faeroe Islands","2014.0","Export","98.0","2.19","1988.03","0.0"
"Italy","Micronesia, Fed. Sts.","2014.0","Export","1.0","0.02","6.25","0.0"
"Italy","Gabon","2014.0","Export","649.0","14.52","123138.02","0.02"
"Italy","United Kingdom","2014.0","Export","3897.0","87.16","27756678.43","5.25"
"Italy","Georgia","2014.0","Export","1270.0","28.41","206910.59","0.04"
"Italy","Ghana","2014.0","Export","987.0","22.08","210937.89","0.04"
"Italy","Gibraltar","2014.0","Export","117.0","2.62","1421144.13","0.27"
"Italy","Guinea","2014.0","Export","296.0","6.62","61448.75","0.01"
"Italy","Gambia, The","2014.0","Export","127.0","2.84","6112.41","0.0"
"Italy","Guinea-Bissau","2014.0","Export","91.0","2.04","2304.36","0.0"
"Italy","Equatorial Guinea","2014.0","Export","454.0","10.15","93185.96","0.02"
"Italy","Greece","2014.0","Export","3828.0","85.62","5010448.35","0.95"
"Italy","Grenada","2014.0","Export","64.0","1.43","8891.61","0.0"
"Italy","Greenland","2014.0","Export","35.0","0.78","794.48","0.0"
"Italy","Guatemala","2014.0","Export","884.0","19.77","131306.23","0.02"
"Italy","Guam","2014.0","Export","90.0","2.01","9728.08","0.0"
"Italy","Guyana","2014.0","Export","143.0","3.2","8634.34","0.0"
"Italy","Hong Kong, China","2014.0","Export","2744.0","61.37","7271253.81","1.38"
"Italy","Heard Island and McDonald Isla","2014.0","Export","1.0","0.02","12.91","0.0"
"Italy","Honduras","2014.0","Export","499.0","11.16","76472.71","0.01"
"Italy","Croatia","2014.0","Export","3681.0","82.33","3407577.62","0.64"
"Italy","Haiti","2014.0","Export","222.0","4.97","22494.31","0.0"
"Italy","Hungary","2014.0","Export","3618.0","80.92","5049034.36","0.96"
"Italy","Indonesia","2014.0","Export","1817.0","40.64","1584502.82","0.3"
"Italy","India","2014.0","Export","2683.0","60.01","4036643.17","0.76"
"Italy","Ireland","2014.0","Export","2730.0","61.06","1425053.51","0.27"
"Italy","Iran, Islamic Rep.","2014.0","Export","1795.0","40.15","1534734.89","0.29"
"Italy","Iraq","2014.0","Export","1194.0","26.71","1291991.98","0.24"
"Italy","Iceland","2014.0","Export","962.0","21.52","132453.55","0.03"
"Italy","Israel","2014.0","Export","2630.0","58.82","3020295.73","0.57"
"Italy","Jamaica","2014.0","Export","221.0","4.94","15930.57","0.0"
"Italy","Jordan","2014.0","Export","1697.0","37.96","703271.56","0.13"
"Italy","Japan","2014.0","Export","2732.0","61.1","7120861.92","1.35"
"Italy","Kazakhstan","2014.0","Export","1623.0","36.3","937533.16","0.18"
"Italy","Kenya","2014.0","Export","1085.0","24.27","231204.84","0.04"
"Italy","Kyrgyz Republic","2014.0","Export","443.0","9.91","26194.85","0.01"
"Italy","Cambodia","2014.0","Export","366.0","8.19","52064.27","0.01"
"Italy","Kiribati","2014.0","Export","1.0","0.02","3.8","0.0"
"Italy","St. Kitts and Nevis","2014.0","Export","39.0","0.87","2927.48","0.0"
"Italy","Korea, Rep.","2014.0","Export","2657.0","59.43","5524737.58","1.05"
"Italy","Kuwait","2014.0","Export","1764.0","39.45","987020.68","0.19"
"Italy","Lao PDR","2014.0","Export","130.0","2.91","10778.96","0.0"
"Italy","Lebanon","2014.0","Export","2303.0","51.51","1603005.02","0.3"
"Italy","Liberia","2014.0","Export","179.0","4.0","26998.52","0.01"
"Italy","Libya","2014.0","Export","1758.0","39.32","2932242.0","0.56"
"Italy","St. Lucia","2014.0","Export","95.0","2.12","2379.09","0.0"
"Italy","Latin America & Caribbean","2014.0","Export","3501.0","78.3","18180974.27","3.44"
"Italy","Sri Lanka","2014.0","Export","1034.0","23.13","290510.97","0.06"
"Italy","Lesotho","2014.0","Export","17.0","0.38","1249.17","0.0"
"Italy","Lithuania","2014.0","Export","2839.0","63.5","1077802.97","0.2"
"Italy","Luxembourg","2014.0","Export","2387.0","53.39","625344.77","0.12"
"Italy","Latvia","2014.0","Export","2734.0","61.15","624076.61","0.12"
"Italy","Macao","2014.0","Export","558.0","12.48","196466.54","0.04"
"Italy","Morocco","2014.0","Export","2529.0","56.56","1878187.07","0.36"
"Italy","Moldova","2014.0","Export","1589.0","35.54","294578.33","0.06"
"Italy","Madagascar","2014.0","Export","607.0","13.58","38581.86","0.01"
"Italy","Maldives","2014.0","Export","448.0","10.02","30916.11","0.01"
"Italy","Middle East & North Africa","2014.0","Export","4148.0","92.78","45824525.05","8.67"
"Italy","Mexico","2014.0","Export","2563.0","57.33","4089291.1","0.77"
"Italy","Marshall Islands","2014.0","Export","22.0","0.49","56179.66","0.01"
"Italy","Macedonia, FYR","2014.0","Export","1661.0","37.15","315593.06","0.06"
"Italy","Mali","2014.0","Export","381.0","8.52","71129.19","0.01"
"Italy","Malta","2014.0","Export","3281.0","73.38","2004316.16","0.38"
"Italy","Myanmar","2014.0","Export","508.0","11.36","153079.25","0.03"
"Italy","Mongolia","2014.0","Export","485.0","10.85","47688.7","0.01"
"Italy","Northern Mariana Islands","2014.0","Export","18.0","0.4","2830.95","0.0"
"Italy","Montenegro","2014.0","Export","1234.0","27.6","156533.98","0.03"
"Italy","Mozambique","2014.0","Export","577.0","12.91","95163.29","0.02"
"Italy","Mauritania","2014.0","Export","262.0","5.86","118321.56","0.02"
"Italy","Montserrat","2014.0","Export","8.0","0.18","1642.63","0.0"
"Italy","Mauritius","2014.0","Export","1015.0","22.7","95363.8","0.02"
"Italy","Malawi","2014.0","Export","130.0","2.91","16021.0","0.0"
"Italy","Malaysia","2014.0","Export","1942.0","43.44","1553101.36","0.29"
"Italy","North America","2014.0","Export","3554.0","79.49","43694433.92","8.27"
"Italy","Namibia","2014.0","Export","278.0","6.22","205493.95","0.04"
"Italy","New Caledonia","2014.0","Export","584.0","13.06","49617.33","0.01"
"Italy","Niger","2014.0","Export","198.0","4.43","47226.89","0.01"
"Italy","Nigeria","2014.0","Export","1717.0","38.4","1288945.25","0.24"
"Italy","Nicaragua","2014.0","Export","369.0","8.25","24823.99","0.0"
"Italy","Niue","2014.0","Export","","","",""
"Italy","Netherlands","2014.0","Export","3666.0","82.0","12327107.33","2.33"
"Italy","Norway","2014.0","Export","2266.0","50.68","2152148.75","0.41"
"Italy","Nepal","2014.0","Export","283.0","6.33","19170.83","0.0"
"Italy","Nauru","2014.0","Export","","","",""
"Italy","New Zealand","2014.0","Export","1800.0","40.26","554682.38","0.11"
"Italy","Other Asia, nes","2014.0","Export","2224.0","49.74","1480805.17","0.28"
"Italy","Oman","2014.0","Export","1212.0","27.11","558713.69","0.11"
"Italy","Pakistan","2014.0","Export","1424.0","31.85","560451.08","0.11"
"Italy","Panama","2014.0","Export","1154.0","25.81","579955.58","0.11"
"Italy","Pitcairn","2014.0","Export","6.0","0.13","47.75","0.0"
"Italy","Peru","2014.0","Export","1664.0","37.22","505568.94","0.1"
"Italy","Philippines","2014.0","Export","1496.0","33.46","582966.95","0.11"
"Italy","Palau","2014.0","Export","4.0","0.09","757.69","0.0"
"Italy","Papua New Guinea","2014.0","Export","178.0","3.98","18214.26","0.0"
"Italy","Poland","2014.0","Export","3850.0","86.11","13705630.79","2.59"
"Italy","Korea, Dem. Rep.","2014.0","Export","55.0","1.23","1220.49","0.0"
"Italy","Portugal","2014.0","Export","3544.0","79.27","4240979.37","0.8"
"Italy","Paraguay","2014.0","Export","816.0","18.25","101298.03","0.02"
"Italy","Occ.Pal.Terr","2014.0","Export","189.0","4.23","8820.75","0.0"
"Italy","French Polynesia","2014.0","Export","412.0","9.21","24507.63","0.0"
"Italy","Qatar","2014.0","Export","1873.0","41.89","1381082.68","0.26"
"Italy","Romania","2014.0","Export","3949.0","88.32","8224766.33","1.56"
"Italy","Russian Federation","2014.0","Export","3155.0","70.57","12643003.77","2.39"
"Italy","Rwanda","2014.0","Export","194.0","4.34","18726.26","0.0"
"Italy","South Asia","2014.0","Export","2945.0","65.87","5369168.68","1.02"
"Italy","Saudi Arabia","2014.0","Export","2505.0","56.03","6404744.47","1.21"
"Italy","Senegal","2014.0","Export","1152.0","25.77","201801.3","0.04"
"Italy","Serbia, FR(Serbia/Montenegro)","2014.0","Export","2731.0","61.08","2078742.75","0.39"
"Italy","Singapore","2014.0","Export","2256.0","50.46","2801317.52","0.53"
"Italy","Saint Helena","2014.0","Export","11.0","0.25","842.8","0.0"
"Italy","Solomon Islands","2014.0","Export","6.0","0.13","292.96","0.0"
"Italy","Sierra Leone","2014.0","Export","281.0","6.28","13325.93","0.0"
"Italy","El Salvador","2014.0","Export","548.0","12.26","53250.4","0.01"
"Italy","San Marino","2014.0","Export","2.0","0.04","51937.02","0.01"
"Italy","Somalia","2014.0","Export","196.0","4.38","30367.44","0.01"
"Italy","Special Categories","2014.0","Export","137.0","3.06","3468.45","0.0"
"Italy","Saint Pierre and Miquelon","2014.0","Export","5.0","0.11","126.3","0.0"
"Italy","South Sudan","2014.0","Export","18.0","0.4","948.26","0.0"
"Italy","Sub-Saharan Africa","2014.0","Export","3214.0","71.89","8027022.24","1.52"
"Italy","Sao Tome and Principe","2014.0","Export","30.0","0.67","981.98","0.0"
"Italy","Sudan","2014.0","Export","617.0","13.8","184296.85","0.03"
"Italy","Suriname","2014.0","Export","264.0","5.9","13650.18","0.0"
"Italy","Slovak Republic","2014.0","Export","3316.0","74.17","3115210.31","0.59"
