"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Jamaica","Aruba","2014.0","Export","83.0","5.73","1422.36","0.1"
"Jamaica","Anguila","2014.0","Export","25.0","1.73","277.34","0.02"
"Jamaica","United Arab Emirates","2014.0","Export","12.0","0.83","4889.25","0.34"
"Jamaica","Argentina","2014.0","Export","","","",""
"Jamaica","Antigua and Barbuda","2014.0","Export","225.0","15.54","5689.22","0.39"
"Jamaica","Australia","2014.0","Export","13.0","0.9","1169.09","0.08"
"Jamaica","Austria","2014.0","Export","5.0","0.35","29.81","0.0"
"Jamaica","Belgium","2014.0","Export","7.0","0.48","982.07","0.07"
"Jamaica","Bangladesh","2014.0","Export","","","",""
"Jamaica","Bulgaria","2014.0","Export","","","",""
"Jamaica","Bahamas, The","2014.0","Export","148.0","10.22","2386.63","0.16"
"Jamaica","Belize","2014.0","Export","53.0","3.66","6961.08","0.48"
"Jamaica","Bermuda","2014.0","Export","47.0","3.25","2502.38","0.17"
"Jamaica","Bolivia","2014.0","Export","","","",""
"Jamaica","Brazil","2014.0","Export","3.0","0.21","1575.42","0.11"
"Jamaica","Barbados","2014.0","Export","263.0","18.16","9279.0","0.64"
"Jamaica","Canada","2014.0","Export","198.0","13.67","221527.84","15.26"
"Jamaica","Switzerland","2014.0","Export","11.0","0.76","911.96","0.06"
"Jamaica","Chile","2014.0","Export","4.0","0.28","610.67","0.04"
"Jamaica","China","2014.0","Export","52.0","3.59","38119.93","2.63"
"Jamaica","Cote d'Ivoire","2014.0","Export","","","",""
"Jamaica","Cameroon","2014.0","Export","3.0","0.21","6.28","0.0"
"Jamaica","Colombia","2014.0","Export","12.0","0.83","1168.62","0.08"
"Jamaica","Costa Rica","2014.0","Export","18.0","1.24","932.7","0.06"
"Jamaica","Cuba","2014.0","Export","23.0","1.59","3647.08","0.25"
"Jamaica","Curaçao","2014.0","Export","112.0","7.73","4798.85","0.33"
"Jamaica","Cayman Islands","2014.0","Export","345.0","23.83","9235.28","0.64"
"Jamaica","Cyprus","2014.0","Export","1.0","0.07","18.06","0.0"
"Jamaica","Czech Republic","2014.0","Export","1.0","0.07","4.52","0.0"
"Jamaica","Germany","2014.0","Export","22.0","1.52","5307.35","0.37"
"Jamaica","Dominica","2014.0","Export","119.0","8.22","4981.25","0.34"
"Jamaica","Denmark","2014.0","Export","13.0","0.9","150.27","0.01"
"Jamaica","Dominican Republic","2014.0","Export","87.0","6.01","3710.57","0.26"
"Jamaica","East Asia & Pacific","2014.0","Export","126.0","8.7","61805.79","4.26"
"Jamaica","Europe & Central Asia","2014.0","Export","339.0","23.41","433737.86","29.87"
"Jamaica","Ecuador","2014.0","Export","6.0","0.41","175.43","0.01"
"Jamaica","Egypt, Arab Rep.","2014.0","Export","1.0","0.07","20.94","0.0"
"Jamaica","Spain","2014.0","Export","12.0","0.83","418.8","0.03"
"Jamaica","Estonia","2014.0","Export","1.0","0.07","2.68","0.0"
"Jamaica","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.07","12.03","0.0"
"Jamaica","Finland","2014.0","Export","1.0","0.07","0.8","0.0"
"Jamaica","France","2014.0","Export","90.0","6.22","45579.1","3.14"
"Jamaica","Free Zones","2014.0","Export","","","",""
"Jamaica","United Kingdom","2014.0","Export","266.0","18.37","75903.63","5.23"
"Jamaica","Georgia","2014.0","Export","1.0","0.07","11304.43","0.78"
"Jamaica","Ghana","2014.0","Export","3.0","0.21","39.06","0.0"
"Jamaica","Greece","2014.0","Export","6.0","0.41","60.12","0.0"
"Jamaica","Grenada","2014.0","Export","138.0","9.53","2289.33","0.16"
"Jamaica","Guatemala","2014.0","Export","8.0","0.55","78.53","0.01"
"Jamaica","Guam","2014.0","Export","2.0","0.14","32.88","0.0"
"Jamaica","Guyana","2014.0","Export","165.0","11.4","12235.27","0.84"
"Jamaica","Hong Kong, China","2014.0","Export","31.0","2.14","1126.23","0.08"
"Jamaica","Honduras","2014.0","Export","8.0","0.55","73.39","0.01"
"Jamaica","Croatia","2014.0","Export","13.0","0.9","19.55","0.0"
"Jamaica","Haiti","2014.0","Export","52.0","3.59","1943.12","0.13"
"Jamaica","Hungary","2014.0","Export","","","",""
"Jamaica","Indonesia","2014.0","Export","16.0","1.11","2559.14","0.18"
"Jamaica","India","2014.0","Export","18.0","1.24","646.47","0.04"
"Jamaica","Ireland","2014.0","Export","5.0","0.35","1423.65","0.1"
"Jamaica","Iran, Islamic Rep.","2014.0","Export","","","",""
"Jamaica","Iceland","2014.0","Export","1.0","0.07","63579.97","4.38"
"Jamaica","Israel","2014.0","Export","5.0","0.35","209.82","0.01"
"Jamaica","Italy","2014.0","Export","15.0","1.04","2464.11","0.17"
"Jamaica","Jordan","2014.0","Export","1.0","0.07","10.03","0.0"
"Jamaica","Japan","2014.0","Export","32.0","2.21","9188.4","0.63"
