"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Japan","Afghanistan","2014.0","Export","198.0","4.84","26762.41","0.0"
"Japan","Angola","2014.0","Export","406.0","9.92","303531.18","0.04"
"Japan","Anguila","2014.0","Export","14.0","0.34","1777.89","0.0"
"Japan","Albania","2014.0","Export","38.0","0.93","4749.45","0.0"
"Japan","Andorra","2014.0","Export","13.0","0.32","221.18","0.0"
"Japan","United Arab Emirates","2014.0","Export","1598.0","39.04","9492940.82","1.39"
"Japan","Argentina","2014.0","Export","758.0","18.52","1055772.1","0.15"
"Japan","Armenia","2014.0","Export","108.0","2.64","11013.1","0.0"
"Japan","American Samoa","2014.0","Export","22.0","0.54","3137.36","0.0"
"Japan","Antarctica","2014.0","Export","2.0","0.05","7.08","0.0"
"Japan","Antigua and Barbuda","2014.0","Export","41.0","1.0","10394.08","0.0"
"Japan","Australia","2014.0","Export","1892.0","46.23","14169303.37","2.07"
"Japan","Austria","2014.0","Export","784.0","19.15","921942.47","0.13"
"Japan","Azerbaijan","2014.0","Export","229.0","5.59","115787.7","0.02"
"Japan","Burundi","2014.0","Export","30.0","0.73","6537.45","0.0"
"Japan","Belgium","2014.0","Export","1384.0","33.81","5442974.32","0.8"
"Japan","Benin","2014.0","Export","56.0","1.37","15852.11","0.0"
"Japan","Burkina Faso","2014.0","Export","31.0","0.76","4003.06","0.0"
"Japan","Bangladesh","2014.0","Export","1028.0","25.12","1159064.86","0.17"
"Japan","Bulgaria","2014.0","Export","357.0","8.72","78846.25","0.01"
"Japan","Bahrain","2014.0","Export","525.0","12.83","845283.98","0.12"
"Japan","Bahamas, The","2014.0","Export","144.0","3.52","1267159.09","0.19"
"Japan","Bosnia and Herzegovina","2014.0","Export","27.0","0.66","2362.19","0.0"
"Japan","Belarus","2014.0","Export","155.0","3.79","81637.19","0.01"
"Japan","Belize","2014.0","Export","28.0","0.68","3263.63","0.0"
"Japan","Bermuda","2014.0","Export","49.0","1.2","3203.06","0.0"
"Japan","Bolivia","2014.0","Export","279.0","6.82","274092.11","0.04"
"Japan","Brazil","2014.0","Export","1507.0","36.82","4704286.69","0.69"
"Japan","Barbados","2014.0","Export","93.0","2.27","24369.45","0.0"
"Japan","Brunei","2014.0","Export","278.0","6.79","106225.5","0.02"
"Japan","Bhutan","2014.0","Export","101.0","2.47","17417.86","0.0"
"Japan","Botswana","2014.0","Export","48.0","1.17","31440.58","0.0"
